221,Rika (Casual),（私が忘れているだけ、とも違うみたいね）,(And it doesn't look like I've forgotten about anything either.),
223,Rika (Casual),"（……敵意はなさそうだし、
ひとまず様子見ね）","(...He doesn't seem like an enemy or anything, so I'll have to wait and see for now.)",
230,Rika (Casual),"（……なんて余裕を持っていられたのは、
アルバイトが始まるまでだったのです）",(...I haven't gotten the chance to get a close look at him until this part time started.),
238,Rika (Casual),"た、確かに人手は足りないと
聞いてはいましたのです……！",I-I heard them say that we don't have enough hands on the job...!,
246,詩音 (Casual),寝具担当さん、こっちシーツ届きましたよー！,"Bed lady, bringing in the sheeets!",
254,Mion (Casual),"炊事担当、もうすぐ夕飯の準備始めるって！
何人か連れて現場に行って！","Cook, about to start making dinner! Who's gonna bring it to the disaster site?",
259,Satoko (Casual),"えっ……？
さっき昼食の食器を洗ったばかりでは？！",Huh...? Didn't I just clean the lunch silverware a bit ago?!,
261,Mion (Casual),"もう作りはじめないと間に合わないって、
調理のおばちゃんが言っているんだよー！",This ol' cooking grandma says the food won't make it in time unless she starts cooking right now!,
267,Miyuki (Casual),"専業主婦の人が、ご飯のおかずに
頭を悩ませるのがよくわかるね……
三食違うの考えるとか、大変すぎる。",I totally get why housewives lose their head over making side dishes... just thinking about making three meals a day is way too much.,
269,Nao (Casual),"あんたの場合、一瞬でも迷ったら
パンで押し通すものね……。
でも、この旅館だとその手はダメよ？","In their case, they can push through making bread if they're lost for a second... but you are aware we don't have that option at this inn, correct?",
272,Miyuki (Casual),わ、わかってるって……！,I-I know...!,
277,Kazuho (Casual),"はぁ……でも、ここだとお米が
たくさん食べられるから、すごくいいよねっ！",*sigh*... But it's phenomenal that this much rice is getting eaten here!,
281,Rika (Casual),"一穂はお米さえあれば、いくらでも
働けそうなのですよ。でも……。",Kazuho could work forever as long as there's rice. But...,
290,戦人,ひぃ、ひぃ……つ、疲れた……。,"Hiiih, hiiiih... t-... tired...",
296,圭一 (Casual),も、もう動けねぇ……。,I... I can't move... anymore...,
300,Rena (Casual),はぅ……だ、大丈夫戦人さん、圭一くん？,"Hau... a-are you okay, Battler-san and Keiichi-Kun?",
305,Mion (Casual),"へばっている暇なんてないよ、男衆！
まだまだ力仕事がいっぱいあるんだからね！","We got no time to laze around, manslaves! There's still a boatload of physical labor out there to do!",
310,圭一 (Casual),ま、まだあるのかよ……。,H-How can there be...?,
312,戦人,"そろそろ死んだ母親が、俺を迎えに
来そうなんだが……。",I'm about to say hi to my mother in heaven...,
321,Hanyuu (Casual),た、大変大変！　大変なのですー！,"S-Something bad, something bad! Something bad happened!",
325,Kazuho (Casual),"どうしたの、羽入ちゃん。
今は、外で食料の搬入を手伝ってたんじゃ……。","What's wrong, Hanyuu-chan? Weren't you carrying out the food just now...?",
333,Hanyuu (Casual),また『ツクヤミ』が出たのですよー！！,{b}Tsukuyami{/b} are coming out again!!,
340,？？？？,えーっ？！,What?!,
