chara072016_03.bytes,,Llo - TL,Naegles- QC
209,圭一 (Casual),"あー、ちょっと失礼。
梨花ちゃん、ちょっと耳を貸してくれるか？","Ah, excuse me a sec. Rika-chan, can you lend me your ear for a bit?"
211,Rika (シエスタ),みー？,Meep?
218,ヱリカ,"なんですか、お前は！
我が主のお耳に、そんな、あっ、あぁっ！
い、息を吹き込むなんて……！","You, what are you doing?! My master's ears are, no, ah, AAAH! Y-Your breath is TOUCHING HER...!"
223,Rika (シエスタ),……本当にそれでいいのですか？,...Is that really okay?
225,圭一 (Casual),あぁ。,Yeah.
231,ヱリカ,この下郎！　今すぐその口を縫い付けて……！,You menial! Shut your mouth this instant...!
239,Rika (シエスタ),……ふ、古戸ヱリカ！,...E-Erika Furudo!
240,ヱリカ,はいっ！,"Yes, ma'am!"
241,Rika (シエスタ),"よくぞ私の嘘を見破りました。褒めてあげるのです。
私は、お前に命令を下すためにやってきたのですよ。",You have done well to see through my lies. You are to be praised. I have come to give you an order.
242,ヱリカ,"ほ、褒め……あ、あぁ！
あ、ありがたき幸せ……！","Pr-prai... ah, aaaahh! W-What joy...!"
243,ヱリカ,え？　命令、ですか？,Hm? An order?
244,Rika (シエスタ),"はい……そ、そうです。
あなたにはこれから……。","Yes... th-that's right. From here on out, you are to..."
246,Rika (シエスタ),旅館の従業員として働いてもらうのです！,...work as a part time employee at an inn!
254,ヱリカ,えっ……なんです？　旅館、の……従業員？,Wh-... what is that? Part time... employee?
256,Rika (シエスタ),"嫌なのですか。
ボクの命令が聞けないと言うのですね。",Is that undesireable for you? Will you not hear out my order?
258,Rika (シエスタ),"だったら１人で帰っちゃえばいいのですよ。
ぷぃっ。","If so, then you are to leave at once! *spits*"
261,ヱリカ,そ、そのようなことはございません！,I-I would never intend to feel that way!
263,Rika (シエスタ),"では、命令なのです。
一生懸命働くのですよ！","So, that is your order. You will work as hard as you can!"
266,ヱリカ,はいっ、我が主！！,"Yes, my master!!"
280,ヱリカ,うぉおおおおお！！,Uooooooohhh!!
285,Mion (Casual),"……すごいね。あの人、何人分の布団を
一気に運んでいるのさ？",...Amazing. She's carrying away an uncountable amount of futons in one sitting?
287,Rena (Casual),"はぅ……たぶん、５人分はあるよね。
しかもあんなにかぁいい格好で……。",Hau... five people might be able to carry all of that. And with that kyute outfit on too...
291,Nao (Casual),動きづらくないのかしら。,I wonder if it's hard to move in.
295,Satoko (Casual),着替えとかなかったんですの？,She hasn't changed clothes or anything?
299,詩音 (Casual),"一応渡そうとしたんですけど、
「我が主の前で失礼な格好なんて
できない」の一点張りでして……。","We tried to get her to for the time being, but she kept insisting, ""Wearing discourteous clothes in front of my master is unacceptable.""..."
305,Rika (シエスタ),もたもたしたらお仕置きなのですよ！,Slack off and it's punishment for you!
311,ヱリカ,はいっ、今すぐ！！,"Yes, ma'am, right away!!"
316,Kazuho (Casual),あ、またスピードアップした。,"Ah, she's speeding up again."
318,Satoko (Casual),梨花、あの人を使いこなしてきてますわね……。,"Rika, you're commanding that person quite well..."
328,Miyuki (Casual),梨花ちゃん、大丈夫？,"Rika-chan, are you okay?"
330,Rika (シエスタ),は、はいなのです……。,Y-Yeah...
332,Rika (シエスタ),"でも、何もしていないのに
とっても疲れてきたのですよ。","But I'm not doing anything, so I'm getting really tired."
334,Miyuki (Casual),"気疲れだよ……おつかれさん。
あとで肩もみしてあげるね。","That's boredom... thank you for your hard work. I'll give you a shoulder rub after, yeah?"
339,赤坂,やぁ、なんだか賑やかだね。,"Hey! It's pretty lively here, huh?"
344,Rika (シエスタ),あ、赤坂……？！,A-Akasaka...?!
346,Miyuki (Casual),えっ……な、なんでここに？,Eh... w-why are you here?
351,赤坂,"瓦礫の撤去作業を少し手伝ってきたんだ。
ここで皆がお手伝いしてるって聞いてね。",I came to help a bit with the cleanup work for the debris. I heard that everyone was helping out here.
353,赤坂,"おや、梨花ちゃん。
どうしたんだい、またその格好をして。","Ah, Rika-chan, why are you in those clothes again?"
357,Rika (シエスタ),"みー……恥ずかしいので
あまりじっくり見ないでほしいのですよ。","Meep... it's embarrassing, so I don't want you to look at me too closely, okay?"
362,Miyuki (Casual),おと……あ、赤坂さん？,Da-... A-Akasaka-san?
365,赤坂,"い、いやそんなふうに見ていないよ！
ただ……可愛いなと思って。","W-Woah, don't look at me like that! I was just... thinking how cute it was."
367,赤坂,"それに、警察の音楽隊の服みたいだね。
よく似合っていると思うよ。","On top of that, it looks like clothes from a police group. I think it suits you a lot!"
371,Rika (シエスタ),あ、ありがとうなのです……。,Th-thank you...
381,ヱリカ,な、なぁああぁああああああっ？！,N-NOOOOOOOOOOOOOOOOO?!
388,赤坂,な、なんだ？！,Wh-what's up?!
395,ヱリカ,"我が主、なんですかその男は！
敵ですか暴漢ですか不審者ですか？！","My master, who is this man?! Is he suspicious? A hoodlum?! AN ENEMY?!"
397,ヱリカ,"ご安心下さい、このような輩
我が主のお手を煩わせるまでもありません！","Please do not fret, for I, as a comrade, can assure that my master will not have to use her hands once!"
401,ヱリカ,即刻首を跳ね落としてやりますッッ！,I'LL GET AT HIS THROAT THIS INSTAAAANT!!
408,赤坂,えっ？　えっ？,Huh? Wha-?
414,Miyuki (Casual),ちょっ、ちょっとちょっとぉ！！,W-Wait wait wait waaaait!!
417,Rika (シエスタ),みー！　こ、この人は違うのですー！！,Meep! This person isn't like that!!
428,Hanyuu (Casual),あ、あぅあぅあぅ……。,A-Au au au...
432,Mion (Casual),"たまにトラブって、手が止まったりは
するけど……現状あの人だけで、
１０人分以上は働いてくれているんだよね。","She's an issue at times, but once she stops working... it's like ten people or more stop working, huh?"
437,圭一 (Casual),"ご主人様になりきって命令したら
聞いてくれるんじゃないか、って
戦人の作戦、すげぇ有効だったな。","""Won't she start listening if she became her master and ordered her around?"", was what Battler asked me. Turns out his strategy was crazy effective."
439,戦人,"台詞を考えたのは、圭一だろ？
言葉運びがよかったんだと思うぜ。","Wasn't it you who thought of how to word it, though, Keiichi? I think you brought the wording to the next level."
443,Rena (Casual),はぅ……でも、すごい効果だね。,Hau... but what an incredible effect.
445,戦人,"あいつには、これが効くんじゃないかって
思ったんだ……本当に、なんとなくだけどな。","I figured this would make an impact on her... but honestly, I'm not sure why."
449,Satoko (Casual),いや、たしかに効いてはおりますが……。,"Well, it definitely did have quite the effect, but..."
451,Satoko (Casual),"いつ、本当のことをバラせばいいんですの？
梨花があの人のご主人ではない、と。",Wouldn't it be best to let the truth out? Rika isn't that person's master.
455,Nao (Casual),もうバラさないほうが平和なんじゃない？,Wouldn't it be more peaceful if we left it as is?
459,詩音 (Casual),"でもそうしたら、あの人ずっと
梨花ちゃまの隣に居座り続けると思いますよ？","If we do that, though, don't you think that person will always be glued to Rika-chama?"
462,Satoko (Casual),そ、それはごめんこうむりますわ！,Th-that suffering won't be tolerated one bit!
464,Satoko (Casual),"あんなやかましい人がおはようからおやすみまで
一緒なんて、心が休まりませんわー！",We won't be able to have peace of mind being together with such a noisy person from morning all the way til night!!
468,Kazuho (Casual),うん、あれは嫌だよね……。,"Yeah, that'd be terrible..."
472,Rena (Casual),"気持ちはわかるよ、沙都子ちゃん。
でも……はぅ……。","I understand that feeling, Satoko-chan. But... hau..."
478,圭一 (Casual),どうやって帰ってもらう？,How are we gonna get her to go home?
480,戦人,……どうしよう？,...What do we do?
486,Hanyuu (Casual),"が、頑張れ梨花ーっ！
僕は応援してるのですよー！！","D-Do your best, Rikaa! You have my support!!"
491,Rika (シエスタ),……ヱリカ。,...Erika.
494,ヱリカ,はいなんでしょう、我が主？！,"Yes, what ever could it be, my master?"
497,Rika (シエスタ),"今夜はキムチが食べたい気分なのです。
とびっきり辛いのを用意するのですよ。","Tonight, I'm feeling like eating kimchi. Prepare it extra spicy!"
500,ヱリカ,"はい！　必ずや最高に辛いキムチを
献上させていただきます！！","Yes, ma'am! I will positively present for you the spiciest kimchi you will ever lay your tastebuds on!!"
511,Hanyuu (Casual),ど、どうしてなのですか～～？！,H-How could this beee~~?!
