chara072016_02.bytes,,Lloro - TL,Naegles- QC
82,Rika (シエスタ),みー。それが何も……。,Meep. Nothing at all...
86,圭一 (Casual),原因を探ろうにも、情報が少なすぎるな。,"Even if we do try to find out that reason, this fit's way too skimpy for her."
90,戦人,"……もしかしたら、直接の原因は
梨花ちゃんじゃないのかもな。",...Maybe the direct reason isn't actually Rika-chan?
92,Rika (シエスタ),戦人、それはどういうことなのですか？,"What do you mean, Battler?"
94,戦人,"例えば、別の誰かに原因があって
間接的に梨花ちゃんに影響が出てる……とかな。","For example, some other person could be causing this indirectly through other means... stuff like that."
98,Nao (Casual),"早い話が、梨花はとばっちりを
食っただけってこと？",So you're saying that Rika just got caught in the middle?
100,戦人,"あぁ。大元の原因がわからない以上、
ただの推論に過ぎないけどな。","Yeah. I can only speculate without knowing the main cause, though."
106,Miyuki (Casual),"でも、それなら梨花ちゃん自身に
覚えがないのもわかるね。……こうなってから、
特に体調不良とかはない？","But we also know Rika-chan herself doesn't even remember.
...So with that in mind, have you been staying in shape?"
108,Rika (シエスタ),みー。その点も大丈夫なのですよ。,Meep. I'm fine there too.
112,Nao (Casual),"じゃあ、今すぐ何かがどうこうってことには
ならないって考えてもよさそうね。","It's probably okay to assume nothing will become of it at this very moment, then."
116,圭一 (Casual),でも、何かあったらすぐに相談してくれよ。,"But if something does happen, let us know right away, alright?"
118,Rika (シエスタ),"圭一、ありがとうなのです。
みんなも戦人も、気遣ってくれて
嬉しいのですよ。","Thank you, Keiichi. Everyone and Battler, too, I'm so glad you all keep me in your thoughts."
123,戦人,"おぉ！　お礼は大きく成長したら
おっぱいを揉ませてくれる約束でいいぞぉぅ！
いっひっひ！","Yeah! As thanks, promise me that you'll let me ruuuub thooose boobies when you grow up! Ihihihi~!"
127,Rika (シエスタ),み、みー……。,Me-meep...
131,Nao (Casual),これがなければ、いい人なのに……。,He'd be great if he didn't say  stuff like that...
135,Kazuho (Casual),まぁまぁ……あ、あれ？,"Wait, wait... ah-, huh?"
140,Miyuki (Casual),どしたの、一穂。,"What's wrong, Kazuho?"
150,Kazuho (Casual),"あっちにツクヤミが！
……あっ、逃げた、逃げたよ！","There's a Tsukuyami over there! ...Ah, it ran off, it's running!"
158,戦人,なんだって？！,Whaaat?!
162,圭一 (Casual),お、追いかけろーっ！！,L-Let's follow iiiiit!!
166,Rika (シエスタ),一難去って、また一難なのですよ……。,It's just one thing after another...
176,Rika (シエスタ),やぁあああっ！！,Yaaaaaaahhhh!!
181,？？？？,『ギィイイィイイイイ！！』,{b}Giiiiiiiiiiiiiiii!!{/b}
185,Kazuho (Casual),"はぁ、はぁ……さ、最後の一匹を追いかけたら
#p雛見沢#sひなみざわ#rまで戻ってきちゃった。","Haaah, haaah... looks like we made it back to Hinamizawa following this last one."
192,戦人,ひ、ひぃ、ひぃっ……みんな、足が速すぎないか？,"Hiih, hiih, hiiih... am I really that slow?"
197,圭一 (Casual),"いや、単に障害物のある道に
慣れているかどうか、の違いだと思うぜ。","Nah, I think it's just the difference in how accustomed you are to these roads."
201,Miyuki (Casual),"というか……戦人さんって背が高いから、
山道の小枝とか避けて走ろうとすると
どうしても遠回りになるんじゃないですか？","And besides... Battler-san, you're really tall, so don't you have to find your way around twigs and stuff on these mountain roads?"
203,戦人,"結構頑張って背を伸ばしたんだが、
まさかそんな落とし穴があったなんてな……ぐふっ。","I did my best to grow up big and strong, but to think there were pitfalls like that... oof."
208,Rika (シエスタ),"ボクの家はこの近くなので、
お茶を持ってくるのです。少し休んでから
宿に戻りましょうなのですよ。","My house is a bit this way, so I'll get some tea. Let's rest up so we can return to the inn after."
216,戦人,ありがとう、梨花ちゃん……って、もういねぇ。,"Thanks, Rika-chan... wh-... she dipped."
221,Nao (Casual),あの子、結構タフなのよ。,That girl is super tough.
223,戦人,ひぃ、ひぃ……疲れた、もう歩けねぇ。,"Hiih, hiih... exhausted... can't... walk..."
229,圭一 (Casual),"ちょっと休んで行こうぜ。
よいしょっ、と。","Let's rest here a bit.
Ah, there we go..."
234,Kazuho (Casual),……っ……？,...Nn......?
237,Nao (Casual),どうしたの、一穂。,"What's wrong, Kazuho?"
239,Kazuho (Casual),え、あ、うん……なんだか寒気が……。,"Eh, ah, mm... I kind of got chills..."
243,Miyuki (Casual),えっ、……それって、風邪？,Huh... do you have a cold?
245,Kazuho (Casual),いや、そういうんじゃなくて……。,"No, that's not what I meant..."
260,ヱリカ,み、見つけたぁあぁああああ！！,I-I've found yooooooooooouuuu!!
267,Kazuho (Casual),えっ……？,What...?
275,ヱリカ,"いた、いた、いたァ……！
ようやく見つけたぁあああ！！","Here you are, here you are, HERE YOU AREEEE...!! I've finally found yooooouuuuuu!!!"
287,Nao (Casual),"な、なにあのひらひらふりふりの服の人……！
こっちに向かって来る？！","W-What's with that person with this flowy, frilly dress...?! Is she coming this way?!"
292,ヱリカ,ようやく見つけましたよ、鳳谷菜央！,"I've finally found you, Nao Houtani!"
298,Nao (Casual),ひぃっ？！,Hiiiih?!
300,Miyuki (Casual),えっと……あの、うちの菜央に何か？,"Umm... uh, do you need something from Nao?"
304,Kazuho (Casual),菜央ちゃん、この人知ってるの？,"Nao-chan, do you know this person?"
307,Nao (Casual),ううん、知らない……こんなの知らない！,"No, not at all... how could I know her?!"
313,ヱリカ,"はぁ、なに言ってるんですかこのおチビさん。
……あぁ、記憶でも消されたんですか？
それとも「世界」違いの人違いとかぁ……？","Hahh, what are you saying, you little midget? ...Aah, has your memory been wiped? Or is it that this is a different world, or a whole different persooon...?!"
316,ヱリカ,"まぁ、同一存在であることは
間違いないわけですし……私はこれで構いませんよ。","Well, you are without a doubt the exact same existence... 
So it changes nothing for me."
320,Miyuki (Casual),こ、これ……って、どれ？,T-The... same... what?
325,ヱリカ,"あなたに会いに、わざわざ我が主ではなく
別のお方の力を借りて、ルートを作ったうえで
こっちに来たんですよ。","I didn't want to bother my master, so I went out of my way to use a separate route made through the help of another fine individual in order to meet you here."
329,ヱリカ,"というわけでリベンジマッチ、
受けてくれますよねぇぇ……っ？","So, this means you'll accept my revenge match... won't yooouuu?!"
337,Kazuho (Casual),こ……この人はいったい、何を……？！,W-... What is this person... on about...?!
339,Kazuho (Casual),"（この人に、菜央ちゃんを渡しちゃダメだ……！
理由はわからないけど、絶対にッ！）","(I can't let this person get to Nao-chan...! I don't know why, but it absolutely can't happen!)"
342,Kazuho (Casual),"だ……ダメです……！
あなたは知らない人なので、帰ってください。","N-... No way...! We don't know you, so please leave."
345,ヱリカ,"はぁ？……なんですか、あなた。
邪魔しないで下さいます、無関係ですよね？","Huuh? ...You, what's your deal? Don't get in my way. Don't you know this doesn't involve you?"
347,Kazuho (Casual),"無関係じゃ、ないです……！
それに、こんなに嫌がってるじゃないですか。",That's not the point...! You look like you have bad intentions!
352,ヱリカ,"聞き分けの悪い人ですねぇ……
いいからどいてください。","What an unreasonable person...
Who cares about that? Do please get out of my way."
354,Kazuho (Casual),……あなたが、帰ってくれないなら。,...Maybe if you were to leave.
362,Nao (Casual),か、一穂……？,K-Kazuho...?
367,ヱリカ,"……くれないなら、何なんです？
まさか私と戦うつもりとか言いませんよねぇ？","...And if I don't, then what? Don't tell me you intend to fight me?"
370,ヱリカ,"なめたことを言い続けるつもりなら、
こっちにも考えが――。","Keep saying disrespectful things, and I'll have to put you in your--"
374,Rika (シエスタ),みー？　どうしましたですか？,Meep? What's going on?
380,ヱリカ,なんです、また邪魔が増え……えっ？,"What, really? Another one to get in my wa-... huh?"
387,Rika (シエスタ),みー？,Meep?
