94,Nao (Casual),"完全に否定してるわけじゃないわ。
もしそうなら、今あたしと喋ってるのは
誰って話になるでしょ。ただ……。","It's not like I'm completely denying it. If I were, then who would I be talking to right now? But...",,
96,Nao (Casual),"他人の話を全部鵜呑みにするな。
その情報が正しいかどうかは、
自分でしっかり検証してから確かめる……。",What I'm talking about is chewing before you swallow. Checking whether or not information is correct by properly verifying it through your own investigation...,,
98,Nao (Casual),"そうすることで情報は知識になり、
教養として自らの糧になる……
そう、お母さんに教えられたわ。","In doing this, information becomes knowledge, and that's how you become educated... That's what my mom taught me.",,
100,Nao (Casual),"だから、実際に自分がその場にいて
この目で見て、触ったものじゃないと
判断の材料にはできないと思うのよ。","So, even if I actually go to that place myself, I believe that not being able to use my own body to observe disables me from making a foundation for my conclusions.",,
102,ベアトリーチェ,"……疑りが深いのか思慮が深いのか、
よくわからぬ娘よ。",...I don't know whether you are a doubtful or thoughtful child.,,
104,Nao (Casual),"ごめんなさい、そういう性分なの。
……けど、悪趣味だけでもないってのも
正直な感想よ。","Sorry, that's just how I am... but it not being just bad taste is my straight-forward opinion.",,
112,Nao (Casual),"あの話は、島で起こったかもしれない
何かの事実の可能性を伝えるため……。",The story's purpose is to tell a possible truth of what might have occurred on the island...,,
114,Nao (Casual),"ううん、メッセージを伝える
意図があるような気がするの。","Well, I feel like it's trying to convey some sort of message.",,
122,ベアトリーチェ,……ほぅ。なぜ、そう思うのだ？,...Hoh. Why would you think that?,,
124,Nao (Casual),"あたしはまだ、
『Legend of the golden witch』の
テーマを見つけられていないからよ。","Because I still haven't been able to discover the theme of ""Legend of the Golden Witch"".",,
126,ベアトリーチェ,テーマ？,The theme?,,
128,Nao (Casual),"あたしが今まで読んだお話には、
何かしらのテーマがあった。
センスに合うかどうかは別としてね。",All the stories that I've read have had some sort of theme. This is different from whether it suits one's tastes or not.,,
130,Nao (Casual),つまり、物語にテーマは必須ってことよね？,"Basically, stories require a theme, right?",,
132,Nao (Casual),"でも、テーマが見つけられないってことは
きっと巧妙に隠されてるってことで……
それを見抜けないのはあたしの力不足。","But, if I can't find the theme, then it was likely hidden in a clever way... which means that I'm lacking in some way.",,
134,Nao (Casual),"何度かお話を読み直したら、わかるのかもね。
あ、それとも続きがあるの？","Maybe if I reread the story few times I'll understand. Ah, unless there's more I can read?",,
136,ベアトリーチェ,……テーマが隠されていると、なぜ断言できる？,...How can you be so sure that a theme has been hidden?,"from ""... Why can you claim that the theme has been hidden?"", per naegles' comment",
138,Nao (Casual),そりゃ断言できるわよ。,Because I can.,,
141,Nao (Casual),だって、このお話……本当に面白かったもの。,Because this story... was really amusing.,,
144,ベアトリーチェ,…………。,............,,
146,Nao (Casual),ベアトリーチェ？,Beatrice?,,
149,ベアトリーチェ,"くっくっ、……くっくくく！！！
はははははは！　あひゃはははははははは！！！",*cackle*cackle*... *cackle*cackle*cackle*cackle!!! Hahahahahaha! Ahaaahahahahahahahaha!!!,,
151,Nao (Casual),"えっ……ちょっと、どうしたのよ。
そんなにあたしの感想、不満だった？
期待に添えられなかったのは悪かったけど……。","Huh... wait, what happened?! Is my opinion that dissatisfying? Sorry it wasn't up to your expectations, but...",,
153,ベアトリーチェ,いや、そうではない！　そうではない！,"No, that's not it! That's not it!",,
155,ベアトリーチェ,"あの話を読んで、臆面もなく面白いと
断言したそなたに感服した！",I admire you for reading that story and flat out declaring it as amusing!,,
157,ベアトリーチェ,"なるほど！
巫女を用意し、物語を朗読させるのが
これほどに楽しいこととは……！",I get it now! To think that having a story read to you by a miko could be this entertaining...!,,
159,ベアトリーチェ,"千年の歳を生きてなお、
新しいものを発見できるとはな……くっくっくっ！！","After living for one thousand years, discovering something new is just... *cackle*cackle*cackle*!!",,
161,Nao (Casual),ど、どうも……で、いいのかしら。,I-I wonder if a... thank you is right here?,,
163,ベアトリーチェ,"ふふ……なかなかに楽しかったぞ、菜央よ。
機会があれば、また妾の用意したゲーム盤を
読みに来るがよい。","*giggle*... I've had a lot of fun, Nao. If another chance arises, it would be grand if you came again to read another game board I put together.",,
165,ベアトリーチェ,"そなたならば、大いに歓迎しよう。
……ただ、これ以上そなたに関わるには、
あの客人の許可が必要になるみたいだな。","As long as it's you, I'd welcome you with open arms... But alas, it appears you will have to deal with needing permission from that guest.",,
167,Nao (Casual),許可……？,Permission...?,,
169,ベアトリーチェ,"ふむ……また暴れられぬうちに
そなたの記憶を消す魔法でもかけるとするか。","Mhm... if they have another fit of rage, they may use magic to wipe your memory again.",tohya........,he -> they
171,ベアトリーチェ,"案ずるな。
目が覚めたら、そなたは元の場所に戻っていよう。","But don't worry. If you close your eyes, you will return to your original world.",,
174,Nao (Casual),"……えっ、これで終わりっ？！
続きを読ませてくれるんじゃないの？！","...Huh, this is the end?! You're not going to keep reading it for me?!",,
176,ベアトリーチェ,さあさ、思い出してご覧なさい……。,"Come, try to remember...",,
184,Nao (Casual),ちょっと……！,Wait...!,,
192,Nao (Casual),続きが気になるじゃないのっっ！！,I want to know how it continueeees!!,,
200,Rika (Casual),えっ？,Huh?,,
205,Satoko (Casual),ど、どうしましたの菜央さん。,"Wh-what happened, Nao-san?",,
207,Hanyuu (Casual),"あぅあぅ、ここは図書館なのです。
静かにしないとダメなのですよ～！","Au au, this is the library. If you don't be quiet, it could get bad~!",,
211,Rika (Casual),羽入も大声を出しているのですよ。,Hanyuu is also speaking in a loud voice.,,
213,Hanyuu (Casual),はっ？！　ご、ごめんなさいなのです……。,Huh?! I-I'm sorry...,,
217,Nao (Casual),あ、えっと……あたし、今、寝てた？,"Ah, umm, was I sleeping, just now?",,
221,Rika (Casual),"みー。沙都子に読書感想文の書き方を
教えて書き上がるのを待っている間、
菜央はうとうとしていたのですよ。","Meep. While we were waiting for you to teach Satoko how to improve the writing in her book report, Nao got sleepy.",,
225,Satoko (Casual),"も、申し訳ありませんわ……
私が時間をかけたせいで、
菜央さんに退屈をさせてしまって……。",M-My apologies... Nao-san had gotten bored because I took up so much time...,,
227,Nao (Casual),あ、別に謝ることないと思うけど……。,"Ah, I don't really think you have to apologize...",,
231,Hanyuu (Casual),"それにしても、続きが気になる……とは
何のことですか？","At any rate, ""I want to know how it continues.""... what was that about?",,
233,Nao (Casual),"え？　え、えっと……なんだったかしら。
夢の中で面白い本を読んでいた気がするんだけど。","Huh? U-Umm... I wonder what that was too. Somehow I feel like I was reading an interesting book in my dream, though.",,
235,Nao (Casual),…………。,............,,
239,Satoko (Casual),菜央さん？,Nao-san?,,
241,Nao (Casual),"……ね、沙都子。感想文を書くのに
時間がかかるんだったら、
ちょっと本を借りてきていいかしら。","...Hey, Satoko. If it takes you a long time to write your report, could I go check out a book maybe?","*""book report"" 読書感想文 dokushokansoubun, as a term includes the kanji 読書 dokusho, which means ""the process of reading"". Here, Nao uses the word ""kansoubun"" 感想文 reflecting off the usage of 感想 kansou, ""opinion"" during the Beatrice dream","from ""...Hey, Satoko. Even if it takes a bit to write a report on my opinion of the text, I would like to check out a book for a bit."""
243,Satoko (Casual),"付き合っていただいているのは
こちらですし、それは結構ですが……
読みたい本でもありましたの？","I was the one following along with you, but sure... 
Was there a book you wanted to read?",,
246,Nao (Casual),えぇ、ミステリーが読みたいと思ってね。,"Yes, I believe I would like to read a mystery.",,
250,Hanyuu (Casual),あぅ……ミステリー、ですか？,Au... Mystery?,,
252,Nao (Casual),"なんだか急に、ミステリーの勉強を
したくなってきちゃったのよ。","For some reason, I've suddenly developed a strong desire to research the mystery genre.",,
254,Nao (Casual),"とりあえず、有名なミステリー小説を
いくつか借りてみようかしら……。","For now, let's see how many famous mystery novels I can check out...",,
258,Rika (Casual),みー、どういう風の吹き回しですか？,Meep. Where did this come from?,,
260,Nao (Casual),"なんとなく、よ。
ただその方が、夢の続きを見た時に
楽しめる気がするのよ。",Not sure. I just have a feeling that I'll be able to enjoy the rest of my dream this way.,,
262,Nao (Casual),気がするだけだけど、ね。ふふっ。,"But it's just a feeling, you know? *giggle*",,
