chara032009_02.bytes,,Llorona; I deeply welcome any and all feedback to my interpretations. Please let me know if there's something I should fix!,Omega - QC,
153,ベアトリーチェ,"そこで、その男の背後から、
この六軒島で起きる出来事を見届けてもらおう。","There, from that man's shoes, you can witness the events that occurred on Rokkenjima with your own eyes.",
155,Nao (シエスタ),"なるほど。その「戦人」という男性の目線に立って、
あなたの作ったゲーム盤上で行動しろってことね。","I see. In this man ""Battler's"" viewpoint, you can move him on top of the gameboard, right?",
158,ベアトリーチェ,"そうだ。なかなか聡い上に素直なのは良いぞ。
……そして、菜央。そなたが着ているその制服は
妾が契約を結んでいる武具のもの。","That's right. Having such sharpness and frankness is key. ...Also, Nao, that uniform that you are wearing is that of battle furniture which has signed a contract to me.",
160,Nao (シエスタ),えっ……？,Huh...?,
162,ベアトリーチェ,"そう考えたら、そなたも我の武具になっている…
というように考えられるとも思わないか？","If you think about it, that makes you my furniture... Don't you think we can thnk of it like that?",
164,Nao (シエスタ),そんなことを言われるなら、脱ぎたいわね…,"If iyou put it that way, it makes me want to take it off...",
166,ベアトリーチェ,"くっくくくく、冗談冗談。
ほれほれ、これよりゲームが始まるぞ。","*cackle*cackle*cackle* It's a joke, it's a joke. Now look ahead. The game will begin from here.",
168,Nao (シエスタ),えっ……？ あ、あたしはどうすればいいの？,"Huh-...? Wh-, what should I do?",
170,ベアトリーチェ,"何もせずとも良い。
準備ができたところで向かう先は戦人の後ろだ。","Anything is fine. Whenever you're ready, step up right behind Battler.",
172,ベアトリーチェ,戦人と妾の戦いを特等席で楽しめるぞぉ。,Enjoy the close-up seat in Battler's fight against me.,
174,Nao (シエスタ),"ゲームを遊ぶんじゃないの？
どっちかというと、他人がプレイしてるのを
ただ後ろで見てるだけ……？","I'm not playing the game? However you put it, aren't I just watching someone else play from behind...?",
177,ベアトリーチェ,"これは妾と戦人のゲームゆえ
そなたを対戦相手として呼んではおらぬ。","This is a game between me and Battler. Therefore, you are not the one who can be called my opponent.",
179,ベアトリーチェ,"ただ、いままで観劇していたのは
奇跡の魔女や絶対の魔女だったからな。
少し趣向を変えてそなたの感想も聞いてみてたかったのよ。","It's just that, the only ones who have spectated up to now are the Witch of Miracles and the Witch of Certainty. I wanted to change things up a bit and hear your thoughts.",
181,Nao (シエスタ),"……ゲームだったら、自分で遊んだ方が
楽しいと思うけどな。","...If it's a game, I think playing myself is more fun.",
183,ベアトリーチェ,不服か？,Are you unsatisfied?,
185,Nao (シエスタ),"ううん、そういうわけじゃないわ。
……ただ、あたしは自分で遊ぶ以外の
ゲームの遊び方を知らなかっただけ。","No, not at all... It's just, I didn't know of any other way of playing a game than playing it yourself.",
187,Nao (シエスタ),"でも、まぁ……そうね。
そういう楽しみ方があるなら、
試させてもらおうかしら。","But, well... right. If that type of enjoyment exists, then I will have to try it out.",
189,ベアトリーチェ,"くっくっくっ……
柔軟で素直な思考と姿勢は、ゲームを楽しむ上で
欠かせぬ要素だ。なかなか悪くないぞ。",*cackle*cackle*cackle*... This open-minded and frank attitude is an essential element to enjoying the game. Not bad at all.,
191,Nao (シエスタ),"褒め言葉として受け取っておくわ。
えっと、この物語の先には普通に人が待っているのよね……っ！","I'll accept those words of praise. Umm, do people normally wait for the end of the story?",
197,Nao (シエスタ),えーっと……こほん。,"Uuum, *ahem*.",
198,Nao (シエスタ),"鳳谷菜央……魔女ベアトリーチェの、
ゲーム盤を観劇させていただきます。",Nao Houtani... rightfully spectating the witch Beatrice's game board.,
199,Nao (シエスタ),どうぞ、お手柔らかにお願い致します……。,"Please, if you would kindly begin...",
209,ベアトリーチェ,"ふ、はっはっはっはっはっは…。
戦人がいると聞いて挨拶から始めるか！
なかなかに面白いではないか！","Hu, hahahahahahahaha... Once you hear Battler's greeting, it begins! How incredibly entertaining this is!",
211,ベアトリーチェ,"しかしぎこちないぞ菜央よ。
真里亞だったら勢いよく飛び込んでおるわ。くっくくくく！","However, you are unrefined, Nao. If you were Maria, you would be flying around with such vigor. *cackle*cackle*cackle*!",
213,ベアトリーチェ,"ほらほらそんな顔をするでない。
物語はもう始まるぞ。
せいぜい、振り落とされぬようにな。","Oh, look, don't make such a face. The story is already beginning. As much as you can, try not to get shaken off. ",
221,Nao (シエスタ),"ありがと……って、ちょっと待って。
いったい何から「振り落とされる」って？","Thank you... w-wait a minute. Just what will I be ""shaken off"" from?",
223,ベアトリーチェ,無論、妾のゲーム盤からだッ！,"Of course, from my game boooard!",
233,Nao (シエスタ),"そ、そういう乗り物系だとは
さすがに聞いてなっ……んきゃぁぁぁあぁっ？！",I-I didn't know there was a type of vehicle like tha-... aaaaaaaaaaat?!,
241,ベアトリーチェ,"くっひゃっひゃっひゃっひゃっ！
琴線に触れる良い叫びだ！
目一杯楽しんでこいよぉおおおぉぉっっ！！",Kuhahhahhahhahha! A great scream that tugs on the heartstrings! Let's enjoy this as much as possibleeeeeeeee!!,
