chara032009_03.bytes,,Llorona; I deeply welcome any and all feedback to my interpretations. Please let me know if there's something I should fix!,Omega - QC,,,,,,,,,,,
index,chara,jp,en,,,,,,,,,,,
132,Nao (Casual),"でも、テーマが見つけられないってことは
きっと巧妙に隠されてるってことで……
それを見抜けないのはあたしの力不足。","But, being unable to find the theme because it was most likely cleverly hidden well... it's a weakness of mine when it's not easily noticeable.",,,,,,,,,,,
134,Nao (Casual),"何度かお話を読み直したら、わかるのかもね。
あ、それとも続きがあるの？","No matter how many times I read it over to correct myself, I probably understand it, right? Ah, unless there's more to it?",,,,,,,,,,,
136,ベアトリーチェ,……テーマが隠されていると、なぜ断言できる？,... Why can you assert that the theme has been hidden?,,,,,,,,,,,
138,Nao (Casual),そりゃ断言できるわよ。,Because I can.,,,,,,,,,,,
141,Nao (Casual),だって、このお話……本当に面白かったもの。,Like this story... it was really amusing.,,,,,,,,,,,
144,ベアトリーチェ,…………。,............,,,,,,,,,,,
146,Nao (Casual),ベアトリーチェ？,Beatrice?,,,,,,,,,,,
149,ベアトリーチェ,"くっくっ、……くっくくく！！！
はははははは！　あひゃはははははははは！！！",*cackle*cackle*... *cackle*cackle*cackle*cackle!!! Hahahahahaha! Ahaaahahahahahahahaha!!!,,,,,,,,,,,
151,Nao (Casual),"えっ……ちょっと、どうしたのよ。
そんなにあたしの感想、不満だった？
期待に添えられなかったのは悪かったけど……。","Huh... wait, what happened?! Is my opinion that dissatisfying? My bad that it wasn't up to your expectations, but...",,,,,,,,,,,
153,ベアトリーチェ,いや、そうではない！　そうではない！,"No, that's not it! That's not it!",,,,,,,,,,,
155,ベアトリーチェ,"あの話を読んで、臆面もなく面白いと
断言したそなたに感服した！","You read that story, and you flat out declared that it was amusing as you had admired it.",,,,,,,,,,,
157,ベアトリーチェ,"なるほど！
巫女を用意し、物語を朗読させるのが
これほどに楽しいこととは……！",Now I get it! To think that something like arranging to have a story be read to you by a miko could be this entertaining...!,,,,,,,,,,,
159,ベアトリーチェ,"千年の歳を生きてなお、
新しいものを発見できるとはな……くっくっくっ！！","In all of my 1,000 years of living, discovering something new is just... *cackle*cackle*cackle*!!",,,,,,,,,,,
161,Nao (Casual),ど、どうも……で、いいのかしら。,I wonder if a... thank you is right here?,,,,,,,,,,,
163,ベアトリーチェ,"ふふ……なかなかに楽しかったぞ、菜央よ。
機会があれば、また妾の用意したゲーム盤を
読みに来るがよい。","*giggle*... I've had a lot of fun, Nao. If another chance arises, it would be grand if you came again to read another game board I put together.",,,,,,,,,,,
165,ベアトリーチェ,"そなたならば、大いに歓迎しよう。
……ただ、これ以上そなたに関わるには、
あの客人の許可が必要になるみたいだな。","If it's you, I would openly welcome you... But alas, you will have to deal with needing permission from that visitor, it seems.",,,,,,,,,,,
167,Nao (Casual),許可……？,Permission...?,,,,,,,,,,,
169,ベアトリーチェ,"ふむ……また暴れられぬうちに
そなたの記憶を消す魔法でもかけるとするか。","Mhm... if he has another fit of rage, he may use magic to wipe your memory.",tohya........,,,,,,,,,,
171,ベアトリーチェ,"案ずるな。
目が覚めたら、そなたは元の場所に戻っていよう。","But do not fret. If you close your eyes, you will return to your original world.",,,,,,,,,,,
174,Nao (Casual),"……えっ、これで終わりっ？！
続きを読ませてくれるんじゃないの？！","...Huh, this is the end?! It's not gonna keep going on?!",,,,,,,,,,,
176,ベアトリーチェ,さあさ、思い出してご覧なさい……。,"Come, try to remember...",,,,,,,,,,,
184,Nao (Casual),ちょっと……！,Wait...!,,,,,,,,,,,
192,Nao (Casual),続きが気になるじゃないのっっ！！,I'm interested in how it continueeees!!,,,,,,,,,,,
200,Rika (Casual),えっ？,Huh?,,,,,,,,,,,
205,Satoko (Casual),ど、どうしましたの菜央さん。,"Wh-what happened, Nao-san?",,,,,,,,,,,
207,Hanyuu (Casual),"あぅあぅ、ここは図書館なのです。
静かにしないとダメなのですよ～！","Au au, this is the library. If you don't be quiet, it could get bad~!",,,,,,,,,,,
211,Rika (Casual),羽入も大声を出しているのですよ。,Hanyuu is also speaking in a loud voice.,,,,,,,,,,,
213,Hanyuu (Casual),はっ？！　ご、ごめんなさいなのです……。,"Huh?! I'm, I'm sorry...",,,,,,,,,,,
217,Nao (Casual),あ、えっと……あたし、今、寝てた？,"Ah, umm, was I sleeping, just now?",,,,,,,,,,,
221,Rika (Casual),"みー。沙都子に読書感想文の書き方を
教えて書き上がるのを待っている間、
菜央はうとうとしていたのですよ。","Meep. While we were waiting for you to teach Satoko how to improve her writing in her book report, Nao got sleepy.",,,,,,,,,,,
225,Satoko (Casual),"も、申し訳ありませんわ……
私が時間をかけたせいで、
菜央さんに退屈をさせてしまって……。","My, my apologies... because I took so much time up, Nao-san had gotten bored...",,,,,,,,,,,
227,Nao (Casual),あ、別に謝ることないと思うけど……。,"Ah, I don't think you really have to apologize but...",,,,,,,,,,,
231,Hanyuu (Casual),"それにしても、続きが気になる……とは
何のことですか？","At any rate, ""I'm interested in how it continues""... what was that about?",,,,,,,,,,,
233,Nao (Casual),"え？　え、えっと……なんだったかしら。
夢の中で面白い本を読んでいた気がするんだけど。","Huh? U-umm... I wonder what that was too? I feel like I was reading an interesting book in the middle of my dream, though.",,,,,,,,,,,
235,Nao (Casual),…………。,............,,,,,,,,,,,
239,Satoko (Casual),菜央さん？,Nao-san?,,,,,,,,,,,
241,Nao (Casual),"……ね、沙都子。感想文を書くのに
時間がかかるんだったら、
ちょっと本を借りてきていいかしら。","...Hey, Satoko. Even if it takes a bit to write a report on my opinion of the text, I would like to check out a book for a bit.",,,,,,,"*""book report"" 読書感想文 dokushokansoubun, as a term includes the kanji 読書 dokusho, which means ""the process of reading"". Here, Nao uses the word ""kansoubun"" 感想文 reflecting off the usage of 感想 kansou, ""opinion"" during the Beatrice dream",,,,
243,Satoko (Casual),"付き合っていただいているのは
こちらですし、それは結構ですが……
読みたい本でもありましたの？","I was the one following along with you, but that's fine... was there a book you would like to read?",,,,,,,,,,,
246,Nao (Casual),えぇ、ミステリーが読みたいと思ってね。,"Yes, I believe I would like to read a mystery.",,,,,,,,,,,
250,Hanyuu (Casual),あぅ……ミステリー、ですか？,Au... Mystery?,,,,,,,,,,,
252,Nao (Casual),"なんだか急に、ミステリーの勉強を
したくなってきちゃったのよ。","All of a sudden for some reason, I've started to want to study the mystery theme.",,,,,,,,,,,
254,Nao (Casual),"とりあえず、有名なミステリー小説を
いくつか借りてみようかしら……。","For now, let's see how many famous mystery novels I can check out...",,,,,,,,,,,
258,Rika (Casual),みー、どういう風の吹き回しですか？,Meep. Where did this come from?,,,,,,,,,,,
260,Nao (Casual),"なんとなく、よ。
ただその方が、夢の続きを見た時に
楽しめる気がするのよ。",Just randomly. I have a feeling it would be more enjoyable to see the rest of my dream like this.,,,,,,,,,,,
262,Nao (Casual),気がするだけだけど、ね。ふふっ。,"But it's just a feeling, yeah? *giggle*",,,,,,,,,,,
