chara062008_01.bytes,chara,jp,en,
94,Satoko (高校生夏服),"その点では「あの子たち」も、心を許して
お付き合いできるいい方たちでしたわ。","That's also the reason that I could find mutual trust and understanding with ""those kids""; they were good company.",
96,Rika (高校生),"楽しかったわね……雛見沢分校の、放課後の部活。
今でも時々、夢に見ることがあるわ。","Club activities after school in Hinamizawa sure were fun, weren't they...? Even now I still have dreams about it from time to time.","**were fun, this is a plural (ty!"
98,Satoko (高校生夏服),"私なんて、ほぼ毎日でしてよ。
まぁそれは裏を返すと、ルチーアでの生活に対する
不満がたまっているということなんでしょうけど。","I have them almost every day. Well, on the flipside, it probably means I'm accumulating more and more reasons for me to be dissatisfied by the lifestyle at Lucia, though.",
100,Rika (高校生),沙都子……。,Satoko...,
102,Satoko (高校生夏服),"もう、だからその顔はやめてくださいまし。
あなたと一緒にルチーア学園へ行くと言い出したのは
私で、選んだのも私。あなたに責任はありませんわ。","Jeez, like I said, stop making that face already. I chose to go to St. Lucia together with you too. You hold no responsibility for that.",
104,Satoko (高校生夏服),"……とはいえ、あの噂に聞く反省室という名の独房に
放り込まれるようなことがあれば、多少の後悔は
感じてしまうのかもしれませんけどね……。","...That said, if I were to get thrown into one of the cells at the infamous reflection room, I'd probably feel a bit of regret then...",so-called? so-rumoured is not a common phrase
112,Satoko (高校生夏服),"（大丈夫……まだ、今のところは平気でしてよ。
ただ、このままだと自分の心が擦り切れるか
焼き切れるか……破裂一歩手前なのも確かですが）","(It's alright... I'm still doing fine for the time being. It's just at this rate, my heart is going to wear away or burn up... whatever it does, it's clear it's on the brink of collapse.)",
120,Satoko (高校生夏服),"なんとか、打開策を探さないといけませんわね。
さて、そんなうまい手があるといいんですけど……。","I have to find a way to break out of this situation, or else.
Well, it'd be nice if I had any ideas to boot, though...",
122,Rika (高校生),"だったらいっそのこと、ルチーアでも分校でやった
部活を立ち上げてみるってのはどう？",Then how about we start up club activities here at Lucia just like we did in Hinamizawa?,
124,Rika (高校生),"いきなりクラブの結成は無理でも、同好会くらいは
先生の承認を得られたら可能だそうよ。","It'll be tough forming a club right away, but if we get permission from a teacher, we might be able to find like-minded people.","like-minded people change to -> club. 'it can be possible for us to form a club.'    even if doukoukai is translated in the literal sense to that, in english it's kinda awkward, imo. see the official translation of Love Live! Nijigasaki Gakuen School Idol Doukoukai for example"
126,Satoko (高校生夏服),"それでしたら実は一度、ものは試しにと
似たような申請をしたことがあるんですのよ。
そうしたら……。",About that... I actually already put in a similar request once to see if it would work. So it's...,edited
128,Rika (高校生),……なんて返されたの？,...What was their reply?,
131,Satoko (高校生夏服),"学業と関係のない課外活動は認められない、との
一点張りでしたわ。「そんな暇があったら勉強しろ、
あなたの成績は～」というお小言のおまけつきで。","She was so closed-minded about it that she kept saying they don't accept extracurricular activities that aren't involved with studies. She basically shut it down with, ""If you have grades like that, you'd better study using your free time...""",
133,Rika (高校生),"勉強以外のことをするから、課外活動なのにね……。
この学園の先生たちは私たちにどんな成長を
させたいのか、わかんなくなってきたわ。",But they're extracurricular {i}because{/i} you do things outside of studying... I'm completely lost on how the teachers here at the academy want us to grow.,
135,Satoko (高校生夏服),"いわゆる、良妻賢母が理想なんでしょうね。
夫の言うことに従い、舅姑に気に入られて、
優秀な子供を産んで、育てる……。","Probably into that so-called ""good wife and wise mother"" archetype. Does what the husband says, earns the favor of the in-laws, gives birth to and raises an excellent child...",*
137,Satoko (高校生夏服),"要するに、個性というものを軽視どころか
不要とすらみなしている姿勢が透けて見えますわ。
それはもはや、奴隷でしかありませんのにね。","In short, it's evident that their stance makes light of developing an individual personality, even to the extent of deeming it as unnecessary. At that point, you're already their slave.",
139,Rika (高校生),"クラスメイトのみんなも、それを全く疑問に
感じるどころか、唯々諾々と従っているわね……。
時々だけど、心配になることがあるわ。","None of our classmates feel as if they have to question it at all either, so they submissively obey... Sometimes I worry for them.",
142,Satoko (高校生夏服),"全くですわ。誰かの支配下でなければ
何もできない頭でっかちの方々は、
いったいどんな未来を思い描いておられるのか……。",You said it. What kind of future do these stuck-up masses even have in their heads if they can't do anything without someone controlling them...?,
144,Satoko (高校生夏服),"まぁ、落ちこぼれの私がこんなことを申しても
負け犬の遠吠えにしか聞こえませんけどね。","Well, these {i}are{/i} complaints coming from the likes of a dropout loser like me.",shortened
146,Rika (高校生),…………。,............,
148,Satoko (高校生夏服),"あ、でも……雛見沢分校で一緒に勉強した
「あの子たち」は、頭が良くてもこの学園の方々とは
ちょっとタイプが違っていましたわね。","Ah, but... ""those kids"" that we studied with in Hinamizawa had their heads screwed on better than them. They'd be different from the bunches of people at this academy.",
150,Rika (高校生),"……？　ねぇ沙都子、さっきから言っている
「あの子たち」って、魅音やレナ、圭一のこと？","...? Hey, Satoko, you've been saying ""those kids"" a few times. Do you mean like Mion, Rena, and Keiichi?",
152,Satoko (高校生夏服),"違いますわよ。
勉強がすごくおできになった、美雪さんと
菜央さんのことですわ。","Not at all. I'm talking about those two with amazing study skills, Miyuki-san and Nao-san.",
160,Rika (高校生),美雪……菜央……。,Miyuki... Nao...,
