event01_34_04.bytes,,Lloro - QC,,
63,赤坂 (ゲームマスター),"だけど、そんな君が傷つくのは
みんな自分が傷つくより辛いと思うよ。
もちろん私もね。","I feel as though letting yourself get hurt will be more painful to everyone else, of course, myself included.",
65,Miyuki (Casual),あ……。,Ah...,
67,赤坂 (ゲームマスター),"私だって、いつまでも弱いつもりはない。
だから、少しは大人を頼ってくれると嬉しいよ。","Even I don't plan on being weak forever.
So, depend on the grown-up just a little bit and he'll be happy.",
69,Miyuki (Casual),……わかりました。気をつけます。,...Understood. I'll be careful.,
72,,"赤坂さんの忠告に、素直に頷く美雪ちゃん。
顔には出さないように装っているようだけど、
……隠しきれない嬉しさがにじみ出ていた。",Miyuki-chan nodded obediently to Akasaka-san's advice. It was like her face was pretending not to be... but happiness was still written all over it.,
73,,"きっと、娘だと名乗れなくても……
お父さんと一緒にいられることに
幸せを感じているんだろう。",Even without having to reveal it... being together with her father clearly does bring her great joy.,
76,Kazuho (Casual),（……よかったね、美雪ちゃん）,"(...Isn't that nice, Miyuki-chan?)",
78,,"その光景は、微笑ましくて素敵なものだ。
ただ、どうしても気になったのは……。","What a pleasant and lovely scene.
But what's been bothering us up until now was...",
82,Nao (Casual),"あの……赤坂さん、
その格好はどうしたんですか？","Um... Akasaka-san.
What's up with that outfit?",
84,赤坂 (ゲームマスター),"あぁ、これかい？　借りた『ロールカード』を
使ったら、こんな感じになったんだよ。","Ah, this? When I used the {b}Role Card{/b} you lent me, it changed me into this.",
88,Satoko (Casual),……なんだか戦人さんと似たような格好ですわね。,"...It looks quite like Battler-san's outfit, doesn't it?",
92,戦人,言われてみれば、俺の服とそっくりっすね。,"Now that you say it, it looks {i}just{/i} like my suit, huh?",
94,赤坂 (ゲームマスター),あ、すまない、気分を害してしまったかな？,"Ah, sorry. Does it offend you?",
99,戦人,"いやいや、まったく。
なんか兄貴が増えたみたいで、
悪くないっすね。ひっひっひ！","No, no, not at all. Kinda looks like I have an older brother now. Not bad! Ihihihi!",
101,戦人,"しかし……どういうことだぁ？
俺は『ロールカード』を使ってみても、
服とか変わった感じがしねぇ。","But... that's funny? Even when I used a {b}Role Card{/b}, my clothes and stuff didn't do jack.",
103,戦人,"ちぇー……せっかくなんだし、
もっとこう……テンションが上がるような
すげぇ格好に変身したかったモンだぜ。",Tch... I was hoping for something more like... a sick transformation into a tension-raising outfit!,
108,Hanyuu (Casual),どんな格好がいいのですか？,What kind of outfit would you like?,
110,戦人,んー、そうだな……。,"Mmm, good question...",
114,Satoko (Casual),"鎧や甲冑なんていかがかしら？
防御力はかなり高いと思いましてよ～！","What about a breastplate and a helmet? 
I feel that would raise your defensive stats quite a lot~!",
118,Mion (Casual),"でも、この山の中だと動きにくいんじゃない？
やっぱり軽装の方がいいと思うよ、私はさ。","But wouldn't that make it difficult to move around in the mountains?
For me, I think light armor would definitely be the better way to go.",
122,Rena (Casual),"はぅ……レナはかぁいいのがいいと思うよ！
クマさんの着ぐるみとかどうかな？　かな？","Hau... Rena thinks something kyute would be best!
Maybe a big Mr. Bear suit, Bear suit?",
124,Mion (Casual),……動きやすさからさらに離れているよ？,"...That's even worse in terms of mobility, though?",
130,Satoko (Casual),"それに、戦人さんが着ぐるみを着て
頭を入れたら、２メートルを超えましてよ？","If Battler-san put a big bear head on, wouldn't he pass 2 meters in height?",
132,Nao (Casual),"……着ぐるみじゃなくて、
本物の熊みたいになりそうだわ。","...At that point, he would make it look like it was an actual bear instead of a guy in a costume.",
137,Mion (Casual),"猟友会の人が目撃したら、
間違えて発砲してきそうだねぇ。","If someone from the hunters' club caught sight of him, they'd probably mistake him for one and gun him down on the spot, huh?",
142,Rika (Casual),"みー、やはり軽装がいいと思うのですよ。
全裸とか……くすくす。","Meep. I think light armor would definitely be best then.
Butt-naked light... *giggle*.",
144,Mion (Casual),"敵に裸一貫でぶつかっていく……
うん、絵的にすごみはあるね。","Encountering a completely butt-naked enemy...
Yeah, visually speaking, that's pretty intimidating.",
148,Satoko (Casual),"山奥で出会ったら『ツクヤミ』でなくても、
速攻で逃げ出したくなりますわ……！","If you encountered something like that in the back mountains, you'd want to make a break for it even if it wasn't a {b}Tsukuyami{/b}...!",
152,Hanyuu (Casual),"は、裸んぼさんはさすがにダメだと
思うのですよ！　せめて、下着くらいは……！","I-I feel like seeing a completely naked child would be way too scary!
At least put some underwear on...!",
161,Mion (Casual),ブーメランパンツ、１丁？,Or a pair of speedos?,
168,Nao (Casual),"……どうしてかしら。
想像したら、全裸より悲惨度が増したような……。","...I wonder why, but...
...that feels even more atrocious than encountering someone naked...",please do not delete the why but
173,Rena (Casual),"あっ、それならバレリーナの衣装とかは
どうかな、かな？","Ah, then perhaps how would a ballerina outfit be, outfit be?",
175,Mion (Casual),あぁ、股間から白鳥の首が生えているやつだね！,"Yeah, then the beautiful swan underneath can stretch out its long neck!",
179,Satoko (Casual),"それって、バレリーナですの？
……大きな白鳥になりそうですわ。","Is that what a ballerina is?
 ...He'd likely become quite the massive swan.",
183,Rika (Casual),みー、きっとダチョウサイズなのですよ。,Meep. Maybe even ostrich size.,
189,戦人,…………。,............,
191,,"みんなの衣装談義が盛り上がる中、
戦人さんの肩がずずぅん、と下がって
表情も悲しいものになっていく……？","While everyone was getting pumped up in their clothing discussion, Battler-san drooped his shoulders in defeat. Even his face is starting to look sad...?",
195,戦人,"おいおい……。もしかして俺って
嫌われてたりするのか？","Hey...
Do you guys hate me or something?",
197,Kazuho (Casual),"えっ？！
な、なんでそんなことを……？",Huh?! W-Why would you think that...?,
201,戦人,"そりゃあよぉ……カッコイイ衣装かと
思ったら、こんな罰ゲームみたいな
衣装案ばっか出てくるんだぜぇ？","Maybe 'cuz... I thought we'd talk about a sick set of armor I'd wear, but it turned into a game where you keep suggesting all these different punishing costumes?",
203,戦人,"それともこれが、この#p雛見沢#sひなみざわ#rの連中の
洗礼ってやつなのか……？！",Or is this some type of initiation into Hinamizawa...?!,
206,Kazuho (Casual),す……すみません！　すみません！,I'm... I'm sorry! I'm sorry!,
209,,"困惑する戦人さんの問いにいたたまれなくて、
私はぺこぺこと頭を下げる。","I bow repeatedly to Battler-san, who had asked that question out of sheer embarrassment and annoyance.",
210,,"確かに、まだ会って間もない人を
ここまで遠慮なくイジるのは失礼を通り越して、
冒涜といっても過言ではないかも……。",It definitely might not be much of an exaggeration to say that it's pretty rude to bully someone we just met this freely...,
216,圭一 (Casual),"お、おいお前ら！
さすがに村の外の人なんだから、
少しは手加減して……。","H-Hey, you guys! He's not from the village, so lay off on him, will ya...?",
224,Rika (Casual),"……みー。
圭一が寂しんぼさんをしているのですよ。",...Meep. Keiichi's jealous.,
226,圭一 (Casual),えっ……？,Huh...?,
229,,"そんな梨花ちゃんの一声が上がった途端、
ぐるん、とみんなの視線が前原くんに集中っ？！","The very moment Rika-chan let out those two words, {i}swwwoooop{/i}!
Everyone turns over and fixes their gaze on Maebara-kun?!",
233,Satoko (Casual),"あら、圭一さん。
戦人さんが話題の中心になって、寂しいんですの？","My, Keiichi-san.
Battler-san becomes the center of attention, and now you're lonely?",
236,Mion (Casual),"そっかそっか、よーし！
みんな、続いて圭ちゃんの衣装を考えようか！
くっくっくっ……！","Right, right, okaaaay!
Everyone, let's continue this clothing conversation with Kei-chan in mind! *cackle*cackle*cackle*...!",
242,Rena (Casual),"はぅ～！　レナはやっぱり、圭一くんは
かぁいい服がいいと思うな！",Hau~! Rena really thinks Keiichi-kun would look best in kyute clothes!,
250,圭一 (Casual),えっ、えっ、えっ？！,W-w-whaaat?!,
257,Kazuho (Casual),（話題の中心が、前原くんにシフトっ？！）,(The center of attention has shifted to Maebara-kun?!),
261,Mion (Casual),"おじさん、圭ちゃんに着せるんだったら
いかにもラブリーな、フリフリ系がいいと
思うんだよね！","If we're making Kei-chan wear something, this ol' man indeed thinks a lovely, frilly dress would do wonders!",
268,圭一 (Casual),んなっ？！,Huuuh?!,
276,Satoko (Casual),"フリフリ系……メイド服でしたら
監督に相談、あるいは菜央さんに頼めば
すぐにでも用意していただけそうですわ。","If it's a frilly maid outfit... we could discuss it with the Coach, and if we ask Nao-san, she could probably prepare one in no time at all.",
278,Rika (Casual),"戦人と圭一、お揃いでメイド服も
いいと思うのですよ。にぱー。",I think Battler and Keiichi being in maid outfits together would be nice too. Nipah~,
282,Hanyuu (Casual),"あぅあぅ、でも圭一はともかく、
戦人サイズのメイド服はあるのでしょうか？","Au au, setting Keiichi aside, I wonder if they have maid outfits the size of Battler out there?",
286,Nao (Casual),"監督だもの、きっとあるわよ。
多少の寸法だったら、あたしが調整できるしね。","The Coach has one for sure. If the measurements are a bit off, I can adjust it myself too.",
290,Rena (Casual),"はぅ～、お揃いのメイド服！
監督、どんなお洋服選んでくれるかな？　かな？
わっくわく、わっくわく！","Hau~, maid outfit besties! 
Maybe the Coach will pick out some Western style ones for them, for them? Heehee, heehehehe!",
299,圭一 (Casual),"ま、待て待て待てっ！
なんで、俺まで巻き込まれてるんだよ？！","H-Hold on, hold on!
Why am I getting dragged into this now?!",
307,Mion (Casual),"あとはスカート部分か……
おじさんはミニがイチオシだね！","Now we just gotta figure out the bottom half...
This ol' man highly recommends wearing a miniskirt, y'know!",
309,Rena (Casual),"はぅ～っ♪
じゃあレナは、ロングスカートに１票！","Hauuuu~♪
Rena will put in one vote for a long skirt, then!",
313,Satoko (Casual),"スカートの長さに加えて、デザインも重要ですわ。
昔ながらのものか、あるいは……。","Other than the skirt's length, the design is also incredibly important.
Maybe we could do old-fashioned ones...",
317,Rika (Casual),"大胆に、スリットありも似合うと思うのですよ。
足の付け根まで、肌が見えていたり……くすくす。","I think a bold skirt with a slit in it would match them nicely.
Make it go all the way up to the base of the leg so you can see everything too... *giggle*giggle*.",
321,Hanyuu (Casual),"あ、あんまり寒そうな格好は
よくないと思うのですよ……あぅあぅ。",I-I don't think a get-up you could get cold in would be very nice... au au.,
330,圭一 (Casual),"お、おいおい……！
なんか、俺たちにメイド服を着せる方向で
話がまとまりかけてないか？！","H-Hey...!
Are you done trying to put us in maid outfits or not?!",
337,Kazuho (Casual),あ、あわわっ……！！,A-Ahhh...!!,
339,,"みんなの意見はヒートアップする一方。
でも、私なんかじゃとても止められない……！","Everyone just keeps rolling with it.
But I have no idea how to make them stop...!",
342,Kazuho (Casual),"（そ、そうだ……美雪ちゃん！
この空気を変えられるのは、彼女しかいない！）","(Th-that's right... Miyuki-chan!
The only person who could change the topic is her!)",
344,Kazuho (Casual),み、美雪ちゃん……！,Mi-Miyuki-chan...!,
346,,期待とともに、背後を振り返る――がっ！,"Just as I expected, everyone turns their heads towards-- me?!",
351,赤坂 (ゲームマスター),"いやいや……美雪さんは実に頼もしいね。
あんな怪物たちを相手にしても一切怯まず、
すばらしい度胸の持ち主だ。","No, no... You're seriously reliable, Miyuki-san.
You got some guts going after all of those monsters without even flinching.",
353,赤坂 (ゲームマスター),"確か以前、警察官志望と言ってたね。
将来は私の部下に欲しいくらいだよ。","Earlier, you said you aspire to be a police officer, right?
I'd love for you to be my subordinate down the road.",
357,Miyuki (Casual),"ほ、本当ですかっ？
い、いやぁ～、おと……赤坂さんに
そう言ってもらえると嬉しいです。","R-Really?! A-Ahaha~, I'm glad to hear you say that, Da-... Akasaka-san.",
361,,"……楽しそうに赤坂さんとお喋りしていた。
その一方で、第三者の介入を遮断するような
オーラを全身から放っている。","...She seemed like she was having fun chatting with Akasaka-san.
On the other hand, my whole body gave off the aura of a third wheel cutting in.",
363,,"もし口を挟むようなことをすれば、
おそらく言葉の前に手が出る……きっと出るッ！","And if I did cut in, she'd likely resort to violence even before I got a word out... no, definitely!",
370,Miyuki (Casual),"私、頑張って警察官になりますね！
町の平和を守りますっ！","I'll do my best to become a police officer!
I'll preserve the peace of city life!",
377,Kazuho (Casual),"（町の平和より、先に温泉街の平和を守ってよ
美雪ちゃんっ！　このままだと、戦人さんの
雛見沢に対する印象が最悪になっちゃうよぉっ！）","(Rather than city life, focus on the hot spring district first, Miyuki-chan! At this rate, Battler-san is going to end up having the worst possible impression of Hinamizawaaa!)",
380,Kazuho (Casual),"（視察に来たのに、女装させられた記憶だけが
戦人さんのお土産になっちゃうでしょ～！！）",(The only thing Battler-san will be able to take back as a memory from inspecting this place is them trying to dress him in female clooothes~!!),
385,戦人,……あ～、圭一って言ったよな。,"...Ah~, you said it, Keiichi.",
387,圭一 (Casual),え、あっ、はい。,"Huh, uh, yeah.",
389,戦人,"女三人寄れば、かしましい……とは言うけど
ここまで集まるともはや、カオスと思わねぇか？",You say three women make a madhouse... but I didn't think having this many together would make it this chaotic?,
391,圭一 (Casual),"大丈夫ですよ。いざという時は一蓮托生……
１人で女装の辱めを受けさせたりはしません。","It's all good. When push comes to shove, we'll be in the same boat... and we won't have to deal with the shame of being in women's clothes alone.",
393,戦人,"お、おいおい……大丈夫かよッ？
なんか目が遠くなってるじゃねぇか？！","H-Hey... Are you sure it's all good?
Aren't you getting kinda near-sighted on this?!",
395,圭一 (Casual),"まぁ、こうなったあいつらは止められないので、
受け入れた方がいいと思いますね……。","Well, now that it's gotten this far, these girls can't be stopped, so I think it'd be better to take it as is...",
397,戦人,"圭一は……あんなにパワフルというか、
エネルギッシュでアグレッシブな女の子たちと
毎日一緒に過ごしてるっていうのか？","Keiichi... you've really been spending time with such powerfully energetic and aggressive girls day in, day out?",
399,圭一 (Casual),"あ、あははは……ちょいと事情があって
毎日というわけではありませんけどね。","A-Ahahaha... This stuff does come up, but it's not every {i}single{/i} day.",
401,戦人,"いやぁ～、素直に感心するぜ……
俺だったら絶対、１日で根を上げてらぁ。","Haha~, I'm honestly impressed...
If it were me, I'd absoluuutely get pissed day one.",
403,圭一 (Casual),"えっ、そうですか？
いやー、慣れれば結構楽しいですよ。","Huh, really? Nah, once you get used to it, it's actually pretty fun.",
405,圭一 (Casual),"あいつらって本能に忠実ですから、
下手に勘ぐったりする必要がありませんしね。","They mean well, so there's no need to get bent up over it.",
408,戦人,"いっひっひっひ！気に入ったぜ圭一！
今日は俺の泊まっている宿に来ねぇか？
夜通し語り明かそうぜ！","Ihihihi! You're cool, Keiichi!
Wanna come to the room I'm staying at? We can chat it up all night!",
410,圭一 (Casual),いいっすね！,"Yes, sir!",
413,戦人,"おいおい、水臭ぇぞぉぅ！！
俺たちの間に、敬語は抜きだぜ！","Hey, hey, just relax!! When it's just us dudes, there's no need for formalities!",
415,圭一 (Casual),はい……じゃねぇや、おう！,"Yes, si-... I mean, gotcha!",
419,？？？？,わははははははは！！！,Wahahahahahahaha!!!,
430,縁寿,……楽しそうね、お兄ちゃん。,"...That looks fun, Onii-chan.",
432,縁寿,"バケモノが出るようなおかしな世界なのに、
なんでこんなに楽しそうにできるのかしら。",I wonder how they can have so much fun in this strange world full of monsters.,
434,縁寿,…………。,............,
