event01_34_01.bytes,,Llorona - TL,,
632,戦人,ひ、ひぃいいぃぃぃぃいいい！！,"Hiiih, hiiiiiiiiiihhhh!!",
637,,"ギチギチと関節を鳴らす『ツクヤミ』たちの前で、
地面に尻餅をついているのは……。",The {b}Tsukuyamis'{/b} joints creaked and rattled as they creeped towards someone fallen over on the ground...,the jp wording is kind of hard to do in english
644,戦人,"な、なんだこれ？！
いや本当に、なんなんだよ？！","Wh-what is this?! No, seriously, what is going on?!?",
651,Kazuho (Casual),ばっ、戦人さん！,Ba-Battler-san!,
658,戦人,うぉっ？！,Uooh?!,
663,,"声をかけると、戦人さんが振り返り
私を見つけると目に涙を浮かべながら叫んだ。","When I called out to Battler-san, he turned his head to find me, yelling out with tears in his eyes.",
667,戦人,"あ、あんたはさっきの……？！
こ、こっちに来るんじゃねぇ！！
逃げろ、早く――っ！！！",Y-You're the one from before...?! D-Don't come any closer!! Run! Noooow!!!!,
669,Kazuho (Casual),"（自分が襲われそうなのに、
私の心配をしてくれてる……？）","(Even when he's about to get attacked, he's worried about my wellbeing...?)",
671,Kazuho (Casual),"（い……いい人だ、やっぱりいい人だよ！
こんな人を死なせたら、絶対に駄目だッ！）",(He... He's a great person. He's actually a great person! I absolutely cannot sit here and let someone like that die!),
673,Kazuho (Casual),大丈夫です！　任せてください！,It's alright! Just leave it to us!,
675,戦人,"ま、任せるって……
こんなのどうするつもりなんだ？！",L-Leave it to you...? What could you possibly do against that?!,
679,,"悲鳴めいた叫び声が聞こえた直後、
背後から複数の足音が響いてくる。","The very second after he cried out those words, I hear the sound of numerous footsteps coming from behind.",
683,圭一 (Casual),うわっ、うじゃうじゃいるぞ？！,"Woah, they're coming in hordes?!",
685,Nao (Casual),モテてるわね……『ツクヤミ』に。,Guess he's pretty popular with {b}Tsukuyami{/b}... never mind ladies.,
689,Satoko (Casual),"こんな時に、ジョークを飛ばしている
場合ではございませんわーっ！",Are you really joking around at a time like this?!,
693,Rika (Casual),そこの人、下がるのですよ！,"You over there, get out of there, now!",
698,戦人,な……なんだ、なんだぁ？！,Wh-... what is this?! What is thiiis?!,
705,Mion (Casual),"みんな、戦闘準備っ！
あの人を助けるよっ！！","Battle positions, everyone!
We're saving this guy!!",
712,？？？？,おーっっ！！,Yeaaaahhhhhh!!!,
715,戦人,えっ、えっ？,Wh-... huh?,
719,戦人,えぇぇぇえええぇぇえええええーっ？！,HHHUUUUUUUUUUUUUUHHHHH?!?!,
728,縁寿,ちょっ、ちょっと待って……！,W-Wait a sec...!,
730,縁寿,"魔女や黒山羊より、下手するとあれの方が
ずっとファンタジーじゃない……！",This comes nowhere close to the kind of fantasy with witches and goats...!,
732,縁寿,どうなってるのよ、この世界は……？,What is happening in this world...?,
