event01_34_05.bytes,,Llo,,
121,圭一 (Casual),"胸から腰にかけて、足のラインが
一直線で繋がるあのライン……！
あれは貧乳だからこそ持ち得る美点だと俺は思う！","From the chest, down to the waist, and even all the way down to the legs, it perfectly goes down in a straight line...! I believe that's a beauty that you can only behold with the unendowed!",
122,戦人,"なるほど、ミクロな視点じゃなくて
マクロな視点で見てるってぇわけか。
なかなか悪くねぇ……！","Gotcha. You're focusing on the big picture, not just a small bit of it. Not bad at all...!",
124,圭一 (Casual),"そうだ！　あと、将来性も見逃せない！
現在の完成形を愛でるのもいいが、
成長を逐一見届けることで愛着もさらにドン！","Exactly! And plus, you can't overlook the future either! 
It's good to cherish their current form too, but watching them gradually form up over time will get you even more attached!",
126,圭一 (Casual),"おっぱいソムリエだったら、
貴腐ワインだけでなくヌーヴォーの熟成を
期待するのもこだわりってものじゃねぇか？！","If boobs were a wine and you were a wine connoisseur, wouldn't you be fastidious over how your Boobjolais Nouveau ages, and not just your Caboobnet Sauvignon?!?!",
127,戦人,"いっひっひっひ！　さすが圭一！
やっぱりお前は、俺が見込んだだけの逸材だぜッ！","Ihihihi! Atta boy, Keiichi! That’s the prodigy I've been counting on!",
128,戦人,"となると……つまりだ。
これからは今ここにあるおっぱいだけじゃねぇ、
未来のおっぱいにも目を向けるべきだと……！","So, really... it all comes down to this.
From here on out, not only should we check boobies out as they are now, but we should continue observing them grow as time goes on...!",
129,圭一 (Casual),そうだぜ！　例えば、貧乳と言えば――。,"You got it! So for example, if we're talkin' itty bitty titties--...",
136,Kazuho (Casual),わっ？！,Aaahh?!,
141,,"ぱしゃ、と音がして耳元が塞がれる。
振り返ると、……表情の消えた美雪ちゃんが
私の後ろに回り込んでいた。","I heard something shifting towards me in the water.
I looked over... and saw Miyuki-chan moved over behind me with a blank expression.",
145,Miyuki (Casual),"……聞かない方がいいよ、一穂。
なんか、話が過激になってきたからさ。","It's better if you don't listen in, Kazuho. The conversation's kinda getting extreme.",
147,Kazuho (Casual),えっ……あの、その……？,"Eh... uh, um...?",
150,,"どういう意味なのかはわからなかったけど、
神妙なその口調に逆らうのはまずいと思って
とりあえず言う通りにする。","I have no idea what she meant, but I feel going against that mysterious tone of voice might be bad, so I'll just listen to her for now.",
151,,"そのおかげで、前原くんたちの声は
聞こえなくなったけど……近くの子たちの声は
普通に聞き取れることができた。","Because of that, I started to hear Maebara-kun and Battler-san's voices less... and was able to make out the girls' voices instead.",
157,Mion (Casual),け、圭ちゃん……。,K-Kei-chan...,
161,Rena (Casual),は、はぅぅ……。,H-Hauu...,
164,,"魅音さんとレナさんの顔が、
みるみる真っ赤に染まっていく。",Mion-san and Rena-san's faces turned bright red right away.,
167,Kazuho (Casual),な、何の話をしてるの……？,W-What kind of conversation are they having...?,
172,Satoko (Casual),……知らない方がいいですわ。,...It'd be better if you didn't know.,
174,Rika (Casual),みー、一穂には刺激が強すぎるのですよ。,Meep. It would be too stimulating for Kazuho.,
178,Hanyuu (Casual),せ、せめて声を小さく……あぅあぅ……。,Th-they should keep their voices down at least... au au...,
184,Nao (Casual),……男って馬鹿しかいないの？,...Are all men this dumb?,
186,Miyuki (Casual),"んー、そうかそうか……
前原くんたちって、私たちのことを
そんな目で見てたんだ～……へぇ……。","Mmm, I see, I see... Maebara-kun and Battler-san were looking at us with those eyes of theirs~... Interesting...",
188,Miyuki (Casual),"……みたいな気持ちなんだけど、
これはどうしたらいいと思う？","...They want to take a peek, but what do you think we should do about that?",
192,Satoko (Casual),"言いたいことはわかりますわ。
私も、今すぐ手元の風呂桶をありったけ男湯に
投げ込んでやりたい気分ですもの。","I know what you want to say.
I'm also in the mood to fill my bathing bucket as high as possible and toss it into the mens' side this very moment.",
196,Hanyuu (Casual),ほ、他のお客さんに当たったら危険なのですよ！,"I-If other customers tried doing that, it would be really dangerous!",
198,Satoko (Casual),だから、我慢をしているのでしてよ？,So do we just try to endure it then?,
204,Mion (Casual),"……とりあえず、男風呂の会話は
聞かなかったことにしよう。","...In any event, let's just pretend we didn't hear that locker room talk.",
207,Miyuki (Casual),"そうだね……。
もし私たちのところにまで聞こえてたと知ったら
前原くん、きっと合わせる顔がなくなるだろうね。","Yeah...
If Maebara-kun knew that we could hear everything from our spot, he'd lose all desire to make eye contact with us without a doubt.",
211,Rena (Casual),"はぅ……もしわざと聞かせてるんだとしたら、
どうすればいいのかな？　かな？","Hau... what could we possibly do if he was making it so we could hear them on purpose, on purpose?",
216,Hanyuu (Casual),そ、それはそれでタチが悪いのですよ……！,Th-that would be way too vicious...!,
220,Nao (Casual),打ち首獄門ね。,Electric chair.,
224,Satoko (Casual),市中引きずり回しの刑ですわ。,We'd drag them up and down town as punishment.,
228,Rika (Casual),"みー。
お馬さんでぱかぱか、ずるずるなのですよ。",Meep. Mr. Horsie goes clippity clap and they go slippity slide!,
232,Kazuho (Casual),それ、西部劇が入ってるんじゃ……？,Was that a Western movie reference...?,
236,Nao (Casual),"これが俺流のコミュニケーションだ、とか
抜かす阿呆には、こちら流の仁義と仕置きを
叩き込んでやるべきね。","We should meet their gross, idiotic masculine talk with our righteous feminine justice.",
244,Mion (Casual),"……ここにいる全員に言っておくよ。
もしあの２人に胸を揉まれそうになったら、
顔面にこぶし叩き込んでやりな。連打も可だから。","...I say this for everyone here.
If either of those two start trying to grope at your chest, you drive your fist right into their face. A few times, if you like.",
251,？？？？,おーっ！！,Yeaaaahhh!!!,
252,,"男湯で２人の気持ちがひとつになった反動で、
女湯チームの結束が固まっていった……
実に攻撃的な方向に。",The womens' side uniting together in reaction to the feelings of the mens' side is... taking an aggressive turn.,
255,Kazuho (Casual),"（よ、よくわかんないけど……
なんとなく前原くんは当分、部活に
参加できないような気がしてきたよ……）","(I-I'm not too sure about this...
But I'm getting the feeling that Maebara-kun won't be able to participate in club activities for a while...)",
260,Kazuho (Casual),"そ、それにしても……
他のお客さんって、全然入ってこないね。","A-Anyways...
You aren't getting any other customers here, huh?",
262,Mion (Casual),"プレオープン中だから、
そもそも泊まり客がそこまでいないんだよ。
日帰り客は、明るいうちに入っていくしね。","We're still in the pre-opening phase, so we don't have enough guests staying here for that to happen in the first place. Day trippers only come when it's bright out, y'know?",
264,Kazuho (Casual),"そっか……あれ？
だったら、戦人さんのいとこさんは？","Oh, okay... Huh?
If that's true, then where's Battler-san's cousin?",
268,Miyuki (Casual),"こことは別に宿泊施設にも温泉があるだろうから、
そこの部屋風呂とかに入ってるんじゃない？","There's a lodging facility here too apart from the hot spring, so shouldn't there be personal bathing area?",
272,Mion (Casual),"いや、宿泊施設自体はある程度完成したけど……
部屋風呂付きの別棟はまだ工事中なんだよ。","Well, the lodging facility itself is basically complete... but the outhouse where the bathing area would be is still under construction.",
274,Kazuho (Casual),"じゃあ、もう少し待って大浴場に来てくれたら
会えるかな……？",Then I wonder if we'd be able to meet her here at the hot spring if we wait a bit longer...?,
276,Mion (Casual),"どうかなぁ……昼間に入りに来たってことは、
明日の朝、入りに来るかもしれないしさ。","Who knows... she could have went in earlier today, or she could even go in tomorrow morning.",
278,Kazuho (Casual),"そっか……ところで、私たちって
まだ朱志香さんって人と会ってないけど、
どんな人かな？","I see... By the way, we still haven't met this Jessica-san, but I wonder what kind of person she is?",
280,Mion (Casual),"戦人さんからは、お嬢様らしくないお嬢様って
聞いたけど……孤島をまるまる所持しているって、
すごい家のお嬢様だよね。",I heard from Battler-san that she's a rich girl who doesn't act like a rich girl... but she's the daughter of a super rich family that privately owns an entire island.,
282,Kazuho (Casual),（園崎家も、十分すごいと思うけど……）,"(The Sonozaki family is super rich in its own right, though...)",
284,Mion (Casual),"まぁ、うちとしても取引先のお嬢さんだったら
挨拶くらいはしておきたいところだね。","Well, if it's the daughter of our business partner, I would at least want to greet her.",
286,Kazuho (Casual),……そうだね。,...Yeah.,
294,,"……温泉施設から出てきた頃には、
みんなの顔から疲労がすっかりと
取れている感じだった。","...By the time we left the hot spring facility, everyone's faces gave off the impression that our fatigue had been completely washed away.",
298,Mion (Casual),"んー、いいお湯だった！
やっぱりここに来ると、
全身が生き返った感じがするよ～！","Mmm, what a great bath! Your body really will feel like you've been reborn after coming here~!",
308,Rena (Casual),はぅ～、お肌つるつるだよ～！,"Hau~, our skin is so smooth~!",
310,Rika (Casual),"……みー、レナ。ボクたちの肌をなで回して、
温泉の美肌効果を実感しないで欲しいのですよ。","...Meep, Rena. Please don't rub the hot spring's beautifying effects on our skin into oblivion.",
312,Hanyuu (Casual),"あ、あぅあぅあぅ！
これ以上もちもちされたら、ほっぺが
取れてしまうのですよ～！","A-Auauau! If we turned any more doughy, our cheeks would slide off~!",
314,Rika (Casual),"美肌マッサージにしては
刺激が強すぎるのです、みー。","The stimulation from getting massaged is way too powerful, meep.",
321,Miyuki (Casual),"……その歳で肌に気を遣うのは、
ちょっち早い気がするけどねー。","...I feel like it's a smidge fast to be worrying about skin at that age, though.",
323,Nao (Casual),"でも、肌のケアは若いうちから
やっておくに越したことはないそうだし……
あんたにも教えてあげましょうか？",But there's nothing better than taking care of your skin from a young age... Do you want me to teach you how?,
325,Miyuki (Casual),"んー、いいよ。
沙都子たちの方が興味ありそうだから、
そっちを優先してあげて。","Mmm, nope!
Satoko and the others look pretty interested in it, though, so go for them instead.",
329,Satoko (Casual),"あらっ、それはありがたいですわね。
次に来た時はぜひ、菜央さんから
ご教示をいただきたいですわ～♪","My, I'd love to hear about it. Next time we come here, I would very much like to be instructed by Nao-san~♪",
334,Kazuho (Casual),"うん、また来たいね。
……次は、女の子だけで。","Yeah, I wanna come again.
...Just with the girls next time.",
336,Kazuho (Casual),"（そうじゃないと、本当に前原くんが
市中引きずり回しの刑に処されそう……）","(If not, they may seriously drag Maebara-kun around town as punishment...)",
338,,"そんな未来は阻止しなきゃ……！
なんて決意を固めたその時、ふわり、と
隣の男湯の暖簾が動く。そして――。","As soon as I had the determination to think, ""I have to prevent that future from happening...!"", the curtain over on the mens' side moved lightly. And then--",
343,戦人,いやぁ～、いい湯だったな！,"Haha~, that was a sweet bath!",
345,圭一 (Casual),"いや、まったく！
戦人とは、また裸で語らいたいぜ！","Man, you said it! We gotta talk about nudity again sometime!",
351,Mion (Casual),"……。男２人は、なんかこう別の意味で
サッパリした顔で出てきたね。",...Those two have a refreshed look on their faces as if that meant something else.,
354,Rena (Casual),"は、はぅ……魅ぃちゃん、
言い方にトゲがあるんじゃないかな……かな？","H-Hauu... Mii-chan, was there maybe an edge to your wording... your wording?",
358,Rika (Casual),"みー、圭一にはしばらくの間
警戒が必要なのですよ。",Meep. Keiichi needs to watch his step for a bit.,
362,Kazuho (Casual),えっ……？　な、なんで？,Huh...? W-Why?,
366,Nao (Casual),はい、あんたは首をつっこまない。,"Yeah, better not get involved.",
372,圭一 (Casual),"おっ、女湯のみんなはもう出ていたんだな。
んで魅音、これからどうするんだ？","Oh, the girls already got out of their bath. So, Mion, what are we doing now?",
374,Mion (Casual),宿でご飯。あとは適当にのんびり……かな？,Dinner at the inn. Afterwards we can properly relax... I guess?,
378,戦人,お、いいな！,"Aight, nice!",
380,圭一 (Casual),旅館の飯かぁ、ワクワクするぜ！,"A traditional Japanese inn-style meal, huh? I'm psyched!",
384,Satoko (Casual),では、その後は恒例の枕投げですの？,"And after that, we have our customary pillow fight?",
388,Nao (Casual),食べた直後の運動は、ちょっと……。,Physical activity right after eating is... kind of...,
392,Mion (Casual),んじゃ、軽く休憩した後に枕投げってことで。,Then we'll pillow fight after a short rest.,
396,Hanyuu (Casual),あぅあぅ、楽しみなのですよ～！,"Au au, I'm looking forward to it~!",
398,Mion (Casual),"あ、そうだ。戦人さん、いとこさんって
先に宿でくつろいでいるんですよね？
よかったらその前に、ご挨拶を――。","Ah, that's right. Battler-san, before we relax at the inn, your cousin, right? If you'd like, we could go greet her before--",
403,赤坂,……あっ、右代宮くん！,"...Ah, Ushiromiya-kun!",
409,戦人,えっ……？,Huh...?,
415,,"その時、こちらに向かってすごい勢いで
走ってくる、切羽詰まったような顔をした
その人は――。","In that moment, a person making a face as if he was at wit's end appeared while running towards us, saying--",
419,赤坂,"みんなも一緒か……ちょうどよかった！
女湯に、右代宮朱志香さんはいたかい？！","Everyone's here together... perfect timing!
Was Jessica Ushiromiya-san in the womens' side of the spring?!",
422,Miyuki (Casual),えっ？　いえ、私たちだけでしたけど……。,"Huh? No, it was just us...",
424,赤坂,そうか……だとしたら、どこに……？,"Really... If so, then where is she...?",
428,戦人,あの、赤坂さん。どうかしたんですか？,"Uh, Akasaka-san, what's going on?",
432,赤坂,"……右代宮くん、落ち着いて聞いてくれ。
いとこの朱志香さんが、この時間になっても
部屋に戻っていないらしい。","...Ushiromiya-kun, listen carefully and calmly.
Your cousin Jessica-san hasn't returned to her room all this time.",
435,戦人,なっ……？,Wha-...?!,
437,赤坂,"宿の人が、夕飯のことで相談しようと
何度も部屋に電話したそうなんだが、
誰も出なくて困っているみたいなんだよ。","The inn people tried calling her repeatedly to inform her about dinner, but no one answered, so we believe something might be up.",
442,Rena (Casual),"はぅ……もしかしたら、散歩に
行っているんじゃないんですか？",Hau... What if she's just out on a walk?,
444,赤坂,それなら、いいんだけど……。,That would be nice if true...,
447,,"そう言って、赤坂さんは口ごもる。
……その表情を見て、梨花ちゃんは
神妙な顔で彼に向き直っていった。","After saying that, Akasaka-san hesitated.
...Seeing that expression, Rika-chan turned towards him with a mysterious look.",
451,Rika (Casual),"……赤坂。もしかしてあなたは、
朱志香が「例の連中」と接触した可能性を
考えているのですか？","...Akasaka, are you perhaps considering the possibility that Jessica has come into contact with ""them""?",
454,赤坂,"うん。もちろん、そうでないことを
祈りたいんだけど……。","Yeah. Of course, I'm hoping that that isn't what we're dealing with, though...",
458,圭一 (Casual),"でも、赤坂さん。この辺りにいるやつは
俺たちであらかた刈り尽くしたはずだから、
さすがに心配しすぎじゃないですか？","But, Akasaka-san, we've picked off the majority of them around this area, so maybe you're a little overworried?",
462,Mion (Casual),"……いや、そうも限らないよ。
あいつらって、どこからどう現れるか
いまだにわからないしね。","...No, he's right. We still don't know where they might pop up at any point.",
467,Kazuho (Casual),と、とにかく……手分けして探そうよ！,A-Anyways... let's split up and search for her!,
473,,"私たちは、そこまで広くはない
温泉街を手分けして、探し回った。","We split up around the not-too-huge hot spring district, looking around for her.",
477,,"でも……待ち合わせ場所の温泉街の入口に
全員が集まっても、誰も朱志香さんを
連れてくることができなかった……。","But... even after we'd all regrouped at our designated meeting space at the entrance to the hot spring district, no one was able to bring Jessica-san back with them...",
481,Satoko (Casual),……はぁ、どこにもおりませんわね。,"...*sigh*, she does have to be somewhere.",
483,戦人,"もしかして、朱志香のやつ……
温泉街を出たのか？",Don't tell me Jessica... left the hot spring district?,
487,Nao (Casual),"……かもね。
でも、だとしたらどこに行ったのかしら？","...She might have. But if so, where would she have gone?",
491,Rena (Casual),"はぅ……徒歩だったら、そう遠くには
行っていないと思うけど……。","Hau... If she went on a walk, I feel like she wouldn't be very far...",
495,Hanyuu (Casual),"ここから村の中心地まで一本道なので、
そっちに向かった可能性も考えられるのですよ。","This road leads directly to the heart of the village, so the possibility of her going there could also be considered.",
499,圭一 (Casual),"けど、いくら小さな村といっても
人ひとりを探すには広すぎないか？","But no matter how small the village is, isn't it too big to look for a single person?",
503,Nao (Casual),しかも夜だから、見通しが悪い……。,"And plus, it's nighttime too, so it'll be hard to see...",
511,Kazuho (Casual),"で、でもそれなら、早く見つけないと！
迷子になったら、大変だよ……！","B-But that's all the more reason to find her as soon as possible!
It would be terrible if she ended up a missing person...!",
519,Rika (Casual),"……落ち着くのですよ、一穂。
今、早く見つける方法を探そうと
しているのです。","...Calm down, Kazuho. We're considering the fastest way to find her.",
521,赤坂,うーん……どうしたものかな。,Mmm... I wonder what we should do.,
527,Mion (Casual),どう、沙都子。何か思いつくことはない？,"How about you, Satoko? Anything come to mind?",
529,Satoko (Casual),"……申し訳ありませんが、
朱志香さんという方を存じませんので
行動パターンが読めませんわ。","...I deeply apologize, but since I'm not familiar with this Jessica-san, I won't be able to read her behavioral patterns.",
535,圭一 (Casual),"だったら、効率が悪くても
人海戦術が一番確実か……？","So then, even if it's not efficient, isn't throwing people at the problem the best way...?",
537,戦人,"でも人手なんて、
ここにいる全員が精一杯だろ？",But hasn't everyone here been giving it their all to no avail?,
542,Mion (Casual),"あ、そっちは任せてください。
どこかで電話を借りて、村の連中を……。","Ah, please leave that part to me. If I can pick up a phone somewhere, I can get the village people to...",
545,Mion (Casual),……って、あれ？,"...Wait, huh?",
551,,"そこへ、車のライトが私たちを照らしてくる。
ゆっくりと坂を上ってきた車が停車し、
運転席の窓が開くと……。","Over beyond, the headlights of a car shine on us. The car slowly comes up the hill and stops next to us, and as the driver window rolls down...",
552,,そっと顔を出してきたのは、入江先生だった。,It revealed a gentle-faced person sitting in the car... Doctor Irie.,
556,入江,"おや、みなさんこんにちは。
こんなところで会うなんて、奇遇ですね。","Oh, hello, everyone. What a coincidence to meet in these parts, huh?",
560,戦人,"……あっ！　あんた、俺たちを
ここに送ってくれたお医者さんだよな？",...Ah! Are you the doctor that drove us here?,
563,Rika (Casual),みー。入江と知り合いなのですか？,Meep. Are you familiar with Irie?,
565,戦人,"#p興宮#sおきのみや#r駅でここまで来る交通手段がなくて、
困ってたところを送ってもらったんだよ。","We were in a rut since there was no way of getting here from Okinomiya Station, so he gave us a ride.",
569,入江,"ところで、どうかされたのですか？
皆さんなんだか、深刻そうな顔をされていますが。","Speaking of that, has something happened? Everyone has such grave-looking expressions.",
573,赤坂,"あの、入江先生。#p雛見沢#sひなみざわ#rからこちらに
来られたということは……途中で女の子、右代宮くんと
一緒にいた朱志香さんを見かけませんでしたか？","Uh, Doctor Irie, on the way here, could you have caught sight of the girl that you drove here with Ushiromiya-kun? Jessica-san?",
575,入江,"朱志香さん、ですか……？
彼女は今頃、詩音さんの案内で古手神社の高台に
行っているはずですが。","Jessica-san, is it...? Around now, she should be getting shown around the Furude shrine grounds by Shion-san.",
579,戦人,"詩音……って、俺たちを送ってくれた時に
一緒に車に乗ってた、長い髪の子ですよね？","Shion... the long-haired girl that was in the car with us when you picked us up, right?",
583,Mion (Casual),"えっ……？
戦人さん、詩音と知り合いだったの？","Huh...?
Battler-san, you know Shion?",
585,戦人,"あ、あぁ。聞くタイミングを失ってたけど、
そこの魅音ちゃんとそっくりな女の子で……。","Ah, yeah. I never had the time to mention it, but she looks just like Mion-chan...",
589,Nao (Casual),まぁ、双子だものね。,"Well, they {i}are{/i} twins.",
591,戦人,"あ……そういえば、俺が助手席で
入江先生と話してる間に、後部座席で
２人が何か話してたような……。","Ah... that reminds me. While I was talking to Doctor Irie in the front seat, those two were talking about something in the back...",
595,入江,"それって……「高台から見下ろす
雛見沢の夜景は素敵ですよー！」とか、
詩音さんに勧められていた時のことですか？","That was when Shion-san was giving the recommendation... ""Looking down on Hinamizawa from the high ground is a wonderful sight!"", right?",
599,Satoko (Casual),"だとしたら朱志香さんは、
詩音さんと一緒に高台に……？","So then, Jessica-san is with Shion-san at the shrine grounds...?",
602,,"温泉であったまった全員の身体から、
さぁっ、と血の気が引いていく。","Everyone's blood ran cold, even after all that time in the hot spring.",slight rewording
605,圭一 (Casual),"……おい。神社のあたりって
今日駆除に回った範囲の外……だよな？",...Hey. The area around the shrine wasn't in the range of our extermination rounds today... was it?,
613,Mion (Casual),あ……あんの馬鹿詩音っ！！,Th-... that dumbass Shion!!,
621,Rena (Casual),"と、とにかく急ごう！
朱志香さんが『ツクヤミ』と遭遇する前に！","A-Anyways, let's hurry before Jessica-san comes into contact with {b}Tsukuyami{/b}!",
623,Rika (Casual),みー、古手神社に急ぐのですよ！,"Meep, let's hurry to the Furude shrine!",
627,Kazuho (Casual),う、うん！,O-Okay!,
635,,"私たちは、監督の車と温泉街に駐まっていた
タクシーに分乗し、急いで古手神社に向かった。","We hurried towards the Furude shrine, going separately in the Coach's car and a taxi from the hot spring district.",
636,,とはいえ、車で神社までは行けない。,"Be that as it may, we can't take a car into the shrine.",
641,,私たちは息を切らして、階段を駆け上がり……。,We breathlessly sped up the steps...,
645,,"たどり着いた高台で、２人の少女……と、
葛西さんを見つけた。","Once we reached the high grounds, we spotted two girls... there with Kasai-san.",
652,戦人,朱志香！　ここにいたのか？！,Jessica! You were over here?!,
657,,"その声に、詩音さんの隣にいた
私よりちょっと年上の女の子が振り返る。","The girl next to Shion-san, who didn't look much older than me, turned her head back in response.",
660,朱志香,おぅ、遅かったな戦人！,"Yo! You're late, Battler!",
665,詩音 (Casual),"お姉たちじゃないですか。
どうしたんです、そんな息を切らして。",If it isn't Sis and friends. Why are you all out of breath?,
667,葛西,大丈夫ですか？,Are you all alright?,
673,朱志香,……って、一緒にいる連中は？,"...Wait, did you all come here in a group?",
675,Kazuho (Casual),"あ、は、はじめまして……
私たちは、この雛見沢で暮らしてる者で……。","Ah, n-nice to meet you...
We're from Hinamizawa...",
678,,"走り通しで酸欠気味の頭で
自己紹介しながら、周囲を見渡す。","As I introduce myself while my head is still rushing from the lack of oxygen, I survey my surroundings.",
679,,"思った以上……と言うか、
のんびりした空気が流れている。
ちょっと肩透かしを食らった気分だ。","Before I realized it... the atmosphere gave off a laid-back feel.
I felt kind of disappointed.",
682,朱志香,"ちょっと状況がわからないんだけど……
私は右代宮朱志香です。よろしく！",I kinda don't get the situation... but I'm Jessica Ushiromiya! Pleased to meet!,
685,戦人,"挨拶の前に、お前なぁ……
宿からいなくなるんだったら、せめて
どこに行くかって誰かに伝言でもしていけよ。","Greet them earlier, damn it...
If you're gonna disappear from the inn, at the very least let someone know where you're heading off to.",
687,戦人,"おかげでみんな、大慌てだったんだぞ？
まったくお前は……！","Thanks to you, everyone was in a mad rush, y'know? Sometimes with you...!",
689,朱志香,あーん？？？　お前何言ってんだぜ？,Huuuh??? What are you even saying?,
691,朱志香,"駅から温泉街まで連れていってもらった時、
「古手神社の高台から見下ろす夜景は
素晴らしいですよー」って教えてもらったじゃねぇか。","While we were being brought to the hot spring district from the station, didn't she tell us, ""Looking down on Hinamizawa from the Furude shrine high ground is a wonderful sight!""?",
693,朱志香,"夜に迎えに来てくれるっていうから
お言葉に甘えて、見に行こうぜー……って話、
お前やっぱり忘れてたなー？","I'm guessing you forgot our conversation where we said, ""Let's go see it."", and I took your word for it when you said, ""I'll come over when night hits.""?",
698,赤坂,……そんな話があったのかい？,...That conversation happened?,
703,戦人,えっ、いやっ、……そんな話……！,"Oh, yeah... that conversation...!",
706,朱志香,"したからなっ！　待ち合わせ時間になっても
来なかったのは戦人じゃねぇか！！","Yes, that one! The one who didn't make it in time is you, Battler!!",
708,朱志香,"で、わざわざ車で迎えに来てくれた詩音さんたちを
待たせるのは申し訳ないから、私だけ来たんだよ！","And it would have been a burden to make Shion-san and Kasai-san wait after coming all the way over to get me, so I went without you!",
714,詩音 (Casual),"葛西のことなら、気にしなくてもいいって
言ったんですけどねぇ。",Though I did mention that Kasai wouldn't mind much.,
716,葛西,"……詩音さんはもう少し、
お気遣いがあってもいいかと。","...Shion-san, it'd be nice if you had a little more consideration for me.",
719,,"詩音さんと葛西さんのジョークが、
聞こえるけどよくわからない。","We could hear Shion-san and Kasai-san's joke, but it went over our heads.",
720,,"そして、私たちの視線も意識も、
全て戦人さんに集中して……。","So, we all focused our gazes and attention on Battler-san...",
724,Rena (Casual),戦人さん……？,Battler-san...?,
726,戦人,"いや……そういや、そんな話を
聞いたことがあったような……？","No... It's just, I swear I've never heard that conversation before...?",
730,朱志香,"うぜーぜ！　お前も「見に行こうぜ」って
言ってたからな？！","Shut up! You said, ""Let's go see it."", too, didn't you?!",
732,戦人,…………。,............,
735,,戦人さんがきゅっ、と口を閉じる。,"{i}Boop{/i}, Battler-san closed his mouth.","kind of struggling figuring out how to put this onomatopoeia in english without being like ""schooop"" or something"
738,Mion (Casual),"もしかして、適当に頷いて話を合わせたけど
ころっとそれを忘れてた……とか、そんなオチ？",So maybe you were lazily nodding your head along with the conversation and letting what was being said completely slip by...?,
743,Miyuki (Casual),"……おぅ。うちの社宅で男女間の
喧嘩ランキング上位に入るやつだ。",...Oof. This guy'd rank high in the mens' battle against women back at police housing.,
745,Nao (Casual),"適当に頷いて忘れる男と、
覚えてるだろうと思った女の対立……。","The man that lazily ignores what's being said, pitted against the girl that thought he was listening...",
751,戦人,"わ、悪かったって！
温泉街でのドタバタのせいで、
記憶から抜け落ちちまってたんだよ！",I-I said my bad! The panic at the hot spring district ejected any memory I had of that out of my head!,
