event01_33_99.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC
191,,"なんにせよ、迂闊な発言をしては
逆手に取られる恐れがありすぎる。
……黙って従ったほうが安全だろう。","All in all, I risk being taken advantage of by making a careless remark like that... It's safer just being quiet and obeying her orders.",,
194,Satoko (高校生クリスマス),あの柵の穴って、もう塞いでしまったんですの？,Did you close off the hole in that fence?,,
197,？？？？,"うん。存在を知る人も出てきたみたいだし、
私の目が及ばないところで悪用されるのは
不本意だからね。自前で直させてもらったよ。","Yeah. It seems people found out about it, so I was afraid it would be put to misuse while I'm not looking. So I went and fixed it myself.",editz,
200,Rika (高校生クリスマス),"柵の修理なら、学園に頼めばいいじゃないですか。
会長が手ずから直すなんて誰も頼んで――、っ？",You could've just asked the director to fix the fence. Everyone asks for the director's help when it comes to fixing-... ah?,,
202,,そう口にしかけて、はっ、と気がつく。,I gasp in realization.,editz,
203,,"あの柵の壊れた痕跡は、
真新しいものではなかったけど……
そこまで古いものでもなかった。",The traces of the fence being broken weren't new... but they weren't that old either.,,
204,,"おそらく細工をしたのは、沙都子ではない。
当然、私でもない。","Which probably means the one who did the deed wasn't Satoko. Of course, it wasn't me either.",,
205,,だとしたら、壊したのは……？,"Which means, the one who broke it was...?",,
208,Rika (高校生クリスマス),"生徒会長……あの柵を壊したのって、
実は昔のあなたじゃないんですか？","President... the one who broke that fence... wasn't actually you back in the day, was it?",editz,
211,？？？？,"さぁ？　だとしても、修理しておくに
越したことはないと思うよ。","Who knows? Whoever it was, I believe fixing it was for the best.",editz,
213,？？？？,"あの穴がなくなれば、
北条さんが脱走したかも、と古手さんが
心配する必要も減るだろうしね。","With that hole gone, your worries over any possibility of Houjou-san escaping will lessen.",,
216,Rika (高校生クリスマス),…………。,............,,
218,,"あまりにもな言い分に、言葉を失う。
開いた口が塞がらないとはこのことか。",I lost my words since she had a point. Is this what it feels like to be utterly perplexed?,,
221,Satoko (高校生クリスマス),"というより、生徒会長は以前に聞いた
部活や罰ゲームの話を参考に、こういう衣装を
私たちに着せてみたくなったのでは……？","More importantly, you've used my stories about club activities and punishment games as reference to make us wear outfits like these...?",,
224,？？？？,うん。そこは否定しない。,Yeah. I won't deny that.,,
227,Satoko (高校生クリスマス),そこは否定してほしかったですわ……。,"I wanted you to deny it, though...",,
229,,そう言って沙都子は、がっくりとうなだれる。,"After saying that, Satoko droops over.",,
230,,"呆れている……けど、呆れながらも
同時にある程度受け入れてもいるようだ。","She's fed up... but even so, she seems to be receptive towards it too.",editz,
236,Rika (高校生クリスマス),"で、でもっ！　こんな格好……
そもそも、こんな私的なパーティーを
行うことが先生方に知られては――。",B-But! These outfits... if the teachers find out you're holding a private party like this they'll-,,
242,？？？？,"先生方はとっくにご存じだよ。
と言っても一部の、と頭につくけどさ。","The teachers are already aware of it. Well, some of them, that is.",,
246,Rika (高校生クリスマス),えっ？！　そ、そんな……。,Eh?! N-No way...,,
248,,"まさか、そんなはずがない。
だって、こんな破廉恥な服を着た会合を
ルチーアの厳しい先生たちが許すとは……っ？","No way. That can't be possible. After all, there's no way Lucia's strict teachers would allow an event with such shameless outfits... nn-?",,
250,？？？？,"いいかい、古手さん。
重要なのは、情報だ。","Listen up, Furude-san. Information is important.",,
252,？？？？,"交渉する相手側の中心になる人物の情報を
徹底的に入手すれば、いくらでも効果的な
手段を打つことができる。","As long as you thoroughly acquire intel towards key individuals of the opposite party you're dealing with, there will be multitudinous effective means at your disposal to achieve what you want.",editz,
254,？？？？,"特に、権力にとりつかれた連中は
誰しも自分のことが最優先で可愛い……
となれば、どこかに弱みがあるものさ。","Those who are obsessed with power especially prioritize themselves, and it's adorable... In these situations, this gives them a blind spot.",editz,
256,？？？？,"そして、こちらが捨て身で共倒れ覚悟と
わかった瞬間、相手は怯む。
……そうなればもう、こっちの主導権だよ。","And so, the very moment my opponent becomes aware of how I'm prepared for mutual destruction, they flinch. 
...With that, my side would have already gained the lead.",editz,
259,Rika (高校生クリスマス),なっ……？！,Wha-...?!,,
261,,"じゃ、邪悪だ……！
笑顔で「闇」を語れるところは
まるで「彼女」のようだ……！",Sh-she's evil...! The part of her that can speak with such a {i}shady{/i} smile is just like {i}her{/i}...!,.editz // EUA?!$!?!,
263,？？？？,"あと……弱みが見つからない場合は、
こちらから作ってやるのもひとつの手だ。","Also... when you're unable to find their weaknesses, all you have to do is to make some yourself in one simple move.",,
265,？？？？,"例えば、禁止されている無断外出を唆す……
と言うようにね？","For example, tempting one to leave without permission... right?",editz,
268,Rika (高校生クリスマス),……っ……。,...ngh...,,
270,,ふらり、と眩暈を覚えて身体が傾く。,"My body gets whiplash remembering that prospect, staggering me...",editz,
274,Rika (高校生クリスマス),"（はめられた、と薄々気づいていたけれど、
こうもあっさり種明かしをされるなんて……！）","(I was vaguely aware that I was set up, but for her to reveal her tricks this easily...!)",editz,
281,Satoko (高校生クリスマス),はぁ……。,*sigh*...,,
286,,"そんな私の意識を引き戻したのは、
沙都子のため息だった。",Satoko's sigh brought me back to reality.,editz,
289,Satoko (高校生クリスマス),"生徒会長……
そうやって自分を悪者に見せかけるやり方は、
あまり感心できませんわ。",President... I don't appreciate the way you make yourself seem like the bad one here.,editz,
291,Satoko (高校生クリスマス),"あなたが噂ほど悪い人でないことくらいは私も、
それに梨花も薄々承知しておりましてよ。
誤解を招く道化は、ほどほどになさって下さいませ。","I'm aware that you're not as bad as the rumors say, and I'm sure Rika knows as well. Just please keep your misinterpretable antics to a moderate level.",editz,
294,？？？？,"いいんだよ、私自身が納得してるんだから。
……にしたって、北条さんも水臭いね。","It's okay, I'm already convinced of it myself.
...Still, you're wishy-washy too, Houjou-san.",editz,
296,？？？？,"事前に相談してくれれば、一緒に抜け出して
もっと安全にマフラーを買いに行く計画とかを
提案してあげられたのに。","If you had informed me of it in advance, we could've snuck out together, and I could've come up with a safer plan to buy the scarf.",,
299,Satoko (高校生クリスマス),"それが万一失敗したら、生徒会長も
責任を問われるではありませんの。
人を巻き込むような真似はできませんわ。","If by any chance that ended in failure, you'd be held responsible for it too. I can't get people involved like that.",,
302,？？？？,"そんなヘマはしないって。私が授業にいなくても、
またどこかの学習塾の集中講義に行っている、と
思われるだけだしね。","I wouldn't commit such a blunder. Even if I'm not at class, they'd just assume I was doing intensive courses at some cram school.",editz,
304,？？？？,"ルチーアも、所詮は教育機関だ。
入試のための勉強をしたいと申請があれば、
どんなに腹立たしい生徒だろうと許可を出す。","Lucia is an educational institution after all. No matter how annoying a student, they'll approve a request to leave as long as you say it's to study for entrance exams.",editz,
306,？？？？,"君たちの場合は幸い、使わなくてすんだけど……
まぁこれも対処策のひとつとして覚えておけば、
いざという時にきっと役に立つと思うよ。","Fortunately, you two didn't have to resort to this to leave... but well, as long as you remember that this can be used as one of your countermeasures, I'm sure it'll be useful sometime.",,
309,Satoko (高校生クリスマス),"その最後の実力テストで、それなりの点を
取らなければいけないってことですわよね？
……難易度が高すぎますわ。","That means I'd have to get a good grade on my final though, right? ...That's far too difficult.",editz,
312,,"沙都子は肩をすくめて、生徒会長が持ってきた
段ボール箱に手をかける。
箱の横には『飾りつけモール』と記されていた。","Satoko shrugs and takes the cardboard box the president brought.
On the side of the box, ""Decoration tinsel"" was written.",editz,
318,Satoko (高校生クリスマス),"……って、生徒会長！　なんですのこれは！
箱の中で飾りつけ用のモールが
ぐっちゃぐちゃに絡まっておりましてよ？！","...Wait, President! What in the world is this!
The tinsel inside of the box is all tangled up?!",,
324,？？？？,"おぉ、蛇のような絡みようだ。
誰がやった知らないが……どうしよう、これ。","Ohh, it's all tangled up like a snake. I don't know who could've done such a thing... Now what should we do about this?",,
327,Satoko (高校生クリスマス),"どうしようこれ、ではありませんわ！
あぁもう、パーティーの開始まで
時間がありませんのに……！","Don't say ""What should we do""! Ahh, jeez, we don't have that much time before the party starts...!",,
329,,"沙都子の手元をのぞき込むと、
モールはかなり複雑に絡まっている。
……ほどくには相当の根気が必要だろう。","As I peek at Satoko's hands, I see the tinsel is pretty jumbled up.
...Surely it will take a lot of patience to untangle it.",,
333,Rika (高校生クリスマス),私がやりましょうか？,Should I do it?,,
335,Satoko (高校生クリスマス),い……いえ、大丈夫ですわ！,"N-... No, it's okay!",,
339,,"そう宣言すると沙都子は箱から
のたうつモールを取り出して、
地味だけど大変な格闘を始めていった。","As she stated that, Satoko pulled the entire tinsel out and began her subdued yet painstaking struggle.",editz,
345,Satoko (高校生クリスマス),む、むむむっ……！,Nghhhyrrghghhh...!,editz,
352,Rika (高校生クリスマス),…………。,............,,
354,,"難しそうな顔で、モールとにらみ合う沙都子。
やっぱり私も手伝う、と言いかけたその時、
肩をぽん、と叩かれた。","Satoko glares at the tinsel with a frustrated look on her face.
I was about to say, ""I'll help you"", when I felt someone tap my shoulder.",,
356,？？？？,"まぁ、成り行きを見守ろうよ。
それとも、私とお喋りは嫌かな？","Now, why not enjoy the show with me? Or do you not feel like chatting?",editz,
359,Rika (高校生クリスマス),……いえ。,...It's not that.,,
361,,"はい、なんて言えるはずもなく
生徒会長に促され、私は椅子に腰掛ける。","I couldn't just say yes, so I sit in a chair as prompted by the student council president.",,
362,,"そんな私に腰を落として目線を合わせると、
彼女は小さな声で囁くようにしていった。","She lowered down to look at me in the eyes and said something with a low voice, almost at a whisper.",,
365,？？？？,寂しいかい……？　親友を取られたようで。,Do you feel lonely...? After having your best friend stolen?,editz,
369,Rika (高校生クリスマス),……何の話ですか？,...What are you talking about?,,
371,,"生徒会長は、優雅な仕草でポケットから
缶コーヒーを取り出すと、プルタブを開ける。",The president gracefully takes a can of coffee out from her pocket and lifts the pull tab.,,
378,Satoko (高校生クリスマス),くっ、このっ……！,Th-thiiiis...!,,
383,,"そして、モールと格闘する沙都子を
微笑ましそうに眺めながら、
おもむろに缶を口に運んでいった。",She brought the coffee to her mouth as she fondly watched Satoko wrestle with the tinsel.,THIS IS EUA AAAAHHH,
385,？？？？,"北条さんの成績が向上したのは、
彼女自身の努力の結果だよ。
……私は特に、何もしていない。","Houjou-san's grades improved thanks to her own efforts.
...I didn't really do anything.",,
387,？？？？,"しいてあげるなら、彼女が興味を持っている
トラップをもとにして、数学や物理、化学。","If anything, I only used the traps she loves so much to explain Mathemathics, Physics, Chemistry.",editz,
389,？？？？,"そして、面白そうなアニメや映画をもとに
英語や国語、社会の教材を勧めたくらいだ。",And I even recommended her some interesting anime and manga for English and Social Studies.,editz,
392,Rika (高校生クリスマス),"でも……生徒会長に勉強を見てもらったおかげで
成績があがったって、沙都子が……。",But... Satoko said that her grades went up thanks to you assisting with her studies...,,
395,？？？？,"彼女に足りなかったのは、学力じゃない。
ほんの小さな手ごたえと、自信だ。",What she lacked wasn't academic skill. She just needed a bit of feedback and confidence.,editz,
398,Rika (高校生クリスマス),…………。,............,,
401,？？？？,"無限に走り続けろと言われても、
どんな人でも走り続けることは難しい。","Even if someone tells you to keep running, it's difficult to keep running, no matter who you are.",,
403,？？？？,"だから、小さな目標を立ててそれに向かって走り、
ゴールし、また新たな目標に向かって走る……。","So, you must set a smaller goal to strive towards and reach, then start towards a brand new goal...",editz,
405,？？？？,その繰り返しで得るものを、君は何と呼ぶ？,What would you call the reward that comes from this cycle?,editz,
406,,"生徒会長の問いかけに、少し考える。
……答えは、すぐに出てきた。","I think about how to answer the president's question for a moment.
...Then it hit me right away.",editz,
409,Rika (高校生クリスマス),達成感……でしょうか。,A sense of accomplishment... maybe?,editz,
412,？？？？,"うん。結局のところ、できるできないの差は
そこにあるんだと私は思うんだ。","Yes. At the end of the day, I believe that's the difference between being able to and not being able to succeed.",editz,
413,,"生徒会長は反対のポケットからもう一本
缶コーヒーを取り出すと、私に投げ渡してきた。",The student council president pulled another can of coffee out from her pocket and threw it to me.,,
415,？？？？,"喧嘩した友達を、仲直りさせることができた。
料理を上手に作れた。難しい本を読み終えた。
知恵の輪がほどけた……。",I was able to make amends with friends I've fought with. I was able to make good food. I was able to finish reading a complicated book. The circle of wisdom has since been unraveled...,,
417,？？？？,"他人から見ればささやかな出来事でも
達成感が自信に繋がり、人を強くする。
そして自信が、次の一歩へ踏み出す勇気になる。","It may seem like a small victory to others, but that sense of accomplishment leads to self-confidence, which makes people stronger. That self-confidence gives us strength to take the next step forward.",,
419,？？？？,"達成感とは、積み重ねてこそ意味がある……。
だけど、私と知り合った時点の北条さんは
その達成すべき目標を見失いつつあった。","The more you accumulate a sense of accomplishment, the more it will be worth... but by the time I met Houjou-san, she had lost sight of the goal she was trying to accomplish.",order,
422,Rika (高校生クリスマス),…………。,............,,
425,？？？？,"この学校は、達成感を積み重ねる機会が
本当に少ないというより……システムが悪い。
実に前時代的で、方針が体育会系寄りだ。",It's not that that this school has little opportunity to gain a sense of accomplishment... it's more that the system is bad. It's truly outdated and feels more like a marathon.,AND SNAPPED!!!!,
427,？？？？,"書き取りや問題集を何冊こなしたところで、
できないことは覚えない。理解できない。
そして努力が無意味に思えて、楽しさを失う。","No matter how many problem-solving books you complete, you won't remember the problems you can't do. You won't be able to understand them. Then you'll feel like your efforts were for nothing, and it ends up not being fun.",editz,
429,？？？？,"楽しさを見いだせない努力は、ただの拷問だ。
その結果、努力そのものに嫌悪感を覚えていく……。","Effort that ends in unhappiness is just torture.
So as a result, you start to feel disgust at the act of putting any effort in.",,
431,？？？？,"勉強ができるかできないかの違いなんて、
努力を好きのままでいられるか……それだけだよ。
君にも、その心当たりはあるよね？","Whether someone is capable or incapable of studying all lies on whether they can keep enjoying their efforts... that's all there is to it.
But you've already been aware of that, haven't you?",editz,
435,Rika (高校生クリスマス),……。はい。,...Yes.,,
438,？？？？,"だから私は、彼女が達成感を得ることで
自信をつけられるよう、自分で小さなゴールを
作る方法を教えただけだ。","So for her to build that confidence, I simply taught her how to set small goals for herself so she could start accumulating her own accomplishments.",,
440,？？？？,"まぁ、自信を取り戻したからこそ
クリスマスプレゼントをどうしようと
迷う余裕が生まれて……。","And well, because she regained that confidence, she found room to worry about what Christmas present to give you...",editz,
442,？？？？,"結果的に脱走に繋がったと糾弾されれば、
私は申し訳ないと謝るしかないけどね？","If that's what led to her escape, then I believe I have no choice but to apologize, right?",,
445,Rika (高校生クリスマス),…………。,............,,
447,,"生徒会長の言葉を、私はコーヒーの缶を
手にしたまま黙って聞いていた。","I silently listened to the president's words, holding the canned coffee.",,
448,,"彼女の言っていることは……よくわかる。
ずっと、沙都子に伝えたかった想い……
それを見事に言語化してくれていた。",I... understand what she's saying. The feelings I always wanted to convey to Satoko... she perfectly verbalized them.,,
449,,"だから、ありがたいという気持ちは確かにある。
沙都子を救ってくれて……だけど……。",So I definitely feel grateful that she saved Satoko... but...,,
452,？？？？,……不満そうだね？,...Well don't you look dissatisfied?,editz,
456,Rika (高校生クリスマス),それは、……。,That's...,,
458,Rika (高校生クリスマス),"私は、沙都子の側にいただけで……
何も手伝えなかった。
結局、助けられなかった……から……。","That's because I couldn't help Satoko at all... just by being by her side.
I couldn't save her in the end......",,
460,,そう、ずっと側にいたのに……「いた」だけだ。,"Yes, even though I was by her side... I was only ""there"".",,
461,,"沙都子が自信を失っていることは、気づいていた。
でも、それを取り戻す方法がわからなかった。",I knew Satoko was losing her confidence... but I couldn't think of a way to retrieve it.,,
462,,"生徒会長は、沙都子とどれだけの時間を
過ごしたのか……私にはわからない。",I don't know... how much time the student council president spent with Satoko.,,
463,,"でもその時間は、私と沙都子が過ごした
時間には遠く及ばないはずだ。",But it's definitely far less than the time I spent with her.,,
466,Rika (高校生クリスマス),"（なのに……この人は、
あっさりと沙都子を救ってしまった）",(And yet... this person was able to save Satoko this easily.),,
468,,"これが圭一だったら、私は素直に感謝できた。
レナでも、魅音でも、詩音でも……。","Had it been Keiichi, I could've honestly felt grateful.
If it was Rena, Mion, or even Shion...",,
469,,"でもこの生徒会長には、尊敬はできても
素直に感謝する以上に、筋違いの腹立たしさを
覚えてしまうというか……。","But even if I was able to respect the president, I somehow still wouldn't be able to feel grateful in an honest way, and I would only acquire a distorted feeling of anger...",editz,
471,？？？？,……灯台下暗し、とはこのことだね。,"...The phrase ""It's hard to see what's right under your nose"" must be referring to moments like this.",editz,
474,Rika (高校生クリスマス),えっ……？,Huh...?,,
477,？？？？,"毒は、時に薬になる……逆もしかりだけどね。
北条さんが陥った病には、私という少量の毒が
有効だったという話だ。","Sometimes, poison can be a medicine... and the other way around as well. And for the disease that had fallen upon Houjou-san, the poison that was effective for her was me myself.",editz,
479,？？？？,"……でも、死体に薬を投与しても死体は死体だ。
彼女の心が死ななかったのは、古手さん。
君が側で北条さんを支えていたからじゃないかな。","...But even if you pour medicine over a corpse, it will stay a corpse. The reason her heart didn't die out in the first place was you, Furude-san.
I believe it was you being by her side that kept her propped up.",added in the last sentence,
482,Rika (高校生クリスマス),…………。,............,,
484,,"褒められている……のだろうか。
だけど、素直に褒め言葉として
受け取ることができない。","I wonder if she's... complimenting me?
However, I can't receive it as a honest compliment.",,
485,,"だから「ありがとう」の代わりに、
憎まれ口を叩きたくなってしまった。","So instead of thanking her, I just felt like throwing words of hatred at her.",,
488,Rika (高校生クリスマス),……自分のこと、毒だと思っているんですか？,...So you think you're poison?,,
491,？？？？,そりゃ、私は自分がそうだと思っているからね。,"Well, that's what I think.",,
493,？？？？,"自分は無害な存在です、なんて主張したら
四方八方から石が飛んでくるに決まってるよ！
あっはっはっはっは！",I can affirm that I'm harmless all I want; I'm sure people would still lug rocks at me from all over! Ahahahaha!,,
496,Rika (高校生クリスマス),…………。,............,,
498,,"否定されるとは思わなかったけど、
笑顔で肯定されると思わなかった……。","I didn't think she'd deny it, but I also didn't think she'd say that with a smile.",,
501,Rika (高校生クリスマス),（なんだか、頭が痛くなってきたわ……でも）,(My head started hurting a little... but...),,
503,,"その一方で、私は今回の選挙で
気づいたこと……いや、この学園の生徒のことを
過小評価していたことに気づかされていた。","On the other hand, there was something I noticed with this election... no, I realized I was underestimating the students at this academy.",order,
506,Rika (高校生クリスマス),"……どうしてあなたが生徒会長になれたのか、
今でも正直言って、嘘みたいな気がしています。","...To be honest, it still feels like a lie that you became the student council president.",,
