event01_33_00.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC - Naegles
213,,"授業はサボる。
相手を見下した態度でズバズバとものを言い、
あっちこっちでトラブルを起こす。","She skips classes. She speaks in a manner that sounds as if she looks down on other people, she causes trouble here and there.",,
214,,"全国模試１位の成績、また他の「事情」もあって
自分勝手な言動は黙認されているものの……
教師陣からは完全に問題児扱いだ。","And she placed first on the national mock exam, which is just another ""reason"" permitting her to speak egotistically. Among teachers and adults, she is an absolute problem child.",,
215,,奇人、変人なんて言い方は、まだ優しいレベル。,"Her quirky, freakish way of speaking has yet to reach a level of kindness.",,
216,,"性根が腐ってる、悪人、要注意人物。
学園の恥晒し、犯罪予備軍、存在が不愉快……
などと、彼女への悪口は枚挙にいとまがない。","Her character sucks, she's a villain, a person worthy of police surveillance. She's the shame of the school, wannabe criminal, her presence makes you want to hurl... and so on. The list of disses towards her is endless.",,
217,,"そんな噂が、学年を飛び越えて
１年にまで広がっているのだから……
憎まれ度合いは、相当のものだった。","Because those rumors have jumped all over the school, even spreading into the first year circles... the degree of hatred towards her was substantial.",,
219,？？？？,"では、古手さん。あなたは、私が生徒会長に
当選すると思っていましたか？","Then, Furude-san, had you actually thought that I was going to be voted for president?",,
222,Rika (高校生),私は……そう……ですね。,I... that's... let's see.,,
224,,"適当に言いつくろおうとして……やめた。
この生徒会長、実にしつこい。逃げ切れる気がしない。","I stopped... trying to cover for myself lazily.
The president is incredibly persistent. I feel like I won't be able to get away that easily.",,
227,Rika (高校生),"勝ち負けはともかくとして……決選投票もなく、
圧倒的大差で当選されたことは予想外でした。",Winning or losing aside... there wasn't even a need for a tie-breaking vote. It was a surprise that you won by that massive of a margin.,"It was unexpected to me how you won by a quite massive margin.' which is her casually answering that no, she didn't expected her to get votes at all",
229,Rika (高校生),"選挙前の下馬評では支持層もなく、
組織票は見込めないとお聞きしていましたので。","According to pre-election speculations, I've heard that you had no supporting layer of voters either, as well as no outlook on a block vote.",,
232,？？？？,"ま、所詮は学校の選挙ですからね。
アメリカの大統領選挙みたいに、何か月もかけて
立候補者の中身を吟味したりはしませんし。","Well, it's a school election at the end of the day. No one is going to spend however many months scrutinizing a candidate like an election in the Americas.",,
234,？？？？,"狭い環境内で多数票を集めるのは、
さほど苦労なことではありませんよ。
……それに一応、勝つ算段がないこともなかった。",Amassing a vast amount of votes in a tight environment was barely any trouble. ...And I more or less didn't have to devise a means of winning either.,,
236,？？？？,"でも……ふふっ、やっぱりいいですね。
あなたのそういうところ、好感が持てます。","But... *chuckle*, you really are great. That side of yours makes a favorable impression.",,
239,Rika (高校生),は……？,Huuh...?,,
242,？？？？,"いったん覚悟を決めたら、迷わない。
言うべきことは、ハッキリ言う。","Once you've prepared yourself, you do not waver.
You clearly say what you have to say.",<- edited,
244,？？？？,"この学園の他の生徒たちにはない、稀有な素質。
ただの一生徒にしておくには惜しいです。",It's the uncommon quality that the students at this academy do not have. Just one student having it is precious.,,
247,Rika (高校生),…………。,............,,
249,,"賛辞を受けてこみ上げた感情は、
喜びではなく……もちろん、警戒だった。","The feeling welling up within me from receiving that compliment wasn't joy... it was, of course, wariness.",,
252,Rika (高校生),（やっぱり、そういう話か……）,(So it {i}was{/i} about this again...),,
254,Rika (高校生),"前にも言いましたが、生徒会へのお誘いでしたら
何度頼まれても私の答えは同じです。","I said it before, but if this is an invite to the student council, my answer will not change no matter how many times you ask.",,
257,Rika (高校生),"用件はそのことですか？
では、私はこれで失礼しま――。",Is that all you wanted? I'll excuse myself the-,editz,
261,？？？？,このまま帰ると、後悔すると思いますよ。,I believe you'll regret leaving at this point.,editz,
265,Rika (高校生),え……？,Huh...?,,
267,,"それまでと違う声質の呼びかけに、
踵を返して立ち去ろうとした足が止まる。","She calls out to me in a tone of voice much different from earlier, which causes my legs to stop from moving any further.",,
269,？？？？,"確かにあなたを生徒会に入れたいのは山々ですが、
今日ここに呼んだ理由はその話ではありません。",It's true that I very much want you to join the student council. But the reason I called you here today wasn't to talk about that.,,
271,？？？？,"まずは、そのことだけでも確かめてから
戻られても遅くはないと思いますよ。",I'm sure you won't be late if you at least confirm this with me before leaving.,,
274,Rika (高校生),……それは、どういうことですか？,...What do you mean?,,
277,？？？？,北条沙都子さん。,Satoko Houjou-san.,,
280,Rika (高校生),――……は？,...Huh?,,
282,,想定外の言葉に、腹の奥がすぅっと冷えていく。,I feel a cool breeze flow through my body as she uttered that name.,,
284,？？？？,"彼女についての話……といえば、
少しは聞く気になってくれますか？",If I told you that I wanted to talk to you about her... would you feel like listening to me?,,
285,,その問いかけに、否、とは返せなかった。,I wasn't able to answer her.,,
289,Rika (高校生),（やっぱり本当に、性格が悪い……！！）,(She seriously does have a terrible personality...!!),,
