event01_30_06.bytes,,roux,,
80,,"　シーツの魔法陣も、用意には手間が掛かるが、予め準備する時間
は十分にあった。","The magic circle on the sheets took time to prepare, but there was plenty of time to prepare it in advance.",
81,,"　そして、夕食の時にあたしたちが先に下へ降りたのを確認した上
で、窓から出て、１階の庇の上を歩き、あたしたちの部屋の窓から
入った！","After confirming that we went downstairs to dinner ahead of her, she left through the window, walked on top of the first floor eaves, and entered through the window of our room!",
85,ヱリカ,グッド。悪くはありません。,<Good.> Not bad at all.,
87,ヱリカ,しかし、良くもない。,However...not good either.,not great either.
89,Nao (Casual),反論があるかしら？,You have an objection?,
92,ヱリカ,"もちろん。……貴女の言う通りだとすると、私が魔法陣の悪戯をし
たのは、夕食の早い段階だということになります。","But of course. If I do that magic circle prank the way you've said, then it happens during the early stage of dinner.",then it would happen during
94,ヱリカ,つまり。紗音さんが入室するのは、その後と言う事です。,In other words...Shannon-san enters the room shortly afterward.,would be entering
96,ヱリカ,"貴女のベッドが、仰られるような壮絶な状況だったとしたら、彼女
が何事もなく帰ってくると思いますか……？","If she found your bed in such a sublime state, do you really think she'd return uneventfully?",
98,Nao (Casual),……………………………。,...,
100,ヱリカ,"私は紗音さんが戻ってきた時。ふざけて、窓から泥棒が入って部屋
を荒らしたりはしていなかったかと聞いたのを覚えていますか？","Do you not remember hearing when I jokingly asked Shannon, ""Has a robber broken into the window or anything?"", when she came back?",event 03 line 484
102,Nao (Casual),……そんなこと……言ったような……。,...I guess... you did say that...,
104,ヱリカ,それに対する彼女の返事が、“いいえ、ご安心を”でした。,"And then, she said word for word, ""No. Please be at ease."".",
107,,"　魅音さんと詩音さんの心臓がタフ過ぎるから、あんな悪戯、下ら
ないもののように思える。","Since Mion-san and Shion-san have super tough minds, they viewed the prank as a trivial matter.",
108,,"　しかし。……普通のセンスの客たちだったなら、全員、絶叫して
部屋から飛び出すほどの悪戯だった。","But... if they were normal-minded guests, we would all have screamed, running away from the room in fear of the prank.",
109,,"　それを見て、“いいえ、ご安心を”という言葉が出るだろう
か……？","Seeing that, could someone really say, ""No. Please be at ease.""?",
113,Nao (Casual),そ、それはきっと……、考えられることは、貴女と紗音さんが、,"Th-, surely that's... when you think of it, you and Shannon-san are...",
118,ヱリカ,#ff0000私と紗音さんは、示し合わせてなどいません。#r,Shannon-san and I are not conspiring together in any way.,
121,,"　え？　……今、ヱリカさんの声色が、何かとても……不思議だっ
た。",Huh? ...The color of Erika's voice was... somehow... different... just now.,
122,,根拠を示すことなく、真実を語る言葉に聞こえた……。,They were words that I knew spoke the truth even without it being shown...,
126,ヱリカ,"よって、私が紗音さんに予め因果を含め、魔法陣の悪戯を見て見ぬ
フリをしろ、などと言い含めたことはあり得ないということです。","Therefore, me being involved with Shannon-san prior to this, like telling her to pretend not to see the magic circle, or any extension of that scenario, is impossible.",
128,Nao (Casual),………ん……………。,......Nn.........,
130,ヱリカ,"よって、私が犯人であるならば、犯行の機会は紗音さんが部屋を出
てからしかない。","And furthermore, if I were the culprit, my only opportunity to commit the crime would be after Shannon-san had already left the room.",
132,ヱリカ,"しかしながら、その時間の全ては、貴女たちと一緒にゲームをして
過ごしていたのですから、アリバイは完璧という訳です。","Nonetheless, during that whole time period, I was together playing games with you people though, so I have a perfect alibi.",
142,Nao (Casual),あ、……あたし、紗音さんに直接、聞いてきますっ。,I... I heard it directly from Shannon-san.,
149,ヱリカ,ちなみにですが、紗音さんは、今日からお休みだそうです。,"By the way, Shannon-san seems to be off work today.",
151,ヱリカ,"右代宮家は、使用人の権利やプライバシーにも十分に配慮している
そうですから、お休みの紗音さんに伝言を頼むことは出来ても、連
絡を取ってもらうことは出来ませんよ？","Because the Ushiromiya family seem to deeply consider the rights and privacy of their servants, even if you were able to put in a message for Shannon-san while she was out, that message obviously still wouldn't reach her.",
153,,"　つまり、……昨夜、本当に魔法陣の悪戯がなかったかどうかなど
を、尋ねることが出来ないということ……？",Which means... I can't confirm with her whether or not the magic circle last night was a prank...?,
157,ヱリカ,"今日と明日がお休みだそうなので、明日の日曜には帰る菜央ちゃま
にはもう、話を聞く機会はない、という訳です。","Seems like she's going to be out today and tomorrow, so little Nao-chama returning home on Sunday no longer has a chance to hear her side.",
159,Nao (Casual),く…………………。,Gh......,
169,Mion (ウェディング),はー、疲れたねぇ！　ちょっと休憩しよっかぁ。,"Hahh, I'm tireeddd! Let's take a break, yeah?",
171,詩音 (ビキニアーマー),あれ？　菜央さん、刺繍はしてないんですか？,"Huh? Nao-chan, you aren't doing your embroidery?",
177,Nao (Casual),……ヱリカさんとのおしゃべりが盛り上がっちゃって。,......I got hyped up chatting with Erika-san.,
179,ヱリカ,ちょうど、今、盛り下がったところですので。,Hyped down would be a bit more fitting.,
185,朱志香,"私もコスプレ、ちょっと興味が出て来たかなぁ……。嘉音くんが気
に入ってくれるのってどんなカッコだろ……。",I might be starting to get interested in cosplay too nowww... I wonder what kind of outfit Kanon-kun would like on me... ,
189,詩音 (ビキニアーマー),"そういう動機、大歓迎ですよぉ？　美は、見てくれる人のことを想
って養うものですから♪","A motive like that is highly welcome here! With beauty, the thought of that one person looking at you feeds into your confidence!♪",
191,朱志香,い、いやいやっ、べ、別に嘉音くんはそういう関係じゃ……、,"N-, nonono, we, Kanon-kun and I aren't actually toge-...",
193,朱志香,わわ私、そろそろお昼の時間か聞いてくるぜ！,"I, I'm, oh, look, it's lunch time!",
199,,"　照れ隠しだと露骨にわかる仕草で、朱志香さんは踵を返して走り
出す。","While clearly trying to hide her embarrassment, Jessica-san turned away and tried to run off.",
200,,"　まだ１１時くらいだ。昼食を気にするにはさすがに少し早過ぎ
る……。",It's still around 11 o'clock. It kind of is a little early to worry about getting lunch...,
201,,"　その時、ヱリカさんが、ポンと手を打って、あ、と何かを思い出
した仕草をした。","At that moment, a lightbulb appeared above Erika-san's head as she appeared to have remembered something.",
204,ヱリカ,"あ、いけない。……私、昨日の魅音さんの窓の鍵の件、笑う資格が
ありませんでした。","Ah, that musn't do. ...To me, the incident with the lock on Mion-san's window is no laughing matter.",
209,Mion (ウェディング),どしたの？　ひょっとして、ヱリカさんも壊しちゃった？！,"What do you mean? Wait, did Erika-san's break too?!",
211,詩音 (ビキニアーマー),お姉じゃあるまいし。何かあったんですか？,"Obviously not, Sis. What happened?",
216,ヱリカ,"マヌケな話です。私、自分の部屋に施錠をしてくるのを忘れたんで
す。",It's a bit of a silly story. I actually forgot to lock my own room.,
222,Mion (ウェディング),"それは酷いね！！　窓はまぁ、なくもないけど、扉はまずいよ、う
んうん、まずいね！","How horrible!! The windows are, well, who cares about those, but the door! Oh no, not the door!!",
224,詩音 (ビキニアーマー),"鍵をし忘れたのと、力加減を間違えて壊しちゃうのでは、だいぶ違
うと思いますけれど？",,
228,,お～～い、と朱志香さんが呼びながら戻ってくる。,,
232,朱志香,お、お昼は１２時からだってさ！　はぁ、はぁ！,,
234,ヱリカ,"まぁ普通はそうだと思いますが、お伝え下さりありがとうございま
す。",,
240,Mion (ウェディング),詩音～。次の撮影だけどさ。小道具、やっぱ換えない？,,
242,詩音 (ビキニアーマー),あー、ようやく気付きましたか。似合わないと思ってたんです。,,
245,Mion (ウェディング),はぁ？！　思ってたんなら何で言わなかったのさ！,,
250,ヱリカ,やれやれ。賑やかなことです。,,
255,Nao (Casual),……あの、朱志香さん。少しいいですか？,,
257,朱志香,ん？　何？,,
265,,あたしは朱志香さんを伴い、少しだけ東屋を離れる。,,
266,,"　ただ、ヱリカさんは読書のふりをしながら、ずっと人の動向を監
視してるような人だ。",,
267,,"　あまり遠くまで行くと不審がられる。少しだけ離れて、話し声が
聞こえない程度の距離を取る。",,
271,Nao (Casual),あの朱志香さん。……今日から、紗音さんはお休みなんですか？,,
273,朱志香,え？　あぁそうだぜ！　次の出勤は確か、月曜だったかな？,,
275,Nao (Casual),"……あの、実は紗音さんに、どうしても急ぎでお伺いしたいことが
ありまして。",,
277,朱志香,何？　どうしたの？,,
279,Nao (Casual),"それが、紗音さんだけに話したい話なんで……、せめて、電話で連
絡を取るくらいは出来ませんか。",,
281,朱志香,………うーん。ウチさ、そういうのかなり厳しいんだぜ……。,,
284,,やはり、ヱリカさんの言っていた通りのようだ。,,
285,,"　紗音さんは明日までお休み。
　そして、右代宮家では非番の使用人のプライバシーは最大限尊重
し、一切の連絡を取らないらしい。",,
289,朱志香,"仮に、どこかにいることを知っていても、話さない。そういうルー
ルなんだよ……。ゴメンな。",,
291,Nao (Casual),あ、……いえ。こちらこそすみません……。,,
294,,"　それでも連絡が取りたくなるような嘘が、ぱっと思い付けない。
……連絡を取るのは無理なようだった。",,
298,Nao (Casual),……仮に知っていても、話さない。…………あ。,,
301,,"　……見ても、見ていないというのが、使用人のお作法、……とい
うことはないだろうか？",,
305,Nao (Casual),朱志香さん。……とても当り前な話かもしれませんけど……。,,
307,Nao (Casual),"例えばですよ？　使用人の人がベッドメイクか何かで客室に入った
とします。",,
309,Nao (Casual),"……その時に、何かこう……プライベートなものを見てしまった場
合、守秘義務というのはあるんでしょうか？",,
312,朱志香,そりゃあるさ！　源次さん曰く、使用人は家具なんだとさ。,,
315,,"　粛々と仕事を、黙して行なう。家具は喋らない。そして無意味に
存在感を出すこともない。",,
316,,"　だから、業務の合間にプライベートなものを見聞きしてしまって
も、……決して口外しない。",,
319,Nao (Casual),"た、例えばですよ？　えっと、……そう、ハロウィン！　宿泊客
が、客室内でハロウィンの仮装撮影をしたとします。",,
321,Nao (Casual),"ハロウィンの仮装ってほら、ゾンビメイクとかあるじゃないです
か？　結構、血まみれな怖い感じの。",,
323,,"　そういう血まみれのオバケ衣装が、無造作にベッドの上に放って
あったとする。",,
324,,"　しかし、それを知らずに入室した使用人は、事件か何かと勘違い
して仰天して大騒ぎしたり、警察に連絡したりするようなこと
は……。",,
328,朱志香,"……本当の事件性のあるものなら、すぐに通報すると思うぜ？　使
用人としての義務以前に、市民としての義務だからな。",,
330,朱志香,"だから、判断に困るようなものだった場合、……使用人が触れて、
見て判断することもあると思うぜ。",,
332,Nao (Casual),"……ベッドの上が、血まみれの大惨事のような状態でも、納得でき
たなら、スルーすると……。",,
334,朱志香,客のプライベートと判断するか、否かの問題だと思うぜ。,,
337,,"　あたしはヱリカさんが犯人だと睨んでいる。
　でも、ヱリカさんには、紗音さんが入室した後には完璧なアリバ
イがある。",,
338,,"　魔法陣のシーツを仕込む時間は、紗音さんが入室する以前。……
あたしたちが夕食に降りた直後しかありえない。",,
339,,"　だが、その後に入室した紗音さんは、あの荒れ果てたベッドと不
気味な魔法陣を見ても、事件性はないと判断した……。",,
340,,"　毛布が乱れてるくらいならともかく、……あのおぞましい魔法陣
を見て、その上で事件性はないと判断したのだ。",,
341,,"　あれを見て、……プライベートだと思えるの？　思える訳がな
い……！",,
346,朱志香,"シーツの上に、血のようなもので描いた落書きがあったらぁ？！　
そりゃ、紗音は仰天するだろうぜ？！",,
348,朱志香,"紗音は落ち着いてる時はいいんだけど、取り乱すと冷静を失っちゃ
うタイプなんだ……。",,
350,朱志香,"もし、そんな不気味なものを見ちまったなら……。とても涼しそう
に、異常なし、なんて言えないと思うぜ……。",,
352,Nao (Casual),……ですよ、ね。,,
355,,"　あまりに園崎姉妹があっけらかんとした反応だったので、あたし
もたまに自信が持てなくなるけれど……。",,
356,,"　あの魔法陣の悪戯は、明らかに限度を超えている。悪戯で笑って
済ませられる次元じゃなかった！",,
359,Nao (Casual),"なのに……、紗音さんは……、“いいえ、ご安心を”と、……涼し
そうに言った……。",,
361,Nao (Casual),"そしてヱリカさんとも示し合わせていないというし……、
……………。",,
364,,"　待って待って待って。魅音さんが言ってた。テキストは徹底的に
読み込め、って！
　ヱリカさんはこう言った！",,
366,,#ff0000私と紗音さんは、示し合わせてなどいません。#r,Shannon-san and I are not conspiring together in any way.,
367,,"　これ……、下らないトリックじゃないの？！　間に仲介者を挟め
ばいい！",,
368,,"　ヱリカさんが誰かと示し合わせる。その示し合わせた誰かが、紗
音さんに、何らかの指示を与える。",,
369,,例えば……、そう、コスプレ撮影！,,
370,,"　撮影の為に、ちょっとショッキングな準備がしてあるから、見て
も驚かないように、なんて風に予め言われていたとしたら……。",,
373,Nao (Casual),"……あの魔法陣のシーツも、……紗音さんにとっては、事件性のな
い、プライベートなものとなる！",,
375,,"　だが……、紗音さんに命令を出せそうな人物はかなり該当が多
い。",,
376,,"　右代宮家の人間は全員そうだろうし、使用人頭や目上の使用人も
命令は可能だろう。",,
377,,"　でも、……今はこれで十分。
　これで、紗音さんがあの魔法陣を見ても、何事もなかったかのよ
うに振舞う可能性が見えてくる……！",,
381,朱志香,……何か、ウチの使用人がやらかしたりした……？,,
383,Nao (Casual),いえ、そんなことはありません。むしろ、多分、逆です。,,
386,,"　紗音さんは、命令された通りに、使用人の仕事を全うしたに過ぎ
ないのだ。",,
390,朱志香,じゃ、じゃあ、私はこれで失礼するぜ……！,,
393,Nao (Casual),"ありがとうございました。本当に何でもないので、気にしないで下
さいね。",,
397,,"　朱志香さんが立ち去るのを見届け、振り返ると、
東屋のヱリカさんと目が合う……。",,
404,ヱリカ,…………ふふん。,,
409,,"　あの顔は、何を朱志香さんと話していたのか、全てお見通しだと
言いたいのだろう。",,
410,,"　ヱリカさんは器用にも、魅音さんと談笑しながら、にもかかわら
ず、あたしをずっと監視していたのだ。",,
417,Nao (Casual),あれ、詩音さんは？,,
419,Mion (ウェディング),"ちょっと別の小道具を探しに、ゲストハウスに戻ってるよ。すぐ戻
るよ。",,
423,ヱリカ,"……それにしても魅音さんは、……なかなかの切れ者じゃないです
か。",,
425,ヱリカ,"こういっては失礼ですけど、怖い物知らずのただの田舎者かと思っ
ていたら、……なかなかです。",,
428,Mion (ウェディング),あっはっは！　ヱリカさんにそこまで言われると照れちゃうよぉ。,,
430,Mion (ウェディング),"でも、ヱリカさんだってなかなかだよ～？　でもひとつ勘違いがあ
るかなぁ。",,
433,Mion (ウェディング),"真実は暴くものじゃない。作るものなのさ。さもなきゃ埋めるもの
かな？　園崎家の次期頭首を、舐めてもらっちゃあ困るねぇ？",,
436,,"　……朱志香さんと話している間に、二人でどんな会話をしていた
か知らないが、……何だかバチバチしたものだったようだ。",,
437,,"　でも、仮にそうだったにせよ、魅音さんにとっては、やるねぇの
一言で済んでしまう程度なのだろう。",,
441,ヱリカ,"魅音さん。約束しましょう。いずれ必ず。#p雛見沢#sひなみざわ#rに探偵として訪れ
ることをお約束します。",,
444,Mion (ウェディング),"うん！　きっとだよ！　部活メンバー全員で大歓迎しちゃうから
ね～！",,
447,,"　バチバチっと二人の交差する視線が火花を散らした気がしたが、
気の置けない仲だからこそのじゃれ合いにも見えてしまう。",,
448,,"　やっぱり魅音さんという人は、場数が違うというか、度胸が半端
ないというか。……大物だ。",,
451,Nao (Casual),あ、……詩音さん、帰ってきました。,,
457,詩音 (ビキニアーマー),"お姉ぇ！　全然、違う場所に入れてありましたよ？　勘弁して下さ
いよねぇ！",,
459,Mion (ウェディング),"はぁ？！　出発前に入れる場所を勝手に変えたのはあんたで
しょー？！",,
464,ヱリカ,やれやれ。また賑やかになりました……。,,
467,嘉音,……ご歓談中、失礼致します。お昼の準備が整いました。,,
469,ヱリカ,だそうですよ、皆様方？　参りましょうか。菜央ちゃま？,,
473,Nao (Casual),……ヱリカさん。あなたのアリバイ、崩せました。,,
475,ヱリカ,おや。それは、食後のデザートに取っておきませんか？,,
477,Nao (Casual),いいえ、オードブルで。今、説明するわ。,,
479,ヱリカ,"それ、ちゃんとコースになるんですよねぇ？　前菜で終わったら恥
ずかしいですよぉ？",,
481,Nao (Casual),"あなたは、紗音さんが異常を認めなかったから、犯行の余地はそれ
以降だとしていました。",,
483,Nao (Casual),"その上、ご丁寧に、紗音さんとあなたは示し合わせていないとまで
言い切ってくれました。でも",,
486,ヱリカ,#ff0000私と紗音さんは、示し合わせてなどいません。#r,Shannon-san and I are not conspiring together in any way.,
492,ヱリカ,"#ff0000私が何らかの人物を介し、もしくは手段を介して、紗音さんに根回#r
#ff0000しをした事実はありません。#r",,
494,Nao (Casual),………え………。,,
497,ヱリカ,"はぁぁぁ。残念無念、期待外れの的外れ。……ほらね？　デザート
にしておけばよかったんです。",,
499,ヱリカ,"直接示し合わせていないなら、誰かを挟んで間接的に示し合わせれ
ばいい、これで赤き真実の間隙を縫った！って、……思ったんで
しょお……？",,
501,Nao (Casual),……ん、…………ぅ………。,,
506,Nao (Casual),"お、……思ってないわよ。そんな下らない言葉遊び、……あたしを
子供扱いしないで欲しいわ。",,
509,ヱリカ,くっくっくっく……。グッド。,,
511,ヱリカ,"探偵であれ、犯人であれ。……すぐに挫けるのは二流です。泣いて
うずくまるのは戦人です。",,
513,ヱリカ,一流は、タフでなければ。そして不敵でなければ。,,
516,,"　本当に嫌な人だけれど、不思議な人。
　ただの嫌な人というより、……何というか、……ライバルって感
じ。",,
517,,"　小馬鹿にしたり、挑発したり。腹立たしいけれど、敵であれ、見
事ならば褒めるというところに、それを感じる。",,
522,Mion (ウェディング),"ほらほら、お昼に行こうよ～！　なぁにぃ？　ウチの菜央ちゃん、
口説いてんのぉ？",,
524,ヱリカ,"えぇ、そうです。こんな可愛らしくて小憎らしい子、殺人事件の被
害者になる前に保護してあげないと。",,
526,Mion (ウェディング),"お～っと、お触りは厳禁ですよ～？　ウチの菜央ちゃんに御用の際
は、マネージャーを通してもらわないとぉ♪",,
528,ヱリカ,それで？　貴女方の手番は十分ですか？,,
531,Mion (ウェディング),もちろん、ターンエンド。あんたに次の手、期待してるよ～？,,
534,,"　やっぱり、すっごいバチバチしてる。
　しかし、二人とも敵意を剥き出しのはずなのに、まるで映画の中
の出来事のような、カッコよさも兼ね備えている。",,
535,,……これが、一流はタフでなければ、ということなのね……。,,
539,詩音 (ビキニアーマー),菜央さん。昨夜は、あの悪戯、すっごいビックリしましたよねぇ？,,
541,Nao (Casual),え？　あ、はい……。,,
543,詩音 (ビキニアーマー),あれが魔女の仕業だというのなら。,,
545,詩音 (ビキニアーマー),……こっちは、オヤシロさまの#p祟#sたた#rりがあるかもしれませんねぇ？,,
548,,え、……何？　どういう意味なの………？,,
549,,"　詩音さんの笑みは、頼もしさが９割と、……１割の不敵さ、不気
味さが含まれている気がした……。",,
