event01_30_99.bytes,,Lunik,,
132,ヱリカ,"……ふっふっふ……。如何ですか、私の魔法陣は傑作でしょ
う……？　無頼人さまの魔法陣を完全再現ですよぉ……？",,
134,ヱリカ,"さぁ、聞かせて下さいな、魅音さん、詩音さん！！
未だに名探偵ワニャンを見ようともしない異教徒、
菜央さんの悲鳴はたっぷりと楽しみました。",,
137,ヱリカ,次はッ、あなたたちの感嘆が聞きたイィイっひひっひっひッ！！！,,
142,,"　ヱリカさんは耳を澄ます耳を澄ます。魅音さんと詩音さんの反応
が知りたくて全神経を聴覚に集めて全ての音を聞き取ろうとす
る……！！",,
144,,……ゴリリ…………。,,
145,,"　それは、小さな、おかしな音だった。
　小さい音なのだけれど、……耳のすぐ近くに押し付けて来たよう
な、小さいけれども#p近#s・#r#pく#s・#r#pて#s・#r#p触#s・#r#pる#s・#r、異音。",,
146,,……まさか。………いや、そんなまさか……。,,
147,,"　ヱリカさんの額に冷たい汗が一粒浮かぶ。
　……それがゆっくりと滴り落ちようとする時、……ヱリカさんの
その形相は……、不気味なくらいの……歓喜に彩られていた。",,
149,,こいつ、……こいつら、……まさか……ッッッ？！？！,,
150,,"　そう。ヱリカさんがコップを押し付けて隣の部屋の声を
うかがっている、その壁の反対側では……、",,
152,,"ヱリカさんの形相とまったく同じ不気味な笑みを浮かべた
#p二#s・#r#p人#s・#r#pの#s・#r#pヱ#s・#r#pリ#s・#r#pカ#s・#rがいた……。",,
155,ヱリカ,ハッ………ハハ……………ッッッ。,,
157,,こいつら……、#p聞#s・#r#pい#s・#r#pて#s・#r#pや#s・#r#pが#s・#r#pる#s・#r……ッ！！！,,
158,,"　私が完璧な魔法陣を描き上げて、その感嘆の声を聴こうとして壁
に耳を当てている私の挙動を、……聞いてやがるッ！！！",,
160,,"　２つの客室を隔てる１枚の壁の両側で、……１人と２人の巨大ナ
メクジが……、コップを壁に押し付け合い、互いに聞き耳を立て
合っているッ！！",,
162,,"　グ、グッド、グッダぁあぁぁぁ……、グッデストぉおおおおおぉ
おおおおおッ！！！",,
163,,"　翌日。今度はそちらの番ですよとでもいうかのように、ヱリカさ
んは自分の部屋の鍵を、わざと掛け忘れた。",,
164,,"　園崎姉妹は、罠とわかっていても、敢えてこの機会に便乗
し、……荷物を取りに戻るといってゲストハウスに詩音さんが戻
る。",,
165,,そして、ヱリカさんの部屋に入り、魔法陣の悪戯をするのだ。,,
166,,"　なお、魔法陣のシーツは予め、事前に用意してあったものだ。
……あたしが睡眠薬で眠った後、園崎姉妹は夜なべして作ったの
だ！",,
167,,"　そしてまんまと詩音さんは、ドアノブの蛍光塗料の仕掛けに引っ
掛かる。",,
168,,"　詩音さんもある程度の注意はしていたが、さすがにヱリカさんが
自分で調合したという薬物の存在にまでは、気付けなかった。",,
169,,"　だから、詩音さんの手には確かに、蛍光塗料が付着したのだ。そ
れでヱリカさんはチェックメイトしたはずだった！",,
170,,"　だが、……園崎姉妹はやはり、甘くはなかったのだ。
　そう。帰ってきて二人は、争うようにして一緒にシャワー室に駆
け込んでいった。",,
171,,"　あたしは、シャワーの順番を争うなんて、双子姉妹は仲がいい
なぁと微笑ましく思っていたけれど。",,
172,,……二人は、この上なく慎重だった。,,
173,,"　あの時、入れ替わったのだ。ヱリカさんの悲鳴を聞いて、シャ
ワー室から飛び出してきた時には、姉妹は入れ替わっていたのだ。",,
174,,"　二人はヱリカさんを侮らなかった。……自分たちには知覚できな
い、何らかの仕掛けが付着しているかもしれないと疑った！",,
175,,"　だからあのシャワーは、それを洗い流すことと、さらに慎重を期
して、姉妹を入れ替わらせることが目的だったのだ。",,
176,,"　だが、ヱリカさんだって、自分を名探偵などと呼ぶ程度にはイカ
レてる。",,
177,,"　ブラックライトで詩音さんの手を照らして、何の痕跡もないこと
を見た瞬間彼女は、こんなはずはないと絶叫を始めたが、……あれ
は絶望の狂乱ではなく、ある意味、歓喜だったのだ。",,
178,,"　ヱリカさんが言うには、……ノックス第１０条。“手掛かりなき
他の登場人物への変装を禁ず”。",,
179,,"　ヱリカさんは園崎姉妹に会い、自己紹介を交わして、二人が瓜二
つの双子姉妹であることを知っていた。",,
180,,"　“瓜二つな双子姉妹”と、ヱリカさん自身が、六軒島へ向かう船
の上でそう言っているのだ。",,
181,,"　だから、有効デス。
　ノックス第１０条に抵触しない、他の登場人物への変装。いや、
入れ替わり……！",,
182,,"　ヱリカさんはあの時、即座に魅音さんの手をブラックライトで照
らすことも出来たのだ。",,
183,,"　そうすれば、魅音さんの手が蛍光塗料で浮かび上がるのを見るこ
とが出来ただろう。",,
184,,しなかった。……どうして？　一流はタフじゃないの？,,
186,,違う。これは敬意、畏敬、崇敬……！,,
187,,"　ヱリカさんは、ワニャラーとしての愛だけでなく、探偵の自分と
の知恵比べにおいても、全身全霊で応えてくれた園崎姉妹に心酔さ
えしたのだ。",,
188,,"　ドラノールさんも言っていた。ヱリカさんは、探偵も犯人も演じ
分けられる、優れた俳優なのだと。",,
189,,"　だからこそ、あれだけみっともなく、出し抜かれて狼狽える姿を
見せて、園崎姉妹に応えて見せたのだ。",,
190,,"　いや、恐らくはアレも、名探偵ワニャンに出てくる、犯人のひと
りの、往生際の悪さの再現なのかもしれない。",,
191,,"　六軒島の２泊３日は、あたしにとってだけは、ホラーとミステ
リー。",,
192,,"　他の３人にとっては、……巨大ナメクジ、ワニャンを愛する者た
ちの、ファンミーティングなのであった……。",,
209,朱志香,"ぜひ！　また遊びに来てくれよな！！　その時はオールでボドゲ勝
負しようぜ！　な！",,
213,？？？？,"君たちの滞在のお陰で、使用人たちも色々と勉強になったと言って
いる。感謝するよ。",,
216,？？？？,"アンケートもありがとうございました。よく読んで、今後に役立て
たいと思います。",,
220,Mion (Casual),"ガッツリと書いておきましたんで！　ぜひ、最後まで読んで下さい
ね！",,
222,詩音 (Casual),"私たちが責任を持って！　六軒島を新しいリゾート地にコンサルタ
ントしていきますので！",,
225,,お別れの時には、右代宮家の人までお見送りに来てくれた。,,
226,,"　もう一度、訪れる時には、……今度はのんびりしたい。さもな
きゃ、……あたしもコスプレ、……挑戦してみてもいいか
も、……かも。",,
230,嘉音,"紗音から、お見送りが出来なくて申し訳ないと言付かっておりま
す。",,
232,ヱリカ,"今日はお休みですからね。仕方ありません。よろしく伝えておいて
下さい。私たちは、巨大ナメクジの下、同志ですから！",,
234,嘉音,……えっと、確か、……真実は、いつも二つ。,,
237,ヱリカ,真実は、いつも二つ！　あなたも読んでおいてくださいね？,,
243,朱志香,"私も～……、その、次に機会がある時は、コスプレ撮影って、やっ
てみよっかなぁって。",,
246,朱志香,"その時はさ。菜央ちゃんも一緒にやろうぜ？　一緒ならきっと、
恥ずかしくないって。",,
248,Nao (Casual),"くす……。そうですね。……一緒に、コスプレデビューしましょ
う。",,
251,,"　見送りの人々の中に、あの魔女の姿も混じっている。
　もちろん、誰にも姿は見えてないだろうが。",,
255,ベアトリーチェ,誕生日を、そなたと共に過ごせてよかったぞ。菜央。,,
257,Nao (Casual),"ありがとう。だけど、聞いていいかしら。……一体、何歳の誕生日
なの？",,
259,ベアトリーチェ,くっくっく！　千から先は忘れたわ！,,
261,ベアトリーチェ,"また、いつでも遊びに来るがよい。次は、妾の黄金郷の、黄金の薔
薇庭園を案内しようぞ！",,
263,Nao (Casual),"あたしもゲーム機でも持ってきてあげるわ。腕前を存分に見せてあ
げるから。",,
267,ドラノール,"貴女の行く末に幸多からんことを祈りマス。お元気でお過ごし下サ
イ。",,
269,Nao (Casual),"ありがとう。あなたとはもっと、ゆっくりとお話をしたかったわ。
また会いましょう。",,
273,ヱリカ,"私は探偵ですので、事件が起こる度にあちこちに引っ張り凧です。
だからもう、あんたと会うことはないでしょう。",,
275,Nao (Casual),"大丈夫よ。名探偵ワニャンのコラボカフェ。多分、あたしも行くか
らそこで会えるわ。",,
277,ヱリカ,"…………ふっふふふふ。グッド。その時は、推しキャラについて存
分に語り合いましょう。",,
283,Mion (Casual),"ヱリカさんも、ぜひ#p雛見沢#sひなみざわ#rに遊びに来てね。ヱリカさんなら、絶対
に退屈しないからさ！",,
285,詩音 (Casual),"圭ちゃんと対決して欲しいですねぇ。口先の魔術師と名探偵。どっ
ちが勝つか見てみたいです。",,
290,ヱリカ,"ほう？　口先の魔術師？　魔術師とはまた、如何にもカネダ少年の
事件簿に出てくる犯人の二つ名みたいで素敵です！",,
292,ヱリカ,"古戸ヱリカ、皆さんのところで事件ある時、必ずや参上することを
お約束しましょう！",,
297,詩音 (Casual),"もしくは、フツーにエンジェルモートで、デザート食べ放題しなが
ら、だらだらと長話をしましょーねぇ☆",,
299,Mion (Casual),"あんたみたいな面白くてタフなヤツを、ぜひ雛見沢分校に招きたい
よ。",,
304,Nao (Casual),"確かに。……ヱリカさんのパワーと推理力は、
魅音さんとレナちゃんが合体したみたいなものだわ。",,
311,ヱリカ,いつか。必ず。,,
313,ヱリカ,"ふふっ。……ただ、別れを惜しむ友人たちがそこにいるだけで、古
戸ヱリカにはこの程度の挨拶が可能です。如何です、皆様方？",,
320,Nao (Casual),グッド！,,
332,Nao (Casual),……ヱリカさんがもらった手紙は、何なんですか？,,
334,ヱリカ,"気にしないで下さい。私はただの使い。主への返書を預かったに過
ぎません。",,
336,ヱリカ,"ベアトリーチェは私のことを良く書いてくれたそうなので。中身が
楽しみです。",,
338,Nao (Casual),"……そういえば。……ベアトリーチェはあたしにも何かプレゼント
をくれるって言っていたけれど……。",,
345,Mion (Casual),えー？　何々？！　六軒島でプレゼントをもらったの？！,,
347,詩音 (Casual),いいなぁ。私たち、なーんにももらってないです。,,
352,ヱリカ,"いえ。魔女が菜央さんに預けたプレゼントは、貴女たち３人に
宛てたものだと思います。",,
354,ヱリカ,荷物の中を、見てみたらどうです？,,
357,,"　そう言われ、あたしは自分の荷物を調べる。
　すると、まったく心当たりのない、小さなプレゼントボックスが
入っているではないか。",,
358,,"　メッセージカードが添えてある。……やっぱり、ベアトリーチェ
からだ。",,
360,,“六軒島への来訪を記念して。――黄金の魔女より”,,
364,Mion (Casual),あー、あの肖像画のね！　２００億円の金塊だっけ？,,
366,詩音 (Casual),"肖像画の前に、碑文みたいなのあったじゃないですか。あれ、謎が
書いてあって、解くと金塊の場所がわかるらしいですよ？",,
369,Mion (Casual),"ええぇぇええぇ！！　そういうことは滞在中に言ってよぉ！　碑文
の謎解きに挑戦したかったなぁー！",,
375,ヱリカ,ふふ。まぁ、私は解いたことがありますけれど。,,
377,Nao (Casual),さらりとすごいこと言ったわ。金塊は本当にあったの……？,,
379,ヱリカ,"もちろん！　……まぁ、私には興味がなかったので、右代宮家の皆
さんにお任せしましたが。",,
385,Mion (Casual),菜央ちゃん、早くプレゼント、開けてみようよ！,,
387,詩音 (Casual),純金のモールドが入ってたりして？,,
392,ヱリカ,"１ｇでも数千円。仮に１００ｇもあったら、なかなかの価値になり
ますね。",,
394,ヱリカ,"でも、あのベアトリーチェが、意味もなく黄金を贈ってくれるとは
ちょっと思えませんが。",,
401,Nao (Casual),すごく軽いから、金じゃないかも。……空っぽみたいに軽いわ。,,
406,,とにかく、開けてみよう……。,,
410,ヱリカ,な、……何？！　……何事ですかッ……？！,,
417,Mion (バニー),"何よ、今のすっごい雷……！　こんなに晴れてるのに凄かった
ね……。",,
420,詩音 (バニー),お、お姉？！　そ、その恰好は何です……？！,,
427,Nao (シエスタ),"そ、それを言ったら、詩音さんだって。どういうこと？　手品？　
早着替え？！",,
429,ヱリカ,……菜央さんも、なかなかの恰好ですよ。,,
431,ヱリカ,それ、……確か、シエスタ姉妹兵の。,,
434,Nao (シエスタ),"な、……なな、何ですか、この服っ？　え、ちょ、スカート短い！
　というか前、丸見え？！",,
440,詩音 (バニー),お姉、私たちのこの服……。,,
443,Mion (バニー),"『中秋哀歌～兎たちの悲恋殺人事件～』に出て来た、月兎の衣装
だぁあぁ！！",,
447,詩音 (バニー),"すごいじゃないですか！　私とお姉で、月兎の舞踏合わせが出来ま
すよ？！",,
455,Nao (シエスタ),"魅音さんと詩音さんは楽しそうだけど、あたしは訳が分からないで
す！",,
458,Nao (シエスタ),これも、名探偵ワニャンに出てくる衣装なんですかぁ？！,,
465,ヱリカ,いいえ、違いますね。シエスタ姉妹兵の制服です。,,
467,ヱリカ,"魔界のマニアの間では、すっごい高額で取引されてるとか。それの
新品なんて、ある意味、すっごいプライスレスです。",,
471,Mion (バニー),まぁ、新品より使用済みの方が価値が出る業界もあるけどねー。,,
477,Nao (シエスタ),"あたしには価値がよくわかりませんっ。寒いです、恥ずかしいで
す！！",,
479,ヱリカ,おや？　先程のメッセージカードの文字が、変わっていますね。,,
483,,"　楽しんでいただけたかな？
　開けると即座に衣装が変わる、お着換え玉手箱であるぞ！",,
484,,"　実はな、３人にそれぞれが最も欲しがっている衣装を贈ってやろ
うと思い、少し、そなたらのカケラを覗かせてもらったのだ。",,
485,,"　魅音と詩音については、欲しい衣装のイメージがはっきりしてい
たのでよかったが、菜央については、わからなかったのだ。",,
488,Nao (シエスタ),"……服なんて、その時その時でニーズが変わりますし。一番欲しい
１着なんてイメージ、普段は持ってないし……。",,
491,,"　なのでな、考えた。
　魅音と詩音は、兎たちの悲恋殺人事件の月兎の衣装なのであろ
う？",,
492,,"　ならばそなたも兎合わせにしてやったら、３人で仲良くできるの
ではないかと思ってな！",,
499,Nao (シエスタ),"思わないわぁあぁぁ！！！　返して！　スカートの前の部分だけで
も返してぇぇ！",,
506,ヱリカ,"……フロントオープンスカートって、どういう訳か魔界で流行って
るんですよね。",,
511,詩音 (バニー),ちょっと、エンジェルモートっぽいですよね！,Wait- that's a bit like the Angel Mort's outfits!,
513,Mion (バニー),"菜央ちゃん、エンジェルモートで今度、その衣装でバイトしてみな
い？！",,
522,Nao (シエスタ),"ヒナミザワーッ！！！　オ・コ・ト・ワ・リぃいいぃいい
いぃッ！！！",,
525,Nao (シエスタ),"っていうか、さっきまで着てたあたしの服はどこなの？！　ど
こ？！",,
532,ヱリカ,あ、またメッセージカードに文字が。……何々？,,
535,,追伸。,,
536,,"　そなたらが着ていた元の服は、魔界クリーニングの超特急便に
て、明日には新品同様になって自宅に届けられることになってい
る。",,
537,,"　クリーニング代は妾の奢りであるぞ！　礼には及ばぬ。
　それではまた会おう！　シーユーアゲイン。ハバナイスデーイ！",,
540,Nao (シエスタ),どういうこと？！　家までこの恰好でいろってことなの？！,,
545,Mion (バニー),おじさんたちはコスプレ衣装があるから、着替えられるねー。,,
547,詩音 (バニー),"でもお姉？　往来を歩くには、ちょっと露出の多い衣装ばっかりで
すよ？",,
551,ヱリカ,殺人現場再現の、あの血まみれ衣装にすればいいじゃないですか。,,
553,詩音 (バニー),ただし、職質は免れないと思いますけれどね……。,,
557,Mion (バニー),"まぁまぁ。ウェディングドレス姿で、泣きながらタクシーを停めれ
ば、ちょっとはオマケしてくれるかもしれないーって♪",,
562,ヱリカ,たくましい人たちです。くす。,,
565,Nao (シエスタ),こんな羞恥プレイ！　聞いてないわ！！　どうしてこんな目に！,,
568,Nao (シエスタ),"この恰好で帰るなんて、部活のコスプレ罰ゲームよりもサイアクだ
わーッ！！",,
570,ヱリカ,くっくっくっく……。メイアイヘルプユー？,*giggle*giggle*giggle* <May I help you?>,
577,Nao (シエスタ),イエース！！　アイニード、えっと、スカートのフロント！！,<Yes!! I need> Ummm.... This skirt's front!!,
580,Nao (シエスタ),"このスカートの、切り取った前の部分を返して！！　せめて下腹部
だけ隠させて！",Give me back the front part of this skirt! At least let me cover the abdomen area!!,
584,Nao (シエスタ),何よ、この衣装！！　センスない！　Ｈ！　最低だわぁぁぁ！！！,What's with this outfit!! It's tasteless!! It's the worstttttttt!!!,
