chara492001_02.bytes,,,,
index,chara,jp,en,
119,縁寿,"……右代宮家がリゾート地にするって言うから、
お土産用に作った試作の腕章で商品展開を
視野に入れたデザイン…って言えばいいかしら。",...a prototype design for a souvenir manufacturing line from the Ushiromiya family resort... I guess you could say.,
123,戦人,"なんだ、そういうことだったのか。
こんな地方の村だから知らないのは無理もないんだが
そのデザイン、祖父さまから許可出ないと思うぜ。","Oh, so that's what it was. I figured no one would know much about that design in this rural village, though. I don't think Grandfather permits it off the island.",
125,戦人,"……あ！　別に#p雛見沢#sひなみざわ#rが辺鄙な片田舎だとか
そういう意味で言ったわけじゃなくて、
たとえと言うか……。","...Ah! It's not like I'm saying Hinamizawa is in a hard to reach, remote countryside! It was just an example...",
130,Miyuki (Casual),"いやいや、わかってますって。……というか、
そういう言い訳くさいことをあえて口にするほうが
かえって失礼だと思いますよ。","No, no, I get it. ...But I feel like purposefully uttering an excuse like that is much more rude.",
132,戦人,"……あー、確かに。余計な一言を悪かったな。
無神経なことを言うつもりはなかったんだ、
謝るよ。","...Ah-, true. I messed up and said something unwarranted. I didn't mean to be insensitive. I apologize.",
135,Miyuki (Casual),"あははは、大丈夫ですよ。
戦人さんがいい人だってことは、会った時から
よくわかってますしね。","Ahahaha, it's fine! Battler-san, you're a great guy. I knew that very well even at the time we met.",
137,Miyuki (Casual),"それより、お二人はどうして診療所に？
昨夜の騒ぎで、どこか怪我でもしたんですか？","But anyway, why are you two at the clinic? Did you get hurt amidst the chaos last night?",
139,戦人,"いやいや、それは大丈夫だ。
特にどこも痛めていないし、今日も朝から
健康そのものだったぜ。","No, no, nothing like that. Nothing in particular is in pain, and I've been healthy all morning.",
143,朱志香,"いやさ……ここの先生には昨夜も温泉街への送迎を
してもらったし、他にも色々とお世話になってるのに
お礼もまともに言えてないままだったからさ。","No, like... we had the doctor driving us back and forth all night to the hot spring district, and he helped us with a bunch of other stuff, but we never got to thank him up front for all of it.",
145,朱志香,"で、改めてお礼とご挨拶に来たってわけさ。
先生は今、どこにいるか知ってるか？","So, we came to formally thank him and say hello, y'know? Do you guys know where he is now?",
150,Kazuho (Casual),"あ、入江先生だったら私たちの朝食を
買ってくる、って言って#p興宮#sおきのみや#rまで出てますよ。
もうまもなく帰ってくると思いますけど……。","Ah, if it's Dr. Irie, he's out buying breakfast for us in Okinomiya. I think he should be back any time now, though...",
154,戦人,"そりゃあ残念。
タイミングを読み違っちまったようだ。",That's a shame. Guess we didn't consider the time all too much.,
157,縁寿,…………。,............,
159,戦人,"ん、ぼさっとして
そんなに腕章がショックだったのかぁ。","Huh, you're spacing out. Did the armband talk shock you that much?",
162,縁寿,なっ……そんなことっ！,N-... No!,
166,朱志香,"あー、ごめんな。ウチの祖父さまって言ったけど
この紋章は家紋だから気軽に許可が出せなくてさ。","Ah-, sorry. Our grandfather said that crest is a family symbol, so he doesn't allow it being worn out casually, y'know?",
168,戦人,"それにしても、右代宮の家紋なんか使わねぇで
雛見沢の名物で良いと思うぜ。
温泉ができるのは、雛見沢なんだしよ。","Regardless, I think it'd be nice for Hinamizawa to have some sort of famous product like the Ushiromiya family crest. The hot spring can sport it too.",
170,戦人,"でも、その指輪…右代宮家当主の証を
はめてるからかもしれないけどよ……
あんた、どっかで見たことある気がするんだよな。",But that ring... might be the same one that designates the head of the Ushiromiya family... and I feel like I've seen you somewhere before.,
172,戦人,とりあえず、名前を聞いてもいいか？,Could I get your name in the meantime?,
175,朱志香,"おい戦人ぁ。私の前で古臭ぇナンパの常套句を
出すとか、いい度胸だなぁ。
叔父さんに言いつけてもいいんだぜぇ。","Battleeeeer, you've got some nerve spouting some old ass cliche pickup line in front of me like that. I'm telling on you to your dad.",
178,戦人,"……お、おいおい朱志香。クソ親父に言うだぁ？！
別にナンパとかじゃねーからな！
ただ見覚えがある気がしたんだよ！","...W-Wait, wait, Jessica. You're gonna tell that old geezer?! I wasn't flirting with her either! I just felt like I remembered her from somewhere!",
186,縁寿,…………。,............,she big mad
188,縁寿,ごめんなさいね。失礼するわ。,I'm sorry. I will be leaving.,
193,Miyuki (Casual),あっ、ちょっと……って、出て行っちゃった。,"Ah, wait... wh-, she left.",
196,Nao (Casual),……戦人さん、最低です。,"...Battler-san, you're the worst.",
198,Miyuki (Casual),うん……今のは、酷いね。,Yeah... you're awful today.,
203,戦人,"…………ぅお…お…！
おいおいおい、誤解だぁああぁぁああぁ！","......H-...Hey...! Hey, hey, hey, it was a misunderstandiiiiiiiiiiiinggggggg!!!",
207,朱志香,"うるせーぜ、戦人！
ここが病院だって忘れるんじゃねぇー！！","Shut up, Battler! Did you forget you're at the doctor's office?",
209,朱志香,"……にしても戦人、お前ナンパじゃねぇなら
マジで見たことあるのか？","...Anyways, Battler, if you actually weren't trying to flirt, then you really have seen her before?",
211,戦人,"いや、まさかな。あいつはまだ６歳のはずだから、
見覚えっていうか似てるって感じただけだ。","No, that's impossible. She should still be 6 years old, it was just a feeling I had because of the similarity.",
213,戦人,"でもよ、あの子最後すげぇ悲しそうな顔をしてたけど
大丈夫か？そのまま見送っちまったけどよ。","But damn, that girl had a crazy sad look on her face towards the end. Is she okay? We just let her go.",
218,Kazuho (Casual),…………。,............,
220,Kazuho (Casual),"あの、私……ちょっと行ってきます。
戦人さんたちは、あとから来てください。","Um, I'll... be going. Battler-san and Jessica-san, please wait here and catch up with me a bit afterwards.",
225,Nao (Casual),って、一穂……？,"Wh-, Kazuho...?",
