chara492001_01.bytes,,Llo - TL,
210,Miyuki (Casual),"んー、いや確かにその通りなんだけど……
なんとかその記憶を、忘れてもらうことは
できないかな……ってさ。","Mmm, no, it's definitely just like you say... but I, like, wonder if we can get you to forget somehow..."
212,縁寿,……どういうこと？,...What do you mean?
216,Nao (Casual),"あなたが目撃した「あれ」の存在が
村の外にまで知れ渡るのは、すごくまずいんです。
理由は……わかりますよね？","It would be really bad if the existence of ""those things"" that you witnessed became well-known outside of the village. You... can see why, right?"
224,Kazuho (Casual),"あ、あのっ……無理なお願いをしてるってことは
重々承知の上です！",U-Um... I'm fully aware that what we're asking is an impossible demand!
226,Kazuho (Casual),"でも……！　せっかくこの雛見沢の景気が
良くなるかもしれない時に、悪い風評……
というか面倒な情報を広めたくないんです……！","But...! After Hinamizawa had gone through so much to have an atmosphere that can now be considered nice, we don't want... a troublesome rumor to spread about and ruin that...!"
233,縁寿,…………。,............
235,縁寿,"安心して。
この「世界」における私の証言に意味はないし。
ましてや、存在にさえ何の価値もないんだから。","Relax. Nothing I know has meaning regarding this ""World"", let alone how little my own existence matters here."
240,Miyuki (Casual),……？　それって、どういうこと？,...? What does that mean?
242,縁寿,"言葉通りよ。
だって私は、この「世界」の人間じゃないから……。","Exactly as I'm saying. Because I'm not a person from this ""World""..."
246,Kazuho (Casual),えっ……あ、あなたも……なんですか？,"Huh... Y-You too, then?"
248,縁寿,………え？,...Wh-?
