chara442001_01.bytes,chara,jp,en,
111,Nao,"鏡で自分の顔を見てみなさい。
あんたみたいな直情型は、いざとなったら
気軽に銃をぶっ放すタイプでしょ？",Look at yourself in the mirror. Do you really think an impulsive type like yourself wouldn't haphazardly fire off a gun while in an emergency?,
113,Miyuki,わーん！　沙都子と菜央がいじめるー！,Waaaah! Satoko and Nao are bullying meee!,
117,Rika,よしよしなのです、にぱー。,"There, there. Nipah!",
121,Nao,ちなみにレナちゃんは、どんな映画が観たいの？,"By the way, Rena-chan, which movie would you want to see?",
124,Rena,"はぅ……レナはこの前ＴＶのＣＭでやっていた
動物観察映画かな、かな。
ネコちゃんが、とってもかぁいかったんだよ～♪","Hau... I wonder if Rena will want to watch the animal documentary they showed on that commercial, that commercial.
Those kitties were so kyuuute~♪",
126,Nao,"そうなんだ。じゃあ、あたしもレナちゃんが
観たい映画に１票入れるわ！",That's true. My vote goes in for Rena-chan's pick then!,
130,Miyuki,"おーい、菜央。さっきハリウッド映画で
勉強したいんだとか、熱く語ってたのは
何だったんだー？","Hellooo, Nao? What happened to earlier when you were passionately talking about how you'd want to learn from a Hollywood movie?",
132,Nao,"いいのよ。だって映画は観る内容もそうだけど、
楽しんで観ることが一番大事だもの。","It's okay. The content of the movie is important, but having {i}fun{/i} while watching is of utmost importance.","It's fine.' instead of 'Well, okay' bc she's saying she's fine with the change"
136,Rika,"みー。つまり菜央の場合、レナと一緒に
観ることの方が大事だったりするのですよ。","Meep. So in Nao's case, watching together with Rena is very important.",
140,Hanyuu,"あぅあぅ、僕はハッピーエンドの
映画が観たいのですよ。
ついでにおいしいものがあれば、最高なのです！","Au au, I want to see a movie with a happy end. And if there's something tasty there too, it would be the best time ever!",
144,Satoko,"さすがにお行儀が悪いですわよ、羽入さん。
まぁ、何かを食べながら映画を観るのも
確かに一興とは思いますけど……、っ？","That'd be bad manners, Hanyuu-san. Well, it might be kind of fun to eat something while watching a movie, though... wh-?","That'd be bad manners, Hanyuu-san.' 'sasuga' isn't being used in the context of 'as expected' here"
151,Satoko,『なんですの、この感覚は……？！』,“What is this sensation...?!”,
158,エウア,……よく来たな、人の子よ。,"...How glad I am to see you, child of man.",
162,Satoko,エウア、さん……？,Eua...san...?,
