chara442001_03.bytes,chara,jp,en,,
104,Hanyuu (Casual),"あぅあぅ、これもおいしそうなのです！
早く試食をさせてくださいなのですよ～！","Au au, these look good too! Please let me try a bite!",,
113,Satoko (Casual),……っ……。,...nn...,,
121,Nao (Casual),"……あっ、沙都子！
あんた今、チュロス抜いたでしょ？！","...Ah, Satoko! Did you pull out some churros just now?!",one churros' ?,i put some
123,Rika (Casual),みー。どこへ行くのですか、沙都子。,"Meep. Where are you going, Satoko?",,
128,Satoko (Casual),ちょ、ちょっとお手洗いですわ～！,J-Just going to wash my hands~!,,
134,Kazuho (Casual),"だったら、そのチュロスは置いていったら？
……ってあれ、もういない？","But with those churros? ...Ah, she's already gone?",,
136,Rika (Casual),沙都子……？,Satoko...?,,
146,Satoko (Casual),"はぁ、はぁ……
ここまで来れば……えっと、エウアさん？","Haaah, haaah... I brought them here... um, Eua-san?",,
154,Satoko (Casual),――ひゃっ？！,...Hya-?!,,
159,エウア,我を呼んだか、人の子よ。,"You called, child of man?",,
161,Satoko (Casual),"あ……あの、ご要望の観劇用のお菓子として、
チュロスをお持ちしましたわ。","U-... Um, for the sweets as requested for your spectating stuff, I brought you churros.",,
163,Satoko (Casual),"……って、あれ？
チュロスがどこにもない……？！","...Wait, huh? The churros aren’t here...?!",,
165,エウア,よい、沙都子。そなたの頭を差し出せ。,"Good, Satoko. Now, present me your head.",,
167,Satoko (Casual),えっ……？,Huh...?,,
173,Satoko (Casual),こ、こうですの……？,L-Like this...?,,
174,エウア,そうだ。そのまま、動くでないぞ。,That is right. Just like that; do not move.,,
175,エウア,ほう、なるほど……これはこれは。,"Hoh, I see... well, well, well.",,
176,Satoko (Casual),わかりますの？,Do you see it now?,,
177,エウア,うむ。沙都子の記憶から得ている。,Mhm. I am receiving it from Satoko’s memories.,,
178,エウア,"なるほど……確かに、観劇に合いそうな
菓子であるな。なかなか悪くない……。",I see... these sweets do seem quite appropriate for theatergoing. This is not so bad...,,
179,エウア,……よい、面を上げよ。,"...Good, now lift your head.",,
186,エウア,"ご苦労であった、人の子よ。
まずは合格として受け止めてやろう。
ありがたく思うがよい。","Splendidly done, child of man.
I shall accept this as a success. I lend you my thanks.",,
188,Satoko (Casual),えっと……それで、食べたことになりますの？,Umm... so you eat it like that?,,
190,エウア,"そうだ。
既に我は『チュロス』なるものが
どんな代物かを理解した。",Correct. I have already learned the stuff of what {b}churros{/b} are.,,
192,Satoko (Casual),……私、まだ食べておりませんわよ？,"...But I still haven't had one to eat, though?",,
194,エウア,"だが、この後で食べるのであろう？
我はそなたが、既に食べたという事実を
数秒先取りして共有したまでのことだ。","Will you not eat some afterwards?
The fact that they will already be eaten has been shared between us a few seconds in advance.",,
196,Satoko (Casual),"よくわかりませんが……実際に食べてみないと、
本当のおいしさはわからないのではありませんの？","I don’t understand very well... but if you don’t actually eat it, wouldn’t you be unable to grasp its true deliciousness?",,
198,エウア,"無駄は不要。事実と相違がなければ
今も未来も、大差はないであろうて。","Worry over such trivialities is unnecessary. With this fact absolutely certain to come, the difference between the future and now would be slim to none.",,
200,Satoko (Casual),（……本当に、そうですの……？）,(...Is that actually true......?),,
202,エウア,"さぁ、戻るがいい……
そなたの望んだ、壊れた「世界」へ。","Now, return... to your broken “World” you so desire.",,
204,Satoko (Casual),えっ……？,Huh...?,,
215,Hanyuu (Casual),あっ……沙都子がいたのです！,Ah-... Satoko is over here!,,
217,Rika (Casual),沙都子……っ！,Satokoo...!,,
222,Satoko (Casual),"梨花……羽入さん？
そんなに慌てた顔で、いったいどうしましたの？",Rika... Hanyuu-san? What could have happened for you to have such rushed looks on your faces?,,
227,Rika (Casual),"みー、それはこっちの台詞なのです。
どうしてこんなところにいるのですか？",Meep. That’s my line. Why were you over here?,,
229,Hanyuu (Casual),"あぅあぅ……急に姿が見えなくなって、
みんな心配したのですよ～。","Au au... You suddenly disappeared, and everyone got worried~.",,
234,Satoko (Casual),"えっ？　あの、別に私……どこかに
行っていたわけでは……あ、あれ……？","Huh? Um, it’s not like I had... any reason to go anywhere... wh-what...?",,
236,Satoko (Casual),"……私、どうしてこんなところで
見たこともないお菓子を片手にして
突っ立っておりますの……？",...Why am I standing out here with some treat I’ve never seen before in my hand...?,,
245,エウア,いい退屈しのぎになった……お前もそうであろう？,Now this is how you kill time... is it not it the same for {b}you{/b}?,,
247,エウア,"ずっとこちらを見ていることは、理解しているぞ。
なのに、姿を見せぬか……いや、見せられぬのか
『崩れ者』よ。","I understand how you are always watching. And yet, to my lament, your form is not perceivable... no, you are unable to be perceived as a {b}shattered being{/b}.",,
249,エウア,"案ずるな。少しばかり、暇潰しに寄ったに過ぎぬ。
ここは我のゲーム盤ではない。",Do not fret. I approached you to stave off my boredom for just a little bit of time. This is not my game board.,,
251,エウア,"まぁ、お前のゲーム盤でもないがな……
くっくっくっ！！","Well, it is not your game board either, is it...? *cackle*cackle*cackle*!!",,
253,エウア,"……おぉ、怒ったか？
立ち上る気配の色が変わったぞ。
姿は見えずとも、気配は実にわかりやすい。","...Oh, have I angered you? I had felt the color of your presence sticking out. Even without seeing your form, your presence is truly easy to realize.",,
255,エウア,"案ずるな、すぐに立ち去ってやろう……
それとも、観劇の対価を寄越せと？",Not a worry; I suppose I will be taking my leave soon... or would you rather I hand over some payment for spectating...?,,
257,エウア,"何を申すか。既に我という存在が
現れる可能性を断片として手に入れているからこそ、
こうして我の顕現を観測できたのであろう？","What are you saying? Precisely because you have already obtained the possibility of my existence appearing as a fragment, you were able to observe me manifesting this way?",,
259,エウア,"それで対価としては十分ではないのか？
……それとも、足りぬか。実に強欲よな。
ならば、我の置き土産として覚えておくがいい。","Then is payment for it not enough? ...Or is the amount lacking? You truly are a greedy one. If that is the case, then it would be marvellous if you were to remember this parting gift of mine ahead of time.",,
261,エウア,"――そなたの見る夢は、夢ではない。
可能性の先に存在する、事実である。","------What you are dreaming is not a dream.
This is a fact that lies beyond all possibilities.",,
263,エウア,ふむ……興が乗った。さらに続けるぞ。,Hmm... I am warming up to this. I shall continue.,,
265,エウア,"そなたが側にいるとその影響を受けて、
別の可能性を夢として見てしまう者が
これから徐々に、だが確実に増加する――。","Under the influence of your proximity, the amount of people who will end up dreaming of different possibilities will slowly but surely increase.",,
267,エウア,"ふふっ……悔しいか？　そうよな。
我が断言せねば、
夢は夢と切り捨てることもできた。","*chuckle*... Are you frustrated? That is right.
I do have to affirm, it would have been possible to dismiss the dream as simply a dream.",,
269,エウア,"だが既に、その余地は消え失せた。
すでにお前は、この事実を直視せねばなるまい。","However, that margin of opportunity has already vanished for you. This is already a fact you must face.",,
271,エウア,"お前が側にいると、あり得た可能性の悪夢に
苦しむ者が増えるという現実にも……な。","The reality is that with you nearby, the probability of those suffering from nightmares will also increase...",,
273,エウア,"身近な者が苦しむのは、悔しいか？
ならば離れてしまえば、良いのではないか？","Does the thought of someone close to you suffering frustrate you? If so, wouldn't it be better if you parted from them?",,
275,エウア,"あぁ、そうか。
お前は離れられないのだったな……
おやおや、これは困ったことになった。","Ah, really? It was impossible for you to part from them, was it? ...My, my, how troublesome this has become.",,
277,エウア,"だが、お前が側にいるせいで、皆が苦しむ！
さりとて離れてしまえば、お前は誰も助けられない！","Nevertheless, because you are nearby, everyone shall suffer! And on the other hand, if you break away from society, no one will be saved!",,
279,エウア,"くっくっく！　苦しいなぁ、『崩れ者』よ！
だが、それでこそ我がわざわざ立ち寄った意味が
あったというものだ！","*cackle*cackle*! You pain me, {b}shattered being{/b}! Nonetheless, that was the reason that I went through the trouble of coming to you!",,
281,エウア,"まぁせいぜい、あがくといい。
また機会があれば、とくと鑑賞してやろうぞ。","Well, at best, I hope you can struggle about.
Should there arise another opportunity, you ought to thoroughly appreciate it.",,
283,エウア,はは、はは……はははははははははは！！,"Haha, haha... hahahahahahahahahaha!!",,
