chara072017_02.bytes,chara,jp,en,Notes TL,Notes QC
183,Satoko (高校生クリスマス),"どこから手に入れたか、はあの方にとって
あまり意味のない話ということですわ。",I guess where she got it from is irrelevant to her.,,
184,Satoko (高校生クリスマス),"情報収集の重要性と活用方法を
よく理解しておりますもの。
使い方としては適切だと思いますわ。",She understands the importance and significance of collecting information. I believe her use of it was appropriate.,editz,
186,Rika (高校生クリスマス),"……沙都子はあの人を、好意的に見ているのね。
こんな格好で、私的なクリスマスパーティーの
準備をさせられているのに。",...You see her positively. Even though she's having us set up for a private Christmas party in outfits like these.,,
188,Satoko (高校生クリスマス),"どこからこんな衣装を調達してきたのかは
謎ではありますけど、そもそも部活の罰ゲームで
こんな服を着せられた、と教えたのは私ですもの。","It's a mystery where she got these outfits from, but it was me who originally told her that we wore outfits like these in our club's punishment games.",,
190,Satoko (高校生クリスマス),"それに……梨花には申し訳ないんですけど、
私は今、ちょっと楽しいんですの。","And... it might be a bother to you, Rika, but I'm having fun right now.",OH SO SHE IS A MASOCHIST //editz,
192,Satoko (高校生クリスマス),"それもこれも、梨花がずっと私の勉強に
付き添ってくれたおかげですのよ。",It's all thanks to you sticking with me while I study.,,
193,Satoko (高校生クリスマス),"梨花がいなければ、クリスマスは
ずっと補習漬けでしたでしょうし……
感謝してもしきれませんわ！","Had it not been for you, I would've spent Christmas at remedial classes... I can't thank you enough!",,
196,Rika (高校生クリスマス),…………。,............,,
198,Satoko (高校生クリスマス),えっと……梨花？,Um... Rika?,,
207,Rika (高校生クリスマス),"……聞いて、沙都子。
私は沙都子って、たくさんの人に好かれる力が
あると思っているの。","...Listen, Satoko. I believe you're capable of being liked by many.",editz,
216,Satoko (高校生クリスマス),ど、どうしましたの急に。,"Wh-what's wrong, all of a sudden?",,
218,Rika (高校生クリスマス),"最近、夢を見たの。ルチーアで沙都子が
人気者になって、たくさんの人に囲まれて……
私とは、話もしなくなる夢を。","I had a dream recently. In it you became really popular at Lucia, and you were surrounded by so many people... that you stopped talking to me.",editz,
220,Satoko (高校生クリスマス),"……とんでもなくおかしな夢ですわね。
自分で言うのもなんですけど私、
このルチーアでは煙たがられていましてよ？","...That's one odd dream. It's weird saying it myself, but I get avoided by people here, remember?",,
222,Rika (高校生クリスマス),でも、そんな未来もあったかもしれないわ。,But a future like that could have existed.,editz,
224,Satoko (高校生クリスマス),"まぁ……生徒会長が言っていましたわよね。
夢というのは、方向性を問わなければ
最終的に願望へと従ったものになる、と。",Well... the president told me something. Dreams that take misleading directions like that may be connected to your heart's desires.,,
226,Rika (高校生クリスマス),"……何を言うのよ。
私は、沙都子と離れ離れになる未来なんて
一度も望んだことがないわ。",...What are you saying? Not once have I wished for a future where I'd get separated from you.,,
228,Satoko (高校生クリスマス),方向性を問わない、と言いましたわ。,"Like I said, it's misleading.",,
229,Satoko (高校生クリスマス),"絶対叶って欲しくない夢も、叶って欲しい夢も
同じ夢という言葉でまとめられるものだから……
本質的には似たようなもの。","Dreams of what you don't want to come true, and dreams of what you want to come true are like two sides to the same coin.",,
231,Satoko (高校生クリスマス),"それに……私も、梨花が私を見捨てて
どこかへ行ってしまう夢をよく見ていましたわ。",And... I've also had dreams where you abandoned me and went somewhere else.,,
232,Satoko (高校生クリスマス),"勉強ができない私に愛想を尽かして、
梨花がどこか遠いところに行ってしまう……
そんな夢を。","You got tired of me because I couldn't study, and went somewhere far away... that kind of dream.",,
234,Rika (高校生クリスマス),"私って、沙都子にそんなことをする子って
思われていたの？……ひどく心外だわ。",You think I'm the type of girl to do such a thing? ...I'm terribly upset.,SHES SO BLINDDDGHDDJDHDD THIS IS A SHOUJO,
236,Satoko (高校生クリスマス),"ですから、叶って欲しくない夢ですわ。
そんな未来は嫌だと意識してしまうからこそ
見てしまう、悪い夢……。","Like I said, this is the type of dream you don't want to see come true. Because I focused too much on how I don't want that kind of future, it led to me having that nightmare...",editz,
238,Satoko (高校生クリスマス),"でも、梨花の悪夢も私の悪夢も
ただの悪い夢で切り捨てられるもので終わった。",But you and I both can acknowledge that they're just bad dreams and toss them away.,editz,
240,Satoko (高校生クリスマス),"……かどうかは、これからの私の努力次第ですわね。
でも、梨花に迷惑をかけないよう頑張りますわ！","...Except that all depends on how hard I work from now on.
I'll do my best not to cause you any trouble!",,
242,Rika (高校生クリスマス),私は別に、迷惑だなんて……。,I don't really think of it as trouble...,,
244,Satoko (高校生クリスマス),っと、もう折り紙は終わりですわね。,"Oh, the origami are all ready.",,
246,Rika (高校生クリスマス),"こっちも終わったわ。
これで飾り作りは終わりかしら。",My part is done as well. I guess we're finished with decorating then.,,
248,Satoko (高校生クリスマス),"ですわね。ではこれを飾り付けて……
後はクリスマスパーティーを待つだけですわね！","For sure. We just need to put these up... and after that, we wait for the Christmas party!",,
250,Rika (高校生クリスマス),……そうね。,...Yeah.,GGGHHHHHHHH IMA STRANGLE HER,
