chara072017_03.bytes,chara,jp,en,,
89,？？？？,"えっ……じゃあこの部屋の飾りって、
あなたたち２人がやってくれたの？",Huh... then you two are the ones who decorated this room?,WE CAN JUST PUT A COLOR LEGEND JUST TO MAKE SURE THO ninensei A,
92,Rika (高校生クリスマス),は、はい……。,Y-Yes...,,
95,？？？？,"あははは、ありがとう！
やっぱりこういう景色を見てると、
クリスマス～って感じがしますね。","Ahaha, thank you! Seeing this kind of scenario really makes you get in the Christmas mood~.",ichinensei A,
97,？？？？,"激寒の礼拝堂でお祈りだけなんて、
クリスマスというよりただの宗教行事だもんね。
あんなの、葬式と変わんないわ。",Frantically praying at the chapel just feels more like a religious activity than actually celebrating Christmas after all. It's no different than a funeral.,oh our christian viewers will-- ninensei A,
99,？？？？,"聖人の生まれた日を葬式呼ばわりって……
あんたの口の悪さも、大概よね。","Calling the day a saint was born a ""funeral""... you really have a foul mouth.",OMFG IM GAGGED AT HOW WELL WE DID ninensei B,
101,？？？？,……（もごもごもがもが）。,"...(Omn, mmh, mmm.)",,
103,？？？？,"はいはい、お喋り禁止はもういいから。
ただし、声の大きさは落としてよ。","Yeah, yeah. You don't have to keep yourself from talking any longer. Just keep the volume of your voice in check.",ninensei B,
105,？？？？,"……ありがとう。
そろそろ言葉が口の中でパンパンになって、
頬がリスみたいに膨らむ寸前だったよ。",...Thank you. My mouth was getting so full with words that my cheeks were on the verge of swelling into the shape of a squirrel's.,editz,
107,？？？？,"にしても、北条さんってスタイルいいわねぇ。
私だとこんな服、絶対に似合わないもの。
胸の部分の布が、ストーンって落ちちゃうわ。","Still, Houjou-san has such nice style. I definitely wouldn't look good in an outfit like that. The top part would simply fall off from my chest.",ninensei A,
109,？？？？,"でもこれ、胸の部分ってどうなってんの？
どこかに透明なヒモがあるとか……。",How does this outfit work anyway? Is there some sort of invisible strap holding it up over here...?,ninensei A,
114,Satoko (高校生クリスマス),"ひゃぁっ！
せ、背中を撫でないでくださいまし！",Hyaah! Please don't stroke my back!,,
117,？？？？,…………。,............,ninensei A,
119,？？？？,やだ、悲鳴がカワイイ……。,"Oh gosh, her scream is so cute...",<- this one is def gyaru ninensei A,
124,Satoko (高校生クリスマス),な、なんですのそのわきわきした手は……！,Wh-what's with those weird hands coming towards me...!,,
128,？？？？,"えへへ……お姉さんにその素敵な悲鳴、
もっと聞かせてくださいませぇぇ……っ？",Hehehe... won't you let your Onee-san hear more of your wonderful screams...?,ninensei A,
136,Satoko (高校生クリスマス),"え……エロ親父！
ここにエロ親父がおりますわぁぁあぁっ！",Ah... creep! There's a creep over hereeeee!,,
142,？？？？,ちょっ……やめなさい、こらっ！,"Hey-... quit it, won't you!",ninensei B,
149,Rika (高校生クリスマス),……こんな人たちが、ルチーアにいたなんて。,...I didn't know there were people like this at Lucia.,yep these are all correct   i think ninensei A and B are dating,
152,？？？？,意外かい？,Didn't expect this?,,
154,Rika (高校生クリスマス),"私……この学園の人はみんな大人しい、
お嬢さまばかりだと思っていました。",I... thought that everyone at this academy was all quiet and rich and dainty.,reworded a lil,
157,？？？？,"確かにみんなは普段、目立たないように
振る舞っているからね。
……でも、自分を出せる場ではこの通りだ。","Well, everyone is behaving so they don't stand out too much... but given the opportunity to show who they truly are, they get like this.",i think this is all eya?    Eya -> yea  Ueah :100:,
159,？？？？,"君たちが生徒会に関わらなければ、
一生知ることはなかっただろうけど。","If you two had never gotten involved with the student council, you probably would've never found out about this at all, though.",THIS MAKES ME SO SADDDDDDDDD,
163,Rika (高校生クリスマス),…………。,…………,,
167,？？？？,"……人間には個体差がある。
後天的な矯正ではどうにもできない部分もね。","...Each human is multifaceted.
This includes the built-in parts that cannot be corrected in any way.",editz,
169,？？？？,"彼女たちが、普段は大人しくルチーアの生徒を
しているのは、ある意味生存戦略だよ。
目立たず騒がず、大人しく息を潜めて牙を研ぐ。","Acting out the role of a typical Lucia student, is, in a way, a survival strategy for these girls. To blend in and to behave, to hold your tongue and to hide your fangs.",editz,
171,？？？？,"でも、個性と自我は絶対に手放したりしない。
それを失って、マニュアル的な言動しかできない人間は
エリートでも淑女でもなく……ただのロボットだよ。",But also never letting go of your individual personality and ego. Someone who loses that and becomes a human who can only act according to a manual... they are not an elite or a fine lady... they're merely a robot.,,
174,Rika (高校生クリスマス),"……だとしたら、あなたがそうやって独善的に
振る舞っていることも、生存戦略……ですか？",...Then does that mean your self-righteous behavior is also a survival strategy...?,,
177,？？？？,"私はやりたいようにやっているだけだよ。
ただでさえこの学園には、成績という点で
少なくない貢献をしてやっているんだ。",I just do what I want. I make plenty of contributions at this academy through my grades alone.,editz,
179,？？？？,"だったら、これくらいの自由な特権は
要求してもおかしくはないと思うけどね？","So, wouldn't you think it not unusual for me to demand these privileges and freedoms?",editz,
182,Rika (高校生クリスマス),"でも……もし、このクリスマスパーティーが
咎められる対象になったら、どうするんですか？
あなただけでなく、この人たちにまで責任が……。","But... what if this Christmas Party becomes an object of criticism?
Not only will you be held responsible, but these people here will be too...",editz,
185,？？？？,"そんなことは、絶対にさせない。
私の大切なものを傷つけるような連中がいたら、
思いつく限りの報復でわからせてやる。","I will never let that happen. If there's someone out there trying to hurt what's important to me, I'll be ready to answer with just as much retaliation as you can imagine.",,
188,Rika (高校生クリスマス),……っ……。,...ah...,,
191,？？？？,"権威をかさに着て他人に厳しい連中は、
裏を返せばそれ以外に自分を守る術がないってこと。","Once you flip the umbrella called ""authority"" over, you'll see the people abusing that umbrella have nothing else to protect themselves.",editz,
193,？？？？,"……それを理解しているから、結局やつらは
地団駄踏んでも黙って見ているしかないのさ。","...Because they're aware of that, all they can do is stomp their feet in frustration as they watch in silence.",editz,
196,Rika (高校生クリスマス),"……生徒会長。
私があなたのことが苦手な理由、
改めてわかりました。",...President. I now fully understand why I don't like you.,,
199,？？？？,うん……？,Yeah...?,,
202,Rika (高校生クリスマス),"あなたは、どんな困難が立ちふさがっても
全ての罪を自分が被ればいいと思っている。
最悪、自分がいなくなればそれで解決だと。","No matter what difficulties you face, you're convinced you're supposed to bear all of the sin yourself. In the worst case, you think things will get solved as long as you disappear.",,
204,Rika (高校生クリスマス),"自己犠牲……献身……？　いいえ、違う。
あなたは自分自身に、他人に対するほどの
価値を置いていない……。","Is it self-sacrificing...? Devotion? No, that's not what it is. You simply don't value yourself as much as you cherish others...",,
206,Rika (高校生クリスマス),"エゴを通しているように見せるくせに、
実は一番エゴから遠いところにいる。
それが、私にとっては……どうしても……。","You put on an egotistical front, but you're far from an egotist in reality. To me, that's something that I just can't...",editz,
209,？？？？,"……なるほど。君のそばにも、
そうやって罪を被ることで消えてしまった、
大切な人がいたってことかい……？","...I see. So there was someone important to you that bore all sin and disappeared, then...?",OH WOW THIS LIKE CONFIRMS SHES EUA,
213,Rika (高校生クリスマス),"っ……そうやって無遠慮に、
人の内面にまで入って来ないでください。",...Please do not try prying into people's lives like that.,,
216,？？？？,"いや、すまない。でも、そうか……
せっかくのクリスマスに、悲しいことを
思い出させてしまったね。……悪かった。","Oh, sorry. I see, though...
It's Christmas, and yet I made you remember something sad. ...My fault.",,
219,Rika (高校生クリスマス),"……そうやってすぐに、自分の非を
認めてしまえる余裕も……好きになれないんです。","...And the way you admit your sins so easily too...
I just can't come to like it.",,
222,？？？？,"それは失礼……ただ、うん。
私ごときに古手くんの大切な人の代弁が
できるとは思っていないが……。","Sorry about that... but, yeah. I don't think I can speak for the person that's important to you, but...",,
224,？？？？,"消えてしまったその人は、自分のことを思って
心を痛めるよりも……
君が人生を楽しんでくれることを望むはずだよ。",Rather than believing that this person you lost is only thinking about themselves and suffering... know that they likely wish for you to life your life fruitfully.,editz,
227,Rika (高校生クリスマス),…………。,............,,
230,？？？？,"私もね、大事な人がいるんだ。
……本音としては、その人のところに戻りたい。
こんな閉塞的な学園の中ではなくてね。","I also have someone who's important to me. ...If I'm being honest with my heart, I'd rather return to them than be at such a closed-off academy.",editz,
232,？？？？,"でも、今戻ったところで心配をかけるだけだ。
だからその分、たくさんの土産話を作っている。
このパーティーも、その１つだね。","But if I just returned now, they'd be worried for me. So I just make it so I have stories to deliver to them. This party is also one of those.",,
234,？？？？,"あと……北条さんは、義理固い子だ。
たとえ他人にちやほやされたとしても、
必ず古手さんのところに戻ってくる。","Also... Houjou-san is a very faithful girl. No matter how much she's fawned over by people around her, she'll always come back to your side.",,
236,？？？？,"彼女が離れて、寂しい気持ちは理解できるが……
もう少し信頼して、成長を待ってあげても
いいと私は思うけどね。",I understand that you feel lonely when she's away from you... but I feel as though you should wait and watch her grow.,editz,
239,Rika (高校生クリスマス),"……。あなたは、いったい何者ですか？
どうしてそんなにも、私たちのことを……。",...What in the world are you? Why do you care so much about--...,,
242,？？？？,それは……。,That's...,OH GIRL,
245,Rika (高校生クリスマス),"沙都子と自分が似ているから……なんて、
冗談でも言ったら怒りますよ？","If you say it's because you and Satoko are alike... I'll genuinely get angry even if it's a joke, you understand me?",*,
248,？？？？,"うん、言わない。
せっかくの聖夜を血に染めたくないからね。","No, I won't say that. I don't want our Christmas to become a bloodbath, after all.",,
251,Rika (高校生クリスマス),人聞きの悪い……。,You make it sound like I'm evil...,,
253,Rika (高校生クリスマス),"あっ、飾りが落ちている……
ちょっと、クリスマスツリーを直してきます。","Oh, an ornament is falling... I'll go fix the Christmas tree.",,
259,Rika (高校生クリスマス),よい、しょっと……あ……。,There you go...... ah...,,
260,Rika (高校生クリスマス),雪……ホワイトクリスマスね。,It's snowing... we're having a White Christmas.,,
261,Rika (高校生クリスマス),（綺麗……でも）,(It's so pretty... but...),,
262,Rika (高校生クリスマス),"（雪が降っているのを見つける時は、
いつも沙都子と一緒だったのに……）","(Every time the snow started falling, Satoko was always by my side...)",,
263,Rika (高校生クリスマス),（ちょっと寂しいわね……）,(I feel a little bit lonely...),,
272,Satoko (高校生クリスマス),あらっ……雪が降ってきましたわね！,Oh my... it's snowing!,,
278,Rika (高校生クリスマス),っ？　さ、沙都子……？,Ah? S-Satoko...?,,
280,Satoko (高校生クリスマス),"なにをびっくりしておりますの？
乾杯用のジュース、持ってきましたわよ。",Why are you so startled? I brought the juice for the cheers.,,
282,Rika (高校生クリスマス),あ、ありがとう……。,Th-thank you...,,
284,Rika (高校生クリスマス),……。ねぇ、沙都子。,"...Hey, Satoko.",,
285,Satoko (高校生クリスマス),"なんですの？
クリスマスプレゼントのことでしたら、
あとでちゃんと持ってきますわ。","What is it? If it's about the Christmas present, I'll bring it later.",,
287,Rika (高校生クリスマス),"うん、ありがとう。……あと、それとは別に
私もプレゼントを用意してあるのよ。","Yes, thank you. ...By the way, I have a present for you too.",,
289,Rika (高校生クリスマス),"だから……あとでパーティーを抜け出して、
２人でこっそりプレゼント交換でもしない？","So... why don’t we sneak out of the party later and secretly exchange presents, just the two of us?",,
291,Satoko (高校生クリスマス),いいですわね。ぜひ、そうしましょう。,That sounds great. Let's do that.,,
293,Rika (高校生クリスマス),"って……いいの？
生徒会の先輩たちに可愛がられていたみたいだから、
終わるまで過ごしたいのかな、って思ったんだけど。","But... is it okay? The student council's upperclassmen seemed to be doting on you, so I thought they'd want you to stay here until the end.",,
295,Satoko (高校生クリスマス),"ここで交換したら、せっかくの
梨花からのプレゼントを皆さんに見られて、
またオモチャにされるだけですもの。","If we exchange presents here, everyone will see the present you have for me, and they'd start messing around again.",,
297,Satoko (高校生クリスマス),"それに……梨花からのプレゼントは、
私だけで開けて、楽しみたいのですわ……♪",And... I want to be the only one who opens and enjoys the present you're giving me... ♪,SHAKES IN CORNER,
299,Rika (高校生クリスマス),"くすっ……そうね。あの人たちにからかわれると、
ムードも何もあったものじゃないし。",*giggle*... you're right. We can't have a mood or anything else going on if there's people toying with us.,,
301,Satoko (高校生クリスマス),"やはりそう思いますわよね？
あの先輩方、遠慮がなさすぎでしてよ！",Right? Those upperclassmen aren't thoughtful at all!,,
303,Rika (高校生クリスマス),"ふふっ……あっ沙都子、髪が乱れてるわ。
直してあげるから、ちょっとしゃがんで。","*chuckle*... Ah, Satoko, your hair is messy.
I'll fix it for you, so crouch down a little.",,
306,Satoko (高校生クリスマス),"……なんだか久しぶりに、梨花から
頭を撫でられましたわね。",...It's been a while since you've last caressed my head like this.,(GUNSHOTS) (SIRENS) (CAR CRASHES) (BABIES SCREAMING) (CARFAX COMMERCIAL BLASTING) (MARIACHI BAND PLAYING) (HELICOPTYERS FLYING,
308,Rika (高校生クリスマス),本当ね……。,Sure has...,,
312,？？？？,"こらこら、そこの２人。
窓辺で２人の世界に入っていないで、
もう一度乾杯しようじゃないか。","Alright, alright, lovebirds. Don't get stuck in your own little world of two over by that window and come cheer with us again.",editz *,
315,Satoko (高校生クリスマス),えぇ、わかりましたわ～！,"Yes, be there soon~!",,
319,Rika (高校生クリスマス),"……あの人、いいところで邪魔するのが
好きなのかしら？",...Does that person enjoy interrupting us right at the good part?,%$t#y%$#&#%*^%57967,
325,Satoko (高校生クリスマス),えっ……？,Huh...?,,
327,Rika (高校生クリスマス),"なんでもないわ。
行きましょう、沙都子。","It's nothing. Let's go, Satoko.",,
335,？？？？,それではみなさん……。,"Well then, everyone...",,
338,？？？？,メリークリスマス！,Merry Christmas!,,
