chara462001_02.bytes,,Lloro,Omega - QC,
83,Rika (Casual),"ありがとうはこちらの台詞なのです。
ボクの代わりに、一穂がお茶っ葉を
買ってきてくれて助かったのですよ。",I should be the one thanking you. Kazuho went out in my place and saved the day by buying these tea leaves for us.,"from '""Thank you"" is my line here. Instead of me going, Kazuho went out and bought these tea leaves for us, saving the day.'"
85,Kazuho (Casual),"この程度のお遣い、お安い御用だよ。
……けど、神社の清掃をお願いした
業者さんって、遅いね？","This kind of errand was easy for me... but the contractor they asked to clean the shrine is pretty slow, huh?",
87,Rika (Casual),"みー。もう来る時間だから
不在はまずいと思って、一穂に
お遣いを頼みましたのですが……。","Meep. I thought it'd be bad if I wasn't here when he came, so I had Kazuho run that errand...","from ""Meep. He should already be here, so I thought his absence would be bad, and then I had Kazuho run that errand, but..."""
91,Satoko (Casual),"こんなことになるのでしたら、
私が用事を終わらせてから買いに行っても、
全然間に合いましたわね。",It turns out that I could have finished that and went shopping and I still would have made it completely on time.,
93,Kazuho (Casual),"うーん、きっと前の仕事が
長引いているんだと思うよ。","Yeahh, I think that first job you mentioned is being dragged out.",
95,Satoko (Casual),"そうかもしれませんが、それなら連絡の
一本くらいあってもバチが当たらないと
思いますわ……。","It might be that way, but even if we call and complain, I don't think scolding would do much...",
101,Satoko (Casual),"でも梨花、どうして一穂さんに
お遣いをお願いしましたの？","But Rika, why did you entrust Kazuho with that errand?",
103,Rika (Casual),"みー。お茶がなくて困っている時に
たまたま一穂に電話をもらったのですよ。","Meep. Whenever I run into trouble with having no tea, I occasionally call Kazuho, like I did this time.",
107,Kazuho (Casual),"うん。前に梨花ちゃんからもらったりんごで、
美雪ちゃんがコンポート？　ってお菓子を
作ったから、お裾分けしようと思ってね。","Yep. Earlier, Rika gave me an apple and Miyuki made me a compote, or some snack like that, so I thought it would be nice to share all of this stuff with everyone.",
109,Kazuho (Casual),"それを持ってくるついでに、
お茶っ葉のお遣いをしてきたんだよ。","With all of this stuff in hand already, I took the opportunity to get some tea leaves as well.",
111,Rika (Casual),"コンポートは冷やした方がおいしいそうなので、
今夜のデザートにいただきましょうなのです。",Compotes are so delicious when they're chilled. Let's enjoy it for dessert tonight!,
115,Satoko (Casual),"あら、それは楽しみですわね。
……ですが、美雪さんは？","My, that would be fun. ...But where is Miyuki-san?",
117,Kazuho (Casual),"今も鍋につきっきりでコンポートを作ってるよ。
家の中、全部甘い香りでいっぱいでね……。","Even now, she's attentively sitting in front of the pan making compote. The whole inside of our house is full of sweet scents...",
119,Satoko (Casual),"羽入さんは今、家でお昼寝しているんでしたっけ？
もしここにいてその話を聞いたら、美雪さんの家へ
一目散に駆け出して行きそうですわ～。","Hanyuu-san is taking a nap at home right now, isn't she? If she were to hear this conversation, she would be breaking into a sprint running towards Miyuki-san's house~.",
121,Kazuho (Casual),"う、うん。
羽入ちゃんだったら好きな匂いだと思うけど……
私はちょっと、頭が痛くなってきちゃって。","Y-Yep. If it was Hanyuu-chan, I think she would love those smells... but for me, it's so sickeningly sweet it gives me a headache.",
125,Rika (Casual),みー。匂いは好き嫌いが出やすいのです。,Meep. You tend to be picky with smells.,i think this is about kazuho but its unclear
130,Kazuho (Casual),"菜央ちゃんは大丈夫みたいなんだけどね。
あの匂いの中でも、ぐっすりお昼寝……あれ？","It seems like Nao-chan is okay with it, though. Napping soundly right in the midst of all that smell... huh?",
132,Kazuho (Casual),"あの鳥居の下にいる人って……
もしかして業者さんじゃない？",That person there under the shrine gate... Is that the contractor?,
137,Satoko (Casual),"えっ？
ですがあの方、お掃除をする格好には
とても見えませんが……。",Huh? But I can't see someone cleaning in those clothes...,
139,Rika (Casual),"みー……
ドレスみたいな服を着てるのです。",Meep... She's wearing something like a dress.,"from ""Meep... She has on something like a dress."""
148,ヱリカ,あ、ぁ、あ、ぁああぁあああああああ……！,"Ah, ah, ah, aaaaaaaahhhhhhhhhhhhhhhhh...!",
155,Rika (Casual),えっ？！,What?!,
163,ヱリカ,あぁーーーーーーーっ！！,AAAHHHHHHH---!,
172,Kazuho (Casual),こ、こっちに向かって全力ダッシュ？！,S-She's dashing over here at full force?!,
178,Satoko (Casual),"りっ、梨花ぁ！
あの方って、あなたの知っている人ですの？！",Ri-Rikaa! Is she someone you know?!,
180,Rika (Casual),し、知らない人なのです！,I-I don't know her!,
184,Kazuho (Casual),"でもあの人、ミサイルみたいな勢いで
こっちに向かってくるよ……？！",But that person is sprinting over here like a missile...?!,
194,ヱリカ,我が主ぃいいいぃいいいいいぃいいいい！！！,MYYYYY MAAASTERRRRRRRRRRRRRRRRRRR!!!!,
202,Rika (Casual),みーっ？！,Me...ep?!,
208,Satoko (Casual),"ふわぁぁぁあぁっっ？
見知らぬ方が、梨花の足元へ流れるように
スライディング土下座？！",Whaaaaaaaaa? This stranger just dropped down by Rika's feet and slid into a kneeling position?!,
210,Kazuho (Casual),すごい、芸術的な土下座……！,"Wow, such an artistic form...!",
216,ヱリカ,"なななな、何故我が主がこのような
寂れた場所にいらっしゃるのですか？！",W-w-w-w-why would my master ever be in a run-down place like this?!,
219,ヱリカ,"はっ……！？
もしや、私がどのような働きを見せるか、
わざわざ見学にいらっしゃったと……？！",Ah...!? Have you perhaps gone out of your way to investigate what I've been doing here...?!,
222,ヱリカ,"あ、ありがとうございます！
そこまでご期待いただけていたことを
理解できず、本当に申し訳ございません！！","Th-thank you so much! For not having reasoned out an expectation of your arrival, I so deeply apologize!!",
225,Rika (Casual),あ、あの……。,U-Um...,
229,ヱリカ,はい、なんでしょうか！,"Yes, what is it?!",
231,Rika (Casual),ど、どちらさまですか？,Wh-who are you?,
233,ヱリカ,えっ？……我が主、ですよね？,"What? ...You are my master, right?",
235,Rika (Casual),違うのです。,Not at all.,
238,ヱリカ,は？！　い、いや、そんなご冗談を……。,"Huh?! N-No, that sort of joke is...",
244,Kazuho (Casual),"ねぇ、梨花ちゃん。もしかしてこの方が
清掃業者の人……じゃないの？","Hey, Rika-chan. Maybe this person... isn't... the cleaner?",
246,Satoko (Casual),我が主とか、言ってますわよ？,"She's saying ""my master"" and stuff too?",
248,Kazuho (Casual),えっと……そ、そういうサービス、とか？,"Uhh... so, is it like that kind of service?",
250,Kazuho (Casual),"ほ、ほら！　エンジェルモートみたいに
かわいい制服の店員さんがお客さんを
ご主人様として扱う……みたいな？！","L-Look! Doesn't she look just like a waitress from Angel Mort wearing that cute uniform, dealing with customers by calling them master? ...She does, right?!",
252,Satoko (Casual),一穂さん……それ、本気で言っておりますの？,Kazuho-san... are you seriously saying that?,
255,Kazuho (Casual),"……ごめんなさい。
自分で言っててなんだけど、
あんまり自信ない……うぅっ。","... I'm sorry. I said it myself, but I didn't really believe it all too much... Uuu.",
258,Kazuho (Casual),"け、けど一度、ちゃんと確かめた方が
良いと思うよ！",B-But I think we should check it out again to make sure!,
264,Rika (Casual),"みー。ボクも違うとは思いますが、
一穂の言うことにも一理あるのです……。","Meep. I also think it's a little different, but Kazuho was right in saying that...",
266,Rika (Casual),"あの……もしかして喜一郎がお願いした、
清掃業者の方ですか？",Um... are you maybe the cleaner that Kiichirou requested?,
268,ヱリカ,清掃業者？,Cleaner?,
276,ヱリカ,…………はっ？！,...Huh?!,
278,ヱリカ,"なるほど、そういうことですか。
これも我が主の暇潰し。いえ、慈悲！","I see, it's like that? This is also one of my master's time killing games. No, this is mercy!",
280,ヱリカ,"つまり不快にさせてしまったリベンジに
この古ぼけた神社の掃除ができたら
少しは見直してやろうという我が主のお心遣い！！","This is basically revenge for me displeasing her, so if I clean up this timeworn shrine, my master will change her perception of me out of thoughtfulness!!",
283,ヱリカ,つまり！　これはある意味ボーナスステージ？！？！,So basically! This means it's a bonus stage?!?!,"""In this meaning"" -> this means"
291,Satoko (Casual),……何を言ってるのか、全然わかりませんわ。,"...Whatever you're talking about, I don't get it at all.",
293,Kazuho (Casual),わ、私もわかんない……。,I-I don't get it either...,
299,Rika (Casual),みー……。,Meep...,
301,ヱリカ,"大変申し訳ございません！
ではこれより、古戸ヱリカの
華麗な掃除術をお見せ致しましょう！","I do humbly apologize for the trouble! So, from here on out, Erika Furudo shall demonstrate to you her magnificent cleaning powers!",
304,ヱリカ,さて、掃除道具はどちらにありますか？,"Now, where are the cleaning tools?",
306,Rika (Casual),"みー。てっきり業者の人が専門の掃除道具を
持ってくると思って……。",Meep. I certainly thought the contractor guy would have specialized cleaning tools with him...,
310,Satoko (Casual),特に、何も……。,"Or at least, something...","from ""And especially not nothing"""
318,ヱリカ,"……はっ！
ふ、ふふふ、なるほど。わかりましたよ。","...Hah! *giggle*... *giggle*giggle*, I see. I get it now.",
320,ヱリカ,"文字通り舌で舐めるように
掃除しろと言うことですね！
了解致しました、我が主！","So, what you're saying is you want me to clean it all up with my tongue! I shall get to it expeditiously, my master!","remove ""literally"""
329,Kazuho (Casual),ちっ、違うと思います！,That's... I don't think that's right.,
331,Rika (Casual),……むしろ逆に汚いと思うのですよ。,...I think that's actually dirtier.,more dirty -> dirtier
340,Satoko (Casual),"い、今すぐ掃除道具を準備しますわ！
だから、早まらないで下さいまし！
お願いですからぁぁぁ！",I-I'll bring out some cleaning tools right now! Please do not be so hasty! PLEASEEEE!,
