event01_16_01.bytes,chara,jp,en,Notes TL,Notes QC
132,,"だけど、私たちはとても喜ぶ気分ではなく……
暗い思いと、苛立ちにも似た不快感を
胸の内に押し込めるので精いっぱいだった。","We didn't feel very joyful, however...
I did my best to keep my dark thoughts and discomfort bordering on frustration sealed off within my heart.",,
135,Rena (Casual),"は、はぅ……それにしては２人とも、
圭一くんや梨花ちゃんとそっくりだよ……。",H-Hau... but those two seriously do look so similar to Keiichi-kun and Rika-chan...,,
138,詩音 (Casual),"……確かに。別人だと考えるのは、
ちょっと無理がありますね。","...Definitely. It's a bit difficult to think of them as different people, isn't it?",,
143,圭一 (アンドロイド),"んー、まぁ遠い過去に顔の似た祖先がいて……
偶然その遺伝子を受け継いだってことだろうな。","Mmm, well, maybe I do have an ancestor from the distant past that I resemble... and their phenotypic genes could've taken over by coincidence.","comment / from ""Hmm, well, my face does resemble my ancestors' from the distant past...Maybe there's a chance I inherited their genes.""",
146,圭一 (アンドロイド),"だが、何度も言うように俺はお前らのことは
何も知らねぇし、仲が良かった記憶もねぇ。
そのあたりだけは、はっきりさせておくぜ。","But as I said a bunch of times, I don't know you guys at all, and I don't remember us being friends. That alone should be crystal clear.","comment / from ""But as I've already said, I don't know you guys at all, and I don't remember us being friends. That should be crystal clear.""",
148,Rena (Casual),……っ……。,...nn...,,
151,,"前原くん――ではなくケーイチは、
そう言い放って不快そうに険しい表情を浮かべる。","Maebara-kun — or rather, ""K-1"" — has an unpleasantly stern look as he asserts that.",,
152,,"どうやら彼は、私たちと親しくするつもりは
ないようだ。……顔がよく似ている分、
寂しさを覚えずにはいられない。","Apparently, this person has no intention of befriending us. ...I can't help but feel lonely since that face looks so much like his.",,
157,Mion (Casual),"っ……とりあえず事情は、一応理解したよ。
まだ、納得できるって感じじゃないけどね。","Ngh... I more or less understand the situation, but I still don't exactly feel like I have enough information.","from ""Ugh...Given the current circumstances, I think I understand. But I don't exactly agree.""",
159,Mion (Casual),"ただ、その大災害ってやつのことについて
もう少し説明してもらってもいい……？","It's just, could you go into some more detail about this great disaster thing...?",,
163,詩音 (Casual),"あっ……お姉っ。
なんだ、もう気がついていたんですね。","Ah-... Sis.
Wow, you're already standing up?","from ""Ah...Sis. You've woken up, haven't you?"" ",
167,Rena (Casual),"み、魅ぃちゃん……。もう起き上がっても
大丈夫なのかな、かな……？","Mi-Mii-chan... I wonder if you're okay standing up like that, like that?","from ""Mi-Mii-chan...Is it safe to get up now, I wonder? I wonder?"" ",
169,Mion (Casual),"うん、問題ないよ。
……それに、こんな非常事態の真っただ中で
いつまでも寝ていられないでしょ？","Yup, it was no problem.
...And besides, you can't lay down the whole time you're in the middle of a crisis, y'know?","from ""Yup, no problem...Besides, I wouldn't sleep forever while we're in the middle of a crisis, would I?""",
172,,"……気丈にそう応えながらも魅音さんは、
顔をしかめてまだ苦しそうだ。","...Despite her hearty reply, Mion-san grimaced painfully.",,
173,,"それでも彼女は、私たちをかばうように
前に進み出ると……ケーイチとレディ・ミーに
向かい合うように立ちはだかった。","Even so, she stepped forward to protect us... standing before K-1 and Lady Meep.","from ""Even so, we stepped forward in order to help her....and stood in front of K-1 and Lady Meep so as to face them.""",
177,Rika (アンドロイド),"では、園崎魅音。
ボクたちに、何を説明してもらいたいのですか？","So then, Mion Sonozaki, what would you like us to explain for you?",,
180,Mion (Casual),"もちろん、私たちの生きていた時代……
昭和５８年に、雛見沢だけじゃなく地球全土で
何が起きたのかってことをね。","Of course, the time period we were alive was... 1983.
I want to know what happened not just in Hinamizawa, but with the entire world.","from ""The time period we lived in, of course. I want to know what happened in 1983. Not just in Hinamizawa, but with the entire world.""",
182,Mion (Casual),"そっちの都合で蘇生したくせに、
何の説明もなしってのは
あまりにも勝手が過ぎるってもんでしょ？","You revived us to your own convenience, so no matter how you explain yourselves, isn't this way too selfish of an action?","from ""Even though we were revived for a reason, isn't it pretty selfish to not explain anything?""",
186,Miyuki (Casual),"魅音の言う通りだね。
これからキミたちの話を聞くにしても、
まずそのくらいのフォローがないとさ。","What Mion said.
If I'm going to listen to you guys from now on, I'm for sure gonna need some follow-up.",,
189,Rika (アンドロイド),"みー、正しい要求なのです。
……ケーイチ、彼女たちに協力してもらうためにも
きちんと教えてあげるべきなのですよ。","Meep, that is a valid request.
...K-1, if we are to obtain these girls' cooperation, we must educate them properly.",,
194,圭一 (アンドロイド),"あぁ、わかったぜ。
それじゃ、これを見てくれるか。","Alright, got it.
Could everyone turn their attention here?",,
197,,"そう言ってケーイチがさっ、と手をかざすと、
空中に立体映像のスクリーンが現れる。","As K-1 said that, {i}fwip{/i}, he raised his hand, and a 3D screen appeared in the air.",,
198,,"どういう仕組みなのかは、私にはわからない。
ただその枠の中には、見慣れた雛見沢の全景が
鮮やかに映し出されていた。","However this thing was constructed, I had no idea. But within the screen, there was a vividly-projected bird's-eye view of the Hinamizawa that I was familiar with.","from ""Whatever the mechanisms were, I had no idea.",
202,圭一 (アンドロイド),"まず、今から１０００年前……この地を中心に
有毒性の自然災害が起きたって話だが……
お前ら、心当たりはあるか？",First of all... I was told that a poisonous gas disaster happened at this location a thousand years ago... but do any of you know what happened?,,
205,Kazuho (Casual),っ……火山性の、ガス災害……？！,A... a volcanic... gas disaster...?!,,
208,圭一 (アンドロイド),"ほぉ……？　記録が古すぎて、詳しい内容は
俺も知らねぇんだが……その存在についての
記憶があるってんなら、話は早いぜ。","Hoh...? The records are so old that {i}I{/i} don't even know the full details... but if you have memories of the event, that makes the explanation faster.","comment / from ""Oh...? The records are so old that even I don't know the full details...If you have memories of their existence, then we should talk about it quickly.""",
211,圭一 (アンドロイド),"んで、そいつが全土を覆いつくして……
その周辺に住んでた人間は、意識もないまま
命を落とすことになった――。","So, that seeped through the entire area...
And the people who lived in the vicinity died without knowing it was happening...",,
214,圭一 (アンドロイド),その中の犠牲者の一部が、お前らってわけだ。,Some of those victims happened to be you guys.,,
216,Kazuho (Casual),……っ……？！,...gh...?!,,
219,圭一 (アンドロイド),"その後、火山性のガスは気流に乗って
周辺の集落や都市、さらには海を越えて
外国へと伝わり……。","After that, the volcanic gas flow spread to outside towns and cities, and then overseas to foreign lands...",,
222,圭一 (アンドロイド),"その結果、地球の人口はほんの２、３年のうちに
たったの数万人にまで激減したそうだぜ。","As a result, Earth's population plummeted to just tens of thousands in two to three years.",,
226,Nao (Casual),"ちょっ……まさか、そんなことが……？！
いくら猛毒のガスだからって、そこまで広範囲に
拡散するなんてありえないでしょ？！","Wait... no way; something like that can't...?! No matter how much poisonous gas there is, it couldn't possibly have spread that much, could it?!",,
229,圭一 (アンドロイド),"んなこと言われても、俺は当事者じゃねぇからな。
ただ記録された事実を、伝えてるだけだ。","You can ask all you want, but I wasn't there, you know?
I'm just retelling the facts we have recorded.","comment / from ""I'm just telling it like it is, cause I wasn't there, you know. I'm just retelling the facts as I have them.""",
231,Nao (Casual),……っ……！！,...nnh...!!,,
234,圭一 (アンドロイド),"で、生き延びたわずかな人々は
死の星と化した地球を捨てることを決め、
宇宙に新天地を求めて旅立ち……。","So, the people who survived abandoned Earth since it was a dead planet, and sailed off into space to find a new home.",,
237,圭一 (アンドロイド),そんな地球人類の末裔が、この俺様ってわけだ。,I'm a descendant of those Earthlings.,,
242,Rika (アンドロイド),"みー。そしてボクは、ケーイチのサポートを
するために生み出されたアンドロイドなのですよ。
にぱー♪",Meep. And I am an android created to support K-1. Nipah~♪,,
246,Kazuho (Casual),は、はぁ……。,S-Sure...,"from ""H-hah...""",
249,,"アンドロイドといわれても……
人間と寸分変わらない容姿なので、
どう答えるべきかわからない。","Even if she calls herself an android... she doesn't look much different than a human, so I don't know how to respond.",,
250,,"ただ、ここでその疑問をぶつけたところで
話の腰を折るだけだと思った私は、
それ以上は何も言わず聞き流すことにした。","But I felt that if I asked any more questions, I'd be interrupting the explanation, so I chose to keep quiet and let it slide.",,
254,Rika (アンドロイド),"……さて、皆さん。
今の説明で、経緯を理解していただけましたか？","...Well then, everyone. Have the details been made more clear with this new explanation?",,
257,Kazuho (Casual),"……。あまりにスケールが大きいというか
想像できる範囲を超えすぎて、理解するのは
難しい感じだけど……。","...It's too big in scale, or rather, too far beyond my imagination, so I feel like it's hard to understand...",,
262,圭一 (アンドロイド),"まぁ、当然だろうな。
だから理解はもちろん、納得もしなくていい。","Well, I guess that's a given.
So you don't have to understand, or even agree.",,
265,圭一 (アンドロイド),"だが……これは事実だ。
その点を踏まえて、これから俺たちが話すことを
聞いてもらえると助かるぜ。","But... this is the truth.
With that in mind, it'd save us trouble if you listened to what we told you from now on.","from ""Nevertheless...that is the truth. With that in mind, we'd like you to listen to what we're about to tell you.""",
269,Mion (Casual),"……はいはい、わかったよ。
また電撃でビリビリやられちゃ、
たまったもんじゃないしね。","...Yeah, yeah, I got it.
I'd prefer not to get zapped again.",,
277,Mion (Casual),"んで……結局のところ、私たちはどうして
また生き返ることになったってわけ？
何をさせようってのか、それを先に教えてよ。","But still... why were we brought back to life again ultimately?
I won't let you do anything else until that gets explained.","from ""But still..after all of that, why were we brought back to life again? Before we do anything else, I want that explained.""",
285,圭一 (アンドロイド),"なに、簡単なことだ。環境保護官ってのは
荒廃した環境を整備して、絶滅した動物を
復活させることを仕事にしてるんだ。","Well, it's simple. The Environment Protection Coalition's job is to restore environmental ruins and bring back extinct animals.",,
288,圭一 (アンドロイド),"んで、今回大プロジェクトの一環として……
滅亡した旧人類を復活させることになった。
それが、お前らってわけさ。","And this time, we're working on a big project: bringing humanity back to life. That's where you guys come in.","from ""bringing back to life the old humanity that collapsed. Like you guys.""",
291,Satoko (Casual),"え、えぇっと……つまり私たちは
絶滅動物と同じ扱い、ということですのね……？",U-Uuum... so you're saying we're being treated like an extinct species...?,,
295,圭一 (アンドロイド),"早い話が、そういうこった。
んなわけだから、宝くじに当たったつもりで
せいぜい第二の人生を楽しんでくれよ。","In layman's terms, yeah.
Just enjoy your second life to the fullest as if you won the lottery.",,
299,Rena (Casual),"は、はぅ……そんなことを言われたって
知っている人がたくさん死んじゃったのに、
元の生活を送る気持ちには、とても……。","H-Hau... when you get told that you and everyone you knew died, parting with your former live feels... very...","comment / from ""Ha-hau...when you tell that to someone who has already died, it feels like living is a little..."" ",
304,Rika (アンドロイド),"みー、あなたたちに拒否権はないのです。
なぜなら復活させる時に、絶対服従の
マイクロコンピュータを埋め込みましたのですよ。","Meep, none of you have the right to complain. When we resurrected you, we implanted microcomputers inside of you all to ensure complete obedience.",,
308,Miyuki (Casual),"ま、マイクロコンピュータぁ？
それってどういう――うにゅ？！","M-Microcomputers?
What do you mean by—unyuu?!",,
312,,"レディ・ミーが手をかざした途端、
美雪ちゃんの口調がおかしくなる。そして、","When Lady Meep raised her hand, Miyuki-chan started speaking in a strange way. And then...",,
315,Nao (Casual),"み……美雪、大丈夫？
しっかりし――うにゅ？","Mi-...Miyuki, are you okay? Get a hold of—unyuu?",,
318,,"レディ・ミーが指で示す方向を転じるや、
彼女に駆け寄ろうとした菜央ちゃんまでもが
奇声をあげ始めた。","When Nao-chan tried to rush over to Lady Meep, Lady Meep pointed her finger towards Nao, who started speaking in a strange voice.",,
321,Kazuho (Casual),み、美雪ちゃん……菜央ちゃん……？！,Mi-Miyuki-chan... Nao-chan...?!,,
324,Miyuki (Casual),うにゅ……？　うきゅきゅきゅ、きゅきゅー？！,"Unyu...? Ukyukyukyu, kyukyuu?!",,
330,Nao (Casual),"うっきゅー！
きゅきゅきゅ、きゅぅぅぅうぅっっ？","Ukkyuu! Kyukyukyu, kyuuuuuu?",,
332,Kazuho (Casual),い、いったいどうしちゃったの……？,Wh-what's happening to you...?,,
335,Nao (Casual),きゅきゅー！　きゅきゅきゅ～！,Kyukyu! Kyukyukyu~!,,
340,Miyuki (Casual),きゅぅぅっ、うっきゅきゅっー！,"Kyuuuuu, ukyukyuu!",,
343,,"……何を尋ねてみても、返ってくるのは
奇声と鳴き声ばかりだ。悪ふざけというには、
２人の表情が真に迫りすぎている。","...No matter what I try asking, the only replies are strange cries and sounds. The expressions on their faces are too real to think it was a prank.",,
346,Kazuho (Casual),ちょっ……やめて！　２人を元に戻してっ！,Hol-... stop! Change them back!,,
350,Rika (アンドロイド),"みー、安心していいのですよ。
ちょっと使用言語を日本語から、
ウサギ語に変えただけなのです。","Meep, there is no need to worry.
I have temporarily changed their language from Japanese to Rabbitese.",,
354,詩音 (Casual),……ウサギって、こんな鳴き声でしたっけ？,...Did rabbits ever make this sound?,,
357,Rika (アンドロイド),"ちなみに、他にもカメ語、ワニ語、
アメンボ語などがあるのです。
……試してみますですか？","We also have Turtlese, Crocoese, and Water-striderese.
...Would you like to try one?",WATERSTRIDERESE,
361,Satoko (Casual),"……アメンボの鳴き声？
試しにちょっと聞いてみたくもありますわね……。","...Water strider noises?
I kinda want to hear what that sounds like...","from ""...Water strider noises? I'd like to ask a few questions first before I try it...""",
366,Miyuki (Casual),きゅきゅーっっ！！,KyuKYUUUUUU!!,,
368,Satoko (Casual),"じょ、冗談ですわ、美雪さんっ！
……って、なんだか動きまでウサギっぽく
なっておりますわよ？！","I-It's just a joke, Miyuki-san!
...Wait, she's even moving like a rabbit, isn't she?!",,
373,圭一 (アンドロイド),"あー、心配いらねぇ。これはあくまで
非常手段ってやつだから、おかしなことを
するつもりはねぇ。","Oh, don't worry. This is just an emergency measure; it isn't meant to cause them harm.",,
377,Kazuho (Casual),…………。,............,,
380,,"にこやかにそう言ってのけるケーイチだけど、
言葉通りに受け取ることなんか、絶対できない。","K-1 says that while smiling, but I certainly can't take it at face value.",,
381,,"なぜなら、彼らにそのつもりさえあれば
いつでも対処ができる、と
宣言されているようなものだからだ……。","It felt like a declaration that they could fix it whenever they wanted, but only if they felt like it...","comment / from ""It felt like a statement that they could fix this at any time, but only when they felt like it."" ",
385,圭一 (アンドロイド),"ま、あんまりネガティブに考えるなよ。
いきなり終わった人生をここで再開できるんだ、
ありがたくて涙が出てくるだろ？","Well, not much point thinking about it negatively.
Don't you feel like crying tears of joy now that you can resume your life right from when it suddenly ended?",,
388,Kazuho (Casual),…………。,............,,
391,,"……なぜだろう。以前の前原くんと違って
このケーイチには心なしか苛立ちというか、
嫌悪感に似たものを抱かずにはいられない……。","...I wonder why. But I couldn't help but feel frustrated, or rather, disgusted at this K-1, who was nothing like Maebara-kun...",,
395,圭一 (アンドロイド),"んじゃ、あとは追って指示するから。
とりあえず今は少し休んでおけ。","Anyways, we'll be informing you some more soon.
Get some rest for now.",,
398,圭一 (アンドロイド),行こうぜ、ミー。,"Let's go, Meep.",,
402,Rika (アンドロイド),"はい、わかったのですよ。
それじゃ皆さん、またあとでなのです。","Yes, understood.
Well then, everyone, we shall meet again.",,
410,,"そう言い残して、ケーイチとレディ・ミーは
踵を返して……壁の向こうへと消える。","After saying that, K-1 and Lady Meep turned around... and vanished through the wall.",,
411,,"ただ、２人がいなくなってからも私たちは、
呆然とした思いでその場から動けなかった……。","Even after they were gone, we were stunned and couldn't move an inch...",,
