event01_16_02.bytes,chara,jp,en,Notes TL,Notes QC
185,,"無力すぎる自分への怒り、悔しさ、悲哀。
整理できない様々な感情を持て余して……
私はため息をつきながら、何度も首を振る。","I feel angry, bitter, and sad at our powerlessness.
There are far too many emotions to be able to sort through... so I just sigh and shake my head over and over.",,
186,,"いきなり、これが最後の１日といわれても
納得なんかできない……できるわけがない。",I can't accept that this is my final day here... there's no way I could with that information just laid on me suddenly.,"comment / from ""Suddenly being told that this was my final day, I couldn't accept it...I just couldn't.""",
187,,"そんな、暗い気持ちで視線を落としながら
こみ上がってくる嗚咽を漏らしそうになった……
その時だった。","Those gloomy feelings caused my gaze to fall, and I was on the verge of sobbing... but at that moment...","comment / from ""These gloomy feelings caused my gaze to fall, and I was on the verge of tears...But at that moment...""",
194,Mion (Casual),"まぁ……こうなったら、気持ちを切り替えてさ。
せっかくだしみんな、昨夜……じゃない、
１０００年前の続きで天体観測でもしにいこうっ！","Well... in times like these, you just need to change your state of mind. Alright everyone, let's get back to the stargazing we did last night... no, a thousand years ago, tonight!",,
201,詩音 (Casual),えっ……？,Eh...?,,
204,Rena (Casual),魅ぃちゃん……？,Mii-chan...?,,
207,,"明るくそう言い放つ魅音さんに、
私たちは一斉に顔を向けて怪訝な思いを抱く。",We all simultaneously look at Mion-san with puzzled thoughts after her cheerful declaration.,,
208,,"すると彼女は、苦笑まじりに肩をすくめながら……
私たちを元気づけるように声を張り上げていった。",Then she shrugged her shoulders with a wry smile... and raised her voice to cheer us up.,,
211,Mion (Casual),"悲しんでばかりいたって、何も始まらないって！
だったら、最後でも楽しい思い出を残したほうが
なんぼかマシ！――でしょ？","Moping around won't get anything done!
It's much better for our last memory here to be a happy one! ―Right?","comment / from ""Moping around won't get anything done! That's why it's better for our last memory to be a happy one, right?!""",
213,Mion (Casual),"明日になったら、どこの星に連行されるのかは
私もわかんないよ。……けど、今日みんなと過ごした
思い出は大切に覚えていたいんだ……ねっ？","Tomorrow, we'll be taken away to some world we know nothing about. ...But today, we can create special memories together to be able to look back on them fondly... y'know?",,
215,？？？？,……っ……！,...ah...,,
219,詩音 (Casual),"くっくっくっ、そうですね……。
色々考えて落ち込むより、ここはひとつ
明るく気分を入れ替えるとしますか。","*cackle*, I see...
We need to try replacing all of our sad thoughts with happier ones instead of sitting on them, right?",,
222,Rena (Casual),"あははは、さすが魅ぃちゃん！
レナは異議なーし、だよっ♪","Ahahaha, that's the Mii-chan we know!
Rena has no objections♪",,
226,Miyuki (Casual),"んー、まぁ勝手に生き返らせておいて
ずいぶん扱いが雑だなー、ってムカッ腹は
あるけどねー。","Mmm, well, it is pretty aggravating being brought back to life against our will. Like talk about sucky treatment...","comment / from ""Mmm, well, after being brought back to life on a whim and being treated so poorly, I'd expect to feel a little angrier..."" ",
229,Miyuki (Casual),っと、今のって聞こえてない……よね？,"...Wait, they didn't hear that... right?","comment / from ""...Is anybody listening right now?""",
232,,"美雪ちゃんは慌てて口を押さえる。
私たちも思わず身構えた……けれど、何もないことを
確かめてからはクスッ、と笑いあった。","Miyuki-chan panics and suddenly covers her mouth.
We also instinctively braced ourselves... but after seeing that nothing was wrong, {i}pffft{/i}, we all started laughing.","comment / from ""Miyuki-chan suddenly covered her mouth. We also instinctively braced ourselves...but after seeing that nothing was wrong, we all laughed.""",
235,Nao (Casual),"言葉が変になるくらい、別にいいわよ。
……ちょっとびっくりしたけどね。
どう美雪、何か異変とかはない？","It seems fine to say bad stuff. ...I was a little scared, though. How are you, Miyuki? Anything strange happening to you?","comment / from ""I'm not particularly surprised that you said something weird....But I was a little surprised. What strange thing did you see, Miyuki?""",
238,Miyuki (Casual),……うん。問題はない、かな……？,"...No. I'm okay, I guess...?","from ""...Yeah. That won't be a problem, will it...?""",
241,Miyuki (Casual),"――っていうか、ぜんぜん大丈夫！
この通り、ピンピンしてるもん！","—You know what, actually, I'm totally fine!
I'm super lively, as you can see!",,
245,Mion (Casual),よしっ……んじゃみんな、行きますか！,"Alright! C'mon, everyone, let's go!",,
249,Satoko (Casual),をっほっほっほっ、燃えてきましたわ！,Ohohohohoho! Now I'm all fired up!,,
253,Rena (Casual),あははは、レナも頑張っちゃうよ～！,"Ahahaha, Rena will keep at it too~!",,
256,,"こうして気持ちを切り替えた私たちは、
古手神社へと向かって歩き出した。","Our moods in much better shape, we all walked towards the Furude Shrine.","comment / from ""With our moods changed, we walked towards the Furude Shrine.""",
