chara062016_03.bytes,chara,jp,en,Notes TL,Notes QC
79,Satoko (高校生クリスマス),えっ……？,Huh...?,,
81,Rika (高校生クリスマス),"沙都子……私ね、あなたをルチーアに
誘ったことを……ずっと後悔していたの。","Satoko... you know, up until a bit ago... I've been regretting having invited you to come to Lucia.",order,
83,Rika (高校生クリスマス),"ここに来てから沙都子、勉強漬けで
すごくつまらなさそうだったから……。","Ever since you came here, Satoko, you seemed piled up with studies and bored out of your mind...",,
85,Satoko (高校生クリスマス),"……。梨花、そろそろツリーの
飾りつけを始めませんこと？","...Rika, shouldn't it be about time for us to start decorating the tree?",THIS IS SUCH A SHOUJO HELPPPPPHP,
87,Rika (高校生クリスマス),え、えぇ……。,Y-Yes...,,
94,Satoko (高校生クリスマス),"梨花、私はね……生徒会長に基礎はできていると
褒められた時、安心しましたのよ。","Rika, you know... I felt relieved when the president praised me, telling me that I understand the basics.",,
95,Satoko (高校生クリスマス),"梨花が教えてくれたことはちゃんと、
私の中に培われていたんだな、って。","I thought, ""So I was properly cultivating all the things Rika taught me...""",,
96,Satoko (高校生クリスマス),"勉強を教えてくれた梨花の努力と時間は、
無駄なんかじゃなかった……って。","And that, ""...The effort and time Rika spent teaching me wasn't all in vain...""",,
97,Rika (高校生クリスマス),沙都子……。,Satoko...,,
98,Satoko (高校生クリスマス),"私としては、いつも申し訳なさすぎて
テストが返って来るたびに涙が出そうに
なっていましたのよ。","Personally, I felt so much like a burden that every time the tests returned to me, I felt tears well up in my eyes.",editz,
99,Satoko (高校生クリスマス),"全然、結果が出ない。
このままだと梨花の努力が無駄になる、って。","""I can't get good grades at all. At this rate, Rika's efforts will all be for nothing"", I thought.",,
107,Rika (高校生クリスマス),でもそれは、私じゃなく生徒会長のおかげで……。,"But that was all thanks to the president, not me...",,
109,Satoko (高校生クリスマス),"生徒会長の言葉を、繰り返しますわ。
「君は基礎ができている」と。
……でも、それを教えてくれたのは梨花でしてよ。","I'll reiterate what she said. ""You understand the basics"".
 ...The only reason I know those basics... is because of you.",editz,
111,Satoko (高校生クリスマス),"まぁ、梨花にもらったものを活かせず
ミスを連発したのは、私の落ち度ですが……。","Well, the fact that I couldn't put what I learned from you to good use and made a series of mistakes was my own fault, though...",,
113,Rika (高校生クリスマス),…………。,…………。,,
115,Satoko (高校生クリスマス),梨花……私、学園生活が楽しくなってきましたわ。,Rika... life at school is fun to me now.,editz,
117,Satoko (高校生クリスマス),"ルチーアに行こうと誘ってくれなかったら、
勉強が楽しいと思う日なんて来なかったと
断言できますもの。","I can assure you that if you had never invited me to Lucia, the day that I'd think that studying is fun would have never arrived.",,
119,Rika (高校生クリスマス),"でも、勉強のせいで沙都子は苦しんだんでしょう？
……ルチーアに誘わなければ、その苦しみはなかった。
生徒会長に会えたから、なんとかなっただけで……。","But studying made you suffer, didn't it? ...If you never came to Lucia, you wouldn't have had to go through all of that suffering. Things just happened to work out because you met the president...",editz,
121,Satoko (高校生クリスマス),"あの人が私の人生を変えたように見えるなら、
それは大きな勘違いでしてよ。","If you're under the impression that that person changed my life, then that's a huge misunderstanding.",,
123,Satoko (高校生クリスマス),"ルチーアに来なければ、あんな変な人に
出会うことなんて、絶対にありませんでしたわ。","If I never came to Lucia, I would have never met that weirdo.",editz,
125,Rika (高校生クリスマス),……ありがとう、気遣ってくれて。,...Thank you for being considerate.,,
127,Satoko (高校生クリスマス),"違いますわ……もう、梨花も自分のことが
わかっておりませんのね。","That's not it... Jeez, Rika, you don't know anything about yourself either, do you?",,
128,Satoko (高校生クリスマス),"#p雛見沢#sひなみざわ#rで最初に私を助けてくれたのは、
梨花ですわ。それはもう、間違いのない事実。","The one who saved me before anyone else at Hinamizawa was you.
That is an undeniable fact.",,
130,Satoko (高校生クリスマス),"それに……覚えておりまして？
圭一さんが転校してきた時、
梨花が「何かが変わる気がする」と言ったこと。","And... do you remember? When Keiichi-san moved in, you said, ""I feel something might change"".",,
132,Rika (高校生クリスマス),え、えぇ。そんなこともあったわね……。,Y-Yeah... that did also happen...,,
134,Satoko (高校生クリスマス),……圭一さんが来て、村は変わりましたわ。,"...Keiichi-san arrived, and the village changed.",,
136,Satoko (高校生クリスマス),"そして、ルチーアであの人が生徒会長になり……
少しずつでも、何かが変わろうとしている。",And with that person becoming the student council president at Lucia... changes are again happening little by little.,editz,
138,Satoko (高校生クリスマス),"私も、変わりたいんですの。
もっと梨花の隣で胸を張って、歩ける自分に。","I also want to change. I want to be someone who can proudly walk by your side, Rika.",,
140,Satoko (高校生クリスマス),"私は梨花ほど器用ではありませんし
時々つまづいて遅れるかもしれないですけど……
必ず、必ず梨花に追いつきますわ。","I'm not as shrewd as you are, and I may trip over and fall back at times... but I'll absolutely, absolutely catch up to you one day.",,
142,Rika (高校生クリスマス),……だとしたら、私も負けてられないわね。,"...If that's what you'll do, then I can't lose to you either.",,
144,Satoko (高校生クリスマス),"えぇ！　次のテストで
高得点を取って先生たちの度肝を抜いて……。","Yeah! On the next test, I'll get a high score and strike those teachers dumb...",editz,
147,Satoko (高校生クリスマス),次は梨花の順位を危うくしてさしあげますわ！,And then I'll jeopardize your ranking on the test after that!,,
149,Rika (高校生クリスマス),"くすっ……楽しみね。
私も負けないように頑張るわ。",*giggle*...I'm excited. I'll also do my best so that I don't lose.,,
152,Satoko (高校生クリスマス),"えぇ、楽しみにしてくださいませ！
をーっほっほっほっ！！！","Yes, do very much look forward to it! Ohohoho!!!",,
