chara482001_01.bytes,,battler part 1. feel free to take over my tls or whatever. ,Lloro - QC/TL,Naegles- QC,
216,Miyuki (Casual),"うんうん。
一穂が速攻で反応して、迎撃するだろうからね。","Yup, yup. Kazuho would kick your ass instinctively.",intercept can be written as coutner-attack,"from ""Kazuho's reflexes will immidiately intercept you."
221,戦人,"いやいや、さすがに親切にしてもらってるのに
非常識な事をする気はねぇって。","No, no, I'm not planning on doing anything as thoughtless as that when you're being so generous to me.",,
223,戦人,"……ってか一穂ちゃんって、この子だよな？
こんな大人しそうで、可愛い子が迎撃……？","...I mean, this one is Kazuho-chan, right? This cute, well-behaved looking girl would do that...?","from ""...I mean, this girl is Kazuho-chan, right? This quiet, cute kid would intercept me...?",
228,Rena (Casual),"はぅ……戦人さん、一穂ちゃんは強いですよ。
かぁいくて、とっても頼りになるんです♪","Hau... Battler-san, Kazuho-chan is pretty strong. She's kyute and super reliable too♪",,
230,Kazuho (Casual),"わ、私はレナさんの方が、
はるかに強いと思うんだけど……。","C-Compared to me, Rena is way stronger, though...",,
235,圭一 (Casual),……俺からすれば、どっちも強いんだがなぁ。,"...From my point of view, you're both pretty powerful.",,
240,Satoko (Casual),完全に意味のない譲り合いになっておりますわね。,That would become quite the meaningless battle.,,
242,Hanyuu (Casual),"あぅあぅ。レナはとても強いですが、
腹をくくった一穂も相当の実力なのですのよー。","Au au. Rena is super powerful, but when Kazuho gets prepared for the worst, their power is neck to neck!",,
246,Rika (Casual),"みー。どんな相手も、ばったばったと
蹴散らしていくのです。",Meep. It doesn't matter who they're facing; they'll mow the enemy down. ,rika uses otomotopeia here. ,
250,Mion (Casual),"腹をくくると強いのは、公由の血だろうね。
そういうところ、公由のおじいちゃんと似ているよ。",The strength to face anything runs in the Kimiyoshi blood. That reminds me; that's just like Grandpa Kimiyoshi. ,prepare yourself for anything' may be more apt,took out down
255,Kazuho (Casual),そ、そうかな……？,R-Really...?,,
257,Kazuho (Casual),"（ど、どうしよう……
お爺ちゃんのこと、全然覚えてないよ）",(W-What should I do... I don't remember anything about my grandpa!),,
262,戦人,"へぇ、一穂ちゃんは祖父さまに似てるのか。
俺も祖父さまに似てるって言われたことがあるし、
なんか親近感がわくぜ。","Heh, so Kazuho-chan takes after her grandpa? People tell me I take after my grandfather too. We might be kindred spirits.",,
264,朱志香,"祖父さまって……うちにいるあの人か？
そいつは初耳だが、誰に言われたんだ？",By grandfather... you mean {i}our{/i} grandfather? Never heard that before. Who told you that?,,
266,戦人,"……覚えてねぇけどよ？
でも、そんな記憶があるぜ。",...Not sure? But I do remember it happened at some point.,,
268,朱志香,"冗談じゃねぇぜ……！　もしそうなら、
戦人も将来はあの祖父さまみたいに
なるってことだぜ。","This isn't a joke...! If that's true, you're gonna be just like Grandfather in the future.",,
270,朱志香,"部屋に閉じこもって、謎の薬品をぶちまけて
錬金術だの、黒魔術に夢中になるようなのは
祖父さまだけで十分だっての。",He's the only person who'd be so preoccupied with studying black magic and alchemy that he'd seclude himself in the study spraying mysterious chemicals everywhere.,i changed this back bc it was fine as is,
272,戦人,いや、俺もそっち方面に、興味は全然……。,"Nah, I don't think I'd go {i}that{/i} far...",,
276,Miyuki (Casual),"錬金術……確か、科学のもとになった学問だよね。
最終目的は、黄金を作るんだっけ？",Alchemy... I think that was the foundation that modern science is based on. Wasn't its ultimate goal to create gold?,,
278,朱志香,おっ、よく知ってるね。えっと……。,"Oh, you're familiar with it. Um...",,
280,Miyuki (Casual),"美雪でいいよ。
錬金術のことは昔、何かの本で読んで
たまたま覚えてたんだ。",You can call me Miyuki. I remember reading about alchemy in some sort of book a while back.,,
284,Satoko (Casual),"でも……なんだか、面白そうなお祖父さまですわね。
一度お会いしてみたいですわ～！",But... he sounds like an interesting grandfather. I'd love to meet him sometime~!,just once -> sometime,
287,朱志香,"いや……たぶん、実際に目にしたらそんなこと
言えないんじゃないかな……。孫の私ですら、
何を考えてるのかわからないところがあるし。",Nah... You probably wouldn't be saying that if you actually saw him... Like I don't know what he's thinking even as his grandkid.,,
293,Mion (Casual),"もしかしたら、朱志香さんのお祖父さん……
うちの婆っちゃと似たタイプかもね。",Maybe Jessica-san's granddad is the same type of person as Granny?,,
295,詩音 (Casual),"うちの鬼婆なら、気に入るかもしれませんね。
……戦人さんと、会わせてみます？","That hag would probably take a liking to him.
...You wanna try introducing her to Battler-san?",,
297,Mion (Casual),"会わせてみたいけど、例の大騒動の後始末で
うちの家もドタバタだからなぁ……。","I'd love to, but it's been pretty chaotic at the house since we've been dealing with the aftermath too...",,
303,Rika (Casual),"みー。戦人が将来どうなるのか、
楽しみなのですよ。
みんなで賭けてみますですか？",Meep. I'm excited to see what the future holds for Battler. Does anybody want to place bets on it?,,
305,戦人,"おいおい、他人の人生でトトカルチョとは……
雛見沢の連中ってのは、なかなか遠慮がねぇな。","Hey, hey, starting a betting pool based on somebody else's life... the people of Hinamizawa really don't hold back, do they?",,
309,圭一 (Casual),"うちの部活メンバーは特別だぞ……って、
仲間に加わっている俺が言っても
説得力がねぇよなぁ……。","Our club members are something special... 
But... when that's coming from someone already in the group, it probably doesn't hold much weight, does it...?",,
314,Kazuho (Casual),あ、あははは……。,A-Ahahaha......,,
319,朱志香,"ちなみにみんなの部活って、
いろんなゲームで遊ぶサークル活動……だっけ？","By the way, you play a bunch of different games with each other in your club activities, right...?",this sentance is pretty clunky,"from ""By the way, are the club activities you mentioned where you play different games with each other as a group...?"
321,戦人,"話を聞いてるだけだと面白そうだけど、
このメンツが揃うとクセが強そうだな。","Just going off of what I've heard, it seems interesting.
Given this cast of characters, though, it definitely gets weird.",,
327,圭一 (Casual),"……っと、話が脱線したな。
んじゃ宿の問題が片づいたところで、
俺たちで２人を観光案内するとすっか。","...This is getting off topic. Well, since we solved the problem of where you're going to stay, why don't we take you two around Hinamizawa?",,
330,Rena (Casual),"うんうん、レナは異議なーし、だよ♪
２人は、どこか行きたいところとかありますか？","Yeah, yeah, Rena has nooo objections♪ Where do you two want to go?",,
335,戦人,そうだな、とりあえず……。,"Oh, yeah, for the meantime...",,
339,戦人,……。腹減った。,...I'm hungry.,,
344,朱志香,"お前っ……それ言うか？　今言うか？！
さっきレナちゃんにおにぎりを山ほど
差し入れしてもらっただろうが！",You're... really saying that? And saying it now?! It was only a little while ago that Rena-chan brought us a mountain of onigiri!,,
346,戦人,"あぁ、あれは美味かった！
気がついたら一瞬で山が消えてたくらいに！","Yeah, and that was delicious! The entire mountain was gone before I realized it!",not very sure on this line.,order change
351,Rena (Casual),はぅ……ごめんなさい、足りなかったですか？,"Hau... I'm sorry, was it not enough?","from ""do you need more?",
356,朱志香,"こいつが馬鹿みたいに食べるからだろ……
燃費悪すぎだぜ。その図体を保つのに、
どれだけのカロリーが必要なんだ？",This one eats like a pig... like he takes up {i}way{/i} too much fuel. How many calories do you even need to support that body of yours?,,
359,戦人,う、うるせぇ！　成長期なんだよ！,S-Shut up! It's a growth spurt!,,
364,詩音 (Casual),"って、まだ伸びるつもりなんですか……
末恐ろしいですね。","If that's true, it means you're still growing... that's scary.",,
369,Miyuki (Casual),"んー、おにぎりに背を伸ばす効果があるなら、
一穂も背が伸びようとしてるってこと？","Mmm, if eating lots of onigiri is supposed to make you taller, does that mean Kazuho is trying to get taller?",,
371,Kazuho (Casual),そ、そうなのかな……？,W-Who knows...?,,
375,Nao (Casual),この子はただの食いしん坊よ。,This girl's just a glutton.,,
378,Kazuho (Casual),うっ？！,Gh?!,,
386,圭一 (Casual),"つまりうまいものが食いたいってことだな！
なら、いい場所があるぜ。",So the move is getting some tasty food then? I know a good place if so!,"from ""That was delicious! Now, I know a good place.",
389,圭一 (Casual),"というか、戦人をあそこに連れて行かないなんて
絶対にありえねぇぜ！",Which means there's absolutely no chance we're {i}not{/i} bringing Battler over there!,"from ""I mean, there's zero chance we're not bringing those two over there!",
396,戦人,な、なんだか自信満々だな……。,Y-You sound pretty confident...,"from ""I-Isn't that a little arrogant...?",
401,Rika (Casual),"みー。圭一がどこに連れて行こうとしているのか
わかったのです。",Meep. I know where Keiichi wants to go.,,
403,Miyuki (Casual),うん、私も。,"Yeah, me too.",,
407,Mion (Casual),あそこしかないだろうねぇ。,Can't think of anywhere else.,,
413,朱志香,"お、なんだなんだ、みんなは予想がついてるのか？
ってことは、よっぽどいいところなんだな。","Woah, wait, wait, all of you can already tell? This place has to be the best in town, huh?",wording on first sentance could be better.,"from """"W-wha-what, were all of you expecting this? If that's the case, that place has to be the best in Hinamizawa."
415,戦人,いや～、楽しみだぜっ！！,"Ah~, I'm looking forward to it!!","from ""Yeah~ It sounds fun!",
