164,Rena (Casual),"例のやつ……って、どうして小皿に
１つずつチョコが乗っているのかな、かな？","I wonder why this thing... is a small plate of chocolate, of chocolate?",,
166,Mion (Casual),"さっき頼んで、次のシーズンに向けた
試作中のお菓子を出してもらったんだよ。
これはね、ロシアンルーレットチョコ！",I asked them for one of the sweets they're making next season. This is... Russian Roulette Chocolate! ,,
168,Mion (Casual),"チョコの中にハズレが混じっていて、
噛むと激辛ソースが出てくるんだよ。
……で、ハズレを食べてしまった人が負け！","One of the chocolates here is the ""bullet"" that will gush out hot sauce when bitten into. So, whoever bites the bullet loses!",could probably use a better term than failure.,changed it to bullet which doubles up the meaning
174,Hanyuu (Casual),"あぅあぅ、普通においしく
チョコを食べたかったのですよ……。","Au au, I just wanted normal, tasty chocolate...",,
176,Miyuki (Casual),"んー、でもぱっと見だと
どれがハズレかわからないねー。","Mmm, and you can't tell from a glance which one the bullet is either.",,
180,詩音 (Casual),"もちろんです。
簡単にわかったら、意味がないじゃないですか。
……というわけでお二方、覚悟はいいですか？","Of course. There wouldn't be any point in doing it if it was that simple to figure out. ...Now, are you two ready?",,
186,戦人,"なるほど、これが部活ってヤツか……
おもしれぇ、やってやろうじゃねえか！","I see, so this is what a club activity is...
Sounds fun. I'm in!",interesting -> fun / i'll try it -> im in,
188,朱志香,へへっ、だな！,"Heheh, right?!",,
198,Mion (Casual),"１度手に取ったチョコは、絶対食べるルール！
さぁ、激辛チョコバトル、スタートっ！！","The one rule is that once you pick up a chocolate, you absolutely must eat it! Now, fiery hot chocolate battleeee, begin!",order change,
207,Mion (Casual),"……っし、私はセーフっ！
次は戦人さんの番だよ～？","...Alright, I'm safe! Isn't Battler-san up next~?",,
214,戦人,"っ……お、おおぉっ！　わかってるぜ！
次こそ絶対に、当ててやる……ッ！","...O-Oooooh! Got it! Next round, I'm definitely shooting a blank...!",WORDS HARD he says he is going to get a normal choco.,"I SCREAMED // from ""...Oooo! Got it! This time, I'm definitely going to draw a hit!"
220,戦人,"……よし、わかった！
俺の選択は……この真ん中のチョコだ！","...Alright, let's go! My pick is... this chocolate in the middle!",,
221,詩音 (Casual),"あら……くすくす、本当にいいんですか？
もう少ししっかりと吟味してからでも、
遅くないと思いますけどね～。くっくっくっ！","Oh my... *giggle*, is that really your choice? I think you still have time to look at it a little more closely, though~. *cackle*cackle*!",ara -> oh my,
222,戦人,"へっ……ぬかしやがれ！
さっきもそのブラフで俺の思考を惑わしてきたが、
もう騙されねぇからな！","Heh... stay out of this! You misled me once with that bluff earlier, but you won't get me again!",,
223,戦人,"迷った時はど真ん中！
せっかくだから俺は、この赤のチョコを選ぶぜ！
うおおおぉぉぉおぉっっ！！","When in doubt, choose the one in the middle! I'm choosing this red chocolate! Uoooooooooooohhhhhhhh!!!!",,
227,,…………。,............,,
234,戦人,"おぁあぁああああああああ！！！
辛ッ、辛ッッ、うぉおおおお！！！","AAAAAAAAAHHHHH!!! Hot, hot, uoooooohhhh!!!!",,
242,Rena (Casual),はぅっ？！　またまた戦人さんがハズレ？！,Hau?! Battler chose the bullet again?!,,
244,Satoko (Casual),戦人さんが負けたの、これで何回目ですの？,How many times has Battler-san lost now?,,
248,Rika (Casual),みー。３戦中３連敗中なのですよ。,Meep. He's had three battles and lost three times.,,
257,戦人,"ひぃいぃい、辛っ、辛ッ！！
なんだこの刺すっていうか抉るような痛みは？！","Hiiiihh, hot, hooot!! What's up with this gouging, piercing pain?!",,
259,戦人,"っていうか口の中全体がビリビリ通り越して
ざりざりしてなんだこれかゆいかゆいぞ口の中が
かゆ……いやなんだこれイテェぞこれ？？！！",Isaythatbutit'slikemyentiremouthisgettingshockednoit'smorethanthat {i}it'ssearingwhatisthisITBURNSITBURNSOOHMYMOUTHBUR-{/i}... AHHHWHATISTHISHORRIBLEFEELIIIIIINGGGG??!!,,
262,戦人,ひぃいいいいいぃいいいいいひぃいいい！！,Hiiiiiiiiiiiiiiiiiiiihhhhhhiiiiiiiiiiiiiiiiiiiiiihhh!!,,
270,Kazuho (Casual),は……はい！　お水です、戦人さんっ！,"H-... here! Here's some water, Battler-san!",,
277,戦人,ありが……ぐっ？！,Thank----guh?!,,
285,Miyuki (Casual),"そういや、社宅の辛いもの好きな人が
言ってたんだけど……辛いものを食べて
苦しい時に水を飲むのは、逆効果なんだって。","By the way, one of the guys in police housing that really loves spicy stuff told me... that drinking water when you're suffering from the effects of spicy food will only make the pain worse.",the company housing bit probably makes more sense if i knew anything about miyuki's backstory,
288,Kazuho (Casual),えっ……？！,Huh....?!,,
292,Rena (Casual),"はぅ……辛み成分が水に混じって
口の中に広がっちゃうから……？",Hau... so the spicy stuff will mix with the water and spread everywhere in your mouth...?,,
296,Nao (Casual),"つまりこの状況で水を飲むのは、痛みの源を
口全体に塗り広げるのと同意義ってことね？","So essentially by drinking water, what you're doing is the same as dusting the entire inside of your mouth with spicy stuff?",,
305,戦人,ぐぅぉおぉおぉおおぉおおおおおおおお！！！,GUUUUOOOOOOOOOOHHHHHHHHHHH!!!!!!,,
313,Kazuho (Casual),あぁあぁああ！！　ごめんなさいごめんなさい！！,Aaaaahhhhh!! Sorrysorrysorry!!,,
317,朱志香,お、おいおい大丈夫か、戦人？！,"H-Hey, hey, hey, are you okay, Battler?",,
322,Hanyuu (Casual),"あ、あぅあぅぶるぶる……！
僕が引かなくてよかったのですよ……！","A-Au au au, scary...! I'm glad I didn't pick the spicy chocolate...!",,
324,Rika (Casual),"みー。羽入に引かせたかったのに、
戦人が全部持って行ってしまったのですよ。","Meep. I wanted Hanyuu to pick one of the spicy chocolates, but Battler drew all of them instead.",,
329,圭一 (Casual),"はっ？！　まさか戦人は、
俺たちをかばってわざとハズレを……？！",Huh?! Does that mean Battler deliberately took the bullets in order to protect us...?!,,
337,戦人,ひぃいいぃいいいいいいいいいい！！！,Hiiiiiiiiiiiiihhhh!!!,,
345,詩音 (Casual),……いえ、全然違うみたいですよ。,"...Nope, that definitely wasn't why he drew them.",,
347,Miyuki (Casual),"すみませーん。ミルク１つくださーい。
つめたーく冷えたヤツでよろしくー。","Excuse me, but can I please get a glass of milk? Make it iiiice cold if you can.",editz,
353,Kazuho (Casual),"ごめんなさい、戦人さん！
わっ、私っ、水がダメって知らなくて……！","Sorry, Battler-san! I-I had no idea that water would make it worse...!",,
356,戦人,"い、いや……いいってことよ。
俺をハメようと思って、やったんじゃないんだろ……？","N-No... it's okay. You didn't think of doing it to screw me over, right...?",,
358,戦人,"さ、最後におっぱいの大きな子に
看取られて、本望だ……。",So... so this is what it's like to have the satisfaction of... being taken care of by thick-breasted babes in your last moments...,,
360,戦人,"あれ、なんだ…………
昔、似たようなことが……
あった……よう…………。","It's... that... 
Long ago, something like this... must... have...",,
364,戦人,な…………。,......happ...ened...,,
367,Kazuho (Casual),"あぁーっ？！
くっ、首がガクーンって！　ガクーンって！！",Huh?! H-his head just jerked! It jerked!,,
373,朱志香,おい戦人？！　戦人ーっ？！,"Hey, Battler?! Battler--?!",,
375,圭一 (Casual),しっかりしてくれ、戦人ぁぁあぁっ！！,"Stay with us, Battleeeeeer!!",,
381,Rika (Casual),……真っ白に燃え尽きたのですよ。,...His face is completely drained of color.,,
383,詩音 (Casual),仏具のチーン、って音が聞こえてきそうですね。,It feels like we're about to see angels come grab his soul.,localized,
389,Satoko (Casual),"この人、なんですの？
実力はあるけど運がない……？",What is up with this person? It seems his hidden ability is being unlucky...?,,
391,Mion (Casual),"それに加えて、なんと言うか……
人を疑うのが苦手なんじゃないかな？　この人。","On top of that it seems like, how do I say this... like he's the type to be terrible at doubting what people say?",,
395,Nao (Casual),"誰が、ロシアンルーレットのハズレを
押しつけようとしているのか……
そういう心理戦があまり向いてないのかしら。",Who would force a bullet onto someone in Russian Roulette...? Maybe he's not really one for that kind of psychological warfare.,,
399,Rena (Casual),"はぅ……運もそうだけど、
観察力がないのかな……？　かな？","Hau... His luck could be bad, but maybe he's even worse at observation, at observation?",,
404,Mion (Casual),"人間としては実直ないい人だとは思うけど、
ゲームでも人を疑えないとなると、
ウチの部活じゃ勝てなさそうだねぇ……。","I think he's an honest guy, but if he can't learn how to doubt people in our games, he probably won't ever win.",,
407,戦人,うぅ、こっちのゲームはもうこりごりだぁ……。,"Uuuu, I've had enough of this game...",,
