chara452001_02.bytes,,beanbug,Lloro - QC,Omega - QC,,,,
139,Rena (Casual),"ううん、そんなことないよ。
……そうだね。レナの意見でよければ
聞いてくれる？","Noo, you aren't at all. ...I've got it. Would you like to hear Rena's opinion?",,,,,
142,Nao (Casual),う、うん、もちろんよ！　聞かせて！,O-Of course! I'm listening!,,,,,
144,Rena (Casual),"あはは、ありがとう。
えっと、そうだね……。","Ahaha, thanks. Umm, right...",,,,,
146,Rena (Casual),"確かに慰めたり、励まされたりするのって
嬉しい時もあるけど……。",While there are times where I'm happy when somebody comforts and encourages me...,,,,,
148,Rena (Casual),"自分で立ち上がりたいと頑張っている時に
励まされたら、その時の気持ち次第では
その応援が邪魔に感じちゃうこともあるかもね。","Sometimes, when you're trying your best to recover and keep at it, that support may feel like a hindrance depending on your current feelings. ",,,,,
150,Nao (Casual),"勉強しようとしてる時に
勉強しろって言われると、
逆に反発する……みたいな？","So it's sort of like... when you're trying to study, and then somebody tells you to go study, so you feel like trying to do the opposite... I guess?",,,,,
153,Rena (Casual),そうそう、そんな感じ。,"Yeah, in that ballpark.",,,,,
155,Nao (Casual),だとしたら、どうしたらいいのかしら……。,"If that's the case, I wonder what I can do...",,,,,
157,Rena (Casual),"……別に、立ち上がらせようと考えなくても
いいと思うよ。",...I don't think you need to think about getting them fully recovered.,,,,,
159,Nao (Casual),……どういうこと？,...What do you mean?,,,,,
161,Rena (Casual),"立ち上がるための力じゃなくて、
立ち上がるための力が出るように、
明るく楽しい気分になれるよう協力する……。","Whether or not one has the ability to stand up on their own, putting on a bright and fun aura for them can help...","Whether or not you have the ability to stand up, putting on a bright and fun aura will help...",not very sure on this sentence.,,"This might be incorrect but this is how I interpreted it since it's Rena, ""Whether or not you have the ability to get up/recover (your mood), putting on a bright and fun aura will help..."", something like that",
163,Rena (Casual),なんて、どうかな？　かな？,"What do you think, you think?",,,,,
165,Nao (Casual),"ごめんなさい、レナちゃん。
その説明だと、ちょっと想像しにくくて……
よかったら具体例を教えてくれる？","I'm sorry Rena-chan, but I'm having trouble picturing what you're saying... could you give me an example?",,,,"vvv I would say, ""Okay, right... Say there was someone who seemed like they were really into their studies, and you brought them sweets as refreshments. How about that, about that?""",
167,Rena (Casual),"うーん、そうだね……。
勉強のやる気を出そうとした人に、
お菓子を差し入れする、なんてどうかな？　かな？","Okay, right... Say there was someone who seemed like they were really into their studies, and you brought them sweets as refreshments. How about that, about that?",,i don't know if this is 'as motivation to study' or 'to somebody motivated to study',"""benkyou no yaruki wo dasou toshita hito"" to me is like, ""Someone who seemed like they were really into studying"" in that moment",,
169,Nao (Casual),……差し入れ。,...Bringing refreshments.,,i think rena used a very weird word for 'sending' in the last line; my dictionary says it means 'sending to a prisoner' so it may be used in a weird way or have weird connotations that i'm not aware of. ,,"""giving someone (who is doing something) some refreshments"" is another meaning",
171,Rena (Casual),その人が好きなものって、知ってる？,Do you know what this person likes?,,,,,"^^^ ""...Bringing refreshments."""
174,Nao (Casual),"えぇ、わかるわ。
そっか、差し入れか……。","Yeah, I do. So it's bringing refreshments......",,same as earlier here,,,
176,Nao (Casual),"ありがとう、レナちゃん。
相手にどう思ってもらえるかわからないけど、
あたし……やってみるわ。","Thanks, Rena-chan. I don't know what they'll think of it... but I'll give it a try.",,,,,
179,Rena (Casual),"うんっ、頑張って。
菜央ちゃんがうまくいくよう、
レナは応援しているからね……！","Yup, do your best. Rena will be rooting for you, Nao-chan...!",,"""Yup, do your best. Rena will...""",,,
