chara072008_03.bytes,chara,jp,en,
191,Satoko (高校生夏服),"……。戻りましょう、梨花。
遅いと、寮の門限を過ぎてしまいますわよ。","......Let's head back, Rika. We'll miss the dorm curfew if we stay too late.",
194,Rika (高校生),……えぇ、そうね。行きましょう、一緒に。,"...Yeah, you're right. Let's go, together.",
202,Rika (高校生),"さて……これで髪のセットはおしまい。
教科書とノートは昨夜準備したから、あとは……。","Okay... my hair is set, my textbooks and notebooks have been ready since last night, and now...",
203,Rika (高校生),"あっ、もうこんな時間。
早く起きたつもりなのに、気がついたら
結構いい時間になってしまったわ。","Ah, look at the time.
I planned to get up extra early today, but it ended up being pretty nice timing before I realized it.",
204,Rika (高校生),"そう言えば沙都子、昨日も遅刻ギリギリで
危なかったって言っていたわね……。
ちょっと見に行ってあげようかしら。","By the way, Satoko did say that she was dangerously close to being late yesterday... I'll go check on her.",did say she was dangerously close...' ((idk why there was a comma here skjsk
210,Rika (高校生),"……やっぱり、まだ寝ているのね。
沙都子、そろそろ起きないと遅刻するわよ。","...Just as I thought, she's still asleep.
Satoko, if you don’t get up, we'll be late.",
211,Satoko (高校生夏服),"ふにゅぅ……梨花、あと少し……
あと１分……いえ３分、……３０分……。","Hmmnhhnn... Rika, just a bit longer...
1 minute... no, 3 minutes... 30...",
212,Rika (高校生),"どんどん増えているじゃない、もうっ。
そのまま寝続けて遅刻して、
また放課後に補習が入ってもいいの？","Oh, c'moonn, you just keep adding on more tiiime...
If you stay asleep like that, you'll be late. Do you want to get stuck in supplementary class again after school?",
213,Satoko (高校生夏服),わ、わかりましたわ……はふぅ……。,"O-Okay, I got it... hnmmnn...",
214,Satoko (高校生夏服),"……って、梨花？
どうしてあなたが、私の部屋に？","...Wait, Rika? Why are you in my dorm?",AHHHBGGHHH I KNEW IT
215,Rika (高校生),"くす……おはよう、沙都子。
あなたのことが心配だったから、
起こしに来てあげたのよ。","*giggle*... good morning, Satoko.
 I was worried about you, so I came to wake you up.",
216,Rika (高校生),"早く顔を洗ってらっしゃい。
髪のセット、手伝ってあげるから。",Hurry up and wash your face. I'll help fix your hair for you.,
217,Satoko (高校生夏服),"は……はぁ……了解ですわ。
ちょっとだけ、待っていてくださいませ。",U-... uh-huh... I'm alright with that. Please wait for a few minutes.,
218,,…………。,............,
221,Satoko (高校生夏服),"（……変な夢を見たような気がしますけど、
まるで思い出せませんわ。ただ……）","(...I feel like I was having a weird dream, but I've forgotten most of it. It's just...)",NOOOOO
223,Satoko (高校生夏服),"（あともう少しだけ、梨花のことを
信じてみたい……そんな気分でしてよ……）","(I want to try putting more trust in Rika now...
That's how I feel...)",
