chara042003_01.bytes,chara,jp,en,Notes TL,Notes QC
155,詩音 (Casual),"あー、大丈夫ですよ皆さん。
ご心配は無用です……どころか、心配してやるのも
もったいないだけなので、どうぞお気になさらず。","Ah, it's okay, everyone. You don't need to worry...or rather, it's a waste of time to worry about it, so please don't.",,
159,Rena (Casual),"し、詩ぃちゃん……？　圭一くんと魅ぃちゃん、
どうしちゃったのかな、かな？","Sh-Shii-chan...? Why might Keiichi-kun and Mii-chan be fighting, be fighting?",,
161,詩音 (Casual),"いやー、実はですね……主人公と魔王の武器を
めぐって、意見が衝突しちゃっているんですよ。","Well, to tell the truth...The protagonist and the Demon Queen have conflicting opinions over their weapons.",,
165,Kazuho (Casual),"主人公と、魔王の武器……？
あの、話がよく見えないんだけど……何のこと？","The protagonist's and Demon Queen's weapons...? 
Um, I don't get what you're saying here... could you explain?",,
167,詩音 (Casual),"わかりやすく言っちゃえば、剣にするか
飛び道具にするかって話です。
ちなみに圭ちゃんは剣を主張して、お姉は……。","Basically they're talking about whether to use swords or firearms.
Incidentally, Kei-chan claims swords are better, while Sis...",,
172,Mion (Casual),"剣が強力なんて、時代劇だけの話でしょっ？
ＳＦの世界じゃレーザーやビームを発射する武器が
主体なんだから、銃の方が絶対いいって！","Swords are strong? Maybe just in a historical drama?
In a sci-fi world where weapons firing lasers and beams are the norm, guns are absolutely the way to go!",,
175,圭一 (Casual),"わかってねぇな、魅音！　強い弱いじゃなくて、
俺はロマンの話をしているんだ！","You just don't get it, Mion! It's not about being strong or weak; it's about looking epic!",,
177,圭一 (Casual),"お前も、昨夜の映画を見ただろ？
光線剣を駆使して戦う、あの宇宙の騎士のカッコよさ！
アレにシビれて憧れなきゃ、男じゃねぇよ！","You saw that movie last night too, right? The coolness of that space knight fighting with a laser sword! If you didn't get chills from that, then you can't call yourself a man!",,
179,Mion (Casual),"はっはー、出たよ旧時代的な男尊女卑発言！
言っておくけど、今の部活で男子は圭ちゃんだけだよ。
９対１でタコ殴りにしてあげよーかっ？","Hahah, let that old-fashioned remark of male chauvinism jump out!
You know, you're the only boy in the club right now, Kei-chan.
Maybe we should give you that 9-vs-1 octopus smack?",,
181,圭一 (Casual),"あ……いやすまん、言い間違えた。
この表現は確かに適切じゃねーな。","Uh... nah, my bad but that sounded wrong. 
That expression was definitely not appropriate.",no comma before but,
183,圭一 (Casual),"そ……それにお前も好きな宇宙刑事の必殺武器は、
光の剣じゃねーか！　銃なんてサブだ、サブ！
しかも舞台じゃ、明らかにカッコつかねぇだろうが！","A-...and besides, your favorite space sheriff's weapon he uses for his finishing blows is a light sword, isn't it?! Guns are just a sidearm. A sidearm! And they're obviously not as cool in stage plays either!",,
185,Mion (Casual),"そこは音と光の演出で何とかするって言ったでしょ！
だいたい光線剣だって、どうやって子どもたちに
カッコよく見せるんだよ？　蛍光灯でも使うのっ？","I told you we'd make do with stage lighting and sound effects!
How would you even make a laser sword look cool to the kids?
By using a lamp?",,
187,圭一 (Casual),"そういう時こそ、『ロールカード』の出番だろうが！
アレをうまく使えば、光の剣だって実現可能だ！","We'd use the {b}Role Cards{/b} at times like that!
Done right, it's totally possible to make a light sword that way!",,
190,Mion (Casual),"そんな危ない演出、子供向けの演劇に
使えるわけないでしょぉぉっ！　圭ちゃんがここまで
わからず屋だったとは思わなかったよ、ふんっ！","We can't do a dangerous performance like that in a play for kiiiids!!
I didn't think you were such a blockhead, Kei-chan! Hmph!",,
192,圭一 (Casual),"へっ、俺もだぜ！
頭の固さだけは昔と変わらねぇな！","Heh, same here! You're just as stubborn as always!",,
195,？？？？,べ～～～～っだっっ！！,Bleeeeeeeeeeehh!!,,
201,詩音 (Casual),……てな感じです。おわかりになりましたか？,...And that's what's going on. Does that help you understand the situation now?,,
205,Miyuki (Casual),"えっと……なにこれ？
この２人、そんな「くっだらねぇ」ことで
ムキになって言い争ってるの……？",Uh... what? Are those two really getting worked up over something as {i}stupid{/i} as that...?,,
208,Rika (Casual),"……みー。
実に不毛きわまる低レベルな議論なのですよ。","...Meep. It really is an unproductive, extremely low-level discussion.",,
212,Satoko (Casual),"お２人が仲直りしたのは、諸手をあげて
万々歳ですけど……なんか以前と比べても
大人げなさが全開になりましたわねぇ。",I wholeheartedly approved of them making up earlier... but it feels like their immaturity has skyrocketed since then.,,
216,Kazuho (Casual),あ、あははは……。,A-Ahahaha...,,
221,Mion (Casual),"っ……こうなったら、論より証拠だ。
どっちの主張が正しいか、実際にぶつけあって
白黒はっきりつけようじゃないか。","...Since it's come to this, let's prove our arguments in real time. 
Why don't we clash our ideas together in battle and decide whose side is right and whose side is wrong?",,
224,圭一 (Casual),"へっ……なるほど。
矛と盾のたとえ話にならって、ってやつだな。
いいだろう、やってやるぜ……！",Heh... I see. It's like that fable we learned with the unstoppable force versus the immovable object. Hell yeah; let's go for it...!,,
232,Mion (Casual),そんなわけだから……みんな、準備はいいかい？,Now that that's settled... is everybody ready?,,
240,Kazuho (Casual),えっ……な、なにを？,Eh... wh-what?,,
243,圭一 (Casual),"今回の劇を成功させるためにも、
避けては通れない道だ……頼んだぜ、お前ら！",This is a path we can't miss if we wanna make this play a hit... I'm counting on you guys!,,
245,Kazuho (Casual),だから、なんのことっ……？！,But... what exactly is that...?!,,
