chara042003_02.bytes,chara,jp,en,Notes TL,Notes QC
126,Kazuho (Casual),"そ、そうだよね……。って魅音さん、それって
もしかしなくても、賄賂なんじゃ……？！","O-Oh, right...... wait, Mion-san, isn't that you bribing them...?!",,
131,Mion (Casual),"んー？　あっはっはっはっ、そんなことはないよ。
私は極めて礼節をもって、２人にお願いしただけだしさ。","Mmm? Ahahaha, it's nothing like that. I just had so much politeness spilling out of me that I asked the two of them if they wanted to go.",,
133,Mion (Casual),"……まぁ、うっかりたまたま有効期限の近い
デザートフェスタのチケットがポケットに入ってたから、
無駄になるくらいなら、と思って渡したけどね～？","...Well, I also happened to have some Dessert Festa tickets in my pocket that were about to expire, so I handed them over rather than let 'em go to waste, y'know~?",,
137,Kazuho (Casual),"（き、汚い……！　ある意味、敵だと思ってた時より
外道レベルが上がってるぅ……？！）","(Th-that's dirty...! I thought she was just our enemy before, but could her demonic energy be growing even further past that...?!)",,
141,Satoko (Casual),"というわけで私たちも、こちらの銃チームに
加わらせてもらいますわ。をっほっほっほっ！","And of course, Rika and I were added onto Team Gun as well. Ohohohohoho!",,
144,Rika (Casual),みー。寄らば大樹の陰、なのですよ。にぱー♪,Meep. I'm just supporting the strong for my own good. Nipah~♪,,
148,Hanyuu (Casual),"あ、あぅあぅ……
僕も、自分の命が惜しいのですよ～。",A-Au au... I also value my life~.,,
154,圭一 (Casual),"くそっ……多少の不利は覚悟していたが、
まさか３対７だとはな。
倍以上はさすがに想定外だったぜ……！","Damn... I was preparing to be at a disadvantage, but I didn't think it'd be a 3v7. That's much worse than I expected!",,
157,詩音 (Casual),"どうします、圭ちゃん？　今なら土下座でもすれば、
戦わずに降伏できるかもですよ。","What do we do, Kei-chan? We might still have time to back out if we get on our knees and surrender.",,
159,圭一 (Casual),"へっ……誰が降伏なんてするかよ！
こうなったら１人で、３人を倒す！
新撰組戦法ってやつだぜ！","Heh... what kind of loser would do that?!
One of us can take three of them on {note_green}Shinsengumi{/note_green} style!",,
163,Kazuho (Casual),"ま……前原くん、それ逆だよっ！
３人で１人を倒す、が正しいやり方だから！
１人で３人は討たれる側だからッッ！！","M-Maebara-kun, it's the reverse!
Three of us versus one of them would be the right way to go!
If it's one person versus three, we'll just get shot uuuup...!",,
171,圭一 (Casual),"行くぜ、うおぉぉぉおぉっっ！
詩音に一穂ちゃん、俺に続けぇぇぇ！！","Let's go! Uuooooooohhh!
Shion-chan, Kazuho-chan, follow my leeeeeeead!!",,
178,詩音 (Casual),"……。改めて言うまでもないかもしれませんが、
圭ちゃんって絶対、長生きができない人ですね。","...It likely goes without saying, but Kei-chan certainly isn't going to live a long life.",,
181,Kazuho (Casual),（というか本人よりも、周りがね……）,(More like the people around him won't...),,
