event01_30_99.bytes,,Lunik - TL,hanss - TL,Lloro - QC,Naegles - QC2
104,,"　なので、あの魔法陣を、ちゃんと、映画の魔法陣だと理解してく
れたかどうか、確認したかったのだ。","So, I wanted to confirm with her that it was indeed the magic circle from the film.",,
108,,"　さて。本来ならば、紗音さんが２階の部屋に入るのはイレギュ
ラーだった。","Now, Shannon-san had originally not planned to go to the room upstairs.",well -> now,
109,,"　あたしが窓の鍵の話を唐突に始めたので、紗音さんは２階へ上が
ることになってしまった。",She only had to go upstairs because I suddenly mentioned the lock on the window.,,
110,,"　だからその時点でのヱリカさんは、内心、しまったと思ったはず
だ。","So, at that point, I'm sure Erika-san was panicking internally.",so / order change,
111,,"　魔法陣の悪戯の第一発見者を私にして、驚かせてやろうと思って
たに違いないから。",That's because it was {i}me{/i} who was supposed to be the first to discover the magic circle prank and be surprised.,I -> that's because it was me who,
112,,"　そして同時に、ワニャラー仲間である魅音さんと詩音さんには、
仲間内で盛り上がれる“ネタ”にもなる。","And at the same time, it would have been a fun joke to share with her fellow Wanyanners, Mion-san and Shion-san.",it'd be -> it would have been,
113,,"　ところが、紗音さんはディープなワニャラーだった為、魔法陣の
意味をすぐに理解し、微笑んでスルーした。","However, since Shannon-san is also a hardcore Wanyanner, she immediately understood the meaning of the magic circle, so she just smiled and ignored it.",deeply engrossed -> a hardcore,
114,,"　その事実を、ヱリカさんは、降りて来た紗音さんに#p問#s・#r#pい#s・#r#p掛#s・#r#pけ#s・#r#pて#s・#r、
確認を取ったのだ。",This fact was confirmed by Erika-san when she asked Shannon-san after coming down the stairs.,,
115,,"　魅音さんはそれを瞬時に理解する。
　紗音さんがスルーできることがわかっているなら、犯人がヱリカ
さんであることは、秒で導ける答えだ。","Mion-san understood it instantly.
Both why Shannon-san could ignore it and that the culprit was Erika were answers that could be derived in seconds.",both / removed commas,
116,,"　つまり、魔法陣を発見したその時点で、園崎姉妹は魔法陣の正体
も、犯人がヱリカさんであることも、全て全て、あの時点で知って
いたのだ。","In other words, the moment the magic circle was discovered, the Sonozaki sisters knew everything, from the meaning of the magic circle, to the culprit being Erika-san.",,
117,,"　あたしが魔法陣に怯えて足を竦ませているその背後では、……キ
モい笑みを浮かべたワニャラー園崎姉妹がニヤニヤしていたという
訳だ。",While I was cowering in fear at the magic circle... the Wanyan adoring Sonozaki sisters must have been laughing at me with disgusting smiles.,,
121,,"　……そして、……ここからがあたしの理解を超える世界。
　バケモノ同士は惹かれ合うとはいうけれど、まさにこれを言うの
だろう……。","...And... from here on it's a world beyond my understanding.
It's said that monsters are drawn to each other, but who would've thought that'd turn out to be true...",,
122,,"　魅音さんは、そして詩音さんは、超高速で状況を理解した。
　この見事な、映画の完全再現の魔法陣を描いたヱリカさんは、何
を欲しているだろう？","Mion-san and Shion-san instantly got a grasp on the situation.
What could Erika, who had drawn this perfect recreation of the circle from the movie, possibly want?",,
123,,賛辞？　あるいは驚きの声？　……そう、オーディエンスだ。,"A compliment? Or a shocked scream? ...Yes, it was an {i}audience{/i}.","from ""Erika was in the audience",
124,,"　そう。その時、壁一枚向こうのヱリカさんの部屋では……、もう
１人のワニャラーが、めちゃくちゃキモい笑いを浮かべて、じっと
聞いていたのだ。","That's right. In that moment, across the wall in Erika-san's room... one more Wanyanner was listening intently, letting out a disgusting laugh.",,
126,,"　ヱリカさんは……、自分の魔法陣に驚く声、同志の感嘆の声が聞
きたくて……、コップを壁に押し当てて耳を当て、……ずっと聞き
耳を立てていた！！","Erika-san... who wanted to hear the admiration of her magic circle by comrades, was listening... with a cup pressed against the wall... she was listening the whole time!!",,
132,ヱリカ,"……ふっふっふ……。如何ですか、私の魔法陣は傑作でしょ
う……？　無頼人さまの魔法陣を完全再現ですよぉ……？","...*giggle*... What do you think? Isn't my magic circle a masterpiece...?
Isn't it a perfect recreation of Bright-sama's magic circle...?",,
134,ヱリカ,"さぁ、聞かせて下さいな、魅音さん、詩音さん！！
未だに名探偵ワニャンを見ようともしない異教徒、
菜央さんの悲鳴はたっぷりと楽しみました。","Now, do allow me to hear your praise, Mion-san, Shion-san!!
I've already satisfied myself with the screams of Nao-san, who refuses to watch Detective Wanyan.",let me -> do allow me to,
137,ヱリカ,次はッ、あなたたちの感嘆が聞きたイィイっひひっひっひッ！！！,"Nwext, I want to hear your cries of admirationnNNIHIHIHI!!!",,
142,,"　ヱリカさんは耳を澄ます耳を澄ます。魅音さんと詩音さんの反応
が知りたくて全神経を聴覚に集めて全ての音を聞き取ろうとす
る……！！","Erika strains her ears more and more. She wants to know Mion-san and Shion-san's reactions, so she focuses all of her attention into her hearing...!!",,
144,,……ゴリリ…………。,...Ssskk......,"from ""...*giggle*......",
145,,"　それは、小さな、おかしな音だった。
　小さい音なのだけれど、……耳のすぐ近くに押し付けて来たよう
な、小さいけれども#p近#s・#r#pく#s・#r#pて#s・#r#p触#s・#r#pる#s・#r、異音。","It was a small, strange sound.
A quiet sound, but... as if it was pressed right up next to ear.",,
146,,……まさか。………いや、そんなまさか……。,"...No way. ......No, it can't be...",,
147,,"　ヱリカさんの額に冷たい汗が一粒浮かぶ。
　……それがゆっくりと滴り落ちようとする時、……ヱリカさんの
その形相は……、不気味なくらいの……歓喜に彩られていた。","A bead of cold sweat appeared on Erika's face.
...As it slowly ran down Erika's forehead... her expression... was colored with... an eerie joy.",,
149,,こいつ、……こいつら、……まさか……ッッッ？！？！,Th-these people...... really......!?!,guys -> people,
150,,"　そう。ヱリカさんがコップを押し付けて隣の部屋の声を
うかがっている、その壁の反対側では……、","That's right. Erika-san, with the cup pressed against the wall, listens to the voice in the next room over, and hears through the wall...",,
152,,"ヱリカさんの形相とまったく同じ不気味な笑みを浮かべた
#p二#s・#r#p人#s・#r#pの#s・#r#pヱ#s・#r#pリ#s・#r#pカ#s・#rがいた……。","Two sets of creepy laughs, just like Erika's.",,
155,ヱリカ,ハッ………ハハ……………ッッッ。,Ha...... haha............ nnn.,,
157,,こいつら……、#p聞#s・#r#pい#s・#r#pて#s・#r#pや#s・#r#pが#s・#r#pる#s・#r……ッ！！！,Those two... {i}they're listening to me{/i}!!!,,
158,,"　私が完璧な魔法陣を描き上げて、その感嘆の声を聴こうとして壁
に耳を当てている私の挙動を、……聞いてやがるッ！！！","I've drawn a perfect magic circle, and am now listening through the wall for voices of admiration... but at the same time they're listening to me!!!",,
160,,"　２つの客室を隔てる１枚の壁の両側で、……１人と２人の巨大ナ
メクジが……、コップを壁に押し付け合い、互いに聞き耳を立て
合っているッ！！",On either side of the wall separating the two rooms... was one giant slug and two giant slugs... listening to each other through the wall with cups.,,
162,,"　グ、グッド、グッダぁあぁぁぁ……、グッデストぉおおおおおぉ
おおおおおッ！！！","<G-Good>, <Gooderrrrrr>... <Goodeeeeeeeesssssstttt!!!>",,
163,,"　翌日。今度はそちらの番ですよとでもいうかのように、ヱリカさ
んは自分の部屋の鍵を、わざと掛け忘れた。","The next day, as if to say ""Now it's your turn"", Erika-san purposely forgot to lock the door.",,
164,,"　園崎姉妹は、罠とわかっていても、敢えてこの機会に便乗
し、……荷物を取りに戻るといってゲストハウスに詩音さんが戻
る。","Even though they knew it was a trap, the Sonozaki sisters decided to take advantage of this... so Shion-san returned to the guesthouse under the guise of retrieving some luggage.",,
165,,そして、ヱリカさんの部屋に入り、魔法陣の悪戯をするのだ。,"And then, she went into Erika-san's room to set up the prank with the magic circle.",,
166,,"　なお、魔法陣のシーツは予め、事前に用意してあったものだ。
……あたしが睡眠薬で眠った後、園崎姉妹は夜なべして作ったの
だ！","Furthermore, the sheet with the magic circle was prepared in advance. ...The Sonozaki sisters worked all night on it after I had gone to sleep with the sleeping pills!",,
167,,"　そしてまんまと詩音さんは、ドアノブの蛍光塗料の仕掛けに引っ
掛かる。","Then, Shion-san falls for the trap with the fluorescent paint on the doorknob.",,
168,,"　詩音さんもある程度の注意はしていたが、さすがにヱリカさんが
自分で調合したという薬物の存在にまでは、気付けなかった。","Shion-san exercised a certain amount of caution, but as expected, she was unaware of the substance Erika had prepared herself.",,
169,,"　だから、詩音さんの手には確かに、蛍光塗料が付着したのだ。そ
れでヱリカさんはチェックメイトしたはずだった！","So, there should certainly have been fluorescent paint on Shion's hands. So Erika-san should have checkmated her!",,
170,,"　だが、……園崎姉妹はやはり、甘くはなかったのだ。
　そう。帰ってきて二人は、争うようにして一緒にシャワー室に駆
け込んでいった。","But... the Sonozaki sisters were not so naive after all.
That's right. After we returned, the two fought and ran into the shower together.",,
171,,"　あたしは、シャワーの順番を争うなんて、双子姉妹は仲がいい
なぁと微笑ましく思っていたけれど。","I was just smiling at how close the two were, fighting over who would go first in the shower.",,
172,,……二人は、この上なく慎重だった。,"...But the two of them, were doing this deliberately.",,
173,,"　あの時、入れ替わったのだ。ヱリカさんの悲鳴を聞いて、シャ
ワー室から飛び出してきた時には、姉妹は入れ替わっていたのだ。","They switched at that time. When they heard Erika-san's scream and ran out of the shower, they had switched places.",,
174,,"　二人はヱリカさんを侮らなかった。……自分たちには知覚できな
い、何らかの仕掛けが付着しているかもしれないと疑った！",The two of them didn't underestimate Erika-san... They had suspected something had been attached to them that they couldn't percieve! ,,
175,,"　だからあのシャワーは、それを洗い流すことと、さらに慎重を期
して、姉妹を入れ替わらせることが目的だったのだ。","The purpose of the shower was to wash that away, and more importantly, switch the sisters.",,
176,,"　だが、ヱリカさんだって、自分を名探偵などと呼ぶ程度にはイカ
レてる。","But, Erika-san is crazy enough to call herself a great detective.",,
177,,"　ブラックライトで詩音さんの手を照らして、何の痕跡もないこと
を見た瞬間彼女は、こんなはずはないと絶叫を始めたが、……あれ
は絶望の狂乱ではなく、ある意味、歓喜だったのだ。","When nothing came up after shining on Shion-san's hand with the blacklight, and she started crying out, ""That's impossible!""... it wasn't frenzied scream of despair, but rather, of great delight.",chapter 9 index 546,
178,,"　ヱリカさんが言うには、……ノックス第１０条。“手掛かりなき
他の登場人物への変装を禁ず”。","In Erika-san's words... ""Knox's 10th: It is forbidden to disguise yourself as another person without any clues.""",,
179,,"　ヱリカさんは園崎姉妹に会い、自己紹介を交わして、二人が瓜二
つの双子姉妹であることを知っていた。","However, Erika-san had met the sisters, introduced herself, and knew that they were identical twins.",,
180,,"　“瓜二つな双子姉妹”と、ヱリカさん自身が、六軒島へ向かう船
の上でそう言っているのだ。","""Identical twin sisters"", Erika-san had said herself on the boat to Rokkenjima.",,
181,,"　だから、有効デス。
　ノックス第１０条に抵触しない、他の登場人物への変装。いや、
入れ替わり……！","Therefore, EFFECTIVE.
A disguise that does not violate Knox's 10th. No, a swap...!",,
182,,"　ヱリカさんはあの時、即座に魅音さんの手をブラックライトで照
らすことも出来たのだ。","At that moment, Erika-san could have immediately illuminated Mion's hand with her blacklight.",,
183,,"　そうすれば、魅音さんの手が蛍光塗料で浮かび上がるのを見るこ
とが出来ただろう。","If she did that, I would've seen Mion's hands illuminated with fluorescent paint.",,
184,,しなかった。……どうして？　一流はタフじゃないの？,But she didn't... why? Isn't she supposed to be tougher than that?,,
186,,違う。これは敬意、畏敬、崇敬……！,No. It was respect... awe... reverence...!,,
187,,"　ヱリカさんは、ワニャラーとしての愛だけでなく、探偵の自分と
の知恵比べにおいても、全身全霊で応えてくれた園崎姉妹に心酔さ
えしたのだ。","Erika-san had great admiration for the Sonozaki sisters, who had responded not only with their love as Wanyanners, but also with all their might in a battle of wits.",,
188,,"　ドラノールさんも言っていた。ヱリカさんは、探偵も犯人も演じ
分けられる、優れた俳優なのだと。","Dlanor-san told me. Erika-san is a great actor, who can play both the detective and the culprit.",,
189,,"　だからこそ、あれだけみっともなく、出し抜かれて狼狽える姿を
見せて、園崎姉妹に応えて見せたのだ。",That's why she responded to the Sonozaki sisters with such a shameful and outwitted display of dismay.,upsetting -> shameful,
190,,"　いや、恐らくはアレも、名探偵ワニャンに出てくる、犯人のひと
りの、往生際の悪さの再現なのかもしれない。","No, perhaps it was even a reenactment of a particularly ill-tempered culprit in Detective Wanyan.",,
191,,"　六軒島の２泊３日は、あたしにとってだけは、ホラーとミステ
リー。","These three days and two nights on Rokkenjima, for me alone, have been a horror and a mystery.",,
192,,"　他の３人にとっては、……巨大ナメクジ、ワニャンを愛する者た
ちの、ファンミーティングなのであった……。",As for the other three... it was a fan meetup for those who love Wanyan the giant slug...,,
209,朱志香,"ぜひ！　また遊びに来てくれよな！！　その時はオールでボドゲ勝
負しようぜ！　な！","Of course! Feel free to come over and play again!! Next time, we'll pull an all-nighter having a board game showdown! Right?","from ""we'll have an all-out board game match",
213,？？？？,"君たちの滞在のお陰で、使用人たちも色々と勉強になったと言って
いる。感謝するよ。",The servants say that they have learned a great deal from your stay. You have our thanks.,,
216,？？？？,"アンケートもありがとうございました。よく読んで、今後に役立て
たいと思います。",Thank you for completing the questionnaire as well. We will read it carefully and make good use of it in the future.,,
220,Mion (Casual),"ガッツリと書いておきましたんで！　ぜひ、最後まで読んで下さい
ね！",I've put my all into it! Please definitely read it to the end!,,
222,詩音 (Casual),"私たちが責任を持って！　六軒島を新しいリゾート地にコンサルタ
ントしていきますので！",We'll take responsibility for it! Because we're the consultants for the new resort on Rokkenjima!,,
225,,お別れの時には、右代宮家の人までお見送りに来てくれた。,"When it was time to leave, even the Ushiromiya family members came to see us off.",,
226,,"　もう一度、訪れる時には、……今度はのんびりしたい。さもな
きゃ、……あたしもコスプレ、……挑戦してみてもいいか
も、……かも。",If I come here again... I'd like to take it easier. Otherwise... I might as well try cosplay... I think... maybe.,,
230,嘉音,"紗音から、お見送りが出来なくて申し訳ないと言付かっておりま
す。",Shannon would like to express her apologies for not being able to see you off.,,
232,ヱリカ,"今日はお休みですからね。仕方ありません。よろしく伝えておいて
下さい。私たちは、巨大ナメクジの下、同志ですから！","Today's her day off. It can't be helped. Do give her my regards, for we are comrades under the giant slug!",,
234,嘉音,……えっと、確か、……真実は、いつも二つ。,"...Um, I think that quote was ...""The truth is always twofold.""","I assume this is a wanyan reference, which is therefore a reference to smth else. How to word this reference",
237,ヱリカ,真実は、いつも二つ！　あなたも読んでおいてくださいね？,The truth is always twofold! Do you read it too?,,
243,朱志香,"私も～……、その、次に機会がある時は、コスプレ撮影って、やっ
てみよっかなぁって。","I... uh, might also like to do a cosplay photoshoot next time.",,
246,朱志香,"その時はさ。菜央ちゃんも一緒にやろうぜ？　一緒ならきっと、
恥ずかしくないって。","You know, when that time comes, why don't we do it together, Nao-chan? I'm sure it won't be as embarrassing if we go together.",,
248,Nao (Casual),"くす……。そうですね。……一緒に、コスプレデビューしましょ
う。",*giggle*... That's right... let's make our cosplay debut together.,,
251,,"　見送りの人々の中に、あの魔女の姿も混じっている。
　もちろん、誰にも姿は見えてないだろうが。","Among the people who see us off, the witch is mixed in with the crowd.
Of course, no one can see her though.","from ""is there",
255,ベアトリーチェ,誕生日を、そなたと共に過ごせてよかったぞ。菜央。,"It was a pleasure to spend my birthday with you, Nao.",,
257,Nao (Casual),"ありがとう。だけど、聞いていいかしら。……一体、何歳の誕生日
なの？","Thank you. But, I'd like to ask something... how old exactly are you?",,
259,ベアトリーチェ,くっくっく！　千から先は忘れたわ！,*cackle*cackle*! I have forgotten over the course of a thousand years!,,
261,ベアトリーチェ,"また、いつでも遊びに来るがよい。次は、妾の黄金郷の、黄金の薔
薇庭園を案内しようぞ！","You are always welcome to come play again. Next time, I'll show you the golden rose garden of the Golden Land!",visit -> play again,
263,Nao (Casual),"あたしもゲーム機でも持ってきてあげるわ。腕前を存分に見せてあ
げるから。",I'll bring a game console too. I'll show you just how good I am.,,
267,ドラノール,"貴女の行く末に幸多からんことを祈りマス。お元気でお過ごし下サ
イ。",I pray for your good FORTUNE. Wishing you the BEST.,,
269,Nao (Casual),"ありがとう。あなたとはもっと、ゆっくりとお話をしたかったわ。
また会いましょう。",Thank you. I would have liked to spend more time speaking with you. See you again.,,
273,ヱリカ,"私は探偵ですので、事件が起こる度にあちこちに引っ張り凧です。
だからもう、あんたと会うことはないでしょう。","Since I'm a detective, whereever an incident might occur, you'll find me. So, I don't think I will ever see you again.","from ""I am the detective. Wherever an incident may occur, I will be there.",
275,Nao (Casual),"大丈夫よ。名探偵ワニャンのコラボカフェ。多分、あたしも行くか
らそこで会えるわ。","That's okay. There's the Detective Wanyan collab cafe. I'll probably be there, so we'll see each other again then.",,
277,ヱリカ,"…………ふっふふふふ。グッド。その時は、推しキャラについて存
分に語り合いましょう。",".........*giggle*giggle*. <Good> When you do, let's talk about our favorite characters to the fullest. ",,
283,Mion (Casual),"ヱリカさんも、ぜひ#p雛見沢#sひなみざわ#rに遊びに来てね。ヱリカさんなら、絶対
に退屈しないからさ！","Come visit us in Hinamizawa some time, Erika-san! We definitely won't let you get bored!",,
285,詩音 (Casual),"圭ちゃんと対決して欲しいですねぇ。口先の魔術師と名探偵。どっ
ちが勝つか見てみたいです。",I want to see you face off with Kei-chan. The Magician of Words vs The Great Detective. I wonder who will win?,off with,
290,ヱリカ,"ほう？　口先の魔術師？　魔術師とはまた、如何にもカネダ少年の
事件簿に出てくる犯人の二つ名みたいで素敵です！","Oh? A Magician of Words? A magician, just like the alias of that culprit in The Kaneda Case Files! Wonderful!",,
292,ヱリカ,"古戸ヱリカ、皆さんのところで事件ある時、必ずや参上することを
お約束しましょう！","Whenever anyone has a case, I, Erika Furudo, shall promise to come to your aid!",,
297,詩音 (Casual),"もしくは、フツーにエンジェルモートで、デザート食べ放題しなが
ら、だらだらと長話をしましょーねぇ☆","Alternatively, we can go to Angel Mort and have a long casual talk over all-you-can-eat dessert.☆",,
299,Mion (Casual),"あんたみたいな面白くてタフなヤツを、ぜひ雛見沢分校に招きたい
よ。",I'd love to invite someone fun and tough like you to the Hinamizawa Branch School.,interesting tough guy -> someone fun and tough,
304,Nao (Casual),"確かに。……ヱリカさんのパワーと推理力は、
魅音さんとレナちゃんが合体したみたいなものだわ。",Definitely. ...Erika's energy and reasoning skills are like a combination of Mion-san and Rena-chan.,,
311,ヱリカ,いつか。必ず。,"One day, absolutely.",idk how 2 tl this,of course -> absolutely
313,ヱリカ,"ふふっ。……ただ、別れを惜しむ友人たちがそこにいるだけで、古
戸ヱリカにはこの程度の挨拶が可能です。如何です、皆様方？","*giggle*...Just with the presence of a few friends that are reluctant to depart, this level of farewell is possible for Erika Furudo. What do you think, everyone?","from ""Simply by the presence of a few friends to depart with, this level of greeting ",
320,Nao (Casual),グッド！,<Good!>,,
332,Nao (Casual),……ヱリカさんがもらった手紙は、何なんですか？,...What's with the letter that you received?,,
334,ヱリカ,"気にしないで下さい。私はただの使い。主への返書を預かったに過
ぎません。",Don't worry. I am only a messenger. I have merely been entrusted with this message to give to my master.,by the -> to give to my,
336,ヱリカ,"ベアトリーチェは私のことを良く書いてくれたそうなので。中身が
楽しみです。",It seems that Beatrice has written a lot about me. I look forward to seeing what's inside.,,
338,Nao (Casual),"……そういえば。……ベアトリーチェはあたしにも何かプレゼント
をくれるって言っていたけれど……。",...Speaking of which... Beatrice said she had a present for me too...,,
345,Mion (Casual),えー？　何々？！　六軒島でプレゼントをもらったの？！,Ehh? What?! Did you get a present on Rokkenjima?!,,
347,詩音 (Casual),いいなぁ。私たち、なーんにももらってないです。,That's nice. We didn't get anything at all.,,
352,ヱリカ,"いえ。魔女が菜央さんに預けたプレゼントは、貴女たち３人に
宛てたものだと思います。","Actually, I think the witch's present for Nao was intended for all three of you.",not at all -> actually,
354,ヱリカ,荷物の中を、見てみたらどうです？,Why don't you have a look in your luggage?,,
357,,"　そう言われ、あたしは自分の荷物を調べる。
　すると、まったく心当たりのない、小さなプレゼントボックスが
入っているではないか。","After she says that, I take a look through my luggage.
Sitting inside, was a small present box that I had never seen before.",with that said -> after she says that / And in it -> sitting inside,
358,,"　メッセージカードが添えてある。……やっぱり、ベアトリーチェ
からだ。","There's a message card attached... As I thought, it's from Beatrice.",,
360,,“六軒島への来訪を記念して。――黄金の魔女より”,"""In honor of your visit to Rokkenjima. -From The Golden Witch""",,
364,Mion (Casual),あー、あの肖像画のね！　２００億円の金塊だっけ？,I-It's that portrait! Could it be the 20 billion yen's worth of gold bars?,,
366,詩音 (Casual),"肖像画の前に、碑文みたいなのあったじゃないですか。あれ、謎が
書いてあって、解くと金塊の場所がわかるらしいですよ？","There's something like an inscription in front of the portrait. They say it's a riddle, and solving it leads to the location of the gold bars.",,
369,Mion (Casual),"ええぇぇええぇ！！　そういうことは滞在中に言ってよぉ！　碑文
の謎解きに挑戦したかったなぁー！",Eeeeeh!? You should've told me that during the stay! I would have tried solving the riddle!,,
375,ヱリカ,ふふ。まぁ、私は解いたことがありますけれど。,"*giggle*. Well, I've solved it before, though.",,
377,Nao (Casual),さらりとすごいこと言ったわ。金塊は本当にあったの……？,That's an easy thing to say. Was there really gold...?,,
379,ヱリカ,"もちろん！　……まぁ、私には興味がなかったので、右代宮家の皆
さんにお任せしましたが。","Of course! ...Although, I had no interest in it, so I left it to the Ushiromiya family.",,
385,Mion (Casual),菜央ちゃん、早くプレゼント、開けてみようよ！,"Come on, Nao-chan. Let's open up the present!",,
387,詩音 (Casual),純金のモールドが入ってたりして？,What if it contains a solid gold figurine?,what is モールド,"i changed it to solid gold figurine from mold, but im not sure on this"
392,ヱリカ,"１ｇでも数千円。仮に１００ｇもあったら、なかなかの価値になり
ますね。",Even 1 gram of gold is a few thousand yen. If it was 100 grams of gold that'd be quite the pretty penny.,a lot -> pretty penny,
394,ヱリカ,"でも、あのベアトリーチェが、意味もなく黄金を贈ってくれるとは
ちょっと思えませんが。","But, I don't think that Beatrice would give us gold for no reason.",,
401,Nao (Casual),すごく軽いから、金じゃないかも。……空っぽみたいに軽いわ。,"It's very light, so it's probably not gold... It's almost as if it was empty.",,
406,,とにかく、開けてみよう……。,"Anyways, let's open it...",,
410,ヱリカ,な、……何？！　……何事ですかッ……？！,Wh... What?! ...What is this?!,,
417,Mion (バニー),"何よ、今のすっごい雷……！　こんなに晴れてるのに凄かった
ね……。","Wow, that sure was some lightning...! That was amazing for such a sunny day...",,
420,詩音 (バニー),お、お姉？！　そ、その恰好は何です……？！,S-Sis?! Wh-what's that outfit...?!,,
427,Nao (シエスタ),"そ、それを言ったら、詩音さんだって。どういうこと？　手品？　
早着替え？！","Y-you should talk, Shion-san. What was that? A magic trick? A quick change of clothes?",idk on the start of this line,"from ""S-Shion san you said it."
429,ヱリカ,……菜央さんも、なかなかの恰好ですよ。,...Nao-san also has a lovely outfit.,,
431,ヱリカ,それ、……確か、シエスタ姉妹兵の。,"That is... if I remember correctly, the Chiester Sisters Guard Corps.",,
434,Nao (シエスタ),"な、……なな、何ですか、この服っ？　え、ちょ、スカート短い！
　というか前、丸見え？！","Wh... wh-wh-what's with these clothes? Hey, wait, this skirt's way too short! I mean, you can see the whole front?!",,
440,詩音 (バニー),お姉、私たちのこの服……。,"Sis, these clothes of ours...",,
