event01_30_10.bytes,,tessie - TL,Uminetta - TL (I translated it a little bit),Lloro - QC/TL,Naegles - QC2
182,,"　くらげみたいな軟体動物と化してグネグネしているヱリカさん
も、投げ遣りではあるが共に拍手をしてくれた……。","As if she had transformed into a sea mollusc wriggling around its tendrils, Erika-san begrudgingly joined in on the applause for us...",,
185,ベアトリーチェ,うむ！！　妾は大満足であるぞッ。実に楽しい誕生日であった！,Yeah!! I'm very satisfied! I truly had a fun birthday!,,
188,ベアトリーチェ,"菜央よ、ヱリカよ！！　そなたたちは、見事、妾の退屈の病を癒し
てくれた。","Nao, Erika!! You two have successfully cured me of my boredom.",,
190,ベアトリーチェ,"ヱリカには褒美として、そなたが素晴らしい贈り物を届けてくれ
た、素晴らしい使者であったと記したベルンカステル卿宛ての親書
を授けよう。","As a reward to Erika for sending me this delightful present, allow me to give you this handwritten letter I put together stating what a wonderful messenger you were, addressed to Lady Bernkastel.",,
192,ベアトリーチェ,"さらに追伸にて、名探偵ワニャンは面白いらしいぞと、妾からもお
勧めしておく！","What's more, in the postscript, I recommended Detective Wanyan to her as well, stating how amusing I find it!",,
200,ヱリカ,"ベ、ベアトリーチェ卿……！！　有り難きお言葉！　
ははぁぁぁ！！","M-Miss Beatrice...!! Thank you for your wordsss!! Ha-, haaaaaahhh!!!!",added haaah / split up the ha's here so it didnt sound like a silly triumphant laugh,
208,ドラノール,"菜央。ヱリカを誤解しないで下サイ。……ヱリカは優れた探偵も、
憐れな犯人も同時に演じられる、素晴らしい俳優なのデス。","Nao, please do not misunderstand ERIKA. ...Erika plays her part both as an outstanding detective and a pitiable criminal, and does a fine job as an ACTRESS. ",wording mayb,
210,Nao (Casual),"……わかってるわ。彼女は普段、悪役を演じているだけで、本当は
そうじゃないってこと。","...I realize that. She's only pretending to be the villain, but normally, she actually isn't like that.",,
212,ドラノール,"…………菜央。やはり貴女は、航海者の魔女に並ぶ、特別な人のよ
うデス。","......Nao, you really are an extraordinary person, even coming up to par with Voyager WITCHES.",This is so cranky I'm sorry,"from ""Nao, you really are a special person, lining up with voyager WITCHES."
216,ベアトリーチェ,"そして菜央よ！　そなたも我が六軒島へ来て、よく最後まで妾と
ゲームに付き合ってくれた！",And Nao! You came to {i}my{/i} Rokkenjima and spent lots of time playing games with me until the very end!,she uses both the ikuko and the beatrice I forms here AAAAAA,
218,Nao (Casual),"……薔薇を眺めながら、のんびり刺繍をするつもりだったのにね。
サイアクのバカンスになったわ。","...My intention was to embroider while relaxing in the rose garden, though. It became the {i}worst{/i} possible vacation ever.",,
220,Nao (Casual),でも。………あたしも、ちょっと楽しかったかも、かも……。,But... I might have also enjoyed it a little bit... maybe.,added might have,
222,ベアトリーチェ,もうじき、夜が明ける。それでお別れだ。,Dawn will arrive soon. We will part then.,"from ""That will be our parting",
224,ベアトリーチェ,"妾からの、心ばかりのプレゼントを贈っておく。楽しみにして目覚
めるがよい。",I'll present you with a small token of my thanks. Do look forward to it upon waking up.,,
226,Nao (Casual),"ありがとう。……あなたとまたゲームが出来るなら、……また六軒
島に来るのも、悪くないわ。",Thanks. ...If I can play with you again... maybe coming back to Rokkenjima wouldn't be so bad.,,
228,ベアトリーチェ,待っておるぞ！　いつでも来るがよい！,I'll be waiting! Come whenever you like!,,
234,ヱリカ,島の近くで船から落っこちれば、勝手に島に流れ着きますから。,"If you fell off of a boat closeby to the island, you'd drift here on your own anyway.",,
236,ドラノール,"……菜央。貴女のカケラを覗いた時。……貴女がこれから巡るだろ
う数奇な運命を垣間見マシタ。","...Nao, while I was peaking through your Fragments... I caught glimpse of a hapless fate to COME.",,
238,ドラノール,"強く、生きて下サイ。貴女なら、どのようなカケラもつかみ取れる
はずデス。","Be strong, and please live ON. If it's you, you should be able to acquire any Fragment POSSIBLE. ",,
243,Nao (Casual),"あたしは、ただのお姉ちゃん大好きっ子だし。……運命なんて、な
るようになるわ。あたしは、恐れも期待もしない。","I'm just a little girl who loves her sister. ...Whatever happens, happens. 
I don't have any fears or expectations.",,
247,,"　……あ。
　ゆっくりと……、視界が暗くなっていくのを感じる。",...Ah. I can feel my vision... slowly darkening.,,
248,,朝を迎え、あたしは起床するのだろう。,"Morning will come, and I'll probably rise out of bed.",,
249,,"　……楽しかったわ、六軒島。
　次に来る時は、……今度こそのんびり、刺繍をさせてね……。","...It was fun, here at Rokkenjima. Next time I come... I'll definitely be able to relax and embroider...",,
266,,"　……雀の囀りが聞こえて来た。
　ゆっくりと目を開けば、……朝日で満たされた温かな部屋の天井
が見えてくる……。","...I started to hear the sparrows chirping. If I slowly open my eyes...
I'll be able to see the ceiling of my room being warmed up by the morning sun......",,
267,,今日で、六軒島ともお別れか……。,"Today, I'm parting ways with Rokkenjima, huh...?",,
268,,"　そういえばベアトリーチェは、何かプレゼントがあると言ってな
かったっけ。","Now that I've said that, I believe Beatrice told me she had a present for me.",,
269,,楽しみにして目覚めるがよい、とか言っていたような………。,"""Do look forward to it upon waking up."", is what she told me, I think...",,
272,,こんな島、来なければよかった……。,I should have never come to this island.,こんな島、来なければよかった。,I should have never come to this island.
274,Nao (Casual),ひ、……ひ、,N-... n-......,ひ、……ひ、,N... n......
275,Nao (Casual),嫌ああぁああぁあぁぁああぁぁぁあッ！！,Nooooooooooooooooo!!,嫌ああぁああぁあぁぁああぁぁぁあッ！！,Nooooooooooooooooo!!
281,,哀れな犠牲者たちは、……ベッドの上で、血まみれだった。,The poor victims... were on the bed covered in blood.,哀れな犠牲者たちは、……ベッドの上で、血まみれだった。,The poor victims... were on the bed covered in blood.
282,,"　魅音さんのネグリジェは、本当はとても可愛らしいものだったの
だろう。",Mion-san's negligee probably used to be very lovely.,"　彼女のネグリジェは、本当はとても可愛らしいものだったのだろ
う。",The girl's negligee probably used to be very lovely.
283,,"　しかし、刃物か何かで執拗に切りつけられて、ズタズタにされて
しまっている。","But... it had been relentlessly cut by a blade or something, and torn to shreds.","　しかし、刃物か何かで執拗に切りつけられて、ズタズタにされて
しまっている。","But... it had been relentlessly cut by a blade or something, and torn to shreds."
284,,"　そこから溢れ出しただろう鮮血が、ネグリジェもシーツも、元が
何色だったか思い出せないほどに染めてしまっている。",The blood that must have poured out from that spot had dyed the negligee and the sheets to the point where I could no longer remember what color they were originally.,"　そこから溢れ出しただろう鮮血が、ネグリジェもシーツも、元が
何色だったか思い出せないほどに染めてしまっている。",The blood that must have poured out from that spot had dyed the negligee and the sheets to the point where I could no longer remember what color they were originally.
285,,"　詩音さんはガウン姿だった。……もちろん、真っ赤な鮮血に染め
られている。","Shion-san was in a gown. ...Of course, it was also stained with fresh, bright red blood.","　もうひとりはガウン姿だった。……もちろん、真っ赤な鮮血に染
められている。","The other one was in a gown. ...Of course, it was also stained with fresh, bright red blood."
286,,"　こちらも同様に、ズタズタに切り裂かれ……、見るも無残な有様
だ……。","Just like Mion-san's, it had been torn to shreds... and was clearly in a pitiful state.","　こちらも同様に、ズタズタに切り裂かれ……、見るも無残な有様
だ……。","Just like the other one, it had been torn to shreds... and was clearly in a pitiful state."
287,,"　３つのベッドの内、２つは鮮血に染まるが、１つは、昨晩から変
わらず清潔なままだ。
　それが、……あたしのベッド。","Out of three beds, two were covered in blood... But one bed was still as clean as it was last night. That was... my bed.","　３つのベッドの内、２つは鮮血に染まるが、１つは、昨晩から変
わらず清潔なままだ。それが、……あたしのベッド。","Out of three beds, two were covered in blood... But one bed was still as clean as it was last night. That was... my bed."
288,,"　そしてあたしだけが、……血の一滴も浴びずに、彼女たちと同じ
部屋で、……熟睡していた……。",And I was the only one... who wasn't covered in a single drop of blood... while having slept soundly in the same room as them...,"　そしてあたしだけが、……血の一滴も浴びずに、彼女たちと同じ
部屋で、……熟睡していた……。",And I was the only one... who wasn't covered in a single drop of blood... while having slept soundly in the same room as them...
289,,"　だ、大丈夫ですか……。そう言おうと思った。
　しかし、あたしの口から出たのは、か細くて弱々しい、悲鳴と呼
ぶにも頼りない、かすれ声だけであった。","""A-Are you okay...?"", was what I wanted to say, but the only thing that came out of my mouth was a faint, unsteady groan that was too weak to be called a scream.","　だ、大丈夫ですか……。そう言おうと思った。
　しかし、あたしの口から出たのは、か細くて弱々しい、悲鳴と呼
ぶにも頼りない、かすれ声だけであった。","""A-Are you okay...?"", was what I wanted to say, but the only thing that came out of my mouth was a faint, unsteady groan that was too weak to be called a scream."
293,,"　あたしは部屋を飛び出し、隣室の扉を激しくノックしながら、同
時にドアノブも捻る。","I dashed out to the next room over, frantically knocking on the door while trying at the doorknob.","　あたしは部屋を飛び出し、隣室の扉を激しくノックしながら、同
時にドアノブも捻る。","I dashed out to the next room over, frantically knocking on the door while trying at the doorknob."
294,Nao (Casual),"ヱリカさんッ、ヱリカさんッ！！　た、大変です大変です、たた、
助けて……ッ！！","Erika-san, Erika-san!! S-Something awful happened! H-H-Help...!!","ヱリカさんッ、ヱリカさんッ！！　た、大変です大変です、たた、
助けて……ッ！！","Erika-san, Erika-san!! S-Something awful happened! H-H-Help...!!"
300,Nao (Casual),え……？　開いた………？,Huh...? It opened...?,え……？　開いた………？,Huh...? It opened...?
302,,"　ドアノブを捻ったって、鍵が掛けられているのだから、開く訳は
ない。","Even if you turn a doorknob, when it's locked, there's no way it would open.","　ドアノブを捻ったって、鍵が掛けられているのだから、開く訳は
ない。","Even if you turn a doorknob, there's no way it would open if the door was locked."
303,,"　ドアノブをガチャガチャさせるのが、自分の混乱と状況の異常を
知らせる、無意識の方法だったからに過ぎない。",Rattling the doorknob like that was just my unconscious way of informing her of my confusion and the abnormality of the situation.,"　ドアノブをガチャガチャさせるのが、自分の混乱と状況の異常を
知らせる、無意識の方法だったからに過ぎない。",Rattling the doorknob like that was just my unconscious way of informing her of my confusion and the abnormality of the situation.
304,,"　……だから、扉が開いてしまうことは、まったく想定しなかった
のだ。",...That's why I didn't actually expect the door to open.,"　……だから、扉が開いてしまうことは、まったく想定しなかった
のだ。",...That's why I didn't actually expect the door to open.
305,,"　その異常が……、あたしの心を瞬時に凍らせ、……ナイフのよう
に鋭く尖らせる。",It was so unexpected... that it made my heart stop for a second... sharpening my senses like a knife.,"　その異常が……、あたしの心を瞬時に凍らせ、……ナイフのよう
に鋭く尖らせる。","It was so unexpected... that it made my heart stop for a second... sharpening my senses like a knife.
"
306,,"　極限の恐怖は、感情の全てを殺し、五感を限界まで研ぎ澄ます。
　だが、所詮は氷のナイフ。
　……どんなに鋭くても、脆く、砕け散る……。","Extreme fear can numb our emotions and sharpen our senses to the limit. But... it's a blade of ice in the end. ...No matter how sharp it is, it's fragile and easily shattered......","　極限の恐怖は、感情の全てを殺し、五感を限界まで研ぎ澄ます。
　だが、所詮は氷のナイフ。
　……どんなに鋭くても、脆く、砕け散る……。","Extreme fear can numb our emotions and sharpen our senses to the limit. But... it's a blade of ice in the end. ...No matter how sharp it is, it's fragile and easily shattered......"
309,Nao (Casual),ヱリカ……さん………？,Erika...san...?,ヱリカ……さん………？,Erika...san...?
315,,"　染められていた……。
　ヱリカさんもまた、ベッドの上で……、真っ赤に、血まみれ
に………。",It was stained... Erika-san was also on the bed... red and bloody......,"　染められていた……。
　ヱリカさんもまた、ベッドの上で……、真っ赤に、血まみれ
に………。",It was stained... Erika-san was also on the bed... red and bloody......
317,Nao (Casual),嫌あああぁあぁぁあぁあぁあぁぁぁぁぁッ！！！,Noooooooooooooooooooooooooooooooo!!!!!!!!!!!,嫌あああぁあぁぁあぁあぁあぁぁぁぁぁッ！！！,Noooooooooooooooooooooooooooooooo!!!!!!!!!!!
323,Nao (Casual),…………ヱリカさん。おはようございます。,"......Erika-san, good morning.",,
324,,当然、死体が喋ることはない。,"Of course, corpses don't speak.",,
326,,なら、死体が呼吸をする必要もないわね。,"So, corpses don't need to breathe either.",,
328,ヱリカ,ふがッ……………。,Gh......,,
329,ヱリカ,…………………………………。,.......................................,,
330,ヱリカ,……………………………………………………ッ。,............................................................nn--,,
337,ヱリカ,ゲハッ！！　こッ、殺す気ですか、ハアハア、ゼエゼエ！！！,"Guh--!!! A-Are you trying to kill me?! Haah, haah, *cough*cough*!!!",,
339,Nao (Casual),おはようございます、ヱリカさん。,"Good morning, Erika-san.",,
341,Nao (Casual),"これもきっと、ワニャンの映画の中のワンシーンの再現なんですよ
ね？","This is another reenactment of a scene you saw in the Wanyan movie, isn't it?",,
343,ヱリカ,"ふっふっふ！　完璧だったでしょう？！　特に、死に顔にほのかに
残る未練と慕情の再現は、究極的だったと思いますッ！",*giggle*giggle*giggle*! Wasn't it perfect?! I thought my death face in particular was the ultimate expression of one's leftover traces of regret and yearning!!,,
345,ヱリカ,"ただ、名探偵ワニャンへの愛があるだけで、古戸ヱリカにはこの程
度のコスプレが可能です！　如何ですか、魅音さん詩音さんッ？！","Just through my love for Detective Wanyan, this level of cosplay is possible for Erika Furudo! What do you think, Mion-san and Shion-san?!",,
347,Nao (Casual),"……向こうも死体だわ。あなたとどちらが完璧か、採点をお願いす
るわ……。",...There are dead bodies over there too. I wish there were grades on these to see who did it better...,,
351,,"　ヱリカさんは、ズタズタの血塗れゾンビの姿で、不敵に笑いなが
ら、あたしたちの部屋に飛び込んでいく。","With an intrepid laugh, Erika-san burst into our room looking like a zombie out of a horror movie.",,
361,ヱリカ,"おおッ！！！　……なかなかの再現度です！　これは確か劇場版
の……３２分１８秒の……。",Oooohhh!!! ...What a splendid recreation! This must be... if I'm correct... the movie scene at 32 minutes and 18 seconds......,,
368,Nao (Casual),"これ……映画館で隠し撮りしたの……？　それ犯罪よ。映画泥棒
よ。頭からポップコーンぶちまけるわよ。",Is this... did you guys sneak a picture at the theaters...? That's a crime. Movie thieves. Popcorn is gonna shoot out of your heads now.,,
370,,"　ヱリカさんがどこからともなく取り出した、秘密探偵道具の小さ
な画面には、……この部屋の惨状とそっくりなシーンが映し出され
ていた……。","From who knows where, Erika-san grabbed out a secret detective gadget with a little screen... which depicted a scene that matched perfectly with what was in this room...",,
373,ヱリカ,"まず、詩音さんから！　強打者（スラッガ）くんの再現、お見事で
す！","Firstly, Shion-san, powerful portrayal of {note_green}Slugger-kun{/note_green}!",,
377,ヱリカ,"いいですね、衣装が完璧なのは当然として、この感じ！　心から
キャラになり切らないとなかなか出来ません！","Yeah, that's it, the clothes being perfectly in the right form, just like that! This couldn't be done unless you allowed the character to envelop your soul!",,
380,ヱリカ,"一番大事なのはこの儚い死に顔！！　実にいい表情ですッ！　これ
は満点を出しましょう！",But what ties it all together is that reactionary death face!! Truly an amazing facial expression! Just let me give you an A+!,,
389,詩音 (Casual),"ヒョオウ！　さっすがワニャラー！！　細かいところまでよく見て
下さりましたね！","Haaaah! That's a Wanyanner if I see one!! You judged it down to every last detail, huh?!",idk if hyoou is a reference pls help,
396,Nao (Casual),すごいわ。……惨殺死体が上機嫌に跳ね起きたわ……。,Incredible. ...She just sprang up from out of her death position like it was nothing...,,
400,ヱリカ,"続きまして魅音さんですね。こちらは町留田（マチルダ）さんの再
現、これもまたお見事です！！",Now I'll judge Mion-san. This one is a depiction of {note_green}Matilda-san{/note_green}; very nicely done as well!,,
402,ヱリカ,"もはや、言うまでもなく完璧なのですが、……ダブルパーフェクト
が出るかどうかは、ここに掛かってます！！",I had already called the other one perfect... but this one really has me feeling like this is a <double perfect!!>,"feeling usage? i was thinking of saying ""lines up with the other"" etc",
407,詩音 (Casual),菜央さん、わかりますぅ？　この細かいこだわり。,"Nao-san, do you get why she's so hung up on the details?",,
409,Nao (Casual),……だから全然わかりません。,"......Yeah, not at all.",,
415,ヱリカ,"このネグリジェの裾！　ほら、少しだけ膨らんでいるでしょう？　
ここ！　指輪ケースが隠れてるんです！",The bottom edge of this negligee! See how it puffs out a little bit? Right here! There's a ring case hidden here!,,
418,ヱリカ,"どうせ見えない部分だからと、適当に誤魔化しちゃうレイヤーさん
も多いんですが、……さてさて魅音さんは……ッ？！","Since you can't see it at all, lots of cosplayers might lazily gloss over that fact... but with Mion-san...?!",,
424,ヱリカ,"ありましたぁ！！　しかもすごい原作再現度！！　投げ返された時
についた傷跡まで完璧！！","She has iiiit!! Absolutely artful remastering of the original work!! It's perfect, even down to the scar she got from when she was thrown back!!",,
431,Nao (Casual),……もう全然意味がわかりません。,...I just don't know what's happening anymore.,,
435,Mion (Casual),"くっくっく！　細部にこそ神は宿る、見えないところにまでこだ
わってこそ真のワニャラー！",*cackle*cackle*cackle*! God is in the details! Being fastidious even over aspects that go unseen is to be a true Wanyanner!,reworded the first part bc i feel like it would be offensive in english,
437,Nao (Casual),……ホントごめんなさい。帰ったら必ず映画館いきます。,...I'm so sorry. Once I get back I'll absolutely go to the movie theaters.,,
442,詩音 (Casual),"ヱリカさんの衣装を見る限り、どうやら、未来（ミライ）さんの死
亡現場を再現してたみたいですね！","Even looking at Erika-san's clothes, I can somehow tell she recreated {note_green}Mirai-san's{/note_green} death scene!",,
446,Mion (Casual),"ちょっとヱリカさんの部屋に戻ろうよ！　ヱリカさん、見るからも
う１回死んで死んで！！","Let's go check out Erika-san's room! Erika-san, we wanna see, so just die one more time, one more time!!",,
451,Nao (Casual),……ホント皆さん、１回死んで下さい……。,"...Really, everyone, just die once......",,
453,,このワニャラーどもは、すっごく和気藹々と楽しんでいる。,These Wanyanners are having a blast because they're so incredibly compatible.,,
454,,"　昨日、何だかギスギスした言葉を交わし合っていた気がするけ
ど、あれもきっと、ワニャンに出てくる劇中の掛け合いの真似なの
だろう。","I feel like some pretty edgy words were being exchanged yesterday, but that was also likely... another Wanyan recital they started doing.",,
455,,"　魅音さんと詩音さん、そしてヱリカさんは、共通の趣味を持つ者
として、かなり早い段階から意気投合していたのだ……。","Mion-san, Shion-san, and Erika-san all have common interests, so they were able to get onstage together and hit it off fast...",,
456,,"　それで、劇中の洋館ミステリーっぽい、ギスギスとした会話を交
わし合い、わかる人にしかわからない会話を楽しんでいた………？","So with that, they engaged in an edgy Western mystery roleplay conversation that only people who were in the know could enjoy...?",,
460,Nao (Casual),ストップ。……すると、とても当然な疑問に行きつくわ。,"Stop. ...Thereupon, we arrive at a very obvious question.",,
462,ヱリカ,疑問？　何でしょうか？,A question? And what could that be?,,
468,詩音 (Casual),"あー、映画を楽しむには、やはり漫画を読了してないとダメか、っ
てことでしょうか。","Ah-, maybe enjoying the movie is actually impossible without finishing the manga first, is that what you mean?",,
470,Mion (Casual),"さすがに全巻読了は厳しいからね！　６８巻以降でいいんじゃない
かな。",Finishing the whole series is as brutal as one would expect! Shouldn't she start off on volume 68?,"from ""as brutal as I thought""",
482,ヱリカ,"ぴぴぴー！　ダメですダメです！　ワニャンを取り巻く人間関係の
深みを知らなければ、面白さは激減です！","Eeeeeee~! Never that, never that! Without knowing the depth surrounding the character relationships in the Wanyan universe, the entertainment level would dramatically decrease!",,
490,詩音 (Casual),"ですよねー！　やっぱり菜央さんには全巻を読んでいただかない
と！",Riiight?! Nao-san definitely needs to read through the entire thing!,,
497,Nao (Casual),いい加減にして下さい。切り刻みますよ。,Please cut that out. I'm gonna chop you guys up.,,
502,,ワニャラーどもは、ヒッと短い悲鳴をあげて、正座した……。,"The Wanyanners were taken aback, shrieking with a little ""Hee?!""",,
511,Nao (Casual),今から、皆さんに質問します。,I will now set up an inquiry for everyone.,,
513,Nao (Casual),"返答如何では、ホントに殺人事件になりますので、心してお返事下
さい。","Depending on your answer, it will literally become a murder case, so please reply with caution.",,
516,Mion (Casual),"な、何よぉ～……、凄んじゃって、菜央ちゃんの可愛い顔が台無し
だよぉ。ねぇ？","Wha-whaaat~...? If you're gonna threaten me, Nao-chan, don't ruin it with having such a cuuuute little face. Okay?",,
519,Nao (Casual),教えてくれても、よかったじゃないですか。,"I'm glad that you taught me that, you know?",,
523,詩音 (Casual),教えてって、何を……。,Taught you... what...?,,
532,Nao (Casual),"あたしのベッドに魔法陣が現れた時！　教えてくれればよかった
じゃないですかッ！","When that magic circle appeared on my bed, I'm really glad that you taught me that, you know?!",,
