event01_30_05.bytes,,Jevil_A3W,Lloro - QC,,
179,Nao (Casual),ドアノブに、起こさないで下さいって札を掛けてました。,"She had a tag hanging on a doorknob saying ""Do not disturb"".",,
186,詩音 (Casual),わ～、このポーチドエッグ、すっごい可愛らしいですよ～！,"Wow~, these poached eggs are soooo cute!",,
188,嘉音,当家のシェフ、郷田が腕を振るいました。,"Our head chef, Gohda, has prepared for you his finest.","from ""Our chef Gohda showed his finest.",
192,Nao (Casual),本当、見事なセンスですよね。,"He really has an eye for aesthetics, huh?","from ""I can see it is extremely tasteful.",
197,郷田,いえいえ、これしき。んなっはっはっは……。,"Oh, no, it's nothing special. Nahhahhahaha...",,
198,,"　若い娘たちに褒められて、郷田さんは赤面して照れる。……可愛
い人だ。","Gohda-san blushed with embarrassment as the young girls praised him.
...He's a loveable guy.",,
199,,"　配膳を済ませると、御用がありましたらベルでお呼びくださいと
言い残し、使用人たちは退出する。","After serving our food, the servants left, telling us to ring the bell if we needed anything else.",,
200,,"　あたしはまだ……、昨夜の魔法陣のショックと、夢の中での魔女
との推理バトルの影響が抜けなくて、ぼんやりしている。",I'm still in a daze... reeling from the shock of last night's magic circle and the logic battle with the witch in my dream.,,
201,,"　一方、園崎姉妹は、昨日のことなんかなかったかのように元気全
開。朝食から全力で食いまくりだ。","Meanwhile, the Sonozaki sisters were at full throttle as if yesterday had never happened. They ate as much as they could, even if it was just breakfast.",on the other hand -> meanwhile / very lively -> full throttle,
205,Mion (Casual),いやぁ、それにしても昨夜のボドゲは楽しかったねぇ！,"Well, last night's board game session was a lot of fun!",,
207,詩音 (Casual),"お姉のアレ。絶対に次のルール改定でエラッタが出ますよ。あんな
の許される訳がないです。","Sis. About that tactic you did, I'm sure they'll have an errata in the next rule revision. There's no way they'll allow that.",,
209,Mion (Casual),"いい？　ゲームも現実もね、とにかく徹底的にテキストを読み込む
の。どこに罠があるかわからない！","Oh, really? Whether it's a game or real life, just read the text carefully. You never know where you'll find a trap!",,
211,Mion (Casual),"逆に、決定的なチャンスを自分だけが見付けたなら、それは大きな
武器になる！　昨日の私みたいにねぇ！","On the other hand, if you're the only one who sees a loophole, it's a great weapon! It worked perfectly on you all yesterday!",decisive opportunity -> loophole / Just like I did yesterday! -> It worked perfectly on you all yesterday!,
216,Nao (Casual),……………………。,........................,,
221,Nao (Casual),"……あの、魅音さん。ちょっと、あたしの話を聞いてもらってもい
いですか？","...... Um, Mion-san. I'm not sure what to say, but can I get your thoughts on something?",,
223,Mion (Casual),ん？　何？,Hmm? Go on.,,
227,,"　話してみよう。……あの夢の中の、魔女との推理バトルのこと
を。",I'm going to try talking about... that logic battle with the witch in my dream.,,
231,Nao (Casual),"実は昨夜、こんな夢を見たんです。……すごく鮮明に覚えてい
て……。",I had this dream last night. I remember it very vividly and...,,
233,,"　最初は、魔女の夢を見たとの話に、昨夜のことを怖がり過ぎだ
よ～と、ちょっと小馬鹿にもされた。","At first, she made fun of me a little, saying that I was too scared from last night's magic circle incident when I told them that I had dreamed about witches.",,
234,,"　……いやいや、魅音さん。あの魔法陣は、普通のセンスの人な
ら、引っ繰り返って当然です。","...No, Mion-san. That magic circle was something that would astonish any person with an ordinary mind.","Changed to ""Ordinary taste"" instead of ""Ordinary mind""",ordinary mind fits here better imo
235,,"　だが、魔女とのゲームの話になり、青と赤の、２つの真実を使っ
た戦いの話になると、魅音さんは目付きを鋭くして話に聞き入って
くれた……。","But when we talked about the game with the witch and the battle with the two truths, blue and red, Mion-san's eyes sharpened, and she started to listen to me more carefully.",,
238,Nao (Casual),"こんな感じです。……お二人はやっぱり、紗音さんを疑っています
か？","It went like that. ...So, you guys {i}are{/i} suspicious of Shannon-san?","from ""It's like this. ......, would you two also be suspicious of Shannon-san?",
240,Nao (Casual),"あたしもそうだったんですが、夢の中の魔女は、紗音さんは一切関
わっていないと赤き真実で言いました。","I thought I was on the right track. However, the witch in my dream stated in red that Shannon-san was not involved in the prank in any way.",,
245,Mion (Casual),"ふぅん。なるほどなるほど……。菜央ちゃんは夢の中でも頑張って
考えてたんだねぇ。","Hmmm. I see, I see... Even in your dream, I'm sure you were thinking hard, Nao-chan!",,
248,詩音 (Casual),"ベアトリーチェが言ったという、赤き真実。メモったんですけど、
これで合ってますか？",I wrote the all red truths that Beatrice said in your dream. Could you double-check them?,,
251,,"　詩音さんは、ゲームの要となる赤き真実を、ペーパーナプキンに
書き留めていた。","Shion-san had written down the red truths, the pivotal factor of the game, on a paper napkin.",,
252,,"　確認する。……うん。ベアトリーチェが言ったことと、一言一
句、同じだと思う。",I checked it out. ...Yeah. I think it's word for word the same as what Beatrice said.,,
256,Mion (Casual),まぁ、普通に考えると、やっぱり紗音さんが怪しいよねぇ。,"Well, yeah, if we think about it normally, it probably was Shannon-san.",,
258,詩音 (Casual),"#ff0000紗音は、魔法陣のシーツを菜央のベッドに敷く行為には、直接的に#r
#ff0000も間接的にも一切、関わっていない、#r","{umi_red}Shannon was not involved in any way, directly or indirectly, in the act of laying the sheet with a magic circle on Nao's bed.{/umi_red}",Chapter 4 C137,
260,詩音 (Casual),っていうのが結構、効いてますね。,"...this one is quite a pain for us. Don't you think so too, Sis?",,
262,Mion (Casual),"間接的の範囲が、かなり広いからね。……紗音さんの入室行為をト
リックに絡めようとしたら、間接的って部分に抵触しちゃうよ？","The definition of ""indirectly"" is pretty huge. If you include Shannon-san entering the room as part of the trick, you violate the indirect part, right?",,
264,Mion (Casual),というか、元々、おじさんは紗音さんを疑ってなんかないし。,"I mean, this ol' man never suspected Shannon-san in the first place.",,
268,Nao (Casual),え？　何かその根拠、あるんですか？,What? Do you have any evidence for that?,,
271,Mion (Casual),やらなさそうだから。,I don't think she'd do it.,,
274,,"　ババーン。魅音さん空間だったら、何の根拠もなく赤き真実で言
えてしまいそうだ……。","Bam. If it were Mion-san's place, she could say it in red without any basis.",,
278,Mion (Casual),"紗音さんは昨夜。菜央ちゃんが窓の鍵の話をする直前に、“本日は
これで失礼させていただきます”って言ったんだよ。","Last night, right before Nao-chan mentioned the window lock, she said ""I'll take my leave for today.""",Chapter3 C119,
280,Mion (Casual),"あれは、今日はこれで仕事をあがる、って意味だよ。つまり、あの
まま、宿直室か何かに帰るつもりだったんだよ。","That meant she was going to finish her work for the day. In other words, she was going to go back to her quarters or something.",,
282,Nao (Casual),"……あたしが窓の話をしたから２階に上がっただけで、それは予定
にない行為……。","She only went upstairs because... I told her about the window, which wasn't on her schedule...",,
285,Mion (Casual),そゆこと。そして私たちの部屋に立ち入った時間もわずかだった。,Yup. And she only had a few minutes to go in and out of our room.,,
287,Mion (Casual),"予定にない行為と、わずかな時間。普通に考えて、紗音さんにあの
悪戯をする時間的余裕はないね。","An unscheduled request and a small amount of time. Logically, Shannon-san wouldn't have any time for playing that prank.",,
291,詩音 (Casual),"さらに赤き真実で、紗音さんは魔法陣の有無に関わらず、シーツに
さえ触っていないと明言されていますし。","Furthermore, in the red truth, it is clearly stated that Shannon-san didn't even touch the sheets, with or without the magic circle.",,
294,Mion (Casual),"それにさ、あんな儚い感じの可愛い子が、あんな悪趣味な悪戯をす
るなんて、おじさんはちょっと思えないもんね～！","And besides, it's hard for this ol' man to believe that such a fragile, pretty girl would play such a naughty prank!",,
299,Nao (Casual),………………………。,...........................,,
301,,すごい。……赤き真実は一切ないけれど、すごい説得力だ。,"Amazing. ...There was no red truth to any of this, but it's incredibly convincing.",,
302,,"　確かに、昨夜のあたしはショックで冷静さを欠いていたけれど。
　魅音さんの言う通りに冷静に思考を巡らせれば、……初見で紗音
さんを疑いから外せるのだ。","It is true that last night I was shocked and lost my composure.
...However, if you think calmly like Mion-san, you can remove your suspicion of Shannon-san at first glance.",,
305,Nao (Casual),じゃあ、紗音さんに無理なら……、誰に可能だったんですか？,If it was impossible for Shannon-san... then who could have played that prank?,,
310,詩音 (Casual),"うふふふ。紗音さん以外の誰も２階に行っていないという赤き真実
が邪魔になるんですよね？","*giggle*. The red truth where no one but Shannon-san went upstairs is in our way, isn't it?",,
313,Mion (Casual),"そこがさっきおじさんが言ったことだよ。テキストは、よ～く読み
込まなくちゃねぇ。",That's what this ol' man said earlier. You have to read the text very carefully.,,
315,詩音 (Casual),"#ff0000そなたたちが施錠してから、再び開錠するまでの間、紗音を除い#r
#ff0000て、ゲストハウス２階に訪れた者はいない、#r","{umi_red}No one visited the second floor of the guesthouse from the time you locked the door until you opened it again, except for Shannon.{/umi_red}",Chapter 4 D165,
317,詩音 (Casual),でしたよね？,"...was what the witch said, wasn't it?",,
319,Mion (Casual),訪れた者はいなくても、待機していた者はいるかもねぇ？,"Maybe no one went up, but someone could have been waiting in the room, right?",,
324,Nao (Casual),え、待機………。,"Huh, waiting...?",,
329,詩音 (Casual),施錠から開錠までの間、２階に行っちゃいけない訳ですよね？,"In the timeframe the room was locked and then unlocked, going upstairs is forbidden, right?","from ""You can't go upstairs between locking and unlocking the door, right?",
331,Mion (Casual),それ以前に、２階に行っちゃってればいい。,But you can go upstairs before then.,,
333,Mion (Casual),"つまり。施錠から開錠までの間に、すでに２階に滞在してれば、
なぁんの問題もないワケ！","Meaning, if you're already upstairs between the time the door is locked and the time it's unlocked, there's no problem at all!",,
338,Nao (Casual),あ、……あ、…………。,Ah... oh......,,
340,,"　何て下らない言葉遊び……！！　まんまとやられたわ。
　犯人はこの悪戯の為に、ずっと２階に潜み、……機会を伺ってい
たのだ……！","They got me on this. What a silly play on words...!
The culprit had been lurking upstairs all along, waiting for the opportunity to play the prank...!",,
344,Nao (Casual),"で、でも。紗音さんは間接的にも一切、関わっていないんですよ
ね？","B-but Shannon-san isn't involved in this at all, even indirectly, right?",,
346,Nao (Casual),"つまり、紗音さんが鍵を開け閉めした隙を突けば、紗音さんは間接
的に幇助したことになってしまう……。","In other words, if the culprit takes advantage of the opportunity when Shannon-san opens and closes the door, that counts as indirectly cooperating with the culprit...",aiding and abetting -> cooperating with,
348,Mion (Casual),窓は、入れたでしょ？,Or... they could've gotten in through the window?,,
350,Nao (Casual),"じゃあ……、犯人は、２階の他の部屋に潜み……、外壁を伝うか何
かして、窓から侵入したってことですか……？！","So... the culprit climbed up the wall outside... broke in through the window, and hid in another room on the second floor...?!","from ""So, ......, the culprit hid in another room on the second floor, ......, climbed through an exterior wall or something, and broke in through the window...?!",
352,Mion (Casual),"昨夜は真っ暗だったからわからなかったけれど。おじさんは朝、窓
を開けて、外壁を確認したんだよ。","I couldn't tell last night because it was dark. In the morning, this ol' man opened the window and checked the outer wall.",,
354,Mion (Casual),"露骨な痕跡はなかったけれど、下の階の庇がいい感じの足場になっ
てた。","There were no obvious traces, but the overhang on the lower floor made for a nice foothold.","from ""the eaves of the lower floor made a nice scaffolding.",
358,詩音 (Casual),"まぁ、これが部活だったなら、お姉どころか、部活メンバーなら誰
でも足場に使うでしょうねぇ。","Well, if this were a club activity, not only Sis, but any member of the club could use it as a foothold.",scaffold -> foothold.,
361,Mion (Casual),犯人もやるねぇ。くっくっく。部活に誘ってやりたいくらいだよ。,The culprit isn't bad at all. *cackle*cackle*. I'd even say I want to invite them to our club activities.,,
365,Nao (Casual),じゃ、じゃあ、犯人は一体……？！,"So, then, who is the culprit...?",,
367,Mion (Casual),"おじさんたち以外に、昨夜、ゲストハウスの２階に滞在してた
人、ってことになるねぇ……？","It would be someone who was staying on the second floor of the guesthouse last night, besides us...?",,
375,ヱリカ,おはようございます。のんびり、朝寝坊をさせていただきました。,Good morning. I had the pleasure of sleeping in.,,
380,,"　その時。ヱリカさんが降りて来た。清々しい笑顔で微笑みかけて
くる。","At that moment, Erika-san came down the stairs. She smiled at us with a refreshing face.",,
381,,"　ヱリカさんがベルを鳴らすと、やや遅れて、嘉音さんがやってき
た。","When Erika-san rang the bell, Kanon-san arrived a little later.",,
383,,"　朝食の用意を頼むと、ナイフやフォークをざらりと避けて、自慢
のマイ箸を準備するのだった。","When Erika-san asked Kanon-san to prepare her breakfast, Erika-san brushed aside her knife and fork, and took out her prided chopsticks.",the chopsticks of her pride -> her prided chopsticks.,
387,Mion (Casual),ヱリカさん、おはよー。今日もその髪、バッチリ決まってるねぇ！,"Good morning, Erika-san! Your hair looks great again today!",,
389,ヱリカ,ありがとうございます。今日は最高のお日和ですね。,Thank you very much. What a fine day today is.,"from ""Thank you. It's a good day today with the best weather.",
391,ヱリカ,"私も、薔薇庭園の東屋で、のんびり読書でもしようかと思っていま
す。",I'm thinking of relaxing and reading my books at the arbor in the rose garden.,,
393,ヱリカ,"そういえば菜央ちゃまは、薔薇庭園を眺めながら刺繍をするんでし
たっけ？",I remember Nao-chama was saying you were going to do embroidery while looking at the rose garden?,,
396,,"　清々しい笑顔？　……違うわ、この笑みは。
　昨日のアレ、お楽しみいただけました？　という問い掛けの笑み
だ。","A refreshing smile? ...No, it wasn't like that.
It was a smile that asked, ""Did you enjoy what you saw yesterday?""","No, it's not like that -> No, it wasn't like that.",
397,,"　……ヱリカさん、……あなたですね、あの性質の悪い悪戯をした
のは……。","...Erika-san, you were the one who played that nasty prank, weren't you...",,
405,,朝食を先に終えたあたしたちは、一度部屋に戻る。,"After finishing breakfast, we went back to our rooms for a bit.","from ""We finished breakfast first and went back to our room.",
409,,"　そして、今日を過ごす為のそれぞれの持ち物を手に、再び階段を
降りた。","Then, with each of our belongings for the day in hand, we came back downstairs.","from ""Then, with our respective belongings for the day in hand, we came downstairs again.",
410,,"　あたしは、刺繍の道具と、読みかけの本をバッグに入れて。
　園崎姉妹は、あのバカでかいトランクを持って。","I had my embroidery tools and a book I was reading in my bag, while the Sonozaki sisters were carrying that giant trunk.",,
413,Mion (Casual),あと、これは御守りね。,"Ah, here's a good luck charm.",we have -> here's,
415,,"　魅音さんは、ベッドメイク不要の札をドアノブに掛けていた。
　……何の御守りになるのか、よくわからない。","Mion-san hung a tag on the doorknob that said ""Bedmaking Not Necessary"".
...I'm not sure what she called it a charm for.",In Japan do not disturb sign is separated to varies of different types,
417,,"　しばらくの間、ドアノブで何かゴソゴソやっていたが、何をして
るのかよくわからなかった。",She was messing around with the doorknob for a while... but I couldn't quite figure out what she was doing.,fumbling something -> messing around / for a while order change,
420,詩音 (Casual),"くす。今は忘れてくれて大丈夫ですよ。さ、お姉も終わりました。
下に降りましょう！",*giggle*. You can forget about it for now. It looks like Sis finished. Let's go downstairs!,is done doing it -> finished,
426,,"　３人で階段を降り、１階広間に戻ると、ヱリカさんがちょうど、
朝食を終えたところだった。","The three of us descended the stairs and returned to the first floor hall, where Erika-san had just finished her breakfast.",,
430,詩音 (Casual),"私たちは今日は、薔薇庭園のあちこちで、色々と撮影をしますの
で。",We'll be taking a lot of pictures here and there in the rose garden today.,,
432,ヱリカ,"どうぞお好きなようにお過ごしを。私を写さないでさえくれれば、
何も気にしませんので。","Please spend your time as you wish. As long as you don't take pictures of me, I don't mind anything.",,
436,Mion (Casual),ヱリカさんは何をして過ごすの？,"What'll you spend your time doing, Erika-san?",what do you -> what'll you,
438,ヱリカ,"今日は変わり種のミステリーの本を持ってきてますので、薔薇庭園
でのんびりと読書の予定です。","I've brought a special mystery book with me today, so I'm planning to relax and read in the rose garden.",some variant -> a special,
440,Mion (Casual),へー！　何て本？,Woah! What kind of book?,"from ""Sounds nice! What's the name of the book?",
442,ヱリカ,"いえいえ。一般的な分類では、ラブロマンスというジャンルなんで
すが。私にはとてもミステリーなんです。","Well, you see, it would typically be classified under the romance genre... yet it's very much a mystery to me.","from ""No, no. In the general classification, it's a romance genre... yet it's very much a mystery to me.",
444,ヱリカ,"どうして、それが恋をする動機になるのか？　とか、どうして、リ
スクヘッジもせずに恋愛の地雷原に踏み込むのか？　とか。","Why is that motivation to fall in love? Or, why step into the minefield of love without hedging your risks? And so on.",,
446,ヱリカ,"恋愛至上主義者たちの行動理念は、私にとっては、並のミステリー
よりも読み応えがあるんです。","To me, the behavioral philosophy of love supremacists is a much juicier read than an ordinary mystery.",,
449,Mion (Casual),"はははは。おじさんもちょっとわかるよ。下手な推理小説よりも、
女心はミステリーかもしれない。",Hahahaha. This ol' man understands that a little bit too. A woman's mind may be more mysterious than a mystery novel.,,
451,ヱリカ,"探偵たる者、殺人の動機として古来より代表格に数えられる“恋愛
感情”というものを、勉強しておいて損はありませんので。","As a detective, there is no harm in learning about the ""emotion of romance"": one of the most common motives for murder since ancient times.",,
455,詩音 (Casual),"ヱリカさん？　恋は理屈じゃない。ビビーンと来たら、ドキュー
ン、バキューン♪　ですよ。","Erika-san? Love is not a matter of logic. When you feel the spark, you go zap and then boom♪",,
458,,"　ドキューン、バキューン？？　やっぱり、殺人の動機になり得る
わね……。",Zap and boom...? I guess romance {i}can{/i} be a motive for murder...,,
459,,"　ヱリカさんは、もう読みたい本を持ってきているようで、部屋に
戻らず、このまま出るつもりのようだ。",It seemed that Erika-san had already brought a book she wanted to read and was planning to leave without going back to her room.,,
460,,"　あたしたちは４人で、ぞろぞろとゲストハウスを出るのだっ
た……。",The four of us left the guesthouse in a group...,,
469,Mion (エンジェルモート),じゃー、適当にどんどん、ポーズとってみよっかぁ！,"Well, let's just pose as we see fit!",,
473,詩音 (エンジェルモート),ハァイ♪　お姉に私の可愛さ、撮り切れますかぁ？？,"Suuure♪. Can you fully capture my cuteness, Sis?",,
