event01_30_06.bytes,,roux,Lloro - QC/TL,Naegles - QC2
58,ヱリカ,"そして、食事を終えて、そのまま朱志香さんのボードゲームにも参
加しました。","Then, immediately after finishing the meal, I participated in Jessica-san's board game.",
60,ヱリカ,その後、遅くまで遊び、皆さんと一緒に２階へ上がったはずです。,"After we played late into the night, I surely went upstairs with everyone else.",
62,ヱリカ,"その間、私はわずかの時間でも、皆さんの前から姿を消したことが
ありましたか？","In that time, was there even the briefest moment when I disappeared from everyone's sight?",
64,Nao (Casual),………………………。,...........................,
67,,"　確かに、それは鉄壁のアリバイだ。他ならぬ、あたしとずっと一
緒にいたのだから。","Certainly, it's a rock-solid alibi. Since she was nowhere other than with me...",
71,Nao (Casual),いや、………犯行のチャンスはあるわ。,No... you did have a chance to commit a crime.,
73,ヱリカ,おや。それはどのタイミングで？,Oh? At which time would that be?,
75,Nao (Casual),"一番最初だわ。あなたは、髪が整わなくてと言って、夕食に来るの
が遅れたじゃない。","At the very beginning. You were late coming to dinner, saying your hair wasn't ready.",
77,Nao (Casual),"それに、あなたはあたしたちの部屋の窓が、壊れて施錠出来なく
なっていることを知ってたわ。","Also, you knew our room's window was broken and couldn't be locked.",
80,,"　シーツの魔法陣も、用意には手間が掛かるが、予め準備する時間
は十分にあった。","The magic circle on the sheets took time to prepare, but there was plenty of time to prepare it in advance.",
81,,"　そして、夕食の時にあたしたちが先に下へ降りたのを確認した上
で、窓から出て、１階の庇の上を歩き、あたしたちの部屋の窓から
入った！","After confirming that we went downstairs to dinner ahead of her, she left through the window, walked on top of the first floor overhang, and entered through the window of our room!",eaves -> overhang
85,ヱリカ,グッド。悪くはありません。,<Good>. Not bad at all.,
87,ヱリカ,しかし、良くもない。,However... not great either.,good -> great
89,Nao (Casual),反論があるかしら？,You have an objection?,
92,ヱリカ,"もちろん。……貴女の言う通りだとすると、私が魔法陣の悪戯をし
たのは、夕食の早い段階だということになります。","But of course. If I did that magic circle prank the way you've said, then it would have happened during the early stage of dinner.",
94,ヱリカ,つまり。紗音さんが入室するのは、その後と言う事です。,In other words... Shannon-san would be entering the room shortly afterward.,
96,ヱリカ,"貴女のベッドが、仰られるような壮絶な状況だったとしたら、彼女
が何事もなく帰ってくると思いますか……？","If she found your bed in that wonderfully {i}sublime{/i} state, do you really think she'd return uneventfully?",added wonderfully and italics
98,Nao (Casual),……………………………。,.................................,
100,ヱリカ,"私は紗音さんが戻ってきた時。ふざけて、窓から泥棒が入って部屋
を荒らしたりはしていなかったかと聞いたのを覚えていますか？","Do you not remember when I jokingly asked Shannon-san, ""Has a robber broken into the window or anything?"", when she came back?",event 03 line 484
102,Nao (Casual),……そんなこと……言ったような……。,...I guess... you did say that...,
104,ヱリカ,それに対する彼女の返事が、“いいえ、ご安心を”でした。,"And then, she said word for word, ""No. Please be at ease."".",
107,,"　魅音さんと詩音さんの心臓がタフ過ぎるから、あんな悪戯、下ら
ないもののように思える。","Since Mion-san and Shion-san have super tough minds, they viewed the prank as a trivial matter.",
108,,"　しかし。……普通のセンスの客たちだったなら、全員、絶叫して
部屋から飛び出すほどの悪戯だった。","But... if they were guests with normal taste, we would all have screamed, running away from the room in fear of the prank.",
109,,"　それを見て、“いいえ、ご安心を”という言葉が出るだろう
か……？","Seeing that, could someone really say, ""No. Please be at ease.""?",
113,Nao (Casual),そ、それはきっと……、考えられることは、貴女と紗音さんが、,"Th-, surely that's... when you think of it, you and Shannon-san are...",
118,ヱリカ,#ff0000私と紗音さんは、示し合わせてなどいません。#r,{umi_red}Shannon-san and I are not conspiring together in any way.{/umi_red},
121,,"　え？　……今、ヱリカさんの声色が、何かとても……不思議だっ
た。",Huh? ...The color of Erika-san's voice was... somehow... different... just now.,
122,,根拠を示すことなく、真実を語る言葉に聞こえた……。,They were words that I knew spoke the truth even without it being shown...,
126,ヱリカ,"よって、私が紗音さんに予め因果を含め、魔法陣の悪戯を見て見ぬ
フリをしろ、などと言い含めたことはあり得ないということです。","Therefore, me being involved with Shannon-san prior to it, like telling her to pretend not to see the magic circle, or any extension of that scenario, is impossible.",
128,Nao (Casual),………ん……………。,......Nn.........,
130,ヱリカ,"よって、私が犯人であるならば、犯行の機会は紗音さんが部屋を出
てからしかない。","And furthermore, if I were the culprit, my only opportunity to commit the crime would be after Shannon-san had already left the room.",
132,ヱリカ,"しかしながら、その時間の全ては、貴女たちと一緒にゲームをして
過ごしていたのですから、アリバイは完璧という訳です。","Nonetheless, during that whole time period, I was together playing games with you people, so I have a perfect alibi.",
142,Nao (Casual),あ、……あたし、紗音さんに直接、聞いてきますっ。,I... I would like to hear that directly from Shannon-san.,
149,ヱリカ,ちなみにですが、紗音さんは、今日からお休みだそうです。,"By the way, Shannon-san seems to be off work today.",
151,ヱリカ,"右代宮家は、使用人の権利やプライバシーにも十分に配慮している
そうですから、お休みの紗音さんに伝言を頼むことは出来ても、連
絡を取ってもらうことは出来ませんよ？","Because the Ushiromiya family seems to consider the rights and privacy of their servants deeply, even if you were able to put in a message for Shannon-san while she was out, that message obviously still wouldn't reach her.",
153,,"　つまり、……昨夜、本当に魔法陣の悪戯がなかったかどうかなど
を、尋ねることが出来ないということ……？",Which means... I can't confirm with her whether or not the magic circle last night was a prank...?,
157,ヱリカ,"今日と明日がお休みだそうなので、明日の日曜には帰る菜央ちゃま
にはもう、話を聞く機会はない、という訳です。","Seems like she's going to be out today and tomorrow, so little Nao-chama returning home on Sunday no longer has a chance to hear her side.",
159,Nao (Casual),く…………………。,Gh......,
169,Mion (ウェディング),はー、疲れたねぇ！　ちょっと休憩しよっかぁ。,"Haah-, I'm tireeddd! Let's take a break, yeah?",
171,詩音 (ビキニアーマー),あれ？　菜央さん、刺繍はしてないんですか？,"Huh? Nao-chan, you aren't doing your embroidery?",
177,Nao (Casual),……ヱリカさんとのおしゃべりが盛り上がっちゃって。,......I got psyched up chatting with Erika-san.,
179,ヱリカ,ちょうど、今、盛り下がったところですので。,Psyched {i}down{/i} would be a bit more fitting here.,
185,朱志香,"私もコスプレ、ちょっと興味が出て来たかなぁ……。嘉音くんが気
に入ってくれるのってどんなカッコだろ……。",I might be starting to get interested in cosplay too now... I wonder what kind of outfit Kanon-kun would like on me... ,
189,詩音 (ビキニアーマー),"そういう動機、大歓迎ですよぉ？　美は、見てくれる人のことを想
って養うものですから♪","A motive like that is highly welcome here! With beauty, the thought of that one person looking at you feeds into your confidence!♪",
191,朱志香,い、いやいやっ、べ、別に嘉音くんはそういう関係じゃ……、,"N-Nonono, we, Kanon-kun and I aren't actually toge-...",
193,朱志香,わわ私、そろそろお昼の時間か聞いてくるぜ！,"I-I-I'm, oh, look, it's lunch time!",
199,,"　照れ隠しだと露骨にわかる仕草で、朱志香さんは踵を返して走り
出す。","While clearly trying to hide her embarrassment, Jessica-san turned away and tried to run off.",
200,,"　まだ１１時くらいだ。昼食を気にするにはさすがに少し早過ぎ
る……。",It's still around 11 o'clock. It's kind of a little early to worry about getting lunch...,
201,,"　その時、ヱリカさんが、ポンと手を打って、あ、と何かを思い出
した仕草をした。","At that moment, a lightbulb appeared above Erika-san's head as she appeared to have remembered something.",
204,ヱリカ,"あ、いけない。……私、昨日の魅音さんの窓の鍵の件、笑う資格が
ありませんでした。","Ah, that won't do. ...To me, the incident with the lock on Mion-san's window is no laughing matter.",
209,Mion (ウェディング),どしたの？　ひょっとして、ヱリカさんも壊しちゃった？！,"What do you mean? Wait, did Erika-san's break too?!",
211,詩音 (ビキニアーマー),お姉じゃあるまいし。何かあったんですか？,"Obviously not, Sis. What happened?",
216,ヱリカ,"マヌケな話です。私、自分の部屋に施錠をしてくるのを忘れたんで
す。",It's a bit of a silly story. I actually forgot to lock my own room.,
222,Mion (ウェディング),"それは酷いね！！　窓はまぁ、なくもないけど、扉はまずいよ、う
んうん、まずいね！","How horrible!! The windows are, well, who cares about those, but the door! Oh no, not the door!!",
224,詩音 (ビキニアーマー),"鍵をし忘れたのと、力加減を間違えて壊しちゃうのでは、だいぶ違
うと思いますけれど？","I feel like forgetting to lock your room and breaking something because you underestimated your strength are two incredibly different things, though?",
228,,お～～い、と朱志香さんが呼びながら戻ってくる。,"""Heeeeyy!"", Jessica-san called out as she ran back over here.",
232,朱志香,お、お昼は１２時からだってさ！　はぁ、はぁ！,"L-Lunch is actually at 12 o'clock! Haah, haah...",
234,ヱリカ,"まぁ普通はそうだと思いますが、お伝え下さりありがとうございま
す。","Well, that's what I thought in the first place, but thank you very much for that information.",
240,Mion (ウェディング),詩音～。次の撮影だけどさ。小道具、やっぱ換えない？,"Shion~. For our next photo shoot, though, can we really not replace this prop?",
242,詩音 (ビキニアーマー),あー、ようやく気付きましたか。似合わないと思ってたんです。,"Ah-, you finally realized, huh? I've been thinking it didn't fit well.",
245,Mion (ウェディング),はぁ？！　思ってたんなら何で言わなかったのさ！,"Huuh?! If you've been thinking that, then say something!",
250,ヱリカ,やれやれ。賑やかなことです。,"My, my. How lively it's getting.",
255,Nao (Casual),……あの、朱志香さん。少しいいですか？,"...Um, Jessica-san. Do you have a moment?",
257,朱志香,ん？　何？,Hm? What?,
265,,あたしは朱志香さんを伴い、少しだけ東屋を離れる。,Jessica-san and I walked away from the arbor for a little.,
266,,"　ただ、ヱリカさんは読書のふりをしながら、ずっと人の動向を監
視してるような人だ。","On the other hand, Erika-san appeared as though she was pretending to read, constantly observing each move people made. ",
267,,"　あまり遠くまで行くと不審がられる。少しだけ離れて、話し声が
聞こえない程度の距離を取る。",Going too far away would make it suspicious. I'll move away just enough so that our voices can't be heard.,
271,Nao (Casual),あの朱志香さん。……今日から、紗音さんはお休みなんですか？,"Um, Jessica-san... Is Shannon-san going to be off work from today?",
273,朱志香,え？　あぁそうだぜ！　次の出勤は確か、月曜だったかな？,"Huh? Yeah, that's right! She'll be back on... Monday, I think it was?",
275,Nao (Casual),"……あの、実は紗音さんに、どうしても急ぎでお伺いしたいことが
ありまして。","...Um, truth is I've been wanting to ask Shannon-san something as quick as possible.",
277,朱志香,何？　どうしたの？,What? What's wrong?,
279,Nao (Casual),"それが、紗音さんだけに話したい話なんで……、せめて、電話で連
絡を取るくらいは出来ませんか。","That's something I can only speak about with Shannon-san... 
At the very least, can I get on a phone to contact her?",
281,朱志香,………うーん。ウチさ、そういうのかなり厳しいんだぜ……。,"...Uhh. My folks are, y'know, pretty strict...",
284,,やはり、ヱリカさんの言っていた通りのようだ。,It seriously is just like Erika-san said.,
285,,"　紗音さんは明日までお休み。
　そして、右代宮家では非番の使用人のプライバシーは最大限尊重
し、一切の連絡を取らないらしい。","Shannon-san is on leave until tomorrow. And since the Ushiromiya family highly values the privacy of their servants, it's looking like I won't be able to get one call in.",
289,朱志香,"仮に、どこかにいることを知っていても、話さない。そういうルー
ルなんだよ……。ゴメンな。","Even if they knew where she was, they wouldn't let you talk with her. They have rules like that... Sorry about it.",
291,Nao (Casual),あ、……いえ。こちらこそすみません……。,Ah... no. I'm sorry for asking...,
294,,"　それでも連絡が取りたくなるような嘘が、ぱっと思い付けない。
……連絡を取るのは無理なようだった。",I can't come up with a lie on the spot to make her want to let me get in contact. ...It seemed like it was impossible to call her.,
298,Nao (Casual),……仮に知っていても、話さない。…………あ。,"...Even if they knew, they wouldn't let you speak. ......Ah.",
301,,"　……見ても、見ていないというのが、使用人のお作法、……とい
うことはないだろうか？",...Whether a servant sees something or doesn't see something is a duty of theirs... isn't that right?,
305,Nao (Casual),朱志香さん。……とても当り前な話かもしれませんけど……。,"Jessica-san. ...This might be obvious, but...",
307,Nao (Casual),"例えばですよ？　使用人の人がベッドメイクか何かで客室に入った
とします。","For example, right? Suppose a servant enters a guest room to make the bed or something.",
309,Nao (Casual),"……その時に、何かこう……プライベートなものを見てしまった場
合、守秘義務というのはあるんでしょうか？","...In that moment, in the case they were to accidentally see something... private, I guess, would there be some sort of confidentiality rule with that?",
312,朱志香,そりゃあるさ！　源次さん曰く、使用人は家具なんだとさ。,"Something like that, yeah! According to Genji-san, the servants are like furniture.",
315,,"　粛々と仕事を、黙して行なう。家具は喋らない。そして無意味に
存在感を出すこともない。",Furniture does not start conversation. It silently performs its task. It does not needlessly make its presence known.,
316,,"　だから、業務の合間にプライベートなものを見聞きしてしまって
も、……決して口外しない。","So, even if they were to bare witness to something private while performing their task... they would never disclose that information.",
319,Nao (Casual),"た、例えばですよ？　えっと、……そう、ハロウィン！　宿泊客
が、客室内でハロウィンの仮装撮影をしたとします。","A-Another example, okay? Um, ...okay, Halloween! Suppose some guests who are staying in a hotel room overnight do some Halloween costume shoots in their room.",
321,Nao (Casual),"ハロウィンの仮装ってほら、ゾンビメイクとかあるじゃないです
か？　結構、血まみれな怖い感じの。","The Halloween costume is, like, it can be zombie makeup, right? Something pretty bloody and scary. ",
323,,"　そういう血まみれのオバケ衣装が、無造作にベッドの上に放って
あったとする。",Suppose that bloody monster costume simply gets laid there on top of the bed.,
324,,"　しかし、それを知らずに入室した使用人は、事件か何かと勘違い
して仰天して大騒ぎしたり、警察に連絡したりするようなこと
は……。","But then, an unaware servant comes in while on the job, mistakes it for something else, screams in horror, and goes to call the police...",
328,朱志香,"……本当の事件性のあるものなら、すぐに通報すると思うぜ？　使
用人としての義務以前に、市民としての義務だからな。","...If there really was some sort of criminal activity, they would report it right away, I think? They have their duty as citizens before their duty as servants. ",for the second sentence i KNOW there's an idiom/shortening for this in english and i cant think of it (They're citizens before servants)????
330,朱志香,"だから、判断に困るようなものだった場合、……使用人が触れて、
見て判断することもあると思うぜ。",And in case they couldn't get a grasp on the situation... I think the servants would check it out themselves to make a proper conclusion.,
332,Nao (Casual),"……ベッドの上が、血まみれの大惨事のような状態でも、納得でき
たなら、スルーすると……。","...Even with a bloody massacre on top of the bed, if they got their permission to look the other way...",
334,朱志香,客のプライベートと判断するか、否かの問題だと思うぜ。,I think it's a matter of whether or not they decide to consider the guest's privacy.,
337,,"　あたしはヱリカさんが犯人だと睨んでいる。
　でも、ヱリカさんには、紗音さんが入室した後には完璧なアリバ
イがある。",I suspect that Erika-san is the culprit. But Erika-san has a perfect alibi after the point Shannon-san entered the room.,
338,,"　魔法陣のシーツを仕込む時間は、紗音さんが入室する以前。……
あたしたちが夕食に降りた直後しかありえない。",The timeframe the magic circle sheets were prepared in was before Shannon-san entered the room. It can't be any time other than right after we went downstairs for dinner.,
339,,"　だが、その後に入室した紗音さんは、あの荒れ果てたベッドと不
気味な魔法陣を見ても、事件性はないと判断した……。","Even though Shannon-san entered the room after that and saw the bed torn up with the magic circle sheets there, she didn't judge it as ill-willed.",condensed for readability
340,,"　毛布が乱れてるくらいならともかく、……あのおぞましい魔法陣
を見て、その上で事件性はないと判断したのだ。",Setting the blanket being disorderly aside... she saw that disgusting magic circle and saw no ill-will behind it.,""" """
341,,"　あれを見て、……プライベートだと思えるの？　思える訳がな
い……！",Seeing that... could you really think to keep that private? There's no way you would...!,
346,朱志香,"シーツの上に、血のようなもので描いた落書きがあったらぁ？！　
そりゃ、紗音は仰天するだろうぜ？！","If there was a drawing written in blood all over the sheeets?! Shannon would definitely get horrified by that, I think?!",
348,朱志香,"紗音は落ち着いてる時はいいんだけど、取り乱すと冷静を失っちゃ
うタイプなんだ……。","Shannon is fine when she's calm, but she's the type to completely lose it at times like that...",
350,朱志香,"もし、そんな不気味なものを見ちまったなら……。とても涼しそう
に、異常なし、なんて言えないと思うぜ……。",If she did see something that strange... I don't think I can say that she would see nothing wrong...,
352,Nao (Casual),……ですよ、ね。,"...Yeah, right?",
355,,"　あまりに園崎姉妹があっけらかんとした反応だったので、あたし
もたまに自信が持てなくなるけれど……。","Since the Sonozaki sisters had an excessively blank reaction to that, my confidence seeped out of me, though...",
356,,"　あの魔法陣の悪戯は、明らかに限度を超えている。悪戯で笑って
済ませられる次元じゃなかった！",That magic circle prank clearly crossed the line. That prank wasn't even in the realm of hilarity!,
359,Nao (Casual),"なのに……、紗音さんは……、“いいえ、ご安心を”と、……涼し
そうに言った……。","Even so... Shannon-san... calmly said... ""No. Please be at ease.""...",
361,Nao (Casual),"そしてヱリカさんとも示し合わせていないというし……、
……………。",And then they say she isn't conspiring with Erika-san at all...,
364,,"　待って待って待って。魅音さんが言ってた。テキストは徹底的に
読み込め、って！
　ヱリカさんはこう言った！","Wait, wait, wait. Mion-san told me before. Read through the text thoroughly! Erika-san said this:",
366,,#ff0000私と紗音さんは、示し合わせてなどいません。#r,{umi_red}Shannon-san and I are not conspiring together in any way.{/umi_red},
367,,"　これ……、下らないトリックじゃないの？！　間に仲介者を挟め
ばいい！",This... isn't this a stupid little trick?! There better be something between the lines!,
368,,"　ヱリカさんが誰かと示し合わせる。その示し合わせた誰かが、紗
音さんに、何らかの指示を与える。","Erika-san is conspiring with someone. And that ""someone"" she's conspiring with has been giving instructions to Shannon-san somehow.",trying so hard not to say it idk if this makes it obvious or notnjdfghdfjg
369,,例えば……、そう、コスプレ撮影！,Like for example... yeah! Cosplay photography!,
370,,"　撮影の為に、ちょっとショッキングな準備がしてあるから、見て
も驚かないように、なんて風に予め言われていたとしたら……。","If you're cosplaying as something scary, you'd want to tell your photographer in advance so that he doesn't get shocked...",
373,Nao (Casual),"……あの魔法陣のシーツも、……紗音さんにとっては、事件性のな
い、プライベートなものとなる！","...This same thought applies to the magic circle sheets, which Shannon-san thought was a normal, harmless thing!",
375,,"　だが……、紗音さんに命令を出せそうな人物はかなり該当が多
い。",The thing is... Shannon-san is the type to listen to orders.,not totally accurate but better i think
376,,"　右代宮家の人間は全員そうだろうし、使用人頭や目上の使用人も
命令は可能だろう。",I'm led to believe the whole family is like that. You could probably give orders to the servant head and the older servants as well.,shes so mean i swear
377,,"　でも、……今はこれで十分。
　これで、紗音さんがあの魔法陣を見ても、何事もなかったかのよ
うに振舞う可能性が見えてくる……！","But... that's just it. Even if Shannon-san did see the magic circle, I can see her acting as if nothing had happened...!",is it my job to revise the japanese wording to make this sound more exciting
381,朱志香,……何か、ウチの使用人がやらかしたりした……？,...Did one of our servants mess up somehow......?,
383,Nao (Casual),いえ、そんなことはありません。むしろ、多分、逆です。,"No, not at all. It might be the opposite in fact.",
386,,"　紗音さんは、命令された通りに、使用人の仕事を全うしたに過ぎ
ないのだ。",Shannon-san simply carried out her orders as she was told.,
390,朱志香,じゃ、じゃあ、私はこれで失礼するぜ……！,"Th-then, I'll head out for now...!",
393,Nao (Casual),"ありがとうございました。本当に何でもないので、気にしないで下
さいね。","Thank you very much for that. Nothing really happened, so please don't worry.",
397,,"　朱志香さんが立ち去るのを見届け、振り返ると、
東屋のヱリカさんと目が合う……。","After making sure Jessica-san was gone, I turned around... and made eye contact with Erika-san by the arbor...",
404,ヱリカ,…………ふふん。,............*giggle*.,
409,,"　あの顔は、何を朱志香さんと話していたのか、全てお見通しだと
言いたいのだろう。",That face probably wants to say that she eavesdropped fully on whatever I was talking about with Jessica-san.,
410,,"　ヱリカさんは器用にも、魅音さんと談笑しながら、にもかかわら
ず、あたしをずっと監視していたのだ。","While Erika-san was having a friendly chat with Mion-san, she observed me the whole time without so much as a hint of effort.",
417,Nao (Casual),あれ、詩音さんは？,Huh? Where'd Shion-san go?,
419,Mion (ウェディング),"ちょっと別の小道具を探しに、ゲストハウスに戻ってるよ。すぐ戻
るよ。",She went back to the guesthouse to check for a different prop. She'll be back soon.,
423,ヱリカ,"……それにしても魅音さんは、……なかなかの切れ者じゃないです
か。","...At any rate, Mion-san... you can be pretty shrewd, can't you?",
425,ヱリカ,"こういっては失礼ですけど、怖い物知らずのただの田舎者かと思っ
ていたら、……なかなかです。","Saying this is a smidge rude, but I thought you would be like a caveman afraid of fire... You're pretty good, though.",
428,Mion (ウェディング),あっはっは！　ヱリカさんにそこまで言われると照れちゃうよぉ。,"Ahaha! If you say that much, I'll start blushing!!",
430,Mion (ウェディング),"でも、ヱリカさんだってなかなかだよ～？　でもひとつ勘違いがあ
るかなぁ。","But you're pretty good too, y'know, Erika-san? There's one thing you might have wrong, though~.",
433,Mion (ウェディング),"真実は暴くものじゃない。作るものなのさ。さもなきゃ埋めるもの
かな？　園崎家の次期頭首を、舐めてもらっちゃあ困るねぇ？","The truth isn't something you reveal, it's a fabrication of reality. Or maybe it's a mixture of the two? Either way, don't mess with the next head of the Sonozaki family, you hear?",
436,,"　……朱志香さんと話している間に、二人でどんな会話をしていた
か知らないが、……何だかバチバチしたものだったようだ。",...I don't know what those two were having a conversation about while I was talking to Jessica-san... but it feels like it was kind of fiery.,
437,,"　でも、仮にそうだったにせよ、魅音さんにとっては、やるねぇの
一言で済んでしまう程度なのだろう。","Even if that did happen though, Mion-san would probably just be like, ""You ain't half bad!"", and walk it off.",
441,ヱリカ,"魅音さん。約束しましょう。いずれ必ず。#p雛見沢#sひなみざわ#rに探偵として訪れ
ることをお約束します。","Mion-san, let's make a promise. One of these days, I'll definitely visit Hinamizawa as a detective.",
444,Mion (ウェディング),"うん！　きっとだよ！　部活メンバー全員で大歓迎しちゃうから
ね～！","Yeah, for sure! All of the club members will give you a warm welcome when you do~!",
447,,"　バチバチっと二人の交差する視線が火花を散らした気がしたが、
気の置けない仲だからこそのじゃれ合いにも見えてしまう。","Those fiery, murderous sparks that I felt in between them as their gazes met suddenly seemed like the kind in a friendly playfight.",
448,,"　やっぱり魅音さんという人は、場数が違うというか、度胸が半端
ないというか。……大物だ。","Mion-san either has more experience than me, or she just has way more guts than I do. ...She really is no joke.","bakazu could mean ""has been to a bunch of places"" but that's sooo wordy"
451,Nao (Casual),あ、……詩音さん、帰ってきました。,Ah... Shion-san came back.,
457,詩音 (ビキニアーマー),"お姉ぇ！　全然、違う場所に入れてありましたよ？　勘弁して下さ
いよねぇ！",Sis! I think I might have put it in a totally different place? Please forgive meee!,
459,Mion (ウェディング),"はぁ？！　出発前に入れる場所を勝手に変えたのはあんたで
しょー？！",Huuuh?! Weren't you the one who went and put it someplace else before we left?!,
464,ヱリカ,やれやれ。また賑やかになりました……。,"My, my. It's getting lively again...",
467,嘉音,……ご歓談中、失礼致します。お昼の準備が整いました。,...Please do forgive me for intruding on your conversation. Lunch has been prepared.,
469,ヱリカ,だそうですよ、皆様方？　参りましょうか。菜央ちゃま？,"Isn't that right, everyone? Shall we go now, Nao-chama?",
473,Nao (Casual),……ヱリカさん。あなたのアリバイ、崩せました。,"...Erika-san, I've torn your alibi to pieces.",
475,ヱリカ,おや。それは、食後のデザートに取っておきませんか？,Oh? Would that have been after dessert was served to us?,
477,Nao (Casual),いいえ、オードブルで。今、説明するわ。,"No, during appetizers. It's clear to me now.",
479,ヱリカ,"それ、ちゃんとコースになるんですよねぇ？　前菜で終わったら恥
ずかしいですよぉ？","Wouldn't the full-course meals have already come out if that were the case? It would have been embarrassing for me if I made it after appetizers were already over, don't you knooow?!",
481,Nao (Casual),"あなたは、紗音さんが異常を認めなかったから、犯行の余地はそれ
以降だとしていました。",You had Shannon-san look the other way from the point you committed the crime onward.,
483,Nao (Casual),"その上、ご丁寧に、紗音さんとあなたは示し合わせていないとまで
言い切ってくれました。でも","Moreover, you carefully asserted to me that you weren't conspiring with Shannon-san up until now. But--",
486,ヱリカ,#ff0000私と紗音さんは、示し合わせてなどいません。#r,{umi_red}Shannon-san and I are not conspiring together in any way.{/umi_red},
492,ヱリカ,"#ff0000私が何らかの人物を介し、もしくは手段を介して、紗音さんに根回#r
#ff0000しをした事実はありません。#r","{umi_red}Through another person or by any other means possible, it is in no way true that Shannon-san was involved behind the scenes.{/umi_red}",
494,Nao (Casual),………え………。,...Eh......?,
497,ヱリカ,"はぁぁぁ。残念無念、期待外れの的外れ。……ほらね？　デザート
にしておけばよかったんです。","*sigh*. Regrettably, you missed the mark by a longshot. ...See? It would have been better for me to do it during dessert.",Ughhh -> Sigh
499,ヱリカ,"直接示し合わせていないなら、誰かを挟んで間接的に示し合わせれ
ばいい、これで赤き真実の間隙を縫った！って、……思ったんで
しょお……？","Since I wasn't directly conspiring with someone, I must have been getting someone involved indirectly. You really thought you could weasel yourself through the red truth like that... huuuuh?!",
501,Nao (Casual),……ん、…………ぅ………。,...Nn...... uh......,
506,Nao (Casual),"お、……思ってないわよ。そんな下らない言葉遊び、……あたしを
子供扱いしないで欲しいわ。",I... I wasn't thinking like that. I don't want to be treated like a child with some... silly wordplay like that.,
509,ヱリカ,くっくっくっく……。グッド。,*cackle*cackle*cackle*cackle*... <Good>.,
511,ヱリカ,"探偵であれ、犯人であれ。……すぐに挫けるのは二流です。泣いて
うずくまるのは戦人です。",As the detective or as the culprit ...quickly losing heart is for second-rates. The only person who would keel over crying is Battler.,trying so hard not to say poors here
513,ヱリカ,一流は、タフでなければ。そして不敵でなければ。,"First-rates must be tough, and they {i}must{/i} be daring.",
516,,"　本当に嫌な人だけれど、不思議な人。
　ただの嫌な人というより、……何というか、……ライバルって感
じ。","She really is a hateable person; however, she's a bit strange. Rather than just being a hateable person... how can I put it... she's more like a rival.",
517,,"　小馬鹿にしたり、挑発したり。腹立たしいけれど、敵であれ、見
事ならば褒めるというところに、それを感じる。","She puts me below her and gets under my skin. She's aggravating, but as an enemy, I feel like she's deserving of praise in that aspect.",
522,Mion (ウェディング),"ほらほら、お昼に行こうよ～！　なぁにぃ？　ウチの菜央ちゃん、
口説いてんのぉ？","C'mon, c'mooon, let's go get luuunch~! Huuuuuuh? You hittin' on my little Nao-chaaaan?!",
524,ヱリカ,"えぇ、そうです。こんな可愛らしくて小憎らしい子、殺人事件の被
害者になる前に保護してあげないと。","Yes, absolutely. This sweet {i}darling{/i} of a girl must be protected at all costs before she becomes victim to a murder incident.",
