event01_30_09.bytes,,"beanbug; very chill with others contributing to this, i finished my ssr stories and didn't want to step on others' toes by editing their sheets ",Lloro - QC,,,Omega: I'm adding some stuff
124,Mion (バスタオル),"ヱリカさんは、部屋の鍵を忘れたと言った後に、ゲストハウスに
戻った為、アリバイがないからって詩音を疑ってるんでしょ？！","Erika-san, you're suspecting Shion just because she went back to the guesthouse after she told us she forgot her room key, aren't you?!",,,
126,Nao (Casual),"そうです。アリバイがないことが即ち、犯人を意味するものではな
いはずです。",Right. Just because somebody lacks an alibi doesn't necessarily mean that person is the culprit.,,,
132,詩音 (バスタオル),"私はこの部屋には入ってませんっ。入ったというなら、証拠を見せ
て下さい！","I didn't enter that room. If you want to say otherwise, then please show me the evidence!",,,
134,ヱリカ,グッド！　……その言葉を聞きたかったです♪,<Good!> ...Those words are like music to my ears♪,,,
137,,"　ギリリと、小さく歯軋りの音が聞こえた。
　詩音さんの顔は、……苦々しく歪んでいた。",I heard the quiet sound of teeth grinding. Shion-san's face... was distorted in disgust.,,,
139,,"　ヱリカさんの掴む手が、力強くて痛いのか。……それとも、証拠
はもはや、致命的なのか。",Was Erika-san's grip so tight that it hurt? ...Or had her evidence already delivered the fatal blow?,wording could be improved.,"from ""was her evidence no longer a fatal blow",
142,ヱリカ,"菜央ちゃま。部屋の灯りを消してくれますか？　大丈夫。ペンライ
トは持ってますので。","Nao-chama, can you please turn off the lights in this room? It'll be fine; I have a penlight.",,,
144,,"　ペンライトとは言うが、傍目には少し太めの万年筆にしか見えな
い。","She called it a penlight, but from an outsider's perspective, it looked like a rather plump fountain pen.",,,
145,,"　しかしヱリカさんが片手で操作すると、確かにライトの機能があ
ることがわかった……。","However, when Erika fiddled with it using her free hand, it became clear that it did indeed have a light function...",,,
149,Mion (バスタオル),"ふん……。詩音がやったっていう証拠があるなら、見せてもらおう
じゃない。","Hmmm... if you say that you have evidence that Shion did it, then let's see it.",,,
151,Mion (バスタオル),菜央ちゃん。消してくれる？,"Nao-chan, can you turn off the lights?",,,
153,Nao (Casual),……わかりました。,...Understood.,,,
162,,"　この季節、だいぶ暗くなるのも早くなって来ている。
　カーテンを閉めて灯りを消せば、真の闇だった。","At this time of year, it would get dark quite early in the day. Once the lights were turned off and the curtains were closed, it was pitch black.",,,
163,,すぐにヱリカさんがペンライトを点灯する。,Erika-san immediately turned on the penlight.,,,
166,Mion (バスタオル),"スパイ道具みたいだねぇ。一見、万年筆なのにライトになるなん
て。","It looks like a spy gadget. At first glance, it appears to be a fountain pen, but it's able to emit light.",,spy's tool -> spy gadget,
168,Mion (バスタオル),他にも秘密の機能が備わってそうだねぇ。,I bet it has other hidden features.,,,
172,ヱリカ,ご賢察です。もちろん、ペンライトの機能だけではありません。,"You've got a discerning eye. Naturally, this isn't the penlight's only feature.",,,
174,ヱリカ,"その機能を説明する前に、私がドアノブに仕掛けた秘密を、ご説明
しましょう。","Before explaining its features, let me reveal the secret behind this doorknob.",,,
177,ヱリカ,"私が自分の部屋の施錠を忘れ、それを皆さんの前で口にしたのも、
全ては犯人を誘う為の罠でした。",Me mentioning that I forgot to lock my door in front of everybody was all a trap designed to draw in the culprit.,,,
179,ヱリカ,"犯人は、この千載一遇のチャンスを生かす為に、適当な口実を設け
て、ゲストハウスへ戻ったのです。","In order to make the best out of this once-in-a-lifetime chance, the culprit had to make an excuse to go back to the guesthouse.",,millenia -> lifetime,
184,詩音 (バスタオル),"私は撮影の為の道具を探しに戻っただけですっ。この部屋に入って
なんかいません！",I only came back in order to look for some photography equipment. I didn't do anything like enter your room!,,,
186,Mion (バスタオル),……ドアノブに仕掛けた秘密って、……何さ。,...So what was... the secret trap on the doorknob...?,not 100% sure if it's the secret of it or war over it?,secret of -> secret trap on,
191,Nao (Casual),あ、………ひょっとして………。,Ah... could it be......,,maybe -> could it be,
193,,"　まさかだけど、……指紋？
　知識と道具があれば、出来ないことじゃない。","I didn't expect this, but... is it fingerprints? With proper equipment and knowledge, it's not impossible.",,"it couldn't be -> I didn't expect this, but... is it / wasn't -> it's not",
194,,"　ましてや、探偵を自称するヱリカさんのこと。ドアノブに残った
指紋から、詩音さんを特定したとか……！","In addition, Erika-san called herself a detective. Maybe she could identify Shion-san's fingerprints on the doorknob...!",,,
198,ヱリカ,"いえいえ。もっとシンプルでわかりやすく、そして明白にわかる仕
掛けです。","No, no. I used a simpler, clearer, and more obvious method.",wording? she says what she uses is easy to understand.,trick -> method,
200,ヱリカ,菜央ちゃま。このペンライト、持ってくれます？,Nao-chama. Can you hold this pen light?,,,
202,Nao (Casual),え？　はい……。,Huh? Okay...,,,
204,ヱリカ,そこのところを、クリッと手応えがあるまで捻って下さい。,Twist it here until there's a click.,,,
207,,"　言われた通りにすると、ペンライトの灯りが消えた。
　変わって、薄っすらと青紫色の弱い光が放たれる。","As I did as I was told, the penlight's light went out, and was replaced by a faint blue-purple glow.",,,
211,Nao (Casual),これは………。,This is...,,,
213,Mion (バスタオル),ブラックライト、……だね？,A black light...?,,,
221,詩音 (バスタオル),……ちょ、痛い……。もう少し優しく握って下さいっ。,"...Hey, that hurts... Can you please grip me a little more gently?",,,
223,ヱリカ,"菜央ちゃま。そのブラックライトで、私の手の平を照らしてくれま
すか？","Nao-chama, can you please shine that black light on my palms?",,,
228,Nao (Casual),こうですか？　…………あッ、,Like this? ......Ah.,,,
233,詩音 (バスタオル),"……チッ。……あんた、こんな道具を旅先に持ち歩いてんです
か……。","...Tch. ...You've been carrying that around since before you came here, haven't you...?",,,
235,ヱリカ,"探偵ですから。バカンス先でも、最低限の探偵道具は持ち込んでい
ます。","That's because I'm a detective. Even when I'm on vacation, I will at the very least bring a detective's kit with me.",,,
240,Mion (バスタオル),……蛍光塗料……か……。,...Fluorescent... paint...,,,
242,,"　ブラックライトに弱々しく照らされたヱリカさんの手の平
は……、薄い黄緑色に、光っていた……。",I shined the black light on Erika-san's palms... and thin streaks of yellowish-green glimmered in the light...,,,
246,ヱリカ,これを、今朝、この部屋のドアノブに塗らせていただきました。,I painted this room's doorknob this morning.,,,
248,ヱリカ,"特殊な配合で、丸一日は、ドアノブに触れた人全員の手に付着しま
す。",This paint is specially formulated to stick to the hands of whoever touches the doorknob for the whole day.,,,
250,ヱリカ,"さらに、一度、付着すれば、お風呂で洗ったくらいでは落ちませ
ん。","Furthermore, once the paint has adhered to you, it cannot be removed by washing it off.",erika says washing in the bath specifically as an example.,,
253,詩音 (バスタオル),……くっ……………。,...Gh......,,,
255,ヱリカ,"私が自分で作った、特別な配合の薬品です。落とすのにも特殊な薬
品が必要ですが、もちろん持ってきていますのでご安心を。","I was the one who made this special chemical mixture. A certain chemical compound is required to remove it. Don't worry, naturally I brought it with me.",,,
257,詩音 (バスタオル),"……上等じゃないですか。つまり、いくらシャワーを浴びていよう
と、私の手にはまだその蛍光塗料が残ってるって訳ですよね？","...Isn't that wonderful? In other words, this means that no matter how many showers I take, I will still have that fluorescent paint on my hands?",,excellent -> wonderful,
259,ヱリカ,"そういうことです。今から、ブラックライトで、貴女の手の平を拝
見します。","Exactly. Now, I'm going to look at your palms under the black light.",,,
261,ヱリカ,"ですが……、探偵の情けです。致命的な証拠を突きつけられる屈辱
よりは、紳士的に自ら負けを認める機会を与えましょう。","However... I'll give you mercy as a detective. Rather than disgracing you by confronting you with lethal evidence, I'll give you the chance for a gentleman's loss and admit defeat yourself. ",wording could be better.,"from ""as a detective's mercy,",
263,詩音 (バスタオル),"……貴女の探偵ごっこがどういうものかは知りませんが。……もし
それに、勝ち負けがあるものならば。",...I don't know what's up with you playing detective... but if it involves victory and defeat...,,,
271,Mion (バスタオル),"園崎姉妹は、……絶対に負けないよ。……園崎家次期頭首の血、二
人に分かれてなお熱くて濃く受け継がれていること、証明してあげ
るよ。","...The Sonozaki sisters... defintely won't lose. ...We'll prove to you that even though it's been split between the two of us, the blood of the next head flows hot and thick through our veins!",,,
278,ヱリカ,"犯人は貴女です、詩音さん。にもかかわらず、私が負けになるとい
う結果があるんですか？　何を言ってるのかよくわかりません。","You are the culprit, Shion-san. Despite this, you think this will result in my loss? I don't get what you're saying at all.",,,
282,ヱリカ,"さぁ、情けの時間は終わりです！　貴女の両手の手の平！！　照ら
し出させてもらいますううぅ！！　うへへううぇっうぇっうぇえぇ
えぇ！！！","Now, the time for pity is over!! Show me your palms!! I'll light them up niiiice and bright for youuuuuuuuu!!!!! Uehehehehehehehehehe!!!!",,"from ""Show them",
295,ヱリカ,何ですって？　も、もう一度……！！,"Wait, what? Le-let me check agai--...!!",,"wait / from ""O-one more check!",
297,ドラノール,園崎詩音の手に、蛍光塗料の付着はありマセン。,Shion Sonozaki's hands do not have any florescent paint on THEM. ,,,
299,ヱリカ,だから何ですって？！　もう一度ッ！！！,What the hell are you talking about?! Check her again!!!,,,
301,ドラノール,"手に限りまセン。園崎詩音の身体には、蛍光塗料の付着は一切あり
マセン。",It's not just her HANDS. Shion Sonozaki's body does not have any fluorescent paint on IT. ,,trimmed a bit here,
304,ヱリカ,"ああぁああぁあッ、どぅわからぁア！！　もう一度、はっきりと赤
で言えッつってんだらあああぁああぁッ！！！",WHAT DO YOU MEEEEEEEEEEEAAAAAAANNN????!!!!! YOU'D BETTER SAY IT IN REEEEEEEEEEEEDDDDDDD!!!!!! ,,madge,
306,ドラノール,繰り返しマス。,I will repeat it in RED.,,,
317,ドラノール,#ff0000園崎詩音の身体には、蛍光塗料の付着は一切ありマセン。#r,{umi_red}Shion Sonozaki's body does not have any florescent paint on IT.{/umi_red},,,
326,ヱリカ,"い、いやいやそんなそんなッ！！　あッ、あり得ない、あり得ませ
んッ！！","N-nonononono, this, this couldn't be!!!! T-there's no way!!!! This is impossible!!!!",,,
330,ベアトリーチェ,"おやぁ？　これはおかしいのではないか、ヱリカよ。これでは魔女
の仕業になってしまうぞぉ？","Hm? Isn't this strange, Erika? Wouldn't this make this... the work of a witch?",,,
333,ヱリカ,"うるさいうるさい！　うっせえうっせぇッうっせえわああぁああ
あッ！！",Shut up shut up!!! ShutupshutupshutupSHUT UUUUUUUUUUUUUUUUUUUPPPPPPPP!!!!!!,,,
336,,"　これでベアトリーチェの手番は終わる。
　次のヱリカさんの手番は、この状況を挽回する為に費やされる
だろう。","With that, Beatrice's turn was over. Next was Erika-san's turn, which would probably be used trying to recover.",,,
337,,"　今、ヱリカさんは強烈な一撃を喰らって、ぐらついている。
　その次に来るあたしの手番が重要になってくる……！","Right now, Erika-san was shaking after receiving such a powerful blow. That meant my next turn was crucial...!",,,
341,ドラノール,"ヱリカ。紳士と淑女のゲームデス。品のない言葉遣いは慎んで下サ
イ。",ERIKA. This is a game for ladies and GENTLEMEN. Please refrain from using vulgar SPEECH.,,,
344,ヱリカ,"おッぉおおおおうるさいでございましてよッ、殺人人形ッ！！　次
は私の手番ですッ！",SHUUUUUUUUT. THE HELLLLLL. UP. YOU MURDER DOLL!!! IT'S MY TURN NOW!!,,,
352,ヱリカ,青き真実！,Blue truth!,,,
356,ヱリカ,"#4169e1園崎詩音は、手袋を使ってドアノブに触れた！　だから蛍光塗料が#r
#4169e1手の平に付着しないのは当然のこと！！#r","{umi_blue}Shion Sonozaki used a glove when she touched the doorknob! Naturally, this means the fluorescent paint wasn't able to get on her palms!{/umi_blue}",,,
363,ドラノール,……有効デス。,...VALID.,,,
371,ヱリカ,ね？！　塗料が付かないように部屋に入るのは可能なんです！！,See?! It's possible for somebody to open the door to the room without getting my fluorescent paint on them!,,,
373,ヱリカ,詩音さん、貴女は本当に悪い人ですねぇ……！！！,"Shion-san, you truly are a despicable woman...!!!",,,
376,ヱリカ,人の部屋に侵入する際に、そこまでの用心が出来るなんてッ。プロ！！　職業的泥棒ッ！！　シューペリアルエクストリーム犯罪者ああぁああぁあぁッ！！,I can't believe you'd be this cautious when breaking into somebody's room. You're a professional!! A career criminal!!!! <A superior extreme feloooooooooooon!!!!!!>,"erika is being really uh. extra with her description. 'pro, professional thief, <superior extreme> criminal' is what she's saying.",believe,
381,詩音 (バスタオル),"何とでも仰ってください。ちなみに、今のどれもが、私には誉め言
葉ですので。","You can say whatever you want about me. And by the way, I consider what you just said to be a compliment.",,,
383,Mion (バスタオル),"……詩音にアリバイがないことは間違いないけれど、……これで、
詩音がこの部屋に入ったという証拠もない訳だね？","...Shion definitely doesn't have an alibi, but... doesn't that prove she didn't enter your room?",,,
388,Nao (Casual),"それでも詩音さんが犯人だっていうなら、他の何かを示して欲しい
わっ。","If you're still sure that Shion-san is the culprit, I want you to show something besides that.",,,
395,ヱリカ,他の何か、他の何か、あわあわあわ……あぁぁぁぁあぁッ。,"Something besides that, something besides that... aaahh... aaaaahhhhh... ...aaaaaaAAAAHHH!",,,
398,ヱリカ,"大丈夫です、我が主……！　私の推理は完璧ですっ。あぁあぁあぁ
だから怒らないで怒らないで……。","It's fine, my master...! My reasoning is flawless. Aaaaaahhh, so don't get mad, don't get mad...",,,
403,ベアトリーチェ,次の手番は、菜央であるな。進めても問題はなかろう？,"The next turn is Nao's. You probably won't have any issues going forward, right?",,"from ""What line of reasoning will you put forward?",
405,ドラノール,どうぞ、菜央。貴女の手番デス。,"Now, NAO. It is your TURN.",,,
410,Nao (Casual),えっと、ＣＯします。,"Um, I'd like to come out with some information.",,,
418,ヱリカ,はあ……ッ？！？！,Huh...?!,,,
420,ヱリカ,"ただのいけ好かない、負けず嫌い以外に何の取り柄もセンスもない
お子ちゃまが、何をＣＯするってんですッ？！？！","What could a detestable, tasteless child who has no redeeming factors other than being afraid to lose {i}POSSIBLY{/i} come out with now?!?!",,"from ""Why is a normal, detestable, tasteless brat whose only good point is being stubborn coming out with information!?!?!?",
428,ベアトリーチェ,菜央よ。一体、何を告白するというのか……？,"Nao, what on earth could you be confessing to doing...?",,are you -> could you be,
430,Nao (Casual),"あたしは鳳谷菜央。……普通の人間のつもりですが、……実は、
言っても誰も信じてくれない不思議な経験をしてきました。","I am Nao Houtani. ...I consider myself a normal human... but the truth is, I've had strange experiences that nobody would believe were real if I were to mention them.",,tell -> mention,
432,Nao (Casual),"あたしは実際に、神や『ツクヤミ』といった超常の存在と出会い、
この世がニンゲンの考える世界だけで構成されてはいないことを、
身をもって体験しています。","I have physically encountered paranormal phenomena such as gods and ""Tsukuyami"", and know firsthand that this world doesn't just contain what Humans think it does.",not sure on second half here,added firsthand,
434,ベアトリーチェ,"……なんと……。そなたは……航海者の魔女だというの
か……ッ？！",...What the... are you... a Voyager witch...!?,,,
443,ヱリカ,"んなワケねぇですぅ！！！　お前はちっぽけな、居てもいなくても
いい塵芥のガキンチョでしょおがあぁああ！！","There's no WAY that's truee!!! You're just a teensy, {i}tiny{/i}, little insignificant trash diveeeeeeerrrrrrr!!!!!",unsure of second sentance.,did some stuffs,
451,Nao (Casual),"ドラノールさん。嘘を吐く気はありません。
あたしに、赤き真実を使わせて下さい。","Dlanor-san, I am not lying. Please allow me to use the red truth.",,,
453,ドラノール,どのような内容をデスカ……。,What would you like to use it FOR...?,,,
456,,ドラノールさんの耳元で、それを囁く。,I whisper into Dlanor's ear.,,,
460,ドラノール,"……わ、わかりマシタ。……それには、貴女の手札を拝見させてい
ただかなくてはなりマセン……。","...I-I UNDERSTAND. ...However, in order to do that, I will need to see your HAND.",,,
462,Nao (Casual),手札って？,My hand?,,,
467,ベアトリーチェ,……そなたのカケラを、ドラノールが見たがっている。,...Dlanor wants to see your Fragment.,,,
472,ドラノール,"もちろん、貴女の赤き真実にかかわる範囲でしか拝見はしマセン。
また、それ以外に知った事実も、天界大法院の名にかけて、生涯の
守秘義務を誓いマス。","Of course, I will only need to observe that which is involved with your red TRUTH. Furthermore, it is through my oath of confidentiality with the Great Court of Heaven that I shall never reveal any other truths I have LEARNED.",wording. dlanor only needs to see her fragment to the degree that concerns her red truth is what she is saying.,"from  ""Of course, I will only need to see the parts having to do with your red truth. In addition, I swear an oath of confidentiality to the great court of heaven that I will never reveal any other truths I have learned.",
474,Nao (Casual),……頭の中を覗くということ？　構わないわ。,...You mean she wants to look inside my head? I don't mind.,,,
476,ドラノール,それでは、……失礼させていただきマス……。,With that... please excuse ME...,,,
479,,"　ドラノールさんの目が、透き通るように淡い光を放った気がし
た。",Dlanor-san's eyes turned almost see-through as they emitted a faint light.,,,
480,,"　ただあたしを見つめているだけに見えるけれど、……不思議な
居心地の悪さを覚える。","All she was doing was staring at me... but it gave me a strange, uncomfortable feeling.",,,
481,,"　……なるほど。これが、あたしの手札を見る、ということなの
か。",...I see. That was what she meant when she said she wanted to look at my hand.,,,
482,,"　あたしが人生で経験してきたことや、考えや想い、感情などの全
てが、他人に覗き見されているという居心地の悪さだ。","The uncomfortable feeling was as though everything I had ever experienced in my life, my thoughts, my feelings, my emotions, and everything else, was all being watched by another person.",unsure on wording.,"from ""That uncomfortable feeling was everything I'd ever expirienced in my life, my thoughts, my feelings, and my emotions, being watched by a stranger.",
486,ドラノール,……菜央。ありがとうございマス。終わりマシタ。,...NAO. Thank you very MUCH. I am FINISHED.,,,
488,ベアトリーチェ,それで……。ドラノールの判定は……。,And with that... Dlanor's verdict is...,,,
490,ドラノール,有効デス。,VALID.,,,
495,ドラノール,"#ff0000……鳳谷菜央が、人ならざる存在との接触や交流を経て来た#r
#ff0000事実を、確認しマシタ。#r",{umi_red}Nao Houtani has been confirmed to have made contact and interacted with inhuman BEINGS.{/umi_red},,,
503,ヱリカ,"あ、あんた……ッ、何者なんですかッ！！　フェリーでたまたま出
会っただけの、ガキンチョだと思ってたのに……ッ？！",W... who the hell are you?! I thought you were just some bratty kid I happened to meet on the ferry...!?,,,
511,ベアトリーチェ,"紅茶を飲むならバケモノとに限る、は……、そなたの主の言葉で
あったか。",Didn't your master say once that black tea is best enjoyed with monsters?,,,
513,ベアトリーチェ,"……なるほど。魔女がゲーム盤を広げれば、魔女かバケモノ、ある
いはそれに近い存在が、招かれるということなのか……。","...I see. If a witch opens up the game board, witches, monsters, and similar beings may be invited in...",,,
515,Nao (Casual),"神も怪異も、あらゆる不思議な存在も、この世界には実在していま
す。","All kinds of mysterious entities, such as ghosts and gods, exist in this world.",,,
517,Nao (Casual),"だからあたしは、ベアトリーチェの存在を、否定しません。ここに
居ることが、その証なのですから。","Because of that, I don't deny Beatrice's existence. Her being here is proof enough.",,,
519,ベアトリーチェ,"わ、妾の存在を認めてくれるとは……、菜央、そなたのような客人
は初めてだ……。","Y-you recognize my existence... Nao, I've never had a guest such as yourself...",,,
527,Nao (Casual),その上で、第一と第二の魔法陣事件について、改めて主張します。,"In addition, I am going to repeat my claims as to the first and second magic circle incidents. ",,,
529,Nao (Casual),まず、今、俎上に上がっている第二の魔法陣事件。,"First, let's put the second magic circle incident on the chopping block.",she uses 'on the chopping board' but i think we can word it a little clearer.,,
533,Nao (Casual),#4169e1容疑者である詩音さんは無実でした。#r,{umi_blue}The suspect Shion-san is innocent.{/umi_blue},,,
542,ヱリカ,"そんなはずないそんなはずないッ！！！　詩音が犯人ッ！！　犯人
だあぁあっちゅゆうてんだぎゃああぁあぁ！！","That's impossible, totally impossible!!!!! Shion is the culprit!!!! She's definitely the culpriiiiiiiit!!!!!",,,
546,Nao (Casual),"#4169e1ヱリカさんもまた、ドアノブにベッドメイク不要の札を出していま#r
#4169e1した。つまり、使用人は誰もあの部屋には入りません。#r","{umi_blue}Erika put a ""Bedmaking Not Necessary"" tag on her doorknob. In other words, it's so the servants would not enter her room.{/umi_blue}",,,
552,Nao (Casual),"#4169e1そして、唯一、部屋に入れたかもしれない詩音さんも、ヱリカさん#r
#4169e1の仕掛けが逆に、無実を証明することとなりました。#r","{umi_blue}Because of this, the only person who would be able to get into the room would be Shion-san, who, despite Erika's traps, was able to prove her innocence.{/umi_blue}",,,
557,Nao (Casual),"#4169e1以上により、第二の魔法陣事件は、ニンゲンには不可能である、魔#r
#4169e1女の悪戯であることが明白となりました。#r","{umi_blue}So therefore, the second magic circle was impossible for a Human to make, so it's clearly a witch's prank.{/umi_blue}",,,
566,ヱリカ,"ぜッんぜん明白じゃねぇだらッ！！！　どこがッ、誰がッ！！　ふ
ざけた青を使うんじゃねええぇええッ！！！","That's not clear at alllllllll!!! Who did it, and where did they come from!?!?!? Don't make a mockery of the blue truuuuuuuth!!!",,,
574,ベアトリーチェ,……菜央よ。妾を利しても良いのか？　そなたが負けになってしまうぞ……？,"...Nao, you realize I'll benefit from this? Are you trying to lose...?",,,
576,Nao (Casual),御心配なく。ちゃんと、その上であたしも勝ちますので。,"Don't worry. I'm going to win, too.",,,
578,Nao (Casual),ドラノールさん。青き真実は有効ですか？,"Dlanor-san, is my blue truth effective?",,,
582,ドラノール,"有効デス。………ヱリカは、赤き真実か、それに相当する反論か証
拠の提出が必要デス。","It is VALID. ...In return, Erika must submit either a red truth, equivalent evidence, or a REBUTTAL.",,,
586,ヱリカ,…………………ぇよ……。,...............ay...,,no -> ay,
588,ドラノール,……聞こえませんデシタ。もう一度お願いしマス。,...I did not hear THAT. Please repeat YOURSELF.,,,
597,ヱリカ,"ねぇよ……、ねぇよねぇよ全然ねぇよおッ。詩音が絶対絶対に犯人
なのに、何で証拠が……証拠がねぇ…よオ……ッ！！","No way... nowaynowaynowaaaaaaaaayy! Shion is absolutely, positively, certainly guilty... so why... so why is there no evidence...anywhere?!?!",,inflection editz,
602,,"　ヱリカさんは、ドアノブの蛍光塗料の仕掛けに
オールインしていたのだろう。",It seemed that Erika-san went all in on her gambit with the fluorescent paint on the doorknob.,,,
603,,"　唯一にして究極のはずだった切り札が失われ、……テンカウント
を待つのみだ。",She had lost the card that was supposed to be her ace in the hole... and was now waiting for the count-out. ,i'm not 100% sure if it's nao or erika waiting for the count-out. ,,
607,ベアトリーチェ,菜央。これでそなたの手番は終わる……。,Nao. Your turn is now over...,,,
609,ベアトリーチェ,"……次は妾の手番。妾が、そなたの打ち立てた青き真実を以て、勝
利を宣言して終わりとなるが、……良いのか？","...I'm up next. By using the blue truth you have established, I will be able to claim victory... are you okay with this?",,,
611,Nao (Casual),なので、あなたと交渉がしたいです。,I'd like to negotiate.,,,
613,ベアトリーチェ,"ほう？　そなたは妾を勝たせてくれた。借りはある。話を聞こう
ぞ……。","Hoh? Since you're letting me win, I will listen to what you have to say.",,,
615,Nao (Casual),"次はあなたの手番ですが、勝利宣言の前に、一手、あたしの為にお
願いしたいんです。","The next turn is yours, but before you declare your victory, I want you to make one move for me.",,,
617,Nao (Casual),"第二の魔法陣は魔女の仕業だけれど、……第一の魔法陣は、ヱリカ
さんが犯人。そして今、ようやく、紗音さんが魔法陣を見ても異常
を感じなかった理由が、閃きました。","While the second magic circle is a witch's deed, Erika-san was the culprit for the first one. And just now, it finally occured to me why Shannon-san didn't feel anything strange when she found it.",,,
620,,"　ようやく、謎と推理と思考のスープが……、とろりと仕上が
る……。","At last, the soup of logic, reasoning, and mystery... had finished thickening.",,,
624,Nao (Casual),ベアトリーチェ。あなたは魔女ですよね？,"Beatrice. You are a witch, correct?",,,
626,ベアトリーチェ,無論であるとも。,Of course.,,,
628,Nao (Casual),"当然、様々な魔法や儀式に精通しているんですよね？　もちろん、
魔法陣にも。","Because of that, you're an expert in all sorts of spells and rituals, correct? Which of course would also include magic circles.",,rites -> rituals,
630,ベアトリーチェ,"うむ。これでも無限の魔女を名乗っている。知らぬものはないつも
りだ。",Mhm. I hold the title of Endless Witch. There is nothing I do not know.,,hmph -> mhm,
632,Nao (Casual),"そのあなたが、さきほど言いました。……第一と第二の魔法陣を見
て。","Since you just said that, I want you to look at both the first and second magic circles.",,,
642,ベアトリーチェ,"……それにしても。……よくわからぬ魔法陣であるなぁ。……一
体、何に使うのやら。","...Even so, I don't understand this circle... I don't know what it's used for.",,,
