event01_30_01.bytes,,,hanss,Lloro - QC,Naegles - QC, 
97,,"　もう、六軒島に辿り着く前に、来なければよかったと感じ始めて
いるのだった。",We haven't even made it to Rokkenjima and I'm already getting the feeling that I shouldn't have come.,,,
100,Nao (Casual),"レナちゃん、……あんなに楽しみにしてたのに、譲ってくれたんだ
から、楽しまないと。","Rena-chan... was looking forward to it so much, but she let me go instead, so I have to enjoy myself.",,,
102,Nao (Casual),トラブルのことは忘れて、頭をリセットしなきゃ。,I need to forget about my troubles and clear my head.,,,
108,ヱリカ,"もやっていて見えにくいですが。わかります？　あれが六軒島で
す。","It might be a bit difficult as the boat is rocking, but can you see it? That's Rokkenjima over there.",,,
114,Mion (Casual),あ！　あれ？！　すごいすごい！　本当に島だ！！,Ah! There?! Wow! It's really an island!!,,,
116,詩音 (Casual),"……お姉、止めて下さい。海を見るのが初めての田舎者と思われま
す。","...Sis, please calm down. Everyone's going to think you're a hick seeing the ocean for the first time.",,,
121,ヱリカ,"では問題です。……六軒島という名は、どういう謂れで付けられた
でしょう？","Now, I have a question... Why do you think the island is called Rokkenjima (Six House Island)?",,,
123,,"　……大昔、家が６軒あったから、何て謂れだったら、簡単過ぎ
る。","...If it's because there were six houses on the island a long time ago , then it'd be too easy.",,,
124,,同じことを魅音さんが口にしてくれた。,But it's also the exact answer that comes out of Mion's mouth.,,,
128,ヱリカ,"半分正解です。最も繁栄した時でも、６軒までしか棲みつけなかっ
たということに由来します。","That's half right. The name comes from the fact that even in its most prosperous times, there were no more than six houses on the island.",,,
133,詩音 (Casual),棲みつけなかったって？,No more than six houses?,,,
135,Mion (Casual),まさか、呪われた島とか……。,Don't tell me the island's cursed...,,,
140,ヱリカ,"六軒島の近海は、暗礁が多いとか、海流が複雑だとかで、大昔から
海難事故が絶えなかったとか。","The seas near Rokkenjima have many reefs, and the currents are complicated, so there used to be many accidents.",,,
142,ヱリカ,"それで漁師たちは近付かなくなり、いつしか呪われた島と呼ばれる
ようになったとか。","As a result, fishermen avoided getting close to the island, and it became known as a cursed island.",,,
144,ヱリカ,"そんな迷信は信じないという勇敢な人たちが何度か移り住もうとし
たそうですが……。",Brave people who didn't believe in those superstitions tried to settle on the island many times but...,,,
146,ヱリカ,"謎の失踪や原因不明の奇病やら。移住した人々はその度に全滅
し……。","Mysterious disappearances, strange diseases of unknown origin. The people who moved there were wiped out every time...",,,
148,ヱリカ,"どれだけの人数で移住しても、家が６軒を超えて並ぶ前に全滅す
る、ということから、六軒島と名付けられたとか何とか。","No matter how many people moved to the island, before they'd built more than six houses, they would all be wiped out. And because of that, it was called Rokkenjima.",,,
152,Nao (Casual),……何それ、……怖いわ……。,...What the heck... that's scary...,,,
161,Mion (Casual),"何それ最高にミステリアスぅ！　おじさん、燃えて来たよ！　最高
に『名探偵ワニャン』っぽい感じぃ！！","Whoa, that's super mysterious! This ol' man's fired up! It's just like an episode of Detective Wanyan!",,,
163,詩音 (Casual),"ミステリアスな洋館の孤島……。そっち路線の方が、ウケはいいか
も知れませんね。",An isolated island with a mysterious Western mansion... I think it'd be popular if you put it that way.,,,
165,詩音 (Casual),"今回の私たちは、ただのモニター客でなく、リゾートコンサルタン
トでもあるんですからね！","We're not just survey guests this time, we're resort consultants too!",,,
168,,"　……園崎姉妹は本当に強いわ。
　まぁ、オヤシロさまの#p祟#sたた#rり云々の洗礼を日常的に浴びてるから、
この程度、へっちゃらなのかも……。","...The Sonozaki sisters really are unfazed. 
Maybe it's not a big deal when you're constantly living under Oyashiro-sama's curse.",,,
171,ヱリカ,というのは、私が今、適当に考えた設定ですが。,"Although, that story was something I just made up.",,,
173,ヱリカ,"……島に近付く者の魂を、悪霊が食い散らかすとのことから、悪食
島と呼ばれていたのは本当です。",...The truth is that the island used to be called Akujikushima (Evil Appetite Island) because the souls of anyone who came near would be eaten by evil spirits.,"""shima"" by witch hunt",,
175,,船長さんが、お前さん詳しいねと相槌を打つ。,"""You sure know your stuff."", interjected the captain.",,,
177,？？？？,"まぁ、今は悪霊じゃなく、魔女が住み着いてるなんて噂もあるが
ね……。","Though, rumor has it, there's a witch living there now instead of the evil spirits...",,,
181,Nao (Casual),…………魔女……？,.........A witch...?,,,
183,ヱリカ,ふふん……。,*giggle*...,,,
185,Nao (Casual),"別に、何が住み着いてたって関係ないわ。……オバケも幽霊も、あ
たしは信じない。","I don't really care what's living on the island. ...Ghosts and spirits, I don't believe in any of that.",,,
187,ヱリカ,おや。,Oh?,,,
189,Nao (Casual),何よ……。,What is it...,,,
191,ヱリカ,そういう態度、六軒島では慎んだ方がいいと思いますよ？,Don't you think you should be more careful about your attitude towards Rokkenjima?,,,
193,ヱリカ,"あの島の真の主は、魔女を信じない者に、寛容ではないと言います
から。",It is said that the true master of the island does not tolerate those who do not believe in witches.,,,
196,,"　………あたしは、美しいと評判の薔薇庭園を眺めながら刺繍を
楽しもうと思って来ただけなのに。","......I only came to enjoy embroidery in that beautiful rose garden, though.","from ""rose garden rumored for its beauty.",,
197,,"　園崎姉妹は、魔女の話にも大層盛り上がって、島に着く前から最
高潮のようだった。","The Sonozaki sisters, excited by the talk of the witch, seemed to be in high spirits even before reaching the island.",,,
198,,"　別にあたしは怖がりとかじゃないけれど……。
　魔女だの悪霊だのの島を、わざわざバカンスの先に選ぶ趣味は、
ないんだから。","It's not like I'm afraid but...
I'm not particularly fond of taking a vacation on an island of witches and evil spirits. ","from ""I'm not particularly afraid",,
207,朱志香,皆様、ようこそ六軒島へ！,Welcome to Rokkenjima everyone!,,,
209,紗音,長い船旅を、本当にお疲れ様でございました。,You must all be exhausted from the long boat ride.,,,
212,,"　右代宮家の御令嬢と使用人たちが、わざわざ船着き場で待ってい
てくれた。",The Ushiromiya family's daughter and servants had gone out of their way to wait for us at the dock.,,,
213,,"　直前まで、魔女の島だの悪霊の島だの、さんざんにディスってお
いて申し訳ない歓迎ぶりだった。",I feel sorry about disparaging the island with talk of witches and evil spirits just before being welcomed onto it.,,,
216,？？？？,さぁ、荷物をお運びいたします。,"Now then, allow me to take care of your luggage.",,,
220,Mion (Casual),いえいえ、大丈夫です！　私の荷物、かなり重いんで！,"No, no, it's fine! My luggage is really heavy!",,,
222,詩音 (Casual),私はお世話になろうと思います。よろしくお願いしますね♪,I think I'll let you take care of mine then. Pleased to meet you!,,,
227,？？？？,はい。お任せを。……んん、……ぐおッ……、,Yes. Leave it to me. ...nnn ...guh...,,,
233,Nao (Casual),"……ずっと思ってたんですけど、お二人のトランク、２泊３日の重
さじゃないですよね。",...I've been thinking you two had trunks way too heavy for just a two night stay.,"from ""I always thought you two have had",,
239,Mion (Casual),んっふっふ。乙女のお泊りには、相応の準備が必要なのさ。,Heheh. A maiden must be suitably prepared when staying elsewhere.,,,
241,詩音 (Casual),この島ですべきことの、準備が詰まっていますので。,One should be thoroughly prepared for this island.,,,
247,,"　ここでは、観光バスの時間とか団体行動とか、そういう制約は何
もない。
　それぞれのペースでのんびり楽しめばいいのだ。","Here, there are no restrictions like tour bus times or group activities. 
Everyone can enjoy things at their own leisurely pace.",,,
248,,"　あたしは、着替えと洗面道具と、読みかけの本と刺繍の道具しか
持ってきてないので、可愛い大きさのトランクで事足りる。","I only brought a change of clothes, toiletries, a book to read, and an embroidery set, so a cutely sized trunk was enough.",,,
252,ヱリカ,私は、持ってもらうほどの荷物もありませんので。,I don't have any luggage for you to carry.,,,
254,紗音,"失礼致しました。それでは、皆様がお泊りになるゲストハウスへご
案内させていただきます。",Do excuse me. I will now take everyone to the guest house where you will be staying.,,,
257,,"　ヱリカさんの荷物は、ロリータっぽいデザインのナップザックだ
けだ。",The only thing Erika-san was carrying was a lolita-style backpack.,,,
258,,"　まるで、ぶらりと近所の友達の家に遊びに来たかのような身軽さ
だった。",It's like she's just casually staying over at a friend's house.,,,
262,朱志香,"ヱリカさん、お久しぶり！　その服、やっぱヱリカさんが着るのが
一番、似合ってるぜ。",Erika-san! Long time no see! Those clothes really do suit you amazingly.,"from ""do look best on you",,
264,ヱリカ,ありがとうございます。私も、とても気に入っています。,Thank you very much. I like them a lot as well.,,,
266,ヱリカ,"前回は、漂着した招かれざる客人でしたので、今回はこうして、表
玄関から歓待してもらえてとても光栄です。","Last time, I was an uninvited guest who had drifted ashore, so I am greatly honored to be welcomed to the front door this time.",,,
268,朱志香,初めましてこんにちは。えっと、菜央さん、で合ってる？,"Nice to meet you. Um, Nao-san, that's you, right?",,,
272,Nao (Casual),はい。……よくわかりましたね。,That's right. ...So you could figure that out.,,,
277,ヱリカ,"簡単な消去法です。私は面識があり、残る３人の内の２人は双子の
姉妹。残り物が菜央ちゃまだろうと、誰だってわかります。","It's a simple process of elimination. She and I are acquainted, and two of the three left are twins. The only one left would be Nao-chama, so you'd know who that is.", ,,
279,,"　やっぱり、何だかカドがある。この人は好きになれないし、この
人もあたしを好きではなさそうだ。","Just as I thought, there {i}is{/i} some sharpness to her words. It seems I just can't come to like this person, and I sense she doesn't like me either.",,,
283,Mion (Casual),"すごいよねぇ！　島が一個、丸ごと自分の家だなんてさ！　朱志香
さんが羨ましいよ！","Wow! An entire island as your home! Man, Jessica-san, I'm so jealous of you!",,,
285,朱志香,"そんなことないですよ。私は、歩いて行けるところに友達の家があ
る方がいいな。","It's not great at all. Personally, I wish I could walk to all my friends' houses.",,,
294,詩音 (Casual),お姉！　菜央さん！　早く早く！！　すごいですよ？！？！,"Sis! Nao-san! Quickly, quickly! Isn't this amazing?!?!",,,
299,,"　荷物を運ばせているので身軽な詩音さんは、一足先に長い階段を
登り切る。","Shion-san, who was free from her luggage, reached the top of the long flight of stairs ahead of the rest of us.",,,
300,,"　そして、そこに広がっている光景に、我を失うほどの感動をして
いた……。","And so, as the scene spread out before me, I became so overcome with emotion that I almost lost myself...",,,
316,Nao (Casual),ほ……ほわぁぁ…………！,H....Hwaa.........!,,,
318,,"　まさに絶景。まさに絶句。
　……あぁ、フェリーでの一件から、何だかずっと面白くないよう
な気持ちに取り憑かれていたけれど。","The spectacular view truly had me speechless. 
...Aah, and to think I'd been so worried about not being able to have fun because of the incident on the ferry.",,,
322,Mion (Casual),こ、……これはすごいね…………。,Th-this is fantastic...,,,
324,詩音 (Casual),"ルチーアにも薔薇の庭園はありましたが、……これと比べたら霞み
ます。",St. Lucia also had a rose garden but... it's nothing compared to this.,,,
327,,"　あたしは、これの為に来たのだ。
　この世のものとは思えない、美しい薔薇の庭園。","This is what I came for. 
A beautiful rose garden out of this world.",,,
328,,"　もし、死ぬ場所を選べることになったなら、……あたしは、この
美しい薔薇に囲まれて、うたた寝をするように眠りたい。
　そう思ってしまうほどの光景だった……。","""If I could choose where I die, ...then I would want to be surrounded by these beautiful roses, and fall asleep as if I were taking a nap."" 
It was the type of scene that made you think something like that...",,,
332,紗音,お褒めの言葉をありがとうございます。,Thank you very much for the words of praise.,,,
334,朱志香,"へへ。嘉音くんの手入れがいいから、今年も最高の薔薇が咲いた
ぜ！","Heheh. Thanks to Kanon-kun's wonderful care, we've had the best roses ever this year!",,,
338,ヱリカ,"ぜひ、嘉音さんに直接、労いの言葉が掛けたいのですが、お呼びい
ただくことは出来ますか？",I would like to express my gratitude to Kanon-san directly. Is there any way you can call him?,,,
340,紗音,勿体ないお言葉です。本人に伝えさせていただきますね。,Your words are too kind. I will pass your message on to him.,,,
346,Nao (Casual),"こんな立派な薔薇庭園が、家人以外の目に触れることも許されない
なんて……。","Such a beautiful rose garden, and no one outside the household is allowed to see it. I can't believe it...",,,
348,詩音 (Casual),まったくです。ある意味、薔薇への冒涜ですね……。,"Absolutely. In a way, it's an affront to the roses...",,,
357,Mion (Casual),"詩音ん～！！　こっち来てぇ！　この角度で写真、撮れたらかなり
いい感じだよー？！",Shion~!! Over here!  Wouldn't it be pretty good if I took a picture from this angle?!,,,
364,ヱリカ,"右代宮家にはいないタイプの客人ですね。ベアトもさぞや、退屈し
ないでしょう。",The Ushiromiya family doesn't get guests like her much. I'm sure Beato won't be bored.,,,
373,紗音,こちらが、皆様がお泊りになるゲストハウスでございます。,And this way is the guesthouse everyone will be staying at.,,,
375,朱志香,自分の家だと思って寛いでね！　部屋は２階だよ。,"Think of it as your own home! The rooms are on the second floor, by the way.",,,
378,紗音,お足元に注意を。どうぞ、こちらへ。,Watch your step. Please come this way.,,,
384,Mion (Casual),……園崎本家も、こんな感じの洋館に立て直してくれたらなぁ。,...I sure wish they'd renovate the Sonozaki main house into a Western mansion like this.,,,
386,詩音 (Casual),鬼婆が許すと思います？　お母さんだって許すか怪しいです。,Do you think the old hag would be fine with that? I can't even see mother letting that happen. ,,,
393,ヱリカ,はい、菜央ちゃま。お部屋の鍵だそうです。,"Here, Nao-chama. It looks like that's your room key.",,,
395,Nao (Casual),……ちゃまは止めて下さい。ありがとうございます。,"...Please stop calling me ""chama"", thank you very much.",,,
397,Nao (Casual),鍵は１つ、ですか？,Is there only one key?,,,
400,,"　普通、客室の鍵は、宿泊客の数だけ用意されるものだと思うのだ
が……。","Normally, there are as many keys as guests staying in the room, but...",,,
404,ヱリカ,"ケチな話ですよね。まぁ、鍵の本数は少ない方が話が複雑にならな
くていいですし。","What a cheap plot. Well, whatever, it'll be nice to have fewer keys so the story won't end up so complicated.",,,
406,Nao (Casual),……その１つを無くしちゃったら……。,...If we end up losing the only key......,,,
408,ヱリカ,"ご安心を。その時は素直に使用人の人に申し出て下さい。彼らはマ
スターキーを持っていますので。",Don't worry. Please kindly tell one of the servants if that happens. They have master keys.,,,
411,,"　何れにせよ、大切な鍵だ。ここは年長者に預けておくべきだろ
う。
　魅音さんに預けておくことにする。","In any case, it's an important key. I'd better leave it in the hands of my seniors. 
I'll give it to Mion.",,,
415,,"　あたしたちは２階にあがり、それぞれの部屋に入り、
荷物を置く。","We went up to the second floor, entered our rooms, and set down our bags.",,,
418,,"　あたしたちの部屋は、３つのベッドが並ぶ３人部屋だ。
　隣のヱリカさんの部屋も同じだろうが、そちらはヱリカさん１人
で使うのだ。","Our room is a three-person room with three beds. 
Erika-san's room next to ours is the same, although she's the only one using it.",,,
422,Nao (Casual),……これは、いいお部屋ですね。,"...This is a nice room, isn't it?",,,
424,詩音 (Casual),"こういう建物って、見学は出来ても、実際に泊まれるのって、なか
なかないですよね。","You can visit these types of buildings, but it's not often you get to stay in one.",,,
427,,"　ゴージャスというよりは、落ち着きのある、洗練された静かな美
しさを感じられる部屋だった。","More than luxurious, the room was calm, and had a sense of refined, quiet beauty.",,,
428,,"　戦後すぐに建てられたとのことで、設備などが露骨に古いところ
もあるが、アンティーク的な味わいがあってよい。","It was built right after the war, so some of the facilities are clearly aging, but that gives it an antique taste.",,,
436,Mion (Casual),ヒャッホゥ！！　ホッホウ！　ベッドのスプリング、最高ぉ！,Yahoo!! Hoho! These bed springs are the best!,,,
440,Mion (Casual),"窓の眺望はどうかなぁ！　うっわ、めっちゃ潮風！！　見て見て詩
音！！　オーシャンビューだぁああぁ！！","I wonder what the view from the window is like! Ohh, you can feel the sea breeze!! Look, look, Shion!! It's an ocean vieeeewwww!!",,,
448,詩音 (Casual),……お姉。修学旅行の小学生じゃないですから。,...Sis. You're not an elementary school student on a school trip.,,,
450,Nao (Casual),魅音さん、今は閉めて下さい。風が強くて埃が入っちゃいます。,"Mion-san, please close the window for now. Strong winds will bring in dust.",,,
456,Mion (Casual),"あぁ、ごめんごめん。興奮してつい！　……あれ？　……
ヤバ……。","Aah, sorry, sorry. I got excited! ...Huh? ...Uh oh...",,,
461,詩音 (Casual),"どうしたんです？　……えーーッ、お姉、壊しちゃったんです
かぁ？！","What is it? ...Eeee-, Sis, did you break iiit?!",,,
463,Nao (Casual),"……え。今、興奮しながら窓を開けた時に、……窓の鍵、壊し
ちゃったんですか。",...Uh. Just now when you opened the window in excitement... did you break the lock?,,,
469,Mion (Casual),"こ、壊したんじゃなくって！　施錠にちょっと、コツがいるのかも
しれないねぇ。………えっと、んーと………。","I-It's not broken! There's just a trick to closing it, isn't there? ......Hmm, let's see.....",,,
471,,"　さすがは魅音さんだ。滞在初日どころか、入室とほぼ同時に窓の
鍵を壊してしまうなんて。","That's Mion-san for you. I can't believe she broke the window's lock almost immediately after entering the room, let alone on the first day.",,,
472,,"　まぁ、窓自体は閉まるし、２階の窓だから施錠が出来なくても、
それほど心配はない。","Well, the window closes on its own. Since we're on the second floor, I'm not that worried about being unable to lock it.",,,
476,詩音 (Casual),やれやれ、本当にお姉は……。先が思いやられます。,"Jeez, Sis... you really make me worry about you.",,,
478,Mion (Casual),"まぁまぁ……、それはもう置いといて！　いや～、いい部屋だ
ねぇ！","Well... anyways, moving on! Ahh, what a nice room!",,,
481,,"　置いといてというか、話題をはぐらかしたというべきか。……さ
すがは魅音さんだ。",Skillfully avoiding the subject. ...As expected of Mion-san.,,,
485,Mion (Casual),２部屋が取れれば、圭ちゃんを誘ったんだけどねぇ。,"Man, if we had gotten two rooms, we could have invited Kei-chan.",,,
487,Nao (Casual),"あぁ、……さすがに嫁入り前の女性が、異性と同じ部屋でお泊りは
まずいですね。",Aah... it wouldn't be good for a girl to stay in a room with a boy before she gets married after all.,,,
492,詩音 (Casual),"ホントにお姉は馬鹿ですね。２部屋が取れてるってことにして圭
ちゃんを呼んで、","Sis, you really are an idiot. If you just told him that there were two rooms and called him over,",,,
494,詩音 (Casual),"いざ来てみたら１部屋しかなくて、仕方なく同じ部屋で泊まるしか
ない！　ってすればよかったのに。","and it turned out there was only one room when we arrived, he'd have no choice but to stay in the same room! Wouldn't that have been nice?",,,
502,Mion (Casual),ああぁああぁあぁぁぁぁ！！　その手があったかぁぁぁ！！,Aaaaaaaaaargghhh!! I should've done that!! ,,,
504,Mion (Casual),詩音、今すぐ帰って、圭ちゃんとトレードしてぇ！！,Shion! Go back right now and switch with Kei-chan!,,,
512,詩音 (Casual),なんて言ってますけど、お姉にそんな意気地はありませんから。,"I never knew you had that little self respect, Sis.",,,
514,Nao (Casual),そ、そこで振られても、あたし、返事に困ります……。,I-If you did that and he turned it down I wouldn't know how to respond...,,,
522,,あたしたちは荷物を置き、部屋を施錠する。,We leave our bags and lock the room.,,,
523,,ヱリカさんもちょうど出て来て、施錠しているところだった。,Erika-san had also just come out and locked her room.,,,
529,,"　下に降りると、郷田さんがウェルカムドリンクを配膳してくれて
いた。","When we went downstairs, Gohda-san was setting out some drinks to welcome us.",,,
532,？？？？,さぁさぁ、皆様。どうぞお召し上がり下さい。,"Welcome, everyone. Please enjoy these beverages.",,,
535,？？？？,"お疲れの皆様に、爽やかさと秋の名残をぜひ味わっていただきた
く、この郷田、腕によりを掛けまして……。","I would like to present the refreshing taste of the end of autumn, to you who have travelled so far to arrive here...",,,
542,Mion (Casual),くぁーーー！！　美味しいね！　お替り欲しいな！,Hwaa~!! This is great! I'd like a refill!,,,
550,？？？？,はいはい、どうぞ。……それで秋の果物と言えば、,"Of course, here you are... Speaking of the fruits of autumn--",,,
557,Mion (Casual),くぁーーー！！　これホント旨いね！　一気に飲めちゃうよ！,Hwaa~!! This really is the stuff! I drank it all in one gulp!,,,
565,ヱリカ,"……せめて、郷田さんのうんちくを聞き終わるまではお預けできま
せんか？",...Could you at least wait until Gohda-san's finished his explanation?,,,
567,詩音 (Casual),仕方ないです。お姉はテーブルマナーと無縁の田舎者ですので。,Oh well. Sis is a hick with no table manners after all.,,,
569,ヱリカ,おや。菜央ちゃまはお預けが出来ているみたいですね。,Oh? It seems like Nao-chama has no problem waiting patiently.,Review request next 3 lines. Not sure if this is natural,,
571,ヱリカ,…………貴女。いいところのお嬢様だったりします？,......You. Do you happen to be from a good family?,"when jp people use ""anata"" it's strictly ""you"" unless its referring to a lover // from ""Do you happen to be a young lady from a good family, dear?",,
575,Nao (Casual),そんなことないわ。気のせいよ。,I'm not. You're just imagining things.,,,
577,ヱリカ,ふふん……。,"Hmm, I see...",,,
582,紗音,皆様。お屋敷の方へご案内させていただきます。,"Everyone, I would like to show you the mansion.",,,
584,,"　ご馳走になり、ひと息ついたところで、朱志香さんが迎えに来
る。","After the refreshments and a break, Jessica comes to get us.",,,
585,,"　まずは、２泊３日をお世話になる右代宮家の人にご挨拶だ。
　それから、戦後すぐに建てられたという贅沢な洋館を案内しても
らうのだ。","First, we'll go greet the family members that will be taking care of us these next few days.
Then after that, we'll be shown around the Western-style mansion built right after the war.","from ""go meet the Ushiromiya family that invited us.  ",,
594,Nao (Casual),……朱志香さんは、この島にずっと住んでいるんですか？,"...Jessica-san, have you always been living on this island?",,,
596,朱志香,"まぁね。生まれた時からそうだったから、初めは気にならなかった
けど……。",Pretty much. I didn't mind at first because that's how it's been since I was born but...,,,
598,朱志香,"やっぱ寂しいぜ。島に自分の家族しかいないなんて、うんざりす
る。","It's really lonely. There's no one on the island but my family, so it gets boring.",,,
602,紗音,"くすくす。朱志香お嬢様は、今日、皆様がお越しになるのを、心待
ちにしていたんですよ。",*giggle*. Milady Jessica has been looking forward to everyone coming here today.,,,
605,朱志香,新しい友達が遊びに来てくれたみたいで、私は嬉しいんだ！,"It's like having some new friends over, so I'm really happy!",,,
607,朱志香,"この島のことなら何でも聞いてくれ！　話し相手が欲しいとか、
ゲームの相手が欲しいとか！　いつでも声を掛けてくれよな！","Ask me anything you'd like to know about this island! Or even if you just want someone to talk to, or play a game with! Just give me a shout!",,,
612,ヱリカ,"ほんの数日を過ごすには素敵ですけれど、ずっと住んでいたら、誰
だって寂しがり屋になりますね。","Spending only a few days here is wonderful, but anyone would get lonely if they lived their whole life on this island.",,,
617,Mion (Casual),"そういうことならおじさんに任せて！　特にゲームの相手とかは
ねぇ！",Just leave that kind of thing to this ol' man! Especially when it comes to games!,,,
619,詩音 (Casual),"ほんの数日どころか、生涯、忘れられないほどのトラウマを味わわ
せてくれるかもですよ。","In these few days, you will experience trauma you will never forget for the rest of your life.",,,
623,Nao (Casual),……魅音さんの部活の罰ゲームはエグイですからね。,...Mion-san's club activity punishment games sure are brutal.,,,
627,ヱリカ,"罰ゲームなどなくても、生涯、忘れられないトラウマを、きっと味
わえますよ。","Even without punishment games, it will definitely be an unforgettably traumatic experience.",,,
629,ヱリカ,だってここは、魔女の島なんですから……。,"Because, this is the witch's island...",,,
631,Nao (Casual),……魔女………？,...Witch......?,,,
639,,"　洋館の主、右代宮蔵臼さんと夏妃さんが、あたしたちを迎えてく
れた。","The masters of the house, Ushiromiya Krauss-san and Natsuhi-san, came to greet us.",,,
640,,"　蔵臼さんは、如何にもお金持ちという感じの、恰幅のいい紳士。
　そして奥方の夏妃さんは、明治や大正の貴族を思わせるような、
非の打ちどころのない淑女だった。","Krauss-san was a wealthy looking, well-dressed gentleman. 
His wife Natsuhi-san was an impeccable lady, reminiscent of the aristocracy of the Meiji and Taisho periods.",,,
643,Mion (Casual),"すっごいお屋敷ですね……。一代でこんなお屋敷を建てちゃうなん
て、本当に尊敬します！","What an amazing mansion... To build a house like this in one generation, I really admire it!",,,
647,？？？？,はっはっは。この屋敷を建てたのは父でね。,Hahaha. It was my father who built this mansion.,,,
650,？？？？,"本来ならば、父も挨拶に来るべきなのだが、高尚な研究でお忙しい
らしくてね。無礼を許してくれたまえ。","Normally, we'd expect my father to come and greet you, but he has been busy with some advanced research. Please forgive our rudeness.",,,
653,詩音 (Casual),"若者目線から、リゾートコンサルタントを頑張りますので！　どう
かお任せ下さいな！",We'll do our best to give a young person's point of view as resort consultants! Please leave it to us!,,,
657,？？？？,"そんなに気負われなくてもよいのですよ。どうか当家での滞在を、
ゆっくりとお楽しみ下さい。",You don't have to be so formal about it. Please take your time and enjoy your stay at our house.,,,
