chara142002_03.bytes,,Llo - TL,Naegles- QC
92,Rika (Casual),"あなたが家族を大切に想う気持ちは、
５年前のあの時からよくわかっているのです。
なのに……どうして？",I completely understand how important your family was to you in that situation 5 years ago. But then... why this?
94,赤坂,……。彼女がずっと、黙っているから……かな。,...It might be because... she's kept silent... all this time.
97,Rika (Casual),えっ……？,Huh...?
102,赤坂,"もちろん、私もよくわかっているよ。
美雪さんは私を見る時、いつも嬉しそうで……
そしてなぜか、泣きそうな顔をするからね。","Of course I knew just as much. Whenever Miyuki-san looks at me, she always seems so delighted... but simultaneously looks like she's going to cry."
104,赤坂,"……親バカだと笑われることを承知で
言わせてもらうと、娘のことを思い出すんだ。","...As someone who knows I can be laughed at for being a helicopter dad, of course I can say I remember my own daughter."
106,赤坂,"あの子はいつも、どんなに寂しくて泣きたい時でも
私たちのことを思って我慢して、笑ってくれるんだ。
とてもいじらしくて、優しくて……。","Even when that girl gets lonely and feels like crying, she puts up with it by thinking of us and putting on a smile. She's so tender and loving..."
108,赤坂,"そこが、よく似ている……なんてものじゃない。
もし、あの子が１０年後の娘だったのだとしたら
私は本当に誇らしいし……幸せに感じるよ。","And wow... doesn't she look just like her? If that really is my girl 10 years down the line, that would make me so proud... and just so happy."
113,Rika (Casual),だ、だったら……！,"So, so then...!"
115,赤坂,"そんな甘えん坊の彼女が、真実を打ち明けまいと
必死に耐えているんだ。……きっと何か、
言葉にできない事情があるんだろう。",That spoiled girl is desperately holding in the truth. I'm sure she has reasons that prevent her from saying anything.
117,赤坂,"だったら私は、それに応えなきゃいけない。
そうでなきゃ、父親の資格なんてないから……ね。","So, in that case, I have to hold back for her too. If I don't, I wouldn't be qualified to be her parent... right?"
119,Rika (Casual),赤坂……。,Akasaka...
121,赤坂,"……梨花ちゃん。
ここで話したことは、誰にも言わないでくれ。
もちろん、美雪さん……いや、「美雪」にもだ。","...Rika-chan. What we talked about now stays between us. And of course, that goes for Miyuki-san, no, ""Miyuki"" as well."
123,赤坂,"時期が来れば、彼女たちにも必ず話す。
いや、もしそれが叶わない状況になったとしても
手段を講じてきっと、伝えてみせる。","When the time comes, she'll definitely speak. No, even in the scenario that it doesn't happen, I would definitely take measures to reach out to her."
125,赤坂,"それが、今もずっと頑張っている娘にできる……
せめてもの手向けというものだからね。",That is... the least I could do for my daughter who's always trying her best.
128,Rika (Casual),…………。,............
135,Satoko (Casual),"あっ、いたいた！
そんなところにおりましたのね、梨花……と、
赤坂さん？","Ah, there she iiis! So you were over {i}here{/i}, Rika... and... Akasaka-san?"
140,赤坂,"やぁ、沙都子ちゃん。
梨花ちゃんを探していたのかい？","Hey, Satoko-chan. Were you looking for Rika-chan?"
142,Satoko (Casual),"えぇ……実は、また宿泊施設の奥の山に
あの連中が出没したとの知らせがあったのですわ。","Yes... The truth is, I received news about ""them"" appearing again in the mountains behind the lodging facility."
144,赤坂,"それは大変だ。もしよかったら、この前のように
私にも手伝わせてもらいたいんだけど……どうかな？","That's some serious news. If you'd like, I wouldn't mind helping out like I did before... but what do you think?"
146,Satoko (Casual),"えっ？　それはもちろん、ひとりでも多く
参加していただけると助かりますけど……
よろしいんですの、梨花？","Eh? Well, of course, taking in another person would be a massive help for us... but would that be okay, Rika?"
151,Rika (Casual),"みー、もちろんなのです。
赤坂にもあの連中のことを、もっとよく
知っておいてもらいたいのですよ。",Meep. Of course it would. Akasaka wants to know a lot more about them just like we do.
155,赤坂,"ありがとう、梨花ちゃん。
それじゃ早速、現場へと向かうとしよう。","Thank you, Rika-chan. Let's head to the scene right away then."
168,圭一 (Casual),"おぉっし、そっちに行ったぞ！
戦人さん朱志香さん、後は頼んだぜ！","Ooooh, they're over here! Battler-san and Jessica-san, I'm leaving the rest up to you!"
173,戦人,"おうよ、任せろ！
朱志香も、覚悟は出来てるか？","Yup, leave it to us! Jessica, you ready?"
175,朱志香,"い……いや、まぁ怪物駆除に連れて行け、って
頼んだのは私だけどよ……。","I... um, well, I was the one who was asking to see monsters get destroyed, but..."
177,朱志香,"まさか、私まで戦力に加えられるとは
思ってねーだろ！
………はぁ、うまくやれる気がしねぇぜ……。","Don't tell me you were thinking of counting me in on your fight?! ...Haah, I don't feel like I'd be good enough..."
181,Miyuki (Casual),"大丈夫ですって、朱志香さん！
女は度胸、男は愛嬌ってやつですよっ！","It's all good, Jessica-san! Us women have the brawn and men have the brains!"
183,Miyuki (Casual),……あれっ、逆だったっけ。まぁいいか！,"...Ah, or was it the other way around? Oh well!"
189,Kazuho (Casual),み、美雪ちゃん、張り切ってるね……。,"Mi-Miyuki-chan, you're pretty enthusiastic..."
191,Nao (Casual),"……まぁ、その理由は何を見るよりも
明らかだけど。","...Well, the reason for that is clearer than anything else here."
198,Miyuki (Casual),"赤坂さん、追い込みました！
あと、よろしくお願いしまーすっ！","Akasaka-san, this is the final push! The rest is up to you!"
200,赤坂 (ゲームマスター),あぁ……付け焼刃だが、やらせてもらうよ！,"Alright... not sure how this'll go, but let me at em!"
208,赤坂 (ゲームマスター),"食らえ、怪物どもッ！
うおおおぉぉぉおぉッッ！！","Take this, you monster freaks!!! Uoooooooohhhh!!!!"
212,Mion (Casual),"お……おおぉぉっ？
な、なんかよくわかんないけど、すごい攻撃が
あの連中の群れを一掃しちゃったよ……！","Wo-... woaaah?! I-I don't know how, but he just blew out a bunch of those guys with one clean sweep...!"
213,圭一 (Casual),"あぁ、すげぇな……！
しっかし、攻撃もそうだけど赤坂さんの服って
強そうっていうか、ド派手な感じですね。","Yeah, jeez...! But still, attack as crazy as it was, Akasaka-san's outfit has a powerful, kind of flashy look to it, huh?"
223,戦人,"中は俺の服だろ？
マントが付いてるだけで、派手に感じちまうぜ……
なんでそんな格好になってんだ？","Isn't that my suit underneath? Just by putting that cloak on, it makes it all flashy looking... But why are you in that outfit all of a sudden?"
225,赤坂 (ゲームマスター),"いや……私に言われてもね。
渡された『ロールカード』とやらを使ったら、
こんな感じになっただけだからさ。",Well... you're asking me. Might have turned out like this because I used this {b}Role Card{/b} I was given.
231,Miyuki (Casual),"いいでしょ、カッコいいじゃん！　頼りになるじゃん！
なんか文句があるんだったら、私が相手になるよ！","I like it! It's so cool and you look so reliable! And if you have anything bad to say about it, I'll fight you on it!"
235,戦人,"いやぁ、別に文句を言ったつもりはねぇって。
似合ってるのは確かじゃねぇか。","Nah, I don't really have anything bad to say. It definitely does suit him well."
240,Nao (Casual),"ほんとあんたって、赤坂さんが絡むと
熱狂的ファンに成り下がるわね……。
一歩間違うとフーリガン（暴徒）に認定されるわよ。","If someone picks a fight with Akasaka-san, you seriously degenerate into a super fan... You're one step away from being certified as a hooligan."
242,Miyuki (Casual),"ぴーぴーぷー、聞こえませーんっ。
というわけで赤坂さん、次はあっちを片付けましょう！","Lalalalala, I can't hear you, lalalala. By the way, Akasaka-san, let's finish up over there next!"
246,赤坂 (ゲームマスター),あぁ、ガイド役は任せるよ。美雪さん。,"Alright, lead the way, Miyuki-san."
249,Miyuki (Casual),"はいっ、任されましたー！
いっくよー、おりゃぁぁああぁっ！！",Yessir! Leave it to me! Here we goooo!! Oriiiiiyaaaahhhhh!!!
259,Satoko (Casual),"をーっほっほっほっ、なかなかやりますわねぇ！
私たちも負けていられませんわよ、梨花っ！","Ohohohoho!! Not bad at all! We can't let them show us up, Rika!"
261,Rika (Casual),…………。,............
263,Satoko (Casual),……梨花？　どうかなさいましたの？,...Rika? Whatever could be wrong?
265,Rika (Casual),"みー、なんでもないのです。
今日も一日、ふぁいと、おーなのですよ。","Meep. It's nothing. All day today, let's fight oooon!"
268,,…………。,............
274,Rika (Casual),"（お互いを想うからこそ、嘘の中だけでも
その幸せな時間を過ごす……か）","(They continue living in that lie, but they can be happy solely through thinking of each other... huh?)"
276,Rika (Casual),（本当……似た者親子ってやつね、あの２人は）,(Seriously... what a close parent-child relationship those two have.)
