chara142002_02.bytes,,Llo - TL,Naegles- QC
110,赤坂,"妻と、お腹の中にいた娘が無事だったのは
梨花ちゃん……君のおかげだ。
だから私は、君に心からの恩を感じているんだ。","The fact that my wife and my daughter in her belly were safe... is all thanks to you, Rika-chan. That's why, from the bottom of my heart, I feel as though I'm indebted to you."
118,Rika (Casual),赤坂……。,Akasaka...
120,赤坂,"それを踏まえた上で、聞いてほしい。
……私は、君に伝えられる限りの真実を話す。
どうか、聞いてもらいたい。","With that in mind, I want you to hear me out. ...As long as it's with you, I'll convey the full truth. So, please, I want you to hear me out on this."
122,赤坂,"その上で、私に力を貸してもいいかどうかを
判断して……答えを聞かせてくれ。","And in return, please judge whether or not I'll be able to lend you my aid... as you listen to my answer."
131,Rika (Casual),…………。,............
134,Rika (Casual),"わかりましたのです、赤坂。
あなたのこと、ボクもちゃんと信じるのですよ。","Understood, Akasaka. I believe in you too."
142,赤坂,……ありがとう、梨花ちゃん。,"...Thank you, Rika-chan."
144,赤坂,"っと……前置きが長くなってしまったね。
詳細については後日として、これだけは
君に伝えておくよ。","Ah... The introduction ended up being pretty long. I'll have to share the details with you another day, but I'll convey just this to you for now."
146,赤坂,"この雛見沢に出没している、異形の生物……
君たちが『ツクヤミ』と呼んで戦っている、
例の「あれ」のことだ。","The grotesque lifeforms that are showing up in Hinamizawa... you kids call them {b}Tsukuyami{/b} and fight them. ""They"" were involved with the earlier case."
148,赤坂,"あの存在については実のところ、
政府の一部機関で明らかに把握しているふしがある。
……君たちの持つ、『ロールカード』についてもね。",Some government agencies are clearly aware of their existence. ...Just like they are about the {b}Role Cards{/b} you kids have too.
150,赤坂,"その上で連中は、何かを企んでいる……。
それを突き止めるべく私は、上層部の命を受けて
この村に派遣されてきたんだ。","On top of that, those people are planning something... I've been dispatched to this village by my higher ups to determine exactly what."
153,Rika (Casual),"なっ……？　そ、それはつまり『東京』の組織が
入江機関を通じて、この雛見沢に何らかの影響を
及ぼそうとしているということなのですか？！","Wha-...? Th-that would mean via the Irie Institute, the {b}Tokyo{/b} organization is doing something that's impacting Hinamizawa?!"
155,赤坂,"……なるほど。やはり君も、『東京』のことを
知っていたようだね。そしてあの入江診療所の、
裏に隠された本当の姿を……。","...I see. So, you really do know about {b}Tokyo{/b}, then? As well as the Irie Clinic's true form hidden underneath..."
157,Rika (Casual),"はいなのです。もしあなたが聞きたいのであれば
ボクが入江機関にどういう協力をしているのか、
あなたに全部教えてもいいのですよ。","Yes, of course. If what you want to hear is how I'm cooperating with the Irie Institute, then I'll tell you everything I know."
159,赤坂,"あぁ、そうしてくれると本当にありがたい。
君と入江氏、鷹野氏との関係は正直言って
掴みかねているところが多かったからね。","Yeah, I would be insanely grateful if you did that. Putting it frankly, there were a bunch of factors that I was having difficulty comprehending regarding the relationship between you, Mr. Irie, and Mrs. Takano."
161,赤坂,"ただ……今回の陰謀は、それと全く別系統で
動いている。だからこそ、こうして公安が
重い腰を上げることになったわけなんだが……。","The only thing is... the conspiracy this time is stirring much differently from the way these people move. That's why public security has been letting up on them for the time being, but..."
163,Rika (Casual),……。その組織とは、何ですか？,...What would this other organization be called?
172,赤坂,それは、――。,That would be __ __.
